Date,MAITHANALL
2017-01-02,304.2
2017-01-03,322.8
2017-01-04,316.5
2017-01-05,326.45
2017-01-06,327.0
2017-01-09,332.1
2017-01-10,353.35
2017-01-11,350.0
2017-01-12,349.05
2017-01-13,345.45
2017-01-16,348.45
2017-01-17,353.6
2017-01-18,363.55
2017-01-19,363.65
2017-01-20,352.75
2017-01-23,344.55
2017-01-24,352.5
2017-01-25,355.2
2017-01-27,374.35
2017-01-30,380.65
2017-01-31,375.8
2017-02-01,386.75
2017-02-02,381.1
2017-02-03,377.2
2017-02-06,389.3
2017-02-07,396.9
2017-02-08,399.6
2017-02-09,420.15
2017-02-10,435.75
2017-02-13,439.6
2017-02-14,438.75
2017-02-15,428.1
2017-02-16,420.65
2017-02-17,421.1
2017-02-20,434.9
2017-02-21,440.9
2017-02-22,438.75
2017-02-23,433.85
2017-02-27,432.5
2017-02-28,432.8
2017-03-01,454.95
2017-03-02,462.9
2017-03-03,408.95
2017-03-06,411.55
2017-03-07,399.2
2017-03-08,391.25
2017-03-09,401.0
2017-03-10,392.6
2017-03-14,400.05
2017-03-15,401.85
2017-03-16,402.65
2017-03-17,400.15
2017-03-20,402.7
2017-03-21,399.2
2017-03-22,386.95
2017-03-23,394.2
2017-03-24,387.9
2017-03-27,391.45
2017-03-28,387.45
2017-03-29,390.85
2017-03-30,427.9
2017-03-31,420.7
2017-04-03,428.95
2017-04-05,430.7
2017-04-06,435.3
2017-04-07,432.7
2017-04-10,432.75
2017-04-11,430.9
2017-04-12,427.85
2017-04-13,426.15
2017-04-17,461.9
2017-04-18,478.05
2017-04-19,470.65
2017-04-20,484.15
2017-04-21,478.75
2017-04-24,478.0
2017-04-25,473.7
2017-04-26,466.35
2017-04-27,458.75
2017-04-28,455.2
2017-05-02,479.4
2017-05-03,483.9
2017-05-04,518.65
2017-05-05,522.65
2017-05-08,519.5
2017-05-09,516.2
2017-05-10,484.85
2017-05-11,482.7
2017-05-12,467.35
2017-05-15,473.85
2017-05-16,467.95
2017-05-17,448.45
2017-05-18,431.35
2017-05-19,414.3
2017-05-22,404.2
2017-05-23,384.95
2017-05-24,420.1
2017-05-25,425.35
2017-05-26,427.35
2017-05-29,436.0
2017-05-30,432.45
2017-05-31,447.45
2017-06-01,448.65
2017-06-02,437.1
2017-06-05,445.1
2017-06-06,431.95
2017-06-07,433.35
2017-06-08,429.95
2017-06-09,422.55
2017-06-12,416.8
2017-06-13,407.9
2017-06-14,398.65
2017-06-15,399.65
2017-06-16,399.85
2017-06-19,400.15
2017-06-20,450.0
2017-06-21,463.35
2017-06-22,479.35
2017-06-23,467.55
2017-06-27,458.8
2017-06-28,460.45
2017-06-29,455.6
2017-06-30,454.25
2017-07-03,462.35
2017-07-04,466.65
2017-07-05,460.55
2017-07-06,470.55
2017-07-07,485.95
2017-07-10,479.9
2017-07-11,472.25
2017-07-12,484.65
2017-07-13,477.35
2017-07-14,481.15
2017-07-17,483.4
2017-07-18,471.4
2017-07-19,479.3
2017-07-20,477.2
2017-07-21,482.0
2017-07-24,477.6
2017-07-25,470.45
2017-07-26,472.5
2017-07-27,466.25
2017-07-28,462.65
2017-07-31,453.5
2017-08-01,446.2
2017-08-02,446.45
2017-08-03,457.6
2017-08-04,463.95
2017-08-07,478.1
2017-08-08,470.55
2017-08-09,462.6
2017-08-10,440.85
2017-08-11,445.2
2017-08-14,463.45
2017-08-16,502.05
2017-08-17,501.05
2017-08-18,489.35
2017-08-21,499.4
2017-08-22,484.25
2017-08-23,499.95
2017-08-24,497.4
2017-08-28,498.5
2017-08-29,497.0
2017-08-30,499.35
2017-08-31,525.9
2017-09-01,527.4
2017-09-04,525.45
2017-09-05,531.75
2017-09-06,534.5
2017-09-07,528.75
2017-09-08,519.15
2017-09-11,514.3
2017-09-12,526.45
2017-09-13,515.3
2017-09-14,506.65
2017-09-15,499.95
2017-09-18,520.7
2017-09-19,523.95
2017-09-20,524.8
2017-09-21,517.75
2017-09-22,494.6
2017-09-25,483.0
2017-09-26,485.05
2017-09-27,474.3
2017-09-28,458.85
2017-09-29,471.65
2017-10-03,487.95
2017-10-04,514.35
2017-10-05,528.4
2017-10-06,534.95
2017-10-09,571.4
2017-10-10,563.35
2017-10-11,585.85
2017-10-12,603.9
2017-10-13,593.75
2017-10-16,590.9
2017-10-17,585.9
2017-10-18,592.95
2017-10-19,595.85
2017-10-23,595.75
2017-10-24,597.65
2017-10-25,591.6
2017-10-26,602.7
2017-10-27,636.25
2017-10-30,649.65
2017-10-31,667.95
2017-11-01,656.85
2017-11-02,649.0
2017-11-03,645.8
2017-11-06,646.65
2017-11-07,623.2
2017-11-08,623.95
2017-11-09,662.15
2017-11-10,665.65
2017-11-13,649.25
2017-11-14,654.25
2017-11-15,629.75
2017-11-16,632.1
2017-11-17,639.55
2017-11-20,642.7
2017-11-21,662.4
2017-11-22,657.8
2017-11-23,650.0
2017-11-24,664.0
2017-11-27,723.6
2017-11-28,732.3
2017-11-29,735.3
2017-11-30,731.85
2017-12-01,718.5
2017-12-04,699.95
2017-12-05,704.8
2017-12-06,690.6
2017-12-07,690.6
2017-12-08,703.1
2017-12-11,796.85
2017-12-12,800.95
2017-12-13,777.45
2017-12-14,789.3
2017-12-15,793.25
2017-12-18,799.6
2017-12-19,804.25
2017-12-20,806.65
2017-12-21,805.0
2017-12-22,801.95
2017-12-26,801.4
2017-12-27,776.3
2017-12-28,801.05
2017-12-29,799.85
