Date,DEEPAKNTR
2017-01-02,92.6
2017-01-03,97.75
2017-01-04,101.15
2017-01-05,102.3
2017-01-06,100.45
2017-01-09,99.05
2017-01-10,100.4
2017-01-11,101.25
2017-01-12,100.9
2017-01-13,99.35
2017-01-16,103.85
2017-01-17,102.35
2017-01-18,103.2
2017-01-19,103.6
2017-01-20,100.85
2017-01-23,101.15
2017-01-24,106.5
2017-01-25,108.3
2017-01-27,111.45
2017-01-30,109.65
2017-01-31,107.2
2017-02-01,109.35
2017-02-02,108.95
2017-02-03,109.55
2017-02-06,108.15
2017-02-07,110.55
2017-02-08,110.0
2017-02-09,110.3
2017-02-10,109.2
2017-02-13,106.6
2017-02-14,104.15
2017-02-15,99.4
2017-02-16,102.2
2017-02-17,103.65
2017-02-20,102.3
2017-02-21,103.25
2017-02-22,105.35
2017-02-23,103.7
2017-02-27,107.65
2017-02-28,107.45
2017-03-01,115.4
2017-03-02,121.95
2017-03-03,122.9
2017-03-06,123.2
2017-03-07,122.1
2017-03-08,123.15
2017-03-09,121.6
2017-03-10,118.5
2017-03-14,120.55
2017-03-15,119.05
2017-03-16,116.25
2017-03-17,116.6
2017-03-20,117.6
2017-03-21,118.65
2017-03-22,117.5
2017-03-23,116.95
2017-03-24,122.1
2017-03-27,121.45
2017-03-28,120.5
2017-03-29,121.85
2017-03-30,123.3
2017-03-31,131.25
2017-04-03,132.85
2017-04-05,133.2
2017-04-06,130.4
2017-04-07,135.45
2017-04-10,140.8
2017-04-11,144.35
2017-04-12,140.6
2017-04-13,140.15
2017-04-17,137.7
2017-04-18,141.3
2017-04-19,142.15
2017-04-20,142.05
2017-04-21,140.7
2017-04-24,137.85
2017-04-25,139.15
2017-04-26,137.25
2017-04-27,137.35
2017-04-28,136.85
2017-05-02,139.7
2017-05-03,138.15
2017-05-04,139.85
2017-05-05,138.2
2017-05-08,137.2
2017-05-09,139.9
2017-05-10,139.35
2017-05-11,139.7
2017-05-12,141.6
2017-05-15,148.05
2017-05-16,146.55
2017-05-17,144.3
2017-05-18,142.5
2017-05-19,140.05
2017-05-22,142.5
2017-05-23,140.55
2017-05-24,136.75
2017-05-25,138.05
2017-05-26,140.8
2017-05-29,141.8
2017-05-30,140.15
2017-05-31,141.25
2017-06-01,139.5
2017-06-02,141.85
2017-06-05,148.05
2017-06-06,149.9
2017-06-07,149.55
2017-06-08,148.8
2017-06-09,153.15
2017-06-12,153.6
2017-06-13,151.65
2017-06-14,151.25
2017-06-15,151.6
2017-06-16,161.45
2017-06-19,176.95
2017-06-20,174.0
2017-06-21,167.7
2017-06-22,162.85
2017-06-23,162.85
2017-06-27,156.45
2017-06-28,158.4
2017-06-29,160.1
2017-06-30,161.4
2017-07-03,170.35
2017-07-04,168.2
2017-07-05,170.95
2017-07-06,179.4
2017-07-07,172.1
2017-07-10,175.0
2017-07-11,173.25
2017-07-12,172.85
2017-07-13,175.6
2017-07-14,170.15
2017-07-17,166.2
2017-07-18,163.5
2017-07-19,164.45
2017-07-20,164.9
2017-07-21,171.35
2017-07-24,170.45
2017-07-25,168.8
2017-07-26,174.0
2017-07-27,165.4
2017-07-28,165.15
2017-07-31,162.3
2017-08-01,163.35
2017-08-02,163.5
2017-08-03,166.0
2017-08-04,166.7
2017-08-07,164.25
2017-08-08,159.85
2017-08-09,153.3
2017-08-10,146.85
2017-08-11,145.65
2017-08-14,149.6
2017-08-16,150.85
2017-08-17,155.05
2017-08-18,158.5
2017-08-21,162.8
2017-08-22,163.55
2017-08-23,164.5
2017-08-24,170.55
2017-08-28,180.45
2017-08-29,174.4
2017-08-30,178.4
2017-08-31,178.55
2017-09-01,179.15
2017-09-04,177.3
2017-09-05,179.4
2017-09-06,177.7
2017-09-07,177.9
2017-09-08,175.45
2017-09-11,176.45
2017-09-12,175.6
2017-09-13,171.3
2017-09-14,174.45
2017-09-15,172.2
2017-09-18,173.75
2017-09-19,179.35
2017-09-20,179.8
2017-09-21,174.6
2017-09-22,173.0
2017-09-25,175.8
2017-09-26,188.95
2017-09-27,185.95
2017-09-28,190.75
2017-09-29,194.05
2017-10-03,193.3
2017-10-04,196.05
2017-10-05,207.35
2017-10-06,207.0
2017-10-09,212.2
2017-10-10,222.85
2017-10-11,213.95
2017-10-12,219.8
2017-10-13,217.3
2017-10-16,213.6
2017-10-17,210.65
2017-10-18,210.85
2017-10-19,216.25
2017-10-23,214.9
2017-10-24,215.9
2017-10-25,210.55
2017-10-26,212.95
2017-10-27,217.2
2017-10-30,213.9
2017-10-31,217.15
2017-11-01,214.7
2017-11-02,213.15
2017-11-03,221.65
2017-11-06,222.85
2017-11-07,215.8
2017-11-08,213.55
2017-11-09,217.75
2017-11-10,218.35
2017-11-13,215.0
2017-11-14,214.65
2017-11-15,212.5
2017-11-16,215.9
2017-11-17,212.75
2017-11-20,222.4
2017-11-21,225.35
2017-11-22,223.95
2017-11-23,224.2
2017-11-24,216.4
2017-11-27,216.0
2017-11-28,209.75
2017-11-29,211.3
2017-11-30,208.65
2017-12-01,205.0
2017-12-04,200.1
2017-12-05,201.6
2017-12-06,202.6
2017-12-07,202.95
2017-12-08,202.0
2017-12-11,205.1
2017-12-12,203.55
2017-12-13,202.2
2017-12-14,205.95
2017-12-15,213.0
2017-12-18,219.0
2017-12-19,220.6
2017-12-20,226.15
2017-12-21,231.45
2017-12-22,230.05
2017-12-26,234.9
2017-12-27,235.15
2017-12-28,232.2
2017-12-29,231.5
