Date,MANAKCOAT
2017-01-02,7.5
2017-01-03,7.4
2017-01-04,7.4
2017-01-05,7.7
2017-01-06,7.65
2017-01-09,7.5
2017-01-10,7.55
2017-01-11,8.0
2017-01-12,8.0
2017-01-13,7.95
2017-01-16,7.65
2017-01-17,7.5
2017-01-18,7.25
2017-01-19,7.35
2017-01-20,7.1
2017-01-23,7.15
2017-01-24,7.1
2017-01-25,7.15
2017-01-27,7.4
2017-01-30,7.3
2017-01-31,7.45
2017-02-01,7.5
2017-02-02,7.5
2017-02-03,7.65
2017-02-06,7.85
2017-02-07,8.5
2017-02-08,8.4
2017-02-09,10.05
2017-02-10,10.6
2017-02-13,10.15
2017-02-14,9.65
2017-02-15,8.85
2017-02-16,8.5
2017-02-17,8.45
2017-02-20,8.1
2017-02-21,9.5
2017-02-22,8.9
2017-02-23,8.65
2017-02-27,9.45
2017-02-28,9.1
2017-03-01,8.9
2017-03-02,8.9
2017-03-03,8.55
2017-03-06,8.45
2017-03-07,8.45
2017-03-08,8.25
2017-03-09,8.1
2017-03-10,8.1
2017-03-14,8.15
2017-03-15,8.1
2017-03-16,8.2
2017-03-17,8.0
2017-03-20,8.1
2017-03-21,8.35
2017-03-22,8.8
2017-03-23,10.55
2017-03-24,10.95
2017-03-27,10.95
2017-03-28,11.35
2017-03-29,11.85
2017-03-30,11.35
2017-03-31,11.95
2017-04-03,11.75
2017-04-05,11.55
2017-04-06,11.45
2017-04-07,11.15
2017-04-10,11.2
2017-04-11,11.8
2017-04-12,11.3
2017-04-13,11.05
2017-04-17,11.05
2017-04-18,10.5
2017-04-19,10.7
2017-04-20,10.7
2017-04-21,10.15
2017-04-24,10.25
2017-04-25,10.25
2017-04-26,9.8
2017-04-27,10.1
2017-04-28,9.75
2017-05-02,9.9
2017-05-03,9.75
2017-05-04,10.0
2017-05-05,9.95
2017-05-08,9.65
2017-05-09,9.7
2017-05-10,9.9
2017-05-11,10.85
2017-05-12,10.25
2017-05-15,11.1
2017-05-16,10.6
2017-05-17,10.35
2017-05-18,10.0
2017-05-19,9.45
2017-05-22,9.25
2017-05-23,9.2
2017-05-24,9.05
2017-05-25,8.85
2017-05-26,9.0
2017-05-29,9.0
2017-05-30,8.7
2017-05-31,8.85
2017-06-01,8.9
2017-06-02,8.8
2017-06-05,9.05
2017-06-06,8.75
2017-06-07,9.35
2017-06-08,9.0
2017-06-09,9.05
2017-06-12,9.0
2017-06-13,9.1
2017-06-14,9.1
2017-06-15,9.0
2017-06-16,9.1
2017-06-19,9.0
2017-06-20,8.9
2017-06-21,8.6
2017-06-22,8.8
2017-06-23,8.5
2017-06-27,9.05
2017-06-28,8.9
2017-06-29,9.05
2017-06-30,10.45
2017-07-03,10.05
2017-07-04,9.95
2017-07-05,9.8
2017-07-06,11.75
2017-07-07,11.15
2017-07-10,12.75
2017-07-11,12.0
2017-07-12,11.9
2017-07-13,11.75
2017-07-14,11.25
2017-07-17,11.15
2017-07-18,11.3
2017-07-19,11.1
2017-07-20,10.95
2017-07-21,10.75
2017-07-24,10.35
2017-07-25,10.1
2017-07-26,10.25
2017-07-27,9.9
2017-07-28,10.7
2017-07-31,12.5
2017-08-01,12.85
2017-08-02,11.3
2017-08-03,11.3
2017-08-04,11.45
2017-08-07,10.6
2017-08-08,10.7
2017-08-09,10.7
2017-08-10,10.5
2017-08-11,10.3
2017-08-14,10.9
2017-08-16,10.55
2017-08-17,10.75
2017-08-18,10.2
2017-08-21,10.15
2017-08-22,10.15
2017-08-23,10.25
2017-08-24,11.25
2017-08-28,11.3
2017-08-29,11.1
2017-08-30,11.45
2017-08-31,12.45
2017-09-01,13.3
2017-09-04,14.1
2017-09-05,12.95
2017-09-06,12.9
2017-09-07,13.3
2017-09-08,13.25
2017-09-11,13.5
2017-09-12,13.15
2017-09-13,12.7
2017-09-14,12.25
2017-09-15,13.05
2017-09-18,13.1
2017-09-19,13.6
2017-09-20,14.1
2017-09-21,14.2
2017-09-22,12.9
2017-09-25,12.9
2017-09-26,13.0
2017-09-27,12.6
2017-09-28,13.05
2017-09-29,13.0
2017-10-03,13.2
2017-10-04,12.75
2017-10-05,12.85
2017-10-06,12.65
2017-10-09,12.2
2017-10-10,12.4
2017-10-11,12.25
2017-10-12,12.25
2017-10-13,12.25
2017-10-16,11.8
2017-10-17,11.8
2017-10-18,12.2
2017-10-19,12.5
2017-10-23,12.15
2017-10-24,12.05
2017-10-25,11.95
2017-10-26,13.05
2017-10-27,13.4
2017-10-30,14.65
2017-10-31,14.85
2017-11-01,14.5
2017-11-02,13.85
2017-11-03,14.45
2017-11-06,14.3
2017-11-07,13.55
2017-11-08,14.0
2017-11-09,13.9
2017-11-10,13.9
2017-11-13,14.0
2017-11-14,13.95
2017-11-15,13.8
2017-11-16,13.55
2017-11-17,14.25
2017-11-20,13.55
2017-11-21,13.5
2017-11-22,13.4
2017-11-23,13.55
2017-11-24,14.05
2017-11-27,13.5
2017-11-28,14.4
2017-11-29,16.2
2017-11-30,16.45
2017-12-01,16.45
2017-12-04,15.35
2017-12-05,15.05
2017-12-06,15.05
2017-12-07,15.1
2017-12-08,16.35
2017-12-11,16.95
2017-12-12,16.65
2017-12-13,16.95
2017-12-14,16.45
2017-12-15,17.4
2017-12-18,18.0
2017-12-19,18.5
2017-12-20,19.6
2017-12-21,20.0
2017-12-22,20.8
2017-12-26,19.6
2017-12-27,18.95
2017-12-28,19.2
2017-12-29,20.55
