Date,RBL
2017-01-02,998.55
2017-01-03,1001.85
2017-01-04,994.95
2017-01-05,1005.4
2017-01-06,995.3
2017-01-09,989.65
2017-01-10,982.95
2017-01-11,1011.45
2017-01-12,997.3
2017-01-13,989.4
2017-01-16,985.85
2017-01-17,982.0
2017-01-18,974.8
2017-01-19,965.7
2017-01-20,960.15
2017-01-23,980.95
2017-01-24,978.1
2017-01-25,978.5
2017-01-27,982.6
2017-01-30,978.35
2017-01-31,970.3
2017-02-01,974.05
2017-02-02,973.15
2017-02-03,974.5
2017-02-06,1004.75
2017-02-07,982.8
2017-02-08,997.1
2017-02-09,998.9
2017-02-10,994.9
2017-02-13,980.8
2017-02-14,971.8
2017-02-15,955.95
2017-02-16,968.6
2017-02-17,971.6
2017-02-20,972.15
2017-02-21,973.05
2017-02-22,964.15
2017-02-23,959.5
2017-02-27,968.15
2017-02-28,973.05
2017-03-01,976.8
2017-03-02,959.6
2017-03-03,949.4
2017-03-06,943.35
2017-03-07,938.3
2017-03-08,924.05
2017-03-09,929.35
2017-03-10,924.45
2017-03-14,933.6
2017-03-15,942.35
2017-03-16,951.0
2017-03-17,945.65
2017-03-20,932.55
2017-03-21,927.3
2017-03-22,923.5
2017-03-23,941.15
2017-03-24,932.25
2017-03-27,930.15
2017-03-28,932.25
2017-03-29,926.2
2017-03-30,1040.8
2017-03-31,1030.2
2017-04-03,1028.65
2017-04-05,1030.65
2017-04-06,1019.7
2017-04-07,1010.65
2017-04-10,1006.3
2017-04-11,1008.0
2017-04-12,992.9
2017-04-13,1011.4
2017-04-17,1003.85
2017-04-18,1021.6
2017-04-19,1010.5
2017-04-20,1010.05
2017-04-21,1004.65
2017-04-24,1012.4
2017-04-25,1016.55
2017-04-26,1005.75
2017-04-27,1004.35
2017-04-28,1005.85
2017-05-02,992.1
2017-05-03,1003.45
2017-05-04,1005.4
2017-05-05,992.9
2017-05-08,999.35
2017-05-09,991.6
2017-05-10,993.7
2017-05-11,1021.15
2017-05-12,1010.8
2017-05-15,1020.5
2017-05-16,1013.9
2017-05-17,1042.05
2017-05-18,1036.6
2017-05-19,1066.25
2017-05-22,1073.55
2017-05-23,1102.7
2017-05-24,1068.05
2017-05-25,1085.0
2017-05-26,1080.0
2017-05-29,1069.9
2017-05-30,1057.9
2017-05-31,1073.05
2017-06-01,1111.15
2017-06-02,1333.35
2017-06-05,1276.8
2017-06-06,1272.05
2017-06-07,1322.05
2017-06-08,1313.4
2017-06-09,1360.1
2017-06-12,1342.9
2017-06-13,1347.05
2017-06-14,1347.95
2017-06-15,1336.2
2017-06-16,1376.05
2017-06-19,1393.55
2017-06-20,1381.35
2017-06-21,1361.75
2017-06-22,1352.05
2017-06-23,1312.5
2017-06-27,1302.35
2017-06-28,1316.85
2017-06-29,1328.45
2017-06-30,1318.15
