Date,PARAGMILK
2017-01-02,261.9
2017-01-03,261.15
2017-01-04,262.95
2017-01-05,262.7
2017-01-06,262.9
2017-01-09,269.95
2017-01-10,271.7
2017-01-11,271.95
2017-01-12,271.55
2017-01-13,271.6
2017-01-16,266.4
2017-01-17,265.8
2017-01-18,264.3
2017-01-19,264.85
2017-01-20,260.4
2017-01-23,259.3
2017-01-24,261.35
2017-01-25,260.0
2017-01-27,263.9
2017-01-30,265.3
2017-01-31,265.8
2017-02-01,265.35
2017-02-02,265.6
2017-02-03,270.05
2017-02-06,277.65
2017-02-07,273.45
2017-02-08,280.85
2017-02-09,284.8
2017-02-10,285.8
2017-02-13,269.4
2017-02-14,265.15
2017-02-15,213.75
2017-02-16,212.5
2017-02-17,210.8
2017-02-20,223.45
2017-02-21,224.0
2017-02-22,223.6
2017-02-23,221.75
2017-02-27,222.95
2017-02-28,224.6
2017-03-01,224.65
2017-03-02,222.6
2017-03-03,225.35
2017-03-06,224.65
2017-03-07,222.05
2017-03-08,220.0
2017-03-09,217.0
2017-03-10,214.85
2017-03-14,214.65
2017-03-15,218.15
2017-03-16,219.45
2017-03-17,218.25
2017-03-20,219.5
2017-03-21,219.65
2017-03-22,219.95
2017-03-23,223.05
2017-03-24,224.5
2017-03-27,221.1
2017-03-28,221.8
2017-03-29,218.6
2017-03-30,224.45
2017-03-31,228.05
2017-04-03,234.5
2017-04-05,242.4
2017-04-06,240.25
2017-04-07,243.9
2017-04-10,249.6
2017-04-11,251.6
2017-04-12,246.65
2017-04-13,247.95
2017-04-17,250.2
2017-04-18,244.35
2017-04-19,250.55
2017-04-20,248.6
2017-04-21,247.8
2017-04-24,245.45
2017-04-25,246.9
2017-04-26,246.6
2017-04-27,250.5
2017-04-28,243.45
2017-05-02,238.75
2017-05-03,237.85
2017-05-04,236.9
2017-05-05,240.2
2017-05-08,249.35
2017-05-09,254.85
2017-05-10,249.65
2017-05-11,248.25
2017-05-12,244.45
2017-05-15,249.75
2017-05-16,249.75
2017-05-17,249.3
2017-05-18,244.65
2017-05-19,241.9
2017-05-22,247.85
2017-05-23,241.8
2017-05-24,236.2
2017-05-25,240.4
2017-05-26,248.05
2017-05-29,248.65
2017-05-30,238.25
2017-05-31,237.4
2017-06-01,237.25
2017-06-02,235.8
2017-06-05,237.9
2017-06-06,235.55
2017-06-07,233.6
2017-06-08,232.95
2017-06-09,229.8
2017-06-12,227.35
2017-06-13,230.2
2017-06-14,228.2
2017-06-15,227.05
2017-06-16,216.15
2017-06-19,217.9
2017-06-20,220.6
2017-06-21,217.9
2017-06-22,215.75
2017-06-23,212.3
2017-06-27,208.05
2017-06-28,217.5
2017-06-29,218.25
2017-06-30,216.1
2017-07-03,218.3
2017-07-04,217.0
2017-07-05,225.35
2017-07-06,232.0
2017-07-07,232.95
2017-07-10,232.2
2017-07-11,234.1
2017-07-12,233.7
2017-07-13,238.8
2017-07-14,236.7
2017-07-17,236.35
2017-07-18,235.4
2017-07-19,244.45
2017-07-20,249.3
2017-07-21,253.3
2017-07-24,253.35
2017-07-25,256.25
2017-07-26,253.45
2017-07-27,248.05
2017-07-28,247.3
2017-07-31,247.1
2017-08-01,249.2
2017-08-02,253.9
2017-08-03,252.85
2017-08-04,253.5
2017-08-07,250.8
2017-08-08,248.25
2017-08-09,240.9
2017-08-10,224.35
2017-08-11,236.1
2017-08-14,237.65
2017-08-16,238.25
2017-08-17,235.85
2017-08-18,235.75
2017-08-21,237.2
2017-08-22,237.5
2017-08-23,238.2
2017-08-24,241.15
2017-08-28,245.55
2017-08-29,243.05
2017-08-30,246.25
2017-08-31,254.6
2017-09-01,253.1
2017-09-04,248.45
2017-09-05,249.4
2017-09-06,246.6
2017-09-07,246.15
2017-09-08,246.25
2017-09-11,247.15
2017-09-12,250.4
2017-09-13,247.9
2017-09-14,249.7
2017-09-15,246.8
2017-09-18,248.3
2017-09-19,247.3
2017-09-20,243.8
2017-09-21,243.75
2017-09-22,238.85
2017-09-25,230.5
2017-09-26,237.65
2017-09-27,235.65
2017-09-28,232.85
2017-09-29,245.9
2017-10-03,247.15
2017-10-04,256.4
2017-10-05,261.5
2017-10-06,261.9
2017-10-09,256.75
2017-10-10,253.6
2017-10-11,255.7
2017-10-12,268.55
2017-10-13,262.8
2017-10-16,271.8
2017-10-17,268.45
2017-10-18,269.0
2017-10-19,272.85
2017-10-23,275.35
2017-10-24,275.1
2017-10-25,269.1
2017-10-26,269.75
2017-10-27,264.3
2017-10-30,270.25
2017-10-31,270.85
2017-11-01,269.15
2017-11-02,271.4
2017-11-03,276.9
2017-11-06,267.8
2017-11-07,256.9
2017-11-08,258.45
2017-11-09,254.65
2017-11-10,250.1
2017-11-13,243.55
2017-11-14,241.4
2017-11-15,232.9
2017-11-16,236.9
2017-11-17,233.9
2017-11-20,233.65
2017-11-21,236.3
2017-11-22,240.55
2017-11-23,241.0
2017-11-24,240.7
2017-11-27,237.25
2017-11-28,236.8
2017-11-29,237.45
2017-11-30,240.65
2017-12-01,241.8
2017-12-04,242.1
2017-12-05,244.35
2017-12-06,244.85
2017-12-07,247.6
2017-12-08,243.7
2017-12-11,267.85
2017-12-12,259.9
2017-12-13,271.55
2017-12-14,272.1
2017-12-15,294.2
2017-12-18,296.6
2017-12-19,300.0
2017-12-20,293.15
2017-12-21,297.4
2017-12-22,294.15
2017-12-26,295.7
2017-12-27,292.75
2017-12-28,290.15
2017-12-29,298.15
