Date,VINYLINDIA
2017-01-02,61.05
2017-01-03,63.1
2017-01-04,63.15
2017-01-05,63.85
2017-01-06,63.6
2017-01-09,63.7
2017-01-10,63.7
2017-01-11,64.8
2017-01-12,67.85
2017-01-13,66.65
2017-01-16,66.45
2017-01-17,66.85
2017-01-18,67.65
2017-01-19,67.7
2017-01-20,67.1
2017-01-23,66.05
2017-01-24,65.65
2017-01-25,70.85
2017-01-27,70.8
2017-01-30,71.3
2017-01-31,65.9
2017-02-01,64.1
2017-02-02,65.9
2017-02-03,65.6
2017-02-06,65.65
2017-02-07,65.45
2017-02-08,65.35
2017-02-09,64.9
2017-02-10,63.5
2017-02-13,63.25
2017-02-14,62.45
2017-02-15,62.6
2017-02-16,62.95
2017-02-17,64.75
2017-02-20,64.5
2017-02-21,64.8
2017-02-22,63.75
2017-02-23,63.5
2017-02-27,62.85
2017-02-28,63.65
2017-03-01,62.6
2017-03-02,63.65
2017-03-03,63.05
2017-03-06,63.05
2017-03-07,62.7
2017-03-08,62.25
2017-03-09,61.95
2017-03-10,62.0
2017-03-14,61.8
2017-03-15,61.85
2017-03-16,62.05
2017-03-17,66.0
2017-03-20,70.05
2017-03-21,68.1
2017-03-22,67.0
2017-03-23,66.5
2017-03-24,65.55
2017-03-27,65.0
2017-03-28,64.6
2017-03-29,67.75
2017-03-30,69.85
2017-03-31,70.6
2017-04-03,69.05
2017-04-05,69.8
2017-04-06,68.4
2017-04-07,68.2
2017-04-10,68.55
2017-04-11,68.3
2017-04-12,67.9
2017-04-13,69.2
2017-04-17,69.4
2017-04-18,69.65
2017-04-19,71.7
2017-04-20,71.3
2017-04-21,70.15
2017-04-24,69.3
2017-04-25,69.15
2017-04-26,68.55
2017-04-27,68.4
2017-04-28,68.0
2017-05-02,68.65
2017-05-03,67.95
2017-05-04,72.6
2017-05-05,74.05
2017-05-08,74.7
2017-05-09,74.4
2017-05-10,76.25
2017-05-11,75.6
2017-05-12,74.1
2017-05-15,73.75
2017-05-16,72.7
2017-05-17,74.95
2017-05-18,72.1
2017-05-19,71.45
2017-05-22,69.75
2017-05-23,68.6
2017-05-24,67.3
2017-05-25,68.8
2017-05-26,68.55
2017-05-29,67.45
2017-05-30,66.45
2017-05-31,71.05
2017-06-01,71.6
2017-06-02,70.15
2017-06-05,70.35
2017-06-06,69.85
2017-06-07,69.4
2017-06-08,69.25
2017-06-09,70.75
2017-06-12,72.4
2017-06-13,72.85
2017-06-14,73.9
2017-06-15,75.65
2017-06-16,77.7
2017-06-19,75.15
2017-06-20,74.2
2017-06-21,73.75
2017-06-22,73.25
2017-06-23,72.8
2017-06-27,69.95
2017-06-28,70.85
2017-06-29,70.75
2017-06-30,71.25
2017-07-03,71.8
2017-07-04,71.85
2017-07-05,73.8
2017-07-06,78.0
2017-07-07,88.75
2017-07-10,87.85
2017-07-11,86.7
2017-07-12,86.7
2017-07-13,84.75
2017-07-14,81.85
2017-07-17,83.75
2017-07-18,87.1
2017-07-19,85.2
2017-07-20,85.4
2017-07-21,87.75
2017-07-24,81.0
2017-07-25,81.0
2017-07-26,80.5
2017-07-27,77.2
2017-07-28,77.55
2017-07-31,77.0
2017-08-01,76.55
2017-08-02,75.8
2017-08-03,75.35
2017-08-04,76.1
2017-08-07,77.2
2017-08-08,75.95
2017-08-09,74.6
2017-08-10,72.2
2017-08-11,71.9
2017-08-14,73.5
2017-08-16,72.0
2017-08-17,71.05
2017-08-18,70.65
2017-08-21,70.2
2017-08-22,69.5
2017-08-23,68.95
2017-08-24,71.0
2017-08-28,71.2
2017-08-29,70.5
2017-08-30,71.15
2017-08-31,72.35
2017-09-01,73.0
2017-09-04,71.4
2017-09-05,72.1
2017-09-06,72.7
2017-09-07,73.0
2017-09-08,74.3
2017-09-11,76.65
2017-09-12,79.85
2017-09-13,82.0
2017-09-14,80.75
2017-09-15,80.0
2017-09-18,79.45
2017-09-19,78.05
2017-09-20,82.5
2017-09-21,82.4
2017-09-22,79.15
2017-09-25,76.35
2017-09-26,76.4
2017-09-27,75.5
2017-09-28,73.35
2017-09-29,75.0
2017-10-03,74.45
2017-10-04,74.8
2017-10-05,79.65
2017-10-06,79.05
2017-10-09,83.95
2017-10-10,83.55
2017-10-11,80.9
2017-10-12,80.7
2017-10-13,80.05
2017-10-16,78.55
2017-10-17,77.85
2017-10-18,82.65
2017-10-19,81.9
2017-10-23,81.35
2017-10-24,82.0
2017-10-25,81.85
2017-10-26,82.1
2017-10-27,81.4
2017-10-30,80.65
2017-10-31,82.4
2017-11-01,81.9
2017-11-02,80.9
2017-11-03,81.15
2017-11-06,81.0
2017-11-07,81.55
2017-11-08,80.8
2017-11-09,81.85
2017-11-10,79.75
2017-11-13,78.9
2017-11-14,78.55
2017-11-15,77.75
2017-11-16,78.0
2017-11-17,79.2
2017-11-20,79.75
2017-11-21,80.4
2017-11-22,82.95
2017-11-23,82.05
2017-11-24,81.95
2017-11-27,81.6
2017-11-28,81.85
2017-11-29,82.2
2017-11-30,81.15
2017-12-01,80.5
2017-12-04,78.65
2017-12-05,78.5
2017-12-06,77.3
2017-12-07,77.85
2017-12-08,84.05
2017-12-11,88.1
2017-12-12,87.55
2017-12-13,85.05
2017-12-14,83.85
2017-12-15,85.35
2017-12-18,84.8
2017-12-19,85.65
2017-12-20,86.7
2017-12-21,103.8
2017-12-22,105.35
2017-12-26,117.8
2017-12-27,111.2
2017-12-28,112.45
2017-12-29,109.75
