Date,PKTEA
2017-01-02,153.8
2017-01-03,157.0
2017-01-04,159.0
2017-01-05,158.85
2017-01-06,157.9
2017-01-09,155.8
2017-01-10,153.2
2017-01-11,155.05
2017-01-12,158.0
2017-01-13,154.8
2017-01-16,152.0
2017-01-17,157.0
2017-01-18,156.6
2017-01-19,160.0
2017-01-20,152.6
2017-01-23,152.6
2017-01-24,150.4
2017-01-25,151.8
2017-01-27,151.15
2017-01-30,157.95
2017-02-01,150.0
2017-02-02,152.4
2017-02-03,155.0
2017-02-06,159.65
2017-02-07,163.9
2017-02-08,164.0
2017-02-09,169.05
2017-02-10,186.55
2017-02-13,192.65
2017-02-14,197.85
2017-02-15,180.25
2017-02-16,180.0
2017-02-17,179.0
2017-02-20,175.15
2017-02-21,171.95
2017-02-22,163.35
2017-02-23,158.25
2017-02-27,159.15
2017-02-28,157.0
2017-03-01,157.1
2017-03-02,157.0
2017-03-03,162.1
2017-03-06,166.3
2017-03-07,164.75
2017-03-08,164.65
2017-03-09,161.25
2017-03-10,161.1
2017-03-14,159.05
2017-03-16,159.15
2017-03-17,161.85
2017-03-20,159.0
2017-03-21,161.1
2017-03-22,156.45
2017-03-23,158.6
2017-03-24,157.6
2017-03-27,159.0
2017-03-28,154.4
2017-03-29,155.35
2017-03-30,157.95
2017-03-31,160.0
2017-04-03,156.0
2017-04-05,158.0
2017-04-06,159.0
2017-04-07,157.2
2017-04-10,160.0
2017-04-11,156.1
2017-04-12,157.5
2017-04-13,159.9
2017-04-17,160.0
2017-04-18,154.7
2017-04-19,149.9
2017-04-20,155.4
2017-04-21,158.65
2017-04-24,151.4
2017-04-25,156.7
2017-04-26,158.0
2017-04-27,151.55
2017-04-28,154.55
2017-05-02,155.05
2017-05-03,158.0
2017-05-04,165.75
2017-05-05,158.0
2017-05-08,154.15
2017-05-09,158.1
2017-05-10,158.2
2017-05-11,154.9
2017-05-12,155.0
2017-05-15,152.5
2017-05-16,151.6
2017-05-17,152.5
2017-05-18,150.1
2017-05-19,153.35
2017-05-22,154.8
2017-05-23,153.9
2017-05-24,152.0
2017-05-25,152.95
2017-05-26,151.1
2017-05-29,155.8
2017-05-30,150.2
2017-05-31,154.35
2017-06-01,152.5
2017-06-02,155.0
2017-06-05,155.0
2017-06-06,154.95
2017-06-08,145.8
2017-06-09,151.95
2017-06-13,144.2
2017-06-14,145.0
2017-06-15,148.7
2017-06-16,148.15
2017-06-19,148.0
2017-06-20,145.8
2017-06-21,145.15
2017-06-22,150.8
2017-06-23,145.7
2017-06-27,144.0
2017-06-28,150.0
2017-06-29,146.35
2017-06-30,146.3
2017-07-03,144.55
2017-07-04,152.0
2017-07-05,148.3
2017-07-06,152.0
2017-07-07,149.0
2017-07-10,152.5
2017-07-11,147.75
2017-07-12,145.95
2017-07-13,147.25
2017-07-14,149.95
2017-07-17,147.25
2017-07-18,153.75
2017-07-19,149.35
2017-07-20,146.55
2017-07-21,146.8
2017-07-24,151.65
2017-07-25,148.9
2017-07-26,151.9
2017-07-27,148.4
2017-07-28,147.75
2017-07-31,150.4
2017-08-01,152.55
2017-08-02,147.4
2017-08-03,145.0
2017-08-04,146.5
2017-08-07,145.95
2017-08-08,145.0
2017-08-09,147.55
2017-08-10,146.4
2017-08-11,145.0
2017-08-14,144.05
2017-08-16,145.75
2017-08-17,146.5
2017-08-18,143.15
2017-08-21,144.15
2017-08-22,141.4
2017-08-23,142.15
2017-08-24,140.15
2017-08-28,141.45
2017-08-29,142.2
2017-08-30,142.55
2017-08-31,144.0
2017-09-01,143.95
2017-09-04,144.0
2017-09-05,145.0
2017-09-06,146.25
2017-09-07,146.0
2017-09-08,147.7
2017-09-11,149.0
2017-09-12,152.0
2017-09-13,152.1
2017-09-14,154.1
2017-09-15,157.35
2017-09-18,163.45
2017-09-19,161.45
2017-09-20,160.35
2017-09-21,160.0
2017-09-22,155.0
2017-09-25,155.9
2017-09-26,155.55
2017-09-27,148.4
2017-09-28,155.0
2017-09-29,146.0
2017-10-03,150.25
2017-10-04,153.35
2017-10-05,154.35
2017-10-06,148.55
2017-10-09,164.15
2017-10-10,168.55
2017-10-11,160.3
2017-10-12,158.0
2017-10-13,155.65
2017-10-16,159.4
2017-10-17,155.55
2017-10-18,155.0
2017-10-19,158.9
2017-10-23,153.35
2017-10-24,158.1
2017-10-25,151.55
2017-10-26,160.85
2017-10-27,164.35
2017-10-30,165.8
2017-10-31,167.95
2017-11-01,169.95
2017-11-02,168.0
2017-11-03,170.0
2017-11-06,171.75
2017-11-07,166.65
2017-11-08,164.95
2017-11-09,169.05
2017-11-10,170.5
2017-11-13,159.15
2017-11-14,162.05
2017-11-15,159.7
2017-11-16,191.6
2017-11-17,229.9
2017-11-20,275.85
2017-11-21,303.4
2017-11-22,314.05
2017-11-23,302.45
2017-11-24,275.85
2017-11-27,303.4
2017-11-28,333.7
2017-11-29,300.35
2017-11-30,296.1
2017-12-01,295.1
2017-12-04,286.95
2017-12-05,288.4
2017-12-06,282.8
2017-12-07,296.65
2017-12-08,304.15
2017-12-11,301.95
2017-12-12,289.45
2017-12-13,304.5
2017-12-14,285.65
2017-12-15,285.9
2017-12-18,305.65
2017-12-19,297.35
2017-12-20,297.2
2017-12-21,297.1
2017-12-22,305.05
2017-12-26,304.25
2017-12-27,365.1
2017-12-28,407.35
2017-12-29,398.1
