Date,SUNPHARMA
2017-01-02,634.05
2017-01-03,636.1
2017-01-04,637.35
2017-01-05,643.45
2017-01-06,640.75
2017-01-09,632.05
2017-01-10,638.55
2017-01-11,648.2
2017-01-12,644.75
2017-01-13,653.0
2017-01-16,643.5
2017-01-17,649.7
2017-01-18,649.95
2017-01-19,643.45
2017-01-20,641.55
2017-01-23,633.65
2017-01-24,641.4
2017-01-25,635.85
2017-01-27,640.5
2017-01-30,644.75
2017-01-31,631.5
2017-02-01,625.55
2017-02-02,641.4
2017-02-03,647.25
2017-02-06,675.15
2017-02-07,669.6
2017-02-08,662.2
2017-02-09,655.5
2017-02-10,655.05
2017-02-13,654.7
2017-02-14,649.3
2017-02-15,623.05
2017-02-16,649.3
2017-02-17,675.5
2017-02-20,679.65
2017-02-21,673.2
2017-02-22,670.35
2017-02-23,674.55
2017-02-27,674.45
2017-02-28,679.0
2017-03-01,694.65
2017-03-02,676.15
2017-03-03,686.45
2017-03-06,683.0
2017-03-07,679.65
2017-03-08,680.4
2017-03-09,685.15
2017-03-10,682.95
2017-03-14,708.2
2017-03-15,705.85
2017-03-16,710.8
2017-03-17,707.5
2017-03-20,706.55
2017-03-21,698.05
2017-03-22,701.45
2017-03-23,703.15
2017-03-24,703.9
2017-03-27,691.2
2017-03-28,698.6
2017-03-29,687.65
2017-03-30,687.05
2017-03-31,688.15
2017-04-03,692.4
2017-04-05,690.7
2017-04-06,686.9
2017-04-07,665.95
2017-04-10,667.75
2017-04-11,670.4
2017-04-12,683.25
2017-04-13,692.75
2017-04-17,677.05
2017-04-18,665.15
2017-04-19,663.35
2017-04-20,655.95
2017-04-21,639.6
2017-04-24,642.85
2017-04-25,642.55
2017-04-26,642.8
2017-04-27,637.0
2017-04-28,641.95
2017-05-02,632.8
2017-05-03,628.85
2017-05-04,631.5
2017-05-05,630.2
2017-05-08,637.15
2017-05-09,640.3
2017-05-10,642.8
2017-05-11,648.45
2017-05-12,655.1
2017-05-15,654.45
2017-05-16,652.35
2017-05-17,650.9
2017-05-18,653.95
2017-05-19,653.15
2017-05-22,640.15
2017-05-23,614.1
2017-05-24,603.5
2017-05-25,591.55
2017-05-26,567.65
2017-05-29,502.6
2017-05-30,508.0
2017-05-31,501.6
2017-06-01,507.45
2017-06-02,514.85
2017-06-05,512.8
2017-06-06,504.3
2017-06-07,511.55
2017-06-08,528.85
2017-06-09,524.7
2017-06-12,532.55
2017-06-13,537.2
2017-06-14,539.55
2017-06-15,544.0
2017-06-16,529.15
2017-06-19,524.85
2017-06-20,523.8
2017-06-21,528.0
2017-06-22,538.7
2017-06-23,543.8
2017-06-27,544.05
2017-06-28,545.45
2017-06-29,536.9
2017-06-30,555.7
2017-07-03,552.0
2017-07-04,552.45
2017-07-05,550.65
2017-07-06,545.6
2017-07-07,549.0
2017-07-10,563.7
2017-07-11,563.8
2017-07-12,562.4
2017-07-13,569.3
2017-07-14,572.55
2017-07-17,571.45
2017-07-18,578.25
2017-07-19,589.15
2017-07-20,582.05
2017-07-21,575.95
2017-07-24,570.8
2017-07-25,565.9
2017-07-26,579.5
2017-07-27,572.1
2017-07-28,550.8
2017-07-31,531.65
2017-08-01,533.8
2017-08-02,523.55
2017-08-03,515.85
2017-08-04,506.4
2017-08-07,505.55
2017-08-08,500.35
2017-08-09,474.35
2017-08-10,460.8
2017-08-11,450.0
2017-08-14,471.8
2017-08-16,485.7
2017-08-17,488.25
2017-08-18,470.15
2017-08-21,460.55
2017-08-22,470.45
2017-08-23,469.2
2017-08-24,483.0
2017-08-28,493.2
2017-08-29,481.8
2017-08-30,484.25
2017-08-31,481.15
2017-09-01,486.2
2017-09-04,500.7
2017-09-05,491.85
2017-09-06,474.25
2017-09-07,480.45
2017-09-08,471.35
2017-09-11,467.45
2017-09-12,483.4
2017-09-13,503.35
2017-09-14,524.65
2017-09-15,524.3
2017-09-18,521.05
2017-09-19,515.8
2017-09-20,505.5
2017-09-21,519.65
2017-09-22,513.85
2017-09-25,505.95
2017-09-26,507.6
2017-09-27,494.7
2017-09-28,499.2
2017-09-29,503.25
2017-10-03,502.65
2017-10-04,517.9
2017-10-05,513.8
2017-10-06,530.2
2017-10-09,531.4
2017-10-10,527.2
2017-10-11,526.05
2017-10-12,539.55
2017-10-13,534.7
2017-10-16,547.95
2017-10-17,547.2
2017-10-18,540.2
2017-10-19,535.75
2017-10-23,540.4
2017-10-24,534.55
2017-10-25,523.25
2017-10-26,530.15
2017-10-27,549.9
2017-10-30,553.1
2017-10-31,552.9
2017-11-01,548.7
2017-11-02,563.45
2017-11-03,551.25
2017-11-06,541.2
2017-11-07,527.6
2017-11-08,537.8
2017-11-09,533.9
2017-11-10,527.85
2017-11-13,532.55
2017-11-14,526.05
2017-11-15,504.65
2017-11-16,508.55
2017-11-17,517.1
2017-11-20,517.15
2017-11-21,538.05
2017-11-22,535.25
2017-11-23,544.75
2017-11-24,549.5
2017-11-27,551.55
2017-11-28,543.15
2017-11-29,547.1
2017-11-30,539.95
2017-12-01,525.95
2017-12-04,520.75
2017-12-05,523.15
2017-12-06,511.35
2017-12-07,510.35
2017-12-08,521.85
2017-12-11,529.6
2017-12-12,520.85
2017-12-13,516.85
2017-12-14,514.4
2017-12-15,518.35
2017-12-18,529.8
2017-12-19,527.5
2017-12-20,527.25
2017-12-21,528.2
2017-12-22,530.95
2017-12-26,541.3
2017-12-27,576.3
2017-12-28,568.4
2017-12-29,571.15
