Date,TCIFINANCE
2017-01-02,22.55
2017-01-03,22.95
2017-01-04,24.05
2017-01-05,23.9
2017-01-06,23.6
2017-01-09,23.15
2017-01-10,23.05
2017-01-11,23.25
2017-01-12,23.05
2017-01-13,23.25
2017-01-16,23.25
2017-01-17,23.15
2017-01-18,22.9
2017-01-19,25.95
2017-01-20,25.15
2017-01-23,25.05
2017-01-24,25.1
2017-01-25,25.9
2017-01-27,26.55
2017-01-30,25.95
2017-01-31,25.95
2017-02-01,25.7
2017-02-02,25.8
2017-02-03,25.65
2017-02-06,25.55
2017-02-07,25.25
2017-02-08,25.45
2017-02-09,26.0
2017-02-10,26.25
2017-02-13,27.7
2017-02-14,26.8
2017-02-15,25.85
2017-02-16,26.3
2017-02-17,26.1
2017-02-20,26.4
2017-02-21,26.2
2017-02-22,25.7
2017-02-23,25.5
2017-02-27,24.9
2017-02-28,24.75
2017-03-01,24.85
2017-03-02,24.15
2017-03-03,24.0
2017-03-06,24.4
2017-03-07,23.95
2017-03-08,23.6
2017-03-09,24.05
2017-03-10,23.9
2017-03-14,24.55
2017-03-15,26.7
2017-03-16,26.65
2017-03-17,26.05
2017-03-20,25.9
2017-03-21,27.15
2017-03-22,27.2
2017-03-23,26.7
2017-03-24,25.85
2017-03-27,25.65
2017-03-28,25.3
2017-03-29,25.25
2017-03-30,25.1
2017-03-31,24.85
2017-04-03,25.6
2017-04-05,26.15
2017-04-06,25.8
2017-04-07,25.6
2017-04-10,26.05
2017-04-11,26.8
2017-04-12,27.05
2017-04-13,26.75
2017-04-17,29.35
2017-04-18,28.5
2017-04-19,27.45
2017-04-20,27.55
2017-04-21,27.0
2017-04-24,27.8
2017-04-25,27.05
2017-04-26,27.6
2017-04-27,27.95
2017-04-28,27.5
2017-05-02,27.9
2017-05-03,26.05
2017-05-04,26.9
2017-05-05,26.25
2017-05-08,28.1
2017-05-09,27.7
2017-05-10,29.65
2017-05-11,29.2
2017-05-12,28.15
2017-05-15,28.15
2017-05-16,27.95
2017-05-17,27.65
2017-05-18,27.5
2017-05-19,26.55
2017-05-22,26.4
2017-05-23,25.95
2017-05-24,24.35
2017-05-25,24.9
2017-05-26,25.15
2017-05-29,25.05
2017-05-30,25.9
2017-05-31,25.5
2017-06-01,25.35
2017-06-02,25.05
2017-06-05,25.05
2017-06-06,24.5
2017-06-07,24.55
2017-06-08,24.8
2017-06-09,24.55
2017-06-12,23.9
2017-06-13,24.1
2017-06-14,24.0
2017-06-15,23.7
2017-06-16,23.9
2017-06-19,23.4
2017-06-20,23.4
2017-06-21,23.25
2017-06-22,23.3
2017-06-23,22.6
2017-06-27,22.35
2017-06-28,22.55
2017-06-29,22.55
2017-06-30,22.7
2017-07-03,22.8
2017-07-04,22.85
2017-07-05,23.0
2017-07-06,23.15
2017-07-07,23.35
2017-07-10,23.75
2017-07-11,23.55
2017-07-12,23.75
2017-07-13,23.5
2017-07-14,24.8
2017-07-17,24.4
2017-07-18,24.1
2017-07-19,24.55
2017-07-20,24.4
2017-07-21,24.2
2017-07-24,23.85
2017-07-25,23.4
2017-07-26,23.6
2017-07-27,23.2
2017-07-28,23.55
2017-07-31,23.2
2017-08-01,23.25
2017-08-02,22.9
2017-08-03,22.9
2017-08-04,22.8
2017-08-07,22.8
2017-08-08,22.45
2017-08-09,22.35
2017-08-10,21.4
2017-08-11,21.0
2017-08-14,21.7
2017-08-16,21.4
2017-08-17,21.5
2017-08-18,21.5
2017-08-21,20.85
2017-08-22,20.95
2017-08-23,20.65
2017-08-24,21.15
2017-08-28,21.05
2017-08-29,20.85
2017-08-30,21.3
2017-08-31,21.4
2017-09-01,21.5
2017-09-04,23.05
2017-09-05,23.75
2017-09-06,24.1
2017-09-07,24.9
2017-09-08,24.4
2017-09-11,24.15
2017-09-12,23.4
2017-09-13,22.85
2017-09-14,22.75
2017-09-15,22.3
2017-09-18,22.4
2017-09-19,22.15
2017-09-20,22.6
2017-09-21,22.15
2017-09-22,21.7
2017-09-25,21.5
2017-09-26,21.2
2017-09-27,21.15
2017-09-28,20.8
2017-09-29,20.85
2017-10-03,21.0
2017-10-04,21.55
2017-10-05,21.5
2017-10-06,21.8
2017-10-09,21.8
2017-10-10,22.0
2017-10-11,21.85
2017-10-12,21.95
2017-10-13,21.9
2017-10-16,22.3
2017-10-17,22.65
2017-10-18,22.7
2017-10-19,22.95
2017-10-23,22.65
2017-10-24,22.4
2017-10-25,21.95
2017-10-26,22.85
2017-10-27,22.45
2017-10-30,22.5
2017-10-31,22.6
2017-11-01,22.85
2017-11-02,22.95
2017-11-03,25.65
2017-11-06,24.75
2017-11-07,23.9
2017-11-08,23.1
2017-11-09,23.95
2017-11-10,23.15
2017-11-13,23.85
2017-11-14,22.9
2017-11-15,22.65
2017-11-16,22.6
2017-11-17,23.75
2017-11-20,23.85
2017-11-21,23.7
2017-11-22,23.95
2017-11-23,24.05
2017-11-24,24.45
2017-11-27,25.9
2017-11-28,25.8
2017-11-29,25.0
2017-11-30,25.1
2017-12-01,26.5
2017-12-04,26.2
2017-12-05,25.6
2017-12-06,25.1
2017-12-07,25.3
2017-12-08,26.55
2017-12-11,26.95
2017-12-12,26.05
2017-12-13,25.15
2017-12-14,24.95
2017-12-15,25.15
2017-12-18,24.9
2017-12-19,25.25
2017-12-20,25.4
2017-12-21,26.95
2017-12-22,27.25
2017-12-26,26.7
2017-12-27,26.3
2017-12-28,26.0
2017-12-29,26.25
