Date,SHREYANIND
2017-01-02,99.45
2017-01-03,105.75
2017-01-04,106.05
2017-01-05,107.7
2017-01-06,104.15
2017-01-09,104.9
2017-01-10,104.85
2017-01-11,113.65
2017-01-12,118.7
2017-01-13,112.45
2017-01-16,113.2
2017-01-17,114.1
2017-01-18,115.15
2017-01-19,121.4
2017-01-20,115.6
2017-01-23,116.4
2017-01-24,114.3
2017-01-25,111.15
2017-01-27,113.55
2017-01-30,111.15
2017-01-31,106.25
2017-02-01,110.2
2017-02-02,113.45
2017-02-03,113.7
2017-02-06,118.95
2017-02-07,125.45
2017-02-08,124.9
2017-02-09,126.5
2017-02-10,132.95
2017-02-13,134.1
2017-02-14,125.65
2017-02-15,121.9
2017-02-16,130.95
2017-02-17,129.85
2017-02-20,129.95
2017-02-21,130.4
2017-02-22,128.15
2017-02-23,125.65
2017-02-27,128.65
2017-02-28,130.6
2017-03-01,128.5
2017-03-02,127.25
2017-03-03,126.7
2017-03-06,128.65
2017-03-07,128.95
2017-03-08,128.1
2017-03-09,127.3
2017-03-10,126.6
2017-03-14,127.25
2017-03-15,128.2
2017-03-16,129.55
2017-03-17,130.45
2017-03-20,130.2
2017-03-21,127.25
2017-03-22,126.3
2017-03-23,125.7
2017-03-24,137.65
2017-03-27,138.65
2017-03-28,140.15
2017-03-29,135.4
2017-03-30,137.2
2017-03-31,134.25
2017-04-03,138.35
2017-04-05,143.1
2017-04-06,143.2
2017-04-07,152.6
2017-04-10,160.95
2017-04-11,170.6
2017-04-12,170.2
2017-04-13,166.55
2017-04-17,169.45
2017-04-18,166.5
2017-04-19,164.7
2017-04-20,175.05
2017-04-21,184.25
2017-04-24,188.75
2017-04-25,187.9
2017-04-26,185.35
2017-04-27,181.85
2017-04-28,183.2
2017-05-02,184.8
2017-05-03,187.85
2017-05-04,190.05
2017-05-05,192.05
2017-05-08,195.2
2017-05-09,197.65
2017-05-10,202.7
2017-05-11,192.5
2017-05-12,187.85
2017-05-15,195.5
2017-05-16,190.8
2017-05-17,184.15
2017-05-18,177.9
2017-05-19,174.95
2017-05-22,174.65
2017-05-23,169.0
2017-05-24,156.65
2017-05-25,163.6
2017-05-26,169.75
2017-05-29,165.75
2017-05-30,164.65
2017-05-31,170.25
2017-06-01,166.8
2017-06-02,167.2
2017-06-05,165.85
2017-06-06,165.85
2017-06-07,165.65
2017-06-08,166.3
2017-06-09,166.05
2017-06-12,167.15
2017-06-13,166.7
2017-06-14,162.6
2017-06-15,161.0
2017-06-16,159.95
2017-06-19,159.0
2017-06-20,157.1
2017-06-21,158.4
2017-06-22,158.55
2017-06-23,157.6
2017-06-27,152.35
2017-06-28,153.1
2017-06-29,153.3
2017-06-30,154.85
2017-07-03,159.5
2017-07-04,163.85
2017-07-05,162.25
2017-07-06,162.45
2017-07-07,163.1
2017-07-10,163.0
2017-07-11,178.35
2017-07-12,176.25
2017-07-13,171.8
2017-07-14,174.6
2017-07-17,172.85
2017-07-18,168.9
2017-07-19,170.7
2017-07-20,175.3
2017-07-21,177.0
2017-07-24,175.45
2017-07-25,173.35
2017-07-26,175.45
2017-07-27,172.5
2017-07-28,171.05
2017-07-31,171.55
2017-08-01,168.65
2017-08-02,161.6
2017-08-03,167.2
2017-08-04,164.4
2017-08-07,162.2
2017-08-08,155.75
2017-08-09,152.25
2017-08-10,143.1
2017-08-11,147.25
2017-08-14,145.15
2017-08-16,153.7
2017-08-17,153.75
2017-08-18,152.7
2017-08-21,150.05
2017-08-22,149.5
2017-08-23,148.1
2017-08-24,150.55
2017-08-28,153.35
2017-08-29,149.4
2017-08-30,149.3
2017-08-31,151.5
2017-09-01,154.15
2017-09-04,159.45
2017-09-05,166.85
2017-09-06,168.3
2017-09-07,170.15
2017-09-08,170.4
2017-09-11,173.3
2017-09-12,170.5
2017-09-13,167.5
2017-09-14,173.75
2017-09-15,169.05
2017-09-18,170.45
2017-09-19,168.6
2017-09-20,166.9
2017-09-21,162.65
2017-09-22,155.05
2017-09-25,150.2
2017-09-26,151.3
2017-09-27,150.2
2017-09-28,158.15
2017-09-29,160.65
2017-10-03,169.8
2017-10-04,166.7
2017-10-05,168.45
2017-10-06,167.15
2017-10-09,166.5
2017-10-10,169.7
2017-10-11,165.4
2017-10-12,166.95
2017-10-13,165.15
2017-10-16,164.15
2017-10-17,171.65
2017-10-18,179.15
2017-10-19,180.55
2017-10-23,175.05
2017-10-24,169.7
2017-10-25,167.7
2017-10-26,165.8
2017-10-27,168.35
2017-10-30,166.2
2017-10-31,168.95
2017-11-01,164.5
2017-11-02,166.2
2017-11-03,174.0
2017-11-06,174.75
2017-11-07,167.7
2017-11-08,168.35
2017-11-09,167.15
2017-11-10,173.1
2017-11-13,167.1
2017-11-14,164.75
2017-11-15,162.6
2017-11-16,164.1
2017-11-17,167.05
2017-11-20,168.35
2017-11-21,169.65
2017-11-22,170.6
2017-11-23,169.15
2017-11-24,169.95
2017-11-27,173.7
2017-11-28,177.05
2017-11-29,175.0
2017-11-30,170.7
2017-12-01,168.8
2017-12-04,170.6
2017-12-05,168.8
2017-12-06,167.95
2017-12-07,173.2
2017-12-08,189.65
2017-12-11,210.95
2017-12-12,199.35
2017-12-13,204.5
2017-12-14,201.95
2017-12-15,204.55
2017-12-18,201.45
2017-12-19,206.25
2017-12-20,208.2
2017-12-21,209.15
2017-12-22,208.0
2017-12-26,207.35
2017-12-27,202.5
2017-12-28,198.75
2017-12-29,205.6
