Date,EXCEL
2017-01-02,36.25
2017-01-03,37.3
2017-01-04,37.55
2017-01-05,38.2
2017-01-06,40.7
2017-01-09,43.6
2017-01-10,42.5
2017-01-11,42.05
2017-01-12,40.5
2017-01-13,39.6
2017-01-16,40.55
2017-01-17,39.9
2017-01-18,40.75
2017-01-19,40.35
2017-01-20,39.3
2017-01-23,39.6
2017-01-24,39.8
2017-01-25,40.4
2017-01-27,40.85
2017-01-30,39.7
2017-01-31,38.1
2017-02-01,39.05
2017-02-02,36.4
2017-02-03,36.35
2017-02-06,35.35
2017-02-07,40.0
2017-02-08,39.95
2017-02-09,38.45
2017-02-10,39.75
2017-02-13,39.75
2017-02-14,38.4
2017-02-15,37.15
2017-02-16,38.15
2017-02-17,40.15
2017-02-20,40.45
2017-02-21,40.35
2017-02-22,39.65
2017-02-23,40.0
2017-02-27,40.0
2017-02-28,40.05
2017-03-01,41.15
2017-03-02,40.0
2017-03-03,40.1
2017-03-06,39.65
2017-03-07,40.2
2017-03-08,39.75
2017-03-09,43.05
2017-03-10,40.2
2017-03-14,39.65
2017-03-15,38.9
2017-03-16,38.3
2017-03-17,37.9
2017-03-20,38.5
2017-03-21,38.1
2017-03-22,36.95
2017-03-23,36.35
2017-03-24,36.45
2017-03-27,36.05
2017-03-28,35.45
2017-03-29,36.3
2017-03-30,37.25
2017-03-31,36.3
2017-04-03,36.6
2017-04-05,37.3
2017-04-06,36.5
2017-04-07,36.75
2017-04-10,37.05
2017-04-11,37.65
2017-04-12,43.45
2017-04-13,37.4
2017-04-17,38.6
2017-04-18,37.35
2017-04-19,37.0
2017-04-20,37.05
2017-04-21,36.0
2017-04-24,37.5
2017-04-25,35.0
2017-04-26,34.65
2017-04-27,34.75
2017-04-28,34.1
2017-05-02,33.9
2017-05-03,33.1
2017-05-04,38.65
2017-05-05,36.25
2017-05-08,36.55
2017-05-09,40.2
2017-05-10,41.55
2017-05-11,40.2
2017-05-12,41.05
2017-05-15,39.75
2017-05-16,39.8
2017-05-17,40.2
2017-05-18,38.85
2017-05-19,38.35
2017-05-22,37.9
2017-05-23,37.25
2017-05-24,37.55
2017-05-25,38.2
2017-05-26,37.6
2017-05-29,37.1
2017-05-30,36.5
2017-05-31,36.4
2017-06-01,36.75
2017-06-02,39.7
2017-06-05,39.0
2017-06-06,39.15
2017-06-07,42.15
2017-06-08,44.25
2017-06-09,43.0
2017-06-12,42.5
2017-06-13,42.6
2017-06-14,41.7
2017-06-15,42.5
2017-06-16,41.85
2017-06-19,42.65
2017-06-20,45.95
2017-06-21,46.85
2017-06-22,47.05
2017-06-23,44.8
2017-06-27,53.75
2017-06-28,51.4
2017-06-29,51.3
2017-06-30,50.95
2017-07-03,61.05
2017-07-04,60.85
2017-07-05,61.9
2017-07-06,60.7
2017-07-07,60.6
2017-07-10,62.0
2017-07-11,61.4
2017-07-12,60.15
2017-07-13,59.85
2017-07-14,59.0
2017-07-17,59.65
2017-07-18,58.05
2017-07-19,58.8
2017-07-20,57.75
2017-07-21,55.85
2017-07-24,57.15
2017-07-25,58.35
2017-07-26,57.5
2017-07-27,56.0
2017-07-28,55.25
2017-07-31,55.6
2017-08-01,54.4
2017-08-02,54.65
2017-08-03,56.25
2017-08-04,56.35
2017-08-07,63.7
2017-08-08,63.75
2017-08-09,59.65
2017-08-10,54.3
2017-08-11,49.4
2017-08-14,51.8
2017-08-16,53.85
2017-08-17,55.1
2017-08-18,53.75
2017-08-21,52.2
2017-08-22,50.15
2017-08-23,51.65
2017-08-24,51.35
2017-08-28,54.45
2017-08-29,53.65
2017-08-30,57.05
2017-08-31,60.05
2017-09-01,62.4
2017-09-04,61.35
2017-09-05,62.75
2017-09-06,63.85
2017-09-07,64.25
2017-09-08,63.0
2017-09-11,69.9
2017-09-12,71.3
2017-09-13,74.75
2017-09-14,75.0
2017-09-15,72.2
2017-09-18,72.45
2017-09-19,71.4
2017-09-20,71.4
2017-09-21,70.05
2017-09-22,69.1
2017-09-25,66.25
2017-09-26,71.85
2017-09-27,67.65
2017-09-28,69.15
2017-09-29,68.8
2017-10-03,67.85
2017-10-04,68.15
2017-10-05,68.6
2017-10-06,70.6
2017-10-09,69.7
2017-10-10,78.2
2017-10-11,77.15
2017-10-12,78.65
2017-10-13,80.45
2017-10-16,79.1
2017-10-17,77.25
2017-10-18,92.7
2017-10-19,87.4
2017-10-23,94.7
2017-10-24,92.35
2017-10-25,91.95
2017-10-26,75.55
2017-10-27,78.35
2017-10-30,82.35
2017-10-31,83.15
2017-11-01,87.65
2017-11-02,89.6
2017-11-03,81.7
2017-11-06,78.95
2017-11-07,81.65
2017-11-08,83.95
2017-11-09,90.0
2017-11-10,88.65
2017-11-13,106.35
2017-11-14,107.8
2017-11-15,104.55
2017-11-16,104.4
2017-11-17,101.95
2017-11-20,111.15
2017-11-21,117.5
2017-11-22,122.25
2017-11-23,124.05
2017-11-24,130.3
2017-11-27,125.85
2017-11-28,125.1
2017-11-29,127.95
2017-11-30,128.85
2017-12-01,125.65
2017-12-04,125.55
2017-12-05,120.25
2017-12-06,108.8
