Date,UPL
2017-01-02,658.65
2017-01-03,655.0
2017-01-04,667.55
2017-01-05,674.6
2017-01-06,659.9
2017-01-09,672.9
2017-01-10,663.5
2017-01-11,669.2
2017-01-12,685.55
2017-01-13,688.05
2017-01-16,702.7
2017-01-17,734.55
2017-01-18,730.5
2017-01-19,739.6
2017-01-20,733.75
2017-01-23,726.05
2017-01-24,729.55
2017-01-25,740.2
2017-01-27,728.45
2017-01-30,738.05
2017-01-31,724.75
2017-02-01,741.3
2017-02-02,740.1
2017-02-03,738.2
2017-02-06,726.35
2017-02-07,729.05
2017-02-08,727.7
2017-02-09,738.45
2017-02-10,726.95
2017-02-13,730.1
2017-02-14,715.85
2017-02-15,709.1
2017-02-16,699.9
2017-02-17,710.3
2017-02-20,714.75
2017-02-21,711.35
2017-02-22,708.9
2017-02-23,718.1
2017-02-27,715.55
2017-02-28,718.3
2017-03-01,717.35
2017-03-02,701.55
2017-03-03,690.6
2017-03-06,684.15
2017-03-07,702.9
2017-03-08,707.8
2017-03-09,713.45
2017-03-10,704.55
2017-03-14,702.1
2017-03-15,710.8
2017-03-16,708.7
2017-03-17,716.35
2017-03-20,716.85
2017-03-21,727.45
2017-03-22,718.25
2017-03-23,729.25
2017-03-24,722.1
2017-03-27,725.75
2017-03-28,722.15
2017-03-29,719.4
2017-03-30,714.5
2017-03-31,726.9
2017-04-03,735.45
2017-04-05,732.1
2017-04-06,729.1
2017-04-07,726.85
2017-04-10,732.15
2017-04-11,734.75
2017-04-12,736.0
2017-04-13,727.25
2017-04-17,735.75
2017-04-18,761.4
2017-04-19,772.4
2017-04-20,782.1
2017-04-21,779.5
2017-04-24,794.3
2017-04-25,807.0
2017-04-26,831.25
2017-04-27,818.5
2017-04-28,806.15
2017-05-02,804.45
2017-05-03,812.6
2017-05-04,811.4
2017-05-05,807.9
2017-05-08,803.85
2017-05-09,813.9
2017-05-10,823.5
2017-05-11,825.35
2017-05-12,824.25
2017-05-15,837.25
2017-05-16,827.05
2017-05-17,830.45
2017-05-18,817.95
2017-05-19,791.45
2017-05-22,790.5
2017-05-23,785.55
2017-05-24,787.2
2017-05-25,810.35
2017-05-26,837.6
2017-05-29,845.75
2017-05-30,850.15
2017-05-31,861.3
2017-06-01,876.95
2017-06-02,865.15
2017-06-05,874.75
2017-06-06,865.6
2017-06-07,859.3
2017-06-08,866.65
2017-06-09,856.65
2017-06-12,842.25
2017-06-13,849.0
2017-06-14,846.85
2017-06-15,853.75
2017-06-16,866.05
2017-06-19,873.75
2017-06-20,861.95
2017-06-21,866.15
2017-06-22,861.2
2017-06-23,834.05
2017-06-27,835.1
2017-06-28,832.9
2017-06-29,826.55
2017-06-30,840.4
2017-07-03,856.1
2017-07-04,847.7
2017-07-05,853.55
2017-07-06,849.75
2017-07-07,849.4
2017-07-10,850.8
2017-07-11,853.9
2017-07-12,864.4
2017-07-13,864.85
2017-07-14,863.2
2017-07-17,864.1
2017-07-18,856.5
2017-07-19,859.1
2017-07-20,855.95
2017-07-21,863.2
2017-07-24,867.9
2017-07-25,883.85
2017-07-26,873.3
2017-07-27,868.6
2017-07-28,868.5
2017-07-31,877.15
2017-08-01,894.1
2017-08-02,889.0
2017-08-03,880.75
2017-08-04,887.05
2017-08-07,877.65
2017-08-08,863.35
2017-08-09,830.5
2017-08-10,821.5
2017-08-11,811.35
2017-08-14,858.45
2017-08-16,852.1
2017-08-17,855.25
2017-08-18,844.95
2017-08-21,810.75
2017-08-22,796.55
2017-08-23,814.1
2017-08-24,833.1
2017-08-28,839.1
2017-08-29,840.15
2017-08-30,839.85
2017-08-31,828.05
2017-09-01,832.7
2017-09-04,817.0
2017-09-05,819.95
2017-09-06,823.95
2017-09-07,824.35
2017-09-08,813.95
2017-09-11,811.9
2017-09-12,814.4
2017-09-13,811.45
2017-09-14,820.95
2017-09-15,827.7
2017-09-18,834.2
2017-09-19,835.7
2017-09-20,830.25
2017-09-21,819.6
2017-09-22,806.75
2017-09-25,784.3
2017-09-26,778.7
2017-09-27,770.0
2017-09-28,766.2
2017-09-29,778.5
2017-10-03,796.0
2017-10-04,788.15
2017-10-05,784.7
2017-10-06,793.4
2017-10-09,792.85
2017-10-10,819.6
2017-10-11,813.2
2017-10-12,809.25
2017-10-13,802.4
2017-10-16,812.35
2017-10-17,805.9
2017-10-18,789.35
2017-10-19,793.7
2017-10-23,778.35
2017-10-24,799.15
2017-10-25,798.65
2017-10-26,813.0
2017-10-27,831.3
2017-10-30,824.4
2017-10-31,799.3
2017-11-01,782.05
2017-11-02,779.3
2017-11-03,775.6
2017-11-06,761.9
2017-11-07,739.8
2017-11-08,735.95
2017-11-09,744.55
2017-11-10,735.1
2017-11-13,739.65
2017-11-14,742.75
2017-11-15,721.45
2017-11-16,731.35
2017-11-17,724.2
2017-11-20,728.9
2017-11-21,754.5
2017-11-22,747.1
2017-11-23,749.2
2017-11-24,744.05
2017-11-27,755.3
2017-11-28,761.7
2017-11-29,752.3
2017-11-30,731.35
2017-12-01,729.9
2017-12-04,711.05
2017-12-05,698.75
2017-12-06,685.9
2017-12-07,722.0
2017-12-08,728.05
2017-12-11,745.55
2017-12-12,730.45
2017-12-13,726.05
2017-12-14,719.6
2017-12-15,717.8
2017-12-18,710.05
2017-12-19,738.0
2017-12-20,736.7
2017-12-21,730.95
2017-12-22,731.6
2017-12-26,735.55
2017-12-27,740.35
2017-12-28,763.3
2017-12-29,762.7
