Date,MAXINDIA
2017-01-02,139.75
2017-01-03,139.05
2017-01-04,139.35
2017-01-05,140.7
2017-01-06,140.05
2017-01-09,139.95
2017-01-10,142.65
2017-01-11,141.25
2017-01-12,142.0
2017-01-13,140.25
2017-01-16,141.0
2017-01-17,140.35
2017-01-18,139.95
2017-01-19,139.75
2017-01-20,138.8
2017-01-23,139.6
2017-01-24,140.0
2017-01-25,140.05
2017-01-27,139.95
2017-01-30,140.1
2017-01-31,140.0
2017-02-01,140.3
2017-02-02,141.35
2017-02-03,147.55
2017-02-06,147.3
2017-02-07,147.95
2017-02-08,146.85
2017-02-09,148.35
2017-02-10,149.75
2017-02-13,148.1
2017-02-14,160.1
2017-02-15,157.45
2017-02-16,156.75
2017-02-17,153.05
2017-02-20,151.25
2017-02-21,149.35
2017-02-22,149.75
2017-02-23,150.05
2017-02-27,148.75
2017-02-28,148.5
2017-03-01,148.8
2017-03-02,150.1
2017-03-03,151.1
2017-03-06,150.65
2017-03-07,150.3
2017-03-08,149.55
2017-03-09,149.7
2017-03-10,147.05
2017-03-14,149.95
2017-03-15,154.0
2017-03-16,151.95
2017-03-17,151.35
2017-03-20,151.2
2017-03-21,149.9
2017-03-22,151.6
2017-03-23,150.25
2017-03-24,150.25
2017-03-27,151.95
2017-03-28,151.65
2017-03-29,151.9
2017-03-30,151.9
2017-03-31,150.95
2017-04-03,150.15
2017-04-05,148.75
2017-04-06,149.45
2017-04-07,148.85
2017-04-10,148.75
2017-04-11,148.55
2017-04-12,148.65
2017-04-13,148.35
2017-04-17,147.55
2017-04-18,147.15
2017-04-19,148.35
2017-04-20,148.3
2017-04-21,149.3
2017-04-24,149.9
2017-04-25,147.5
2017-04-26,146.95
2017-04-27,151.0
2017-04-28,158.5
2017-05-02,155.6
2017-05-03,157.05
2017-05-04,155.75
2017-05-05,153.75
2017-05-08,154.4
2017-05-09,155.95
2017-05-10,154.85
2017-05-11,155.55
2017-05-12,156.35
2017-05-15,155.0
2017-05-16,155.7
2017-05-17,152.4
2017-05-18,152.2
2017-05-19,149.2
2017-05-22,147.6
2017-05-23,147.95
2017-05-24,146.6
2017-05-25,146.95
2017-05-26,149.65
2017-05-29,143.05
2017-05-30,146.0
2017-05-31,148.45
2017-06-01,149.0
2017-06-02,150.05
2017-06-05,150.15
2017-06-06,151.15
2017-06-07,152.3
2017-06-08,151.8
2017-06-09,154.55
2017-06-12,153.7
2017-06-13,152.45
2017-06-14,155.0
2017-06-15,154.9
2017-06-16,156.25
2017-06-19,153.75
2017-06-20,154.9
2017-06-21,155.1
2017-06-22,155.45
2017-06-23,152.0
2017-06-27,154.1
2017-06-28,153.75
2017-06-29,153.85
2017-06-30,154.05
2017-07-03,153.8
2017-07-04,152.95
2017-07-05,153.8
2017-07-06,153.4
2017-07-07,152.45
2017-07-10,152.4
2017-07-11,150.0
2017-07-12,151.4
2017-07-13,149.85
2017-07-14,148.0
2017-07-17,147.5
2017-07-18,147.85
2017-07-19,148.05
2017-07-20,150.0
2017-07-21,147.85
2017-07-24,146.55
2017-07-25,146.8
2017-07-26,145.05
2017-07-27,145.05
2017-07-28,146.9
2017-07-31,148.3
2017-08-01,151.55
2017-08-02,151.3
2017-08-03,148.6
2017-08-04,146.9
2017-08-07,147.95
2017-08-08,147.6
2017-08-09,144.95
2017-08-10,140.15
2017-08-11,140.1
2017-08-14,144.05
2017-08-16,143.0
2017-08-17,138.85
2017-08-18,136.85
2017-08-21,139.2
2017-08-22,141.9
2017-08-23,138.9
2017-08-24,141.95
2017-08-28,139.85
2017-08-29,139.7
2017-08-30,137.75
2017-08-31,139.75
2017-09-01,139.95
2017-09-04,137.45
2017-09-05,139.55
2017-09-06,140.0
2017-09-07,137.9
2017-09-08,137.55
2017-09-11,139.3
2017-09-12,139.3
2017-09-13,139.85
2017-09-14,139.95
2017-09-15,137.95
2017-09-18,137.35
2017-09-19,140.1
2017-09-20,139.0
2017-09-21,137.6
2017-09-22,137.6
2017-09-25,137.35
2017-09-26,139.1
2017-09-27,137.65
2017-09-28,138.9
2017-09-29,139.5
2017-10-03,137.6
2017-10-04,137.25
2017-10-05,137.6
2017-10-06,137.05
2017-10-09,136.05
2017-10-10,134.65
2017-10-11,136.15
2017-10-12,139.85
2017-10-13,138.2
2017-10-16,138.65
2017-10-17,137.8
2017-10-18,138.05
2017-10-19,138.45
2017-10-23,135.55
2017-10-24,136.6
2017-10-25,136.6
2017-10-26,137.0
2017-10-27,133.6
2017-10-30,136.95
2017-10-31,135.75
2017-11-01,135.15
2017-11-02,134.5
2017-11-03,135.05
2017-11-06,135.8
2017-11-07,140.2
2017-11-08,139.65
2017-11-09,138.0
2017-11-10,138.95
2017-11-13,137.35
2017-11-14,136.0
2017-11-15,136.95
2017-11-16,138.95
2017-11-17,141.85
2017-11-20,138.75
2017-11-21,137.8
2017-11-22,136.55
2017-11-23,132.6
2017-11-24,135.25
2017-11-27,135.8
2017-11-28,135.5
2017-11-29,135.4
2017-11-30,137.85
2017-12-01,138.1
2017-12-04,135.1
2017-12-05,135.05
2017-12-06,134.3
2017-12-07,135.65
2017-12-08,134.0
2017-12-11,127.75
2017-12-12,122.9
2017-12-13,124.65
2017-12-14,123.65
2017-12-15,125.3
2017-12-18,123.95
2017-12-19,123.4
2017-12-20,129.7
2017-12-21,127.85
2017-12-22,125.9
2017-12-26,126.85
2017-12-27,125.2
2017-12-28,124.4
2017-12-29,124.45
