Date,TMRVL
2017-01-02,195.15
2017-01-03,187.25
2017-01-04,188.55
2017-01-05,190.55
2017-01-06,192.95
2017-01-09,190.9
2017-01-10,191.75
2017-01-11,191.8
2017-01-12,191.75
2017-01-13,199.05
2017-01-16,201.85
2017-01-17,201.2
2017-01-18,211.25
2017-01-19,204.45
2017-01-20,193.3
2017-01-23,195.65
2017-01-24,194.9
2017-01-25,190.7
2017-01-27,189.5
2017-01-30,185.7
2017-01-31,178.4
2017-02-01,178.3
2017-02-02,186.9
2017-02-03,185.1
2017-02-06,191.5
2017-02-07,187.55
2017-02-08,189.4
2017-02-09,188.2
2017-02-10,189.85
2017-02-13,191.55
2017-02-14,190.6
2017-02-15,186.05
2017-02-16,189.85
2017-02-17,186.35
2017-02-20,189.05
2017-02-21,189.05
2017-02-22,184.4
2017-02-23,187.05
2017-02-27,185.9
2017-02-28,185.95
2017-03-01,186.65
2017-03-02,186.45
2017-03-03,185.2
2017-03-06,179.15
2017-03-07,182.5
2017-03-08,190.6
2017-03-09,192.0
2017-03-10,193.55
2017-03-14,207.2
2017-03-15,222.2
2017-03-16,238.7
2017-03-17,242.15
2017-03-20,237.95
2017-03-21,221.2
2017-03-22,220.85
2017-03-23,217.35
2017-03-24,220.85
2017-03-27,216.65
2017-03-28,211.3
2017-03-29,213.45
2017-03-30,217.4
2017-03-31,214.75
2017-04-03,225.75
2017-04-05,229.65
2017-04-06,215.15
2017-04-07,211.15
2017-04-10,216.5
2017-04-11,209.95
2017-04-12,209.35
2017-04-13,204.75
2017-04-17,206.85
2017-04-18,205.55
2017-04-19,201.5
2017-04-20,206.85
2017-04-21,205.1
2017-04-24,207.45
2017-04-25,202.1
2017-04-26,198.85
2017-04-27,197.4
2017-04-28,195.5
2017-05-02,194.8
2017-05-03,190.2
2017-05-04,193.55
2017-05-05,192.0
2017-05-08,194.05
2017-05-09,193.9
2017-05-10,190.0
2017-05-11,191.7
2017-05-12,190.3
2017-05-15,188.95
2017-05-16,194.0
2017-05-17,199.25
2017-05-18,198.3
2017-05-19,195.3
2017-05-22,190.6
2017-05-23,186.3
2017-05-24,177.45
2017-05-25,169.7
2017-05-26,172.85
2017-05-29,173.8
2017-05-30,165.5
2017-05-31,165.0
2017-06-01,161.25
2017-06-02,157.7
2017-06-05,176.4
2017-06-06,177.0
2017-06-07,171.9
2017-06-08,174.8
2017-06-09,170.95
2017-06-12,175.35
2017-06-13,175.2
2017-06-14,169.8
2017-06-15,168.35
2017-06-16,169.6
2017-06-19,166.7
2017-06-20,165.5
2017-06-21,171.15
2017-06-22,166.0
2017-06-23,161.45
2017-06-27,154.65
2017-06-28,153.85
2017-06-29,154.35
2017-06-30,153.7
2017-07-03,157.2
2017-07-04,168.25
2017-07-05,169.85
2017-07-06,167.2
2017-07-07,160.15
2017-07-10,161.9
2017-07-11,157.95
2017-07-12,162.25
2017-07-13,162.55
2017-07-14,163.95
2017-07-17,160.3
2017-07-18,159.55
2017-07-19,157.3
2017-07-20,160.05
2017-07-21,159.55
2017-07-24,161.85
2017-07-25,158.3
2017-07-26,156.75
2017-07-27,156.2
2017-07-28,154.75
2017-07-31,154.85
2017-08-01,153.55
2017-08-02,153.65
2017-08-03,150.75
2017-08-04,152.5
2017-08-07,164.0
2017-08-08,157.6
2017-08-09,154.25
2017-08-10,147.0
2017-08-11,149.5
2017-08-14,149.3
2017-08-16,152.5
2017-08-17,149.25
2017-08-18,148.45
2017-08-21,147.45
2017-08-22,143.95
2017-08-23,142.65
2017-08-24,153.7
2017-08-28,159.7
2017-08-29,154.2
2017-08-30,160.5
2017-08-31,157.75
2017-09-01,153.35
2017-09-04,153.7
2017-09-05,157.7
2017-09-06,156.4
2017-09-07,157.8
2017-09-08,153.7
2017-09-11,157.0
2017-09-12,156.9
2017-09-13,149.4
2017-09-14,155.3
2017-09-15,155.7
2017-09-18,157.4
2017-09-19,155.55
2017-09-20,151.65
2017-09-21,150.8
2017-09-22,143.9
2017-09-25,141.1
2017-09-26,140.1
2017-09-27,140.05
2017-09-28,148.45
2017-09-29,147.35
2017-10-03,150.45
2017-10-04,148.1
2017-10-05,151.05
2017-10-06,151.05
2017-10-09,151.6
2017-10-10,146.55
2017-10-11,145.4
2017-10-12,143.2
2017-10-13,141.8
2017-10-16,142.7
2017-10-17,140.0
2017-10-18,143.5
2017-10-19,146.4
2017-10-23,142.0
2017-10-24,144.0
2017-10-25,142.5
2017-10-26,142.25
2017-10-27,141.85
2017-10-30,148.85
2017-10-31,148.55
2017-11-01,143.95
2017-11-02,143.85
2017-11-03,143.15
2017-11-06,143.2
2017-11-07,141.8
2017-11-08,140.35
2017-11-09,139.25
2017-11-10,138.1
2017-11-13,138.75
2017-11-14,136.7
2017-11-15,136.4
2017-11-16,134.5
2017-11-17,131.75
2017-11-20,136.6
2017-11-21,138.95
2017-11-22,139.6
2017-11-23,141.8
2017-11-24,138.6
2017-11-27,139.15
2017-11-28,138.25
2017-11-29,138.0
2017-11-30,137.65
2017-12-01,138.6
2017-12-04,138.85
2017-12-05,140.0
2017-12-06,138.95
2017-12-07,139.25
2017-12-08,139.35
2017-12-11,141.9
2017-12-12,143.5
2017-12-13,142.0
2017-12-14,141.7
2017-12-15,137.85
2017-12-18,138.3
2017-12-19,139.85
2017-12-20,158.75
2017-12-21,159.35
2017-12-22,157.6
2017-12-26,157.4
2017-12-27,155.8
2017-12-28,154.6
2017-12-29,152.65
