Date,JINDALSAW
2017-01-02,56.2
2017-01-03,56.85
2017-01-04,57.85
2017-01-05,58.5
2017-01-06,57.9
2017-01-09,59.55
2017-01-10,60.1
2017-01-11,61.1
2017-01-12,60.85
2017-01-13,60.6
2017-01-16,61.9
2017-01-17,61.45
2017-01-18,61.95
2017-01-19,61.8
2017-01-20,60.3
2017-01-23,60.9
2017-01-24,60.45
2017-01-25,61.1
2017-01-27,60.3
2017-01-30,59.15
2017-01-31,57.85
2017-02-01,59.35
2017-02-02,60.2
2017-02-03,60.8
2017-02-06,60.2
2017-02-07,60.55
2017-02-08,62.2
2017-02-09,69.1
2017-02-10,71.35
2017-02-13,69.55
2017-02-14,68.6
2017-02-15,65.5
2017-02-16,67.8
2017-02-17,66.45
2017-02-20,69.15
2017-02-21,76.1
2017-02-22,74.0
2017-02-23,73.65
2017-02-27,77.25
2017-02-28,77.3
2017-03-01,81.45
2017-03-02,79.1
2017-03-03,81.35
2017-03-06,82.65
2017-03-07,82.0
2017-03-08,81.35
2017-03-09,80.8
2017-03-10,79.4
2017-03-14,79.95
2017-03-15,80.75
2017-03-16,84.7
2017-03-17,86.05
2017-03-20,85.6
2017-03-21,84.9
2017-03-22,82.8
2017-03-23,82.95
2017-03-24,81.55
2017-03-27,81.2
2017-03-28,81.6
2017-03-29,82.45
2017-03-30,82.1
2017-03-31,83.4
2017-04-03,84.55
2017-04-05,85.7
2017-04-06,84.45
2017-04-07,81.6
2017-04-10,79.65
2017-04-11,81.1
2017-04-12,79.9
2017-04-13,80.05
2017-04-17,81.05
2017-04-18,80.2
2017-04-19,80.4
2017-04-20,82.6
2017-04-21,82.6
2017-04-24,81.8
2017-04-25,82.85
2017-04-26,81.65
2017-04-27,80.65
2017-04-28,80.85
2017-05-02,80.3
2017-05-03,81.2
2017-05-04,80.75
2017-05-05,79.7
2017-05-08,79.3
2017-05-09,79.4
2017-05-10,80.25
2017-05-11,80.6
2017-05-12,79.75
2017-05-15,81.0
2017-05-16,80.7
2017-05-17,80.2
2017-05-18,78.9
2017-05-19,78.1
2017-05-22,75.6
2017-05-23,74.2
2017-05-24,73.25
2017-05-25,76.0
2017-05-26,78.85
2017-05-29,76.15
2017-05-30,73.75
2017-05-31,73.15
2017-06-01,73.6
2017-06-02,73.0
2017-06-05,72.6
2017-06-06,73.85
2017-06-07,73.2
2017-06-08,73.95
2017-06-09,73.9
2017-06-12,73.95
2017-06-13,74.35
2017-06-14,73.4
2017-06-15,75.5
2017-06-16,82.4
2017-06-19,84.85
2017-06-20,89.65
2017-06-21,89.7
2017-06-22,86.25
2017-06-23,82.1
2017-06-27,82.3
2017-06-28,84.25
2017-06-29,85.4
2017-06-30,84.0
2017-07-03,86.2
2017-07-04,88.1
2017-07-05,89.45
2017-07-06,87.75
2017-07-07,86.35
2017-07-10,87.9
2017-07-11,86.25
2017-07-12,87.6
2017-07-13,85.95
2017-07-14,84.5
2017-07-17,83.0
2017-07-18,85.1
2017-07-19,90.5
2017-07-20,95.1
2017-07-21,93.7
2017-07-24,96.95
2017-07-25,96.65
2017-07-26,99.3
2017-07-27,95.85
2017-07-28,99.25
2017-07-31,102.7
2017-08-01,105.5
2017-08-02,106.0
2017-08-03,94.35
2017-08-04,93.4
2017-08-07,96.2
2017-08-08,93.1
2017-08-09,92.8
2017-08-10,89.9
2017-08-11,88.55
2017-08-14,92.55
2017-08-16,93.45
2017-08-17,91.15
2017-08-18,92.35
2017-08-21,90.75
2017-08-22,90.35
2017-08-23,90.75
2017-08-24,91.6
2017-08-28,91.2
2017-08-29,91.15
2017-08-30,92.85
2017-08-31,97.05
2017-09-01,97.5
2017-09-04,108.45
2017-09-05,106.1
2017-09-06,107.35
2017-09-07,108.4
2017-09-08,110.15
2017-09-11,111.55
2017-09-12,111.25
2017-09-13,108.25
2017-09-14,105.65
2017-09-15,106.4
2017-09-18,107.6
2017-09-19,116.2
2017-09-20,117.95
2017-09-21,119.7
2017-09-22,117.05
2017-09-25,111.25
2017-09-26,113.8
2017-09-27,108.3
2017-09-28,110.95
2017-09-29,112.4
2017-10-03,112.7
2017-10-04,116.15
2017-10-05,118.65
2017-10-06,121.35
2017-10-09,119.15
2017-10-10,121.15
2017-10-11,117.35
2017-10-12,123.95
2017-10-13,123.15
2017-10-16,119.25
2017-10-17,119.0
2017-10-18,115.85
2017-10-19,115.25
2017-10-23,115.45
2017-10-24,118.75
2017-10-25,117.35
2017-10-26,118.3
2017-10-27,118.9
2017-10-30,120.95
2017-10-31,124.8
2017-11-01,122.7
2017-11-02,121.8
2017-11-03,122.4
2017-11-06,121.45
2017-11-07,116.15
2017-11-08,113.0
2017-11-09,115.65
2017-11-10,118.15
2017-11-13,114.9
2017-11-14,117.65
2017-11-15,114.25
2017-11-16,116.0
2017-11-17,119.25
2017-11-20,119.2
2017-11-21,121.25
2017-11-22,125.65
2017-11-23,127.6
2017-11-24,128.0
2017-11-27,127.35
2017-11-28,125.55
2017-11-29,126.5
2017-11-30,125.8
2017-12-01,120.0
2017-12-04,117.9
2017-12-05,115.85
2017-12-06,115.1
2017-12-07,114.7
2017-12-08,114.55
2017-12-11,114.85
2017-12-12,116.05
2017-12-13,114.2
2017-12-14,114.55
2017-12-15,114.55
2017-12-18,113.85
2017-12-19,114.15
2017-12-20,116.2
2017-12-21,124.8
2017-12-22,126.4
2017-12-26,134.25
2017-12-27,136.85
2017-12-28,137.85
2017-12-29,139.85
