Date,FINPIPE
2017-01-02,438.75
2017-01-03,445.0
2017-01-04,440.3
2017-01-05,441.1
2017-01-06,446.75
2017-01-09,442.2
2017-01-10,445.15
2017-01-11,445.8
2017-01-12,443.65
2017-01-13,444.4
2017-01-16,449.75
2017-01-17,449.8
2017-01-18,450.0
2017-01-19,454.8
2017-01-20,452.15
2017-01-23,452.55
2017-01-24,454.95
2017-01-25,455.1
2017-01-27,463.1
2017-01-30,485.6
2017-01-31,495.15
2017-02-01,492.15
2017-02-02,489.45
2017-02-03,491.45
2017-02-06,502.3
2017-02-07,493.95
2017-02-08,487.6
2017-02-09,501.8
2017-02-10,502.95
2017-02-13,501.9
2017-02-14,500.15
2017-02-15,501.95
2017-02-16,507.95
2017-02-17,515.3
2017-02-20,516.85
2017-02-21,521.45
2017-02-22,531.2
2017-02-23,528.3
2017-02-27,535.65
2017-02-28,537.7
2017-03-01,540.95
2017-03-02,544.75
2017-03-03,553.85
2017-03-06,543.45
2017-03-07,535.45
2017-03-08,530.15
2017-03-09,537.9
2017-03-10,532.8
2017-03-14,545.55
2017-03-15,541.15
2017-03-16,548.45
2017-03-17,544.95
2017-03-20,544.4
2017-03-21,544.25
2017-03-22,533.05
2017-03-23,535.15
2017-03-24,545.25
2017-03-27,545.3
2017-03-28,550.05
2017-03-29,550.3
2017-03-30,569.3
2017-03-31,578.95
2017-04-03,590.2
2017-04-05,590.1
2017-04-06,576.05
2017-04-07,570.05
2017-04-10,571.7
2017-04-11,568.1
2017-04-12,561.75
2017-04-13,559.8
2017-04-17,558.45
2017-04-18,560.6
2017-04-19,561.85
2017-04-20,558.55
2017-04-21,559.2
2017-04-24,561.8
2017-04-25,579.2
2017-04-26,576.25
2017-04-27,573.7
2017-04-28,578.05
2017-05-02,565.35
2017-05-03,557.1
2017-05-04,552.05
2017-05-05,576.7
2017-05-08,565.05
2017-05-09,590.4
2017-05-10,592.9
2017-05-11,596.8
2017-05-12,589.25
2017-05-15,603.3
2017-05-16,612.7
2017-05-17,611.8
2017-05-18,604.45
2017-05-19,604.6
2017-05-22,592.9
2017-05-23,586.1
2017-05-24,585.15
2017-05-25,588.85
2017-05-26,587.6
2017-05-29,601.35
2017-05-30,598.8
2017-05-31,609.0
2017-06-01,628.1
2017-06-02,640.65
2017-06-05,660.6
2017-06-06,660.55
2017-06-07,667.85
2017-06-08,661.8
2017-06-09,638.95
2017-06-12,646.0
2017-06-13,632.6
2017-06-14,618.4
2017-06-15,608.55
2017-06-16,621.85
2017-06-19,621.6
2017-06-20,613.75
2017-06-21,608.45
2017-06-22,609.3
2017-06-23,612.7
2017-06-27,601.4
2017-06-28,601.95
2017-06-29,608.2
2017-06-30,603.8
2017-07-03,616.85
2017-07-04,607.5
2017-07-05,615.1
2017-07-06,621.35
2017-07-07,620.7
2017-07-10,616.2
2017-07-11,619.75
2017-07-12,624.95
2017-07-13,660.4
2017-07-14,645.75
2017-07-17,641.7
2017-07-18,629.15
2017-07-19,633.15
2017-07-20,628.75
2017-07-21,619.95
2017-07-24,622.35
2017-07-25,625.35
2017-07-26,617.35
2017-07-27,604.7
2017-07-28,609.7
2017-07-31,607.15
2017-08-01,607.75
2017-08-02,603.75
2017-08-03,591.5
2017-08-04,585.85
2017-08-07,587.95
2017-08-08,588.25
2017-08-09,582.5
2017-08-10,580.95
2017-08-11,574.4
2017-08-14,585.9
2017-08-16,589.45
2017-08-17,599.0
2017-08-18,590.0
2017-08-21,590.35
2017-08-22,590.1
2017-08-23,600.55
2017-08-24,605.25
2017-08-28,612.6
2017-08-29,610.7
2017-08-30,606.8
2017-08-31,611.1
2017-09-01,607.0
2017-09-04,608.5
2017-09-05,607.2
2017-09-06,602.35
2017-09-07,607.0
2017-09-08,603.9
2017-09-11,608.7
2017-09-12,624.85
2017-09-13,623.45
2017-09-14,626.4
2017-09-15,650.75
2017-09-18,683.2
2017-09-19,662.9
2017-09-20,648.8
2017-09-21,635.9
2017-09-22,614.45
2017-09-25,621.1
2017-09-26,616.95
2017-09-27,610.65
2017-09-28,617.55
2017-09-29,634.8
2017-10-03,631.3
2017-10-04,646.05
2017-10-05,640.3
2017-10-06,640.6
2017-10-09,657.6
2017-10-10,669.55
2017-10-11,680.65
2017-10-12,680.6
2017-10-13,680.85
2017-10-16,680.2
2017-10-17,697.15
2017-10-18,716.05
2017-10-19,738.2
2017-10-23,722.55
2017-10-24,708.45
2017-10-25,720.95
2017-10-26,719.0
2017-10-27,708.45
2017-10-30,721.5
2017-10-31,716.25
2017-11-01,713.95
2017-11-02,719.75
2017-11-03,715.7
2017-11-06,718.15
2017-11-07,710.5
2017-11-08,711.2
2017-11-09,711.95
2017-11-10,710.25
2017-11-13,696.6
2017-11-14,659.4
2017-11-15,629.55
2017-11-16,619.2
2017-11-17,613.15
2017-11-20,621.55
2017-11-21,636.1
2017-11-22,631.35
2017-11-23,625.65
2017-11-24,622.35
2017-11-27,633.0
2017-11-28,651.6
2017-11-29,650.3
2017-11-30,649.6
2017-12-01,640.35
2017-12-04,639.25
2017-12-05,636.75
2017-12-06,633.5
2017-12-07,625.3
2017-12-08,621.5
2017-12-11,631.8
2017-12-12,648.7
2017-12-13,646.0
2017-12-14,631.3
2017-12-15,637.85
2017-12-18,643.2
2017-12-19,633.05
2017-12-20,640.15
2017-12-21,643.1
2017-12-22,642.9
2017-12-26,666.3
2017-12-27,666.25
2017-12-28,660.85
2017-12-29,659.7
