Date,PREMEXPLN
2017-01-02,358.8
2017-01-03,353.5
2017-01-04,377.5
2017-01-05,378.85
2017-01-06,372.05
2017-01-09,371.5
2017-01-10,375.85
2017-01-11,372.2
2017-01-12,372.75
2017-01-13,366.95
2017-01-16,365.2
2017-01-17,368.65
2017-01-18,366.05
2017-01-19,369.35
2017-01-20,358.35
2017-01-23,358.6
2017-01-24,361.25
2017-01-25,372.4
2017-01-27,373.5
2017-01-30,374.2
2017-01-31,365.4
2017-02-01,370.35
2017-02-02,368.2
2017-02-03,367.95
2017-02-06,368.95
2017-02-07,365.6
2017-02-08,369.9
2017-02-09,370.45
2017-02-10,369.2
2017-02-13,363.05
2017-02-14,361.0
2017-02-15,356.95
2017-02-16,353.25
2017-02-17,349.9
2017-02-20,350.5
2017-02-21,350.95
2017-02-22,346.65
2017-02-23,348.15
2017-02-27,348.95
2017-02-28,348.35
2017-03-01,346.35
2017-03-02,342.9
2017-03-03,343.2
2017-03-06,343.3
2017-03-07,345.3
2017-03-08,347.15
2017-03-09,354.05
2017-03-10,350.4
2017-03-14,354.5
2017-03-15,356.15
2017-03-16,354.4
2017-03-17,347.9
2017-03-20,345.15
2017-03-21,341.5
2017-03-22,337.3
2017-03-23,338.1
2017-03-24,332.25
2017-03-27,339.25
2017-03-28,341.75
2017-03-29,334.5
2017-03-30,331.45
2017-03-31,350.05
2017-04-03,365.15
2017-04-05,374.65
2017-04-06,367.25
2017-04-07,384.85
2017-04-10,389.65
2017-04-11,388.1
2017-04-12,390.15
2017-04-13,408.4
2017-04-17,405.2
2017-04-18,398.85
2017-04-19,391.4
2017-04-20,396.2
2017-04-21,395.15
2017-04-24,399.7
2017-04-25,400.0
2017-04-26,400.2
2017-04-27,396.7
2017-04-28,401.4
2017-05-02,403.85
2017-05-03,413.85
2017-05-04,411.65
2017-05-05,409.65
2017-05-08,409.9
2017-05-09,413.2
2017-05-10,425.1
2017-05-11,432.25
2017-05-12,431.5
2017-05-15,428.65
2017-05-16,443.6
2017-05-17,429.2
2017-05-18,429.3
2017-05-19,421.7
2017-05-22,417.85
2017-05-23,398.9
2017-05-24,397.45
2017-05-25,413.35
2017-05-26,416.25
2017-05-29,455.15
2017-05-30,485.7
2017-05-31,488.3
2017-06-01,492.7
2017-06-02,491.3
2017-06-05,488.15
2017-06-06,472.85
2017-06-07,487.2
2017-06-08,495.95
2017-06-09,492.9
2017-06-12,511.85
2017-06-13,516.65
2017-06-14,516.65
2017-06-15,512.15
2017-06-16,524.1
2017-06-19,514.7
2017-06-20,521.5
2017-06-21,523.8
2017-06-22,526.4
2017-06-23,509.7
2017-06-27,489.95
2017-06-28,496.5
2017-06-29,493.7
2017-06-30,489.45
2017-07-03,506.85
2017-07-04,508.15
2017-07-05,511.0
2017-07-06,510.7
2017-07-07,509.75
2017-07-10,504.55
2017-07-11,509.7
2017-07-12,506.7
2017-07-13,511.1
2017-07-14,499.25
2017-07-17,497.15
2017-07-18,502.55
2017-07-19,505.45
2017-07-20,497.25
2017-07-21,507.2
2017-07-24,505.35
2017-07-25,516.5
2017-07-26,509.3
2017-07-27,499.1
2017-07-28,503.9
2017-07-31,487.55
2017-08-01,482.1
2017-08-02,471.7
2017-08-03,459.4
2017-08-04,467.15
2017-08-07,465.95
2017-08-08,465.5
2017-08-09,460.0
2017-08-10,438.7
2017-08-11,446.0
2017-08-14,461.6
2017-08-16,470.75
2017-08-17,481.7
2017-08-18,479.4
2017-08-21,455.35
2017-08-22,443.15
2017-08-23,453.1
2017-08-24,445.45
2017-08-28,446.8
2017-08-29,438.55
2017-08-30,443.1
2017-08-31,451.8
2017-09-01,457.6
2017-09-04,443.05
2017-09-05,446.75
2017-09-06,439.7
2017-09-07,443.8
2017-09-08,445.1
2017-09-11,444.45
2017-09-12,466.8
2017-09-13,467.35
2017-09-14,468.85
2017-09-15,459.7
2017-09-18,468.6
2017-09-19,464.4
2017-09-20,453.1
2017-09-21,449.35
2017-09-22,430.5
2017-09-25,415.05
2017-09-26,420.95
2017-09-27,399.9
2017-09-28,415.7
2017-09-29,429.35
2017-10-03,431.05
2017-10-04,435.95
2017-10-05,425.7
2017-10-06,431.25
2017-10-09,452.4
2017-10-10,460.2
2017-10-11,457.85
2017-10-12,443.75
2017-10-13,441.25
2017-10-16,435.85
2017-10-17,427.45
2017-10-18,435.9
2017-10-19,433.5
2017-10-23,435.15
2017-10-24,431.2
2017-10-25,428.35
2017-10-26,429.1
2017-10-27,428.2
2017-10-30,424.55
2017-10-31,429.4
2017-11-01,449.45
2017-11-02,444.25
2017-11-03,441.05
2017-11-06,431.4
2017-11-07,424.05
2017-11-08,417.7
2017-11-09,419.6
2017-11-10,424.4
2017-11-13,421.75
2017-11-14,416.4
2017-11-15,404.55
2017-11-16,406.45
2017-11-17,407.8
2017-11-20,409.7
2017-11-21,412.45
2017-11-22,410.85
2017-11-23,417.6
2017-11-24,420.2
2017-11-27,418.9
2017-11-28,413.75
2017-11-29,410.0
2017-11-30,406.05
2017-12-01,392.6
2017-12-04,376.55
2017-12-05,380.9
2017-12-06,391.45
2017-12-07,398.25
2017-12-08,408.5
2017-12-11,405.35
2017-12-12,407.5
2017-12-13,402.0
2017-12-14,402.15
2017-12-15,413.65
2017-12-18,411.2
2017-12-19,416.15
2017-12-20,424.7
2017-12-21,438.05
2017-12-22,445.85
2017-12-26,435.1
2017-12-27,429.1
2017-12-28,434.8
2017-12-29,432.0
