Date,DFMFOODS
2017-01-02,1819.55
2017-01-03,1790.0
2017-01-04,1777.05
2017-01-05,1777.5
2017-01-06,1833.15
2017-01-09,1924.7
2017-01-10,1946.6
2017-01-11,1949.8
2017-01-12,1933.45
2017-01-13,1901.3
2017-01-16,1939.7
2017-01-17,2012.45
2017-01-18,2059.75
2017-01-19,2067.45
2017-01-20,2091.1
2017-01-23,2085.9
2017-01-24,2045.95
2017-01-25,2062.2
2017-01-27,1993.75
2017-01-30,1977.95
2017-01-31,1973.75
2017-02-01,1960.7
2017-02-02,1958.5
2017-02-03,1893.8
2017-02-06,1869.05
2017-02-07,1801.3
2017-02-08,1815.0
2017-02-09,1815.45
2017-02-10,1899.55
2017-02-13,1890.0
2017-02-14,1902.65
2017-02-15,1892.9
2017-02-16,1902.75
2017-02-17,1883.9
2017-02-20,1843.35
2017-02-21,1831.45
2017-02-22,1870.9
2017-02-23,1890.0
2017-02-27,1921.75
2017-02-28,1841.25
2017-03-01,1872.3
2017-03-02,1834.9
2017-03-03,1823.9
2017-03-06,1802.0
2017-03-07,1790.75
2017-03-08,1794.75
2017-03-09,1746.4
2017-03-10,1776.3
2017-03-14,1737.1
2017-03-15,1748.1
2017-03-16,1725.8
2017-03-17,1707.55
2017-03-20,1768.7
2017-03-21,1730.75
2017-03-22,1711.6
2017-03-23,1725.6
2017-03-24,1718.1
2017-03-27,1711.15
2017-03-28,1709.3
2017-03-29,1706.75
2017-03-30,1728.65
2017-03-31,1738.9
2017-04-03,1725.2
2017-04-05,1712.3
2017-04-06,1694.1
2017-04-07,1690.4
2017-04-10,1693.55
2017-04-11,1669.65
2017-04-12,1645.0
2017-04-13,1649.45
2017-04-17,1617.05
2017-04-18,1654.7
2017-04-19,1660.0
2017-04-20,1622.7
2017-04-21,1626.45
2017-04-24,1634.9
2017-04-25,1640.0
2017-04-26,1620.0
2017-04-27,1648.35
2017-04-28,1615.05
2017-05-02,1604.15
2017-05-03,1599.4
2017-05-04,1600.55
2017-05-05,1620.05
2017-05-08,1655.05
2017-05-09,1656.15
2017-05-10,1696.4
2017-05-11,1722.2
2017-05-12,1682.95
