Date,MASTEK
2017-01-02,177.0
2017-01-03,174.55
2017-01-04,177.7
2017-01-05,175.1
2017-01-06,173.95
2017-01-09,171.9
2017-01-10,172.95
2017-01-11,171.6
2017-01-12,165.9
2017-01-13,168.25
2017-01-16,175.9
2017-01-17,191.1
2017-01-18,189.15
2017-01-19,194.95
2017-01-20,190.9
2017-01-23,185.75
2017-01-24,198.1
2017-01-25,203.15
2017-01-27,201.35
2017-01-30,194.0
2017-01-31,187.25
2017-02-01,188.3
2017-02-02,189.75
2017-02-03,191.95
2017-02-06,186.9
2017-02-07,185.45
2017-02-08,185.75
2017-02-09,182.45
2017-02-10,186.0
2017-02-13,185.3
2017-02-14,182.9
2017-02-15,179.15
2017-02-16,184.3
2017-02-17,185.45
2017-02-20,187.6
2017-02-21,188.55
2017-02-22,187.1
2017-02-23,185.8
2017-02-27,188.75
2017-02-28,188.4
2017-03-01,191.85
2017-03-02,186.7
2017-03-03,186.5
2017-03-06,186.3
2017-03-07,184.0
2017-03-08,187.35
2017-03-09,183.65
2017-03-10,179.9
2017-03-14,181.4
2017-03-15,179.65
2017-03-16,180.75
2017-03-17,177.65
2017-03-20,179.35
2017-03-21,179.9
2017-03-22,178.0
2017-03-23,178.05
2017-03-24,184.95
2017-03-27,181.9
2017-03-28,177.85
2017-03-29,177.15
2017-03-30,178.55
2017-03-31,181.2
2017-04-03,180.85
2017-04-05,178.55
2017-04-06,197.1
2017-04-07,195.05
2017-04-10,197.45
2017-04-11,195.2
2017-04-12,210.85
2017-04-13,221.65
2017-04-17,213.8
2017-04-18,214.75
2017-04-19,225.2
2017-04-20,238.8
2017-04-21,259.65
2017-04-24,281.8
2017-04-25,279.55
2017-04-26,271.75
2017-04-27,262.55
2017-04-28,278.4
2017-05-02,287.35
2017-05-03,299.3
2017-05-04,324.85
2017-05-05,309.8
2017-05-08,325.5
2017-05-09,336.7
2017-05-10,349.75
2017-05-11,357.1
2017-05-12,342.2
2017-05-15,337.85
2017-05-16,334.8
2017-05-17,322.45
2017-05-18,312.3
2017-05-19,294.15
2017-05-22,283.6
2017-05-23,271.8
2017-05-24,264.0
2017-05-25,270.7
2017-05-26,296.1
2017-05-29,282.45
2017-05-30,287.65
2017-05-31,286.65
2017-06-01,287.75
2017-06-02,290.15
2017-06-05,291.55
2017-06-06,295.65
2017-06-07,293.6
2017-06-08,290.35
2017-06-09,289.3
2017-06-12,287.15
2017-06-13,287.1
2017-06-14,280.2
2017-06-15,278.7
2017-06-16,275.55
2017-06-19,278.6
2017-06-20,279.25
2017-06-21,277.45
2017-06-22,270.45
2017-06-23,261.15
2017-06-27,251.65
2017-06-28,253.85
2017-06-29,261.35
2017-06-30,275.5
2017-07-03,283.25
2017-07-04,282.15
2017-07-05,280.9
2017-07-06,278.5
2017-07-07,275.2
2017-07-10,275.65
2017-07-11,271.75
2017-07-12,265.7
2017-07-13,290.45
2017-07-14,286.65
2017-07-17,306.25
2017-07-18,299.5
2017-07-19,359.4
2017-07-20,330.45
2017-07-21,327.8
2017-07-24,327.7
2017-07-25,323.85
2017-07-26,312.95
2017-07-27,300.5
2017-07-28,314.3
2017-07-31,302.25
2017-08-01,301.45
2017-08-02,291.95
2017-08-03,281.4
2017-08-04,276.75
2017-08-07,271.45
2017-08-08,257.15
2017-08-09,244.65
2017-08-10,251.5
2017-08-11,267.7
2017-08-14,276.9
2017-08-16,278.8
2017-08-17,288.55
2017-08-18,282.85
2017-08-21,275.3
2017-08-22,272.8
2017-08-23,282.4
2017-08-24,293.85
2017-08-28,295.75
2017-08-29,288.5
2017-08-30,304.65
2017-08-31,306.05
2017-09-01,303.35
2017-09-04,302.1
2017-09-05,299.1
2017-09-06,295.55
2017-09-07,294.45
2017-09-08,290.55
2017-09-11,287.3
2017-09-12,290.3
2017-09-13,292.7
2017-09-14,290.7
2017-09-15,289.5
2017-09-18,292.65
2017-09-19,303.85
2017-09-20,300.35
2017-09-21,294.3
2017-09-22,286.15
2017-09-25,279.2
2017-09-26,278.25
2017-09-27,274.25
2017-09-28,277.5
2017-09-29,284.9
2017-10-03,286.65
2017-10-04,290.75
2017-10-05,297.05
2017-10-06,320.5
2017-10-09,316.85
2017-10-10,324.8
2017-10-11,318.85
2017-10-12,324.6
2017-10-13,332.4
2017-10-16,333.5
2017-10-17,329.95
2017-10-18,323.75
2017-10-19,318.0
2017-10-23,328.6
2017-10-24,345.8
2017-10-25,346.2
2017-10-26,326.45
2017-10-27,338.35
2017-10-30,368.55
2017-10-31,363.45
2017-11-01,355.25
2017-11-02,347.4
2017-11-03,349.5
2017-11-06,351.9
2017-11-07,359.15
2017-11-08,353.95
2017-11-09,353.2
2017-11-10,357.45
2017-11-13,360.65
2017-11-14,351.8
2017-11-15,353.7
2017-11-16,358.25
2017-11-17,353.4
2017-11-20,354.65
2017-11-21,378.0
2017-11-22,393.05
2017-11-23,376.15
2017-11-24,379.55
2017-11-27,370.75
2017-11-28,365.3
2017-11-29,364.4
2017-11-30,366.85
2017-12-01,367.8
2017-12-04,364.05
2017-12-05,358.2
2017-12-06,359.75
2017-12-07,387.8
2017-12-08,392.8
2017-12-11,397.15
2017-12-12,387.45
2017-12-13,386.85
2017-12-14,387.15
2017-12-15,389.3
2017-12-18,388.0
2017-12-19,397.75
2017-12-20,393.5
2017-12-21,392.55
2017-12-22,388.1
2017-12-26,389.1
2017-12-27,383.4
2017-12-28,378.65
2017-12-29,375.3
