Date,BSLNIFTY
2017-01-02,95.67
2017-01-03,96.0
2017-01-05,99.24
2017-01-09,92.1
2017-01-10,95.0
2017-01-11,92.5
2017-01-12,93.0
2017-01-13,91.8
2017-01-17,93.6
2017-01-19,94.9
2017-01-20,91.05
2017-01-23,94.5
2017-01-24,93.99
2017-01-25,90.4
2017-01-27,94.27
2017-01-30,93.99
2017-01-31,90.07
2017-02-01,93.4
2017-02-02,92.5
2017-02-03,92.45
2017-02-06,90.65
2017-02-07,93.04
2017-02-08,93.04
2017-02-09,93.0
2017-02-10,92.5
2017-02-13,91.25
2017-02-16,91.26
2017-02-17,93.9
2017-02-20,94.5
2017-02-21,94.95
2017-02-22,92.61
2017-02-23,94.64
2017-02-27,94.99
2017-02-28,94.4
2017-03-01,94.4
2017-03-02,94.4
2017-03-03,91.5
2017-03-06,92.0
2017-03-08,92.13
2017-03-09,95.31
2017-03-10,95.0
2017-03-14,94.2
2017-03-15,94.21
2017-03-16,98.95
2017-03-17,96.4
2017-03-20,96.0
2017-03-21,95.9
2017-03-22,98.99
2017-03-23,95.9
2017-03-24,94.0
2017-03-27,94.06
2017-03-29,93.55
2017-03-30,96.99
2017-03-31,100.95
2017-04-03,98.75
2017-04-05,103.8
2017-04-06,103.8
2017-04-07,106.7
2017-04-10,109.9
2017-04-11,109.05
2017-04-12,109.05
2017-04-13,109.44
2017-04-17,107.98
2017-04-18,103.99
2017-04-19,104.0
2017-04-20,108.5
2017-04-21,105.13
2017-04-24,108.9
2017-04-25,111.5
2017-04-26,107.0
2017-04-27,108.05
2017-04-28,108.0
2017-05-02,107.0
2017-05-04,105.0
2017-05-05,94.76
2017-05-08,95.58
2017-05-09,95.24
2017-05-10,96.01
2017-05-11,96.0
2017-05-12,95.41
2017-05-16,95.8
2017-05-17,98.21
2017-05-18,96.98
2017-05-19,99.4
2017-05-22,99.0
2017-05-23,99.5
2017-05-25,100.0
2017-05-26,99.99
2017-05-29,98.21
2017-05-31,100.55
2017-06-01,100.99
2017-06-02,97.37
2017-06-05,101.67
2017-06-06,100.0
2017-06-08,103.0
2017-06-09,104.0
2017-06-12,102.99
2017-06-13,106.53
2017-06-14,101.1
2017-06-15,103.21
2017-06-19,103.97
2017-06-20,103.94
2017-06-21,106.0
2017-06-22,106.62
2017-06-23,105.0
2017-06-27,102.99
2017-06-28,100.25
2017-06-29,107.0
2017-06-30,102.64
2017-07-03,105.9
2017-07-04,104.0
2017-07-05,107.0
2017-07-06,107.0
2017-07-07,103.0
2017-07-10,102.5
2017-07-11,103.1
2017-07-12,103.25
2017-07-13,104.0
2017-07-14,103.0
2017-07-17,102.26
2017-07-18,102.0
2017-07-19,104.0
2017-07-20,102.56
2017-07-21,103.0
2017-07-24,102.99
2017-07-25,102.75
2017-07-26,102.75
2017-07-27,102.35
2017-07-28,102.15
2017-07-31,106.0
2017-08-01,102.17
2017-08-02,102.55
2017-08-03,105.0
2017-08-04,104.94
2017-08-07,106.2
2017-08-08,105.0
2017-08-09,106.18
2017-08-10,104.92
2017-08-11,102.0
2017-08-14,106.13
2017-08-16,106.45
2017-08-17,105.5
2017-08-18,106.6
2017-08-21,106.4
2017-08-22,105.99
2017-08-23,102.0
2017-08-24,103.81
2017-08-28,104.0
2017-08-29,104.0
2017-08-30,104.0
2017-08-31,104.0
2017-09-01,104.0
2017-09-04,103.55
2017-09-05,104.0
2017-09-06,104.0
2017-09-07,104.5
2017-09-11,106.99
2017-09-12,106.93
2017-09-13,104.5
2017-09-14,105.82
2017-09-15,103.76
2017-09-18,104.0
2017-09-19,104.0
2017-09-20,104.2
2017-09-21,106.65
2017-09-22,107.0
2017-09-25,104.0
2017-09-26,103.95
2017-09-27,103.95
2017-09-28,104.53
2017-09-29,106.54
2017-10-03,107.0
2017-10-04,106.75
2017-10-05,104.61
2017-10-06,105.26
2017-10-09,106.95
2017-10-10,106.7
2017-10-11,106.9
2017-10-12,106.8
2017-10-16,106.8
2017-10-17,106.74
2017-10-19,106.75
2017-10-23,107.0
2017-10-24,107.15
2017-10-25,107.0
2017-10-26,105.99
2017-10-27,102.25
2017-10-30,107.0
2017-10-31,105.79
2017-11-01,107.0
2017-11-02,106.98
2017-11-03,104.65
2017-11-06,106.7
2017-11-07,106.95
2017-11-08,107.99
2017-11-09,107.98
2017-11-10,107.97
2017-11-13,105.49
2017-11-14,106.94
2017-11-15,107.14
2017-11-16,104.01
2017-11-17,106.5
2017-11-20,105.0
2017-11-21,105.81
2017-11-22,105.02
2017-11-23,106.59
2017-11-24,107.99
2017-11-27,105.25
2017-11-28,107.99
2017-11-29,107.8
2017-11-30,105.65
2017-12-01,105.4
2017-12-04,105.7
2017-12-05,104.01
2017-12-06,102.15
2017-12-07,106.49
2017-12-08,106.8
2017-12-11,108.13
2017-12-12,107.0
2017-12-13,103.86
2017-12-14,108.01
2017-12-15,108.8
2017-12-18,105.3
2017-12-19,108.3
2017-12-20,106.05
2017-12-21,108.39
2017-12-22,109.0
2017-12-26,106.69
2017-12-27,107.0
2017-12-28,108.8
2017-12-29,108.48
