Date,NLCINDIA
2017-01-02,77.95
2017-01-03,78.55
2017-01-04,79.25
2017-01-05,80.25
2017-01-06,79.9
2017-01-09,81.65
2017-01-10,83.55
2017-01-11,83.95
2017-01-12,91.6
2017-01-13,91.95
2017-01-16,90.95
2017-01-17,87.6
2017-01-18,88.15
2017-01-19,90.1
2017-01-20,88.0
2017-01-23,87.65
2017-01-24,88.45
2017-01-25,93.55
2017-01-27,97.05
2017-01-30,96.7
2017-01-31,93.65
2017-02-01,96.7
2017-02-02,96.55
2017-02-03,96.8
2017-02-06,97.0
2017-02-07,97.2
2017-02-08,97.5
2017-02-09,95.25
2017-02-10,96.85
2017-02-13,93.8
2017-02-14,92.3
2017-02-15,94.25
2017-02-16,94.55
2017-02-17,93.35
2017-02-20,92.3
2017-02-21,93.85
2017-02-22,95.1
2017-02-23,93.65
2017-02-27,93.5
2017-02-28,92.25
2017-03-01,93.85
2017-03-02,95.2
2017-03-03,94.9
2017-03-06,95.0
2017-03-07,94.6
2017-03-08,95.8
2017-03-09,94.3
2017-03-10,94.05
2017-03-14,95.6
2017-03-15,95.15
2017-03-16,95.95
2017-03-17,96.7
2017-03-20,97.05
2017-03-21,110.65
2017-03-22,117.5
2017-03-23,120.45
2017-03-24,109.8
2017-03-27,105.65
2017-03-28,107.9
2017-03-29,104.9
2017-03-30,105.85
2017-03-31,107.35
2017-04-03,106.9
2017-04-05,108.9
2017-04-06,108.7
2017-04-07,106.25
2017-04-10,106.05
2017-04-11,106.05
2017-04-12,108.8
2017-04-13,108.1
2017-04-17,105.7
2017-04-18,104.5
2017-04-19,102.0
2017-04-20,107.1
2017-04-21,105.65
2017-04-24,106.8
2017-04-25,106.4
2017-04-26,106.0
2017-04-27,105.75
2017-04-28,105.3
2017-05-02,105.0
2017-05-03,103.5
2017-05-04,103.65
2017-05-05,102.25
2017-05-08,102.2
2017-05-09,102.95
2017-05-10,106.35
2017-05-11,103.7
2017-05-12,103.9
2017-05-15,107.25
2017-05-16,106.55
2017-05-17,105.1
2017-05-18,104.05
2017-05-19,103.65
2017-05-22,103.65
2017-05-23,101.3
2017-05-24,98.5
2017-05-25,98.95
2017-05-26,100.1
2017-05-29,100.55
2017-05-30,99.15
2017-05-31,105.65
2017-06-01,107.0
2017-06-02,105.8
2017-06-05,106.45
2017-06-06,106.85
2017-06-07,105.2
2017-06-08,105.35
2017-06-09,104.5
2017-06-12,103.7
2017-06-13,104.25
2017-06-14,103.3
2017-06-15,101.45
2017-06-16,102.5
2017-06-19,106.6
2017-06-20,109.95
2017-06-21,104.15
2017-06-22,104.5
2017-06-23,100.75
2017-06-27,99.25
2017-06-28,99.2
2017-06-29,100.45
2017-06-30,100.0
2017-07-03,102.55
2017-07-04,102.3
2017-07-05,103.4
2017-07-06,103.1
2017-07-07,102.9
2017-07-10,102.9
2017-07-11,103.6
2017-07-12,106.55
2017-07-13,108.05
2017-07-14,106.45
2017-07-17,106.9
2017-07-18,104.9
2017-07-19,103.65
2017-07-20,104.2
2017-07-21,102.25
2017-07-24,101.05
2017-07-25,102.75
2017-07-26,101.95
2017-07-27,101.1
2017-07-28,100.8
2017-07-31,101.0
2017-08-01,100.5
2017-08-02,100.8
2017-08-03,99.05
2017-08-04,98.4
2017-08-07,99.5
2017-08-08,98.6
2017-08-09,98.4
2017-08-10,95.3
2017-08-11,94.9
2017-08-14,96.95
2017-08-16,96.55
2017-08-17,97.85
2017-08-18,95.55
2017-08-21,94.8
2017-08-22,93.5
2017-08-23,93.35
2017-08-24,92.65
2017-08-28,92.25
2017-08-29,91.4
2017-08-30,93.4
2017-08-31,93.6
2017-09-01,97.7
2017-09-04,99.85
2017-09-05,100.0
2017-09-06,99.95
2017-09-07,99.15
2017-09-08,96.7
2017-09-11,97.1
2017-09-12,96.0
2017-09-13,95.55
2017-09-14,96.0
2017-09-15,97.7
2017-09-18,95.95
2017-09-19,93.9
2017-09-20,95.1
2017-09-21,93.55
2017-09-22,91.4
2017-09-25,90.0
2017-09-26,89.8
2017-09-27,89.3
2017-09-28,91.1
2017-09-29,93.95
2017-10-03,93.85
2017-10-04,95.55
2017-10-05,95.4
2017-10-06,95.3
2017-10-09,94.75
2017-10-10,92.85
2017-10-11,95.25
2017-10-12,95.0
2017-10-13,97.8
2017-10-16,97.3
2017-10-17,96.95
2017-10-18,96.05
2017-10-19,97.55
2017-10-23,95.05
2017-10-24,95.55
2017-10-25,94.55
2017-10-26,96.65
2017-10-27,96.2
2017-10-30,96.75
2017-10-31,99.05
2017-11-01,96.95
2017-11-02,97.95
2017-11-03,99.0
2017-11-06,97.9
2017-11-07,98.6
2017-11-08,96.65
2017-11-09,97.6
2017-11-10,99.25
2017-11-13,99.85
2017-11-14,99.95
2017-11-15,100.45
2017-11-16,100.4
2017-11-17,104.65
2017-11-20,106.55
2017-11-21,105.0
2017-11-22,103.1
2017-11-23,106.55
2017-11-24,106.35
2017-11-27,107.1
2017-11-28,109.9
2017-11-29,107.4
2017-11-30,104.65
2017-12-01,107.9
2017-12-04,106.3
2017-12-05,106.15
2017-12-06,105.0
2017-12-07,106.0
2017-12-08,105.3
2017-12-11,104.95
2017-12-12,104.5
2017-12-13,106.75
2017-12-14,104.2
2017-12-15,104.05
2017-12-18,106.55
2017-12-19,107.05
2017-12-20,106.0
2017-12-21,106.95
2017-12-22,106.75
2017-12-26,106.75
2017-12-27,107.45
2017-12-28,108.1
2017-12-29,109.6
