Date,GULPOLY
2017-01-02,75.55
2017-01-03,74.9
2017-01-04,74.3
2017-01-05,74.3
2017-01-06,73.1
2017-01-09,74.0
2017-01-10,74.7
2017-01-11,75.05
2017-01-12,75.8
2017-01-13,75.35
2017-01-16,74.5
2017-01-17,75.0
2017-01-18,74.6
2017-01-19,75.55
2017-01-20,74.95
2017-01-23,74.4
2017-01-24,74.0
2017-01-25,73.95
2017-01-27,73.85
2017-01-30,72.9
2017-01-31,72.9
2017-02-01,74.1
2017-02-02,74.5
2017-02-03,78.2
2017-02-06,78.35
2017-02-07,75.5
2017-02-08,76.15
2017-02-09,77.05
2017-02-10,75.1
2017-02-13,73.3
2017-02-14,73.75
2017-02-15,74.15
2017-02-16,73.75
2017-02-17,73.9
2017-02-20,74.4
2017-02-21,74.05
2017-02-22,76.7
2017-02-23,79.6
2017-02-27,80.35
2017-02-28,79.75
2017-03-01,79.0
2017-03-02,77.5
2017-03-03,75.5
2017-03-06,76.35
2017-03-07,77.0
2017-03-08,77.5
2017-03-09,78.3
2017-03-10,77.45
2017-03-14,77.6
2017-03-15,77.25
2017-03-16,77.2
2017-03-17,76.6
2017-03-20,75.45
2017-03-21,77.0
2017-03-22,77.6
2017-03-23,78.25
2017-03-24,77.6
2017-03-27,80.85
2017-03-28,93.0
2017-03-29,89.85
2017-03-30,89.0
2017-03-31,90.65
2017-04-03,91.35
2017-04-05,90.35
2017-04-06,89.6
2017-04-07,94.75
2017-04-10,91.8
2017-04-11,89.85
2017-04-12,90.3
2017-04-13,89.35
2017-04-17,87.3
2017-04-18,88.35
2017-04-19,86.95
2017-04-20,87.05
2017-04-21,87.9
2017-04-24,92.75
2017-04-25,92.95
2017-04-26,92.4
2017-04-27,90.3
2017-04-28,89.3
2017-05-02,89.2
2017-05-03,88.45
2017-05-04,88.4
2017-05-05,88.25
2017-05-08,90.35
2017-05-09,88.9
2017-05-10,89.7
2017-05-11,89.95
2017-05-12,90.0
2017-05-15,89.1
2017-05-16,89.0
2017-05-17,89.75
2017-05-18,88.85
2017-05-19,87.5
2017-05-22,86.35
2017-05-23,82.9
2017-05-24,80.95
2017-05-25,81.7
2017-05-26,81.8
2017-05-29,89.2
2017-05-30,86.6
2017-05-31,86.15
2017-06-01,87.75
2017-06-02,86.05
2017-06-05,87.4
2017-06-06,86.35
2017-06-07,85.75
2017-06-08,85.75
2017-06-09,87.75
2017-06-12,85.15
2017-06-13,84.5
2017-06-14,85.4
2017-06-15,89.75
2017-06-16,89.25
2017-06-19,90.3
2017-06-20,89.75
2017-06-21,89.2
2017-06-22,92.2
2017-06-23,89.7
2017-06-27,88.5
2017-06-28,88.85
2017-06-29,89.4
2017-06-30,89.2
2017-07-03,87.8
2017-07-04,89.8
2017-07-05,93.85
2017-07-06,95.1
2017-07-07,94.5
2017-07-10,97.2
2017-07-11,95.05
2017-07-12,99.15
2017-07-13,110.05
2017-07-14,106.05
2017-07-17,101.8
2017-07-18,101.45
2017-07-19,101.05
2017-07-20,107.6
2017-07-21,105.0
2017-07-24,103.25
2017-07-25,101.6
2017-07-26,102.35
2017-07-27,100.0
2017-07-28,98.35
2017-07-31,96.75
2017-08-01,96.5
2017-08-02,95.35
2017-08-03,94.65
2017-08-04,95.75
2017-08-07,97.4
2017-08-08,95.15
2017-08-09,93.9
2017-08-10,90.9
2017-08-11,86.6
2017-08-14,82.6
2017-08-16,79.0
2017-08-17,84.7
2017-08-18,83.35
2017-08-21,80.2
2017-08-22,81.05
2017-08-23,81.0
2017-08-24,81.35
2017-08-28,84.05
2017-08-29,83.4
2017-08-30,86.75
2017-08-31,85.8
2017-09-01,85.25
2017-09-04,83.75
2017-09-05,83.55
2017-09-06,84.85
2017-09-07,84.4
2017-09-08,86.05
2017-09-11,83.95
2017-09-12,83.95
2017-09-13,85.95
2017-09-14,85.35
2017-09-15,86.25
2017-09-18,86.05
2017-09-19,85.0
2017-09-20,84.5
2017-09-21,83.3
2017-09-22,81.15
2017-09-25,79.6
2017-09-26,83.6
2017-09-27,80.85
2017-09-28,80.8
2017-09-29,79.9
2017-10-03,80.45
2017-10-04,81.9
2017-10-05,80.5
2017-10-06,82.95
2017-10-09,90.3
2017-10-10,91.6
2017-10-11,85.0
2017-10-12,85.15
2017-10-13,85.15
2017-10-16,84.95
2017-10-17,82.55
2017-10-18,81.0
2017-10-19,85.9
2017-10-23,83.95
2017-10-24,82.5
2017-10-25,82.5
2017-10-26,81.0
2017-10-27,80.9
2017-10-30,79.7
2017-10-31,79.0
2017-11-01,79.0
2017-11-02,78.0
2017-11-03,83.3
2017-11-06,81.25
2017-11-07,82.3
2017-11-08,81.95
2017-11-09,82.25
2017-11-10,81.9
2017-11-13,82.8
2017-11-14,79.75
2017-11-15,76.75
2017-11-16,77.65
2017-11-17,80.4
2017-11-20,79.2
2017-11-21,79.75
2017-11-22,82.8
2017-11-23,81.5
2017-11-24,80.15
2017-11-27,82.45
2017-11-28,84.2
2017-11-29,83.4
2017-11-30,81.7
2017-12-01,80.05
2017-12-04,79.15
2017-12-05,79.3
2017-12-06,78.6
2017-12-07,79.65
2017-12-08,79.2
2017-12-11,81.5
2017-12-12,79.45
2017-12-13,80.15
2017-12-14,79.25
2017-12-15,79.8
2017-12-18,80.5
2017-12-19,81.05
2017-12-20,82.1
2017-12-21,86.3
2017-12-22,87.1
2017-12-26,89.95
2017-12-27,86.3
2017-12-28,87.35
2017-12-29,86.9
