Date,FRETAIL
2017-01-02,131.0
2017-01-03,132.95
2017-01-04,147.65
2017-01-05,150.4
2017-01-06,152.25
2017-01-09,152.55
2017-01-10,158.85
2017-01-11,161.55
2017-01-12,159.25
2017-01-13,162.4
2017-01-16,162.85
2017-01-17,163.5
2017-01-18,165.5
2017-01-19,165.6
2017-01-20,165.4
2017-01-23,165.2
2017-01-24,171.1
2017-01-25,171.75
2017-01-27,172.0
2017-01-30,172.55
2017-01-31,173.3
2017-02-01,172.45
2017-02-02,174.1
2017-02-03,178.85
2017-02-06,189.0
2017-02-07,221.05
2017-02-08,216.1
2017-02-09,219.15
2017-02-10,214.45
2017-02-13,214.45
2017-02-14,215.75
2017-02-15,211.3
2017-02-16,219.5
2017-02-17,221.6
2017-02-20,230.3
2017-02-21,244.75
2017-02-22,233.45
2017-02-23,234.35
2017-02-27,239.25
2017-02-28,249.65
2017-03-01,259.2
2017-03-02,256.5
2017-03-03,251.9
2017-03-06,259.4
2017-03-07,262.0
2017-03-08,274.75
2017-03-09,270.6
2017-03-10,263.1
2017-03-14,264.95
2017-03-15,267.7
2017-03-16,267.75
2017-03-17,267.45
2017-03-20,257.65
2017-03-21,254.4
2017-03-22,245.9
2017-03-23,242.55
2017-03-24,254.7
2017-03-27,254.9
2017-03-28,256.45
2017-03-29,255.3
2017-03-30,256.65
2017-03-31,267.8
2017-04-03,276.95
2017-04-05,291.85
2017-04-06,280.3
2017-04-07,281.85
2017-04-10,286.6
2017-04-11,284.5
2017-04-12,280.15
2017-04-13,281.15
2017-04-17,293.05
2017-04-18,292.8
2017-04-19,292.6
2017-04-20,306.3
2017-04-21,304.65
2017-04-24,318.0
2017-04-25,322.25
2017-04-26,318.8
2017-04-27,312.8
2017-04-28,312.7
2017-05-02,324.6
2017-05-03,335.9
2017-05-04,350.0
2017-05-05,351.65
2017-05-08,350.1
2017-05-09,351.35
2017-05-10,351.7
2017-05-11,345.75
2017-05-12,321.6
2017-05-15,325.15
2017-05-16,320.5
2017-05-17,311.75
2017-05-18,295.75
2017-05-19,285.25
2017-05-22,311.9
2017-05-23,305.1
2017-05-24,307.8
2017-05-25,314.7
2017-05-26,324.55
2017-05-29,314.7
2017-05-30,311.35
2017-05-31,329.3
2017-06-01,336.25
2017-06-02,329.9
2017-06-05,346.4
2017-06-06,393.95
2017-06-07,382.6
2017-06-08,394.2
2017-06-09,393.35
2017-06-12,394.65
2017-06-13,382.7
2017-06-14,388.55
2017-06-15,378.0
2017-06-16,373.7
2017-06-19,393.15
2017-06-20,393.4
2017-06-21,386.85
2017-06-22,375.15
2017-06-23,371.65
2017-06-27,354.95
2017-06-28,363.95
2017-06-29,366.65
2017-06-30,369.8
2017-07-03,367.8
2017-07-04,370.95
2017-07-05,371.8
2017-07-06,395.45
2017-07-07,395.75
2017-07-10,398.85
2017-07-11,395.65
2017-07-12,391.2
2017-07-13,400.5
2017-07-14,397.2
2017-07-17,398.45
2017-07-18,396.3
2017-07-19,393.85
2017-07-20,395.15
2017-07-21,436.8
2017-07-24,409.75
2017-07-25,403.4
2017-07-26,401.45
2017-07-27,409.65
2017-07-28,413.1
2017-07-31,404.7
2017-08-01,404.15
2017-08-02,400.05
2017-08-03,399.6
2017-08-04,402.15
2017-08-07,430.3
2017-08-08,443.25
2017-08-09,440.8
2017-08-10,441.5
2017-08-11,445.0
2017-08-14,466.4
2017-08-16,491.55
2017-08-17,490.2
2017-08-18,480.35
2017-08-21,486.2
2017-08-22,489.05
2017-08-23,507.4
2017-08-24,505.25
2017-08-28,506.25
2017-08-29,502.8
2017-08-30,510.1
2017-08-31,535.15
2017-09-01,550.75
2017-09-04,572.1
2017-09-05,577.4
2017-09-06,580.15
2017-09-07,570.65
2017-09-08,555.2
2017-09-11,564.3
2017-09-12,557.3
2017-09-13,535.15
2017-09-14,527.0
2017-09-15,549.95
2017-09-18,553.0
2017-09-19,536.3
2017-09-20,542.85
2017-09-21,549.7
2017-09-22,543.45
2017-09-25,547.9
2017-09-26,543.8
2017-09-27,528.95
2017-09-28,508.05
2017-09-29,526.5
2017-10-03,523.1
2017-10-04,524.6
2017-10-05,527.55
2017-10-06,536.75
2017-10-09,530.7
2017-10-10,539.5
2017-10-11,538.3
2017-10-12,539.7
2017-10-13,536.7
2017-10-16,526.95
2017-10-17,519.6
2017-10-18,524.8
2017-10-19,520.2
2017-10-23,531.55
2017-10-24,517.85
2017-10-25,512.75
2017-10-26,512.7
2017-10-27,520.8
2017-10-30,520.05
2017-10-31,520.55
2017-11-01,517.75
2017-11-02,517.55
2017-11-03,526.9
2017-11-06,525.65
2017-11-07,522.95
2017-11-08,508.15
2017-11-09,505.95
2017-11-10,482.45
2017-11-13,474.4
2017-11-14,486.2
2017-11-15,467.8
2017-11-16,499.5
2017-11-17,505.15
2017-11-20,514.95
2017-11-21,515.5
2017-11-22,573.5
2017-11-23,593.05
2017-11-24,644.85
2017-11-27,584.9
2017-11-28,565.9
2017-12-13,524.6
2017-12-14,528.0
2017-12-15,541.45
2017-12-18,535.6
2017-12-19,539.15
2017-12-20,535.75
2017-12-21,523.45
2017-12-22,526.2
2017-12-26,522.85
2017-12-27,524.45
2017-12-28,517.65
2017-12-29,524.85
