Date,PREMIER
2017-01-02,29.6
2017-01-03,30.15
2017-01-04,30.35
2017-01-05,30.95
2017-01-06,29.75
2017-01-09,29.65
2017-01-10,30.45
2017-01-11,31.75
2017-01-12,33.2
2017-01-13,32.9
2017-01-16,31.9
2017-01-17,30.8
2017-01-18,30.95
2017-01-19,37.1
2017-01-20,36.75
2017-01-23,36.75
2017-01-24,36.6
2017-01-25,36.5
2017-01-27,35.35
2017-01-30,34.1
2017-01-31,33.85
2017-02-01,33.15
2017-02-02,32.55
2017-02-03,32.55
2017-02-06,34.1
2017-02-07,33.55
2017-02-08,33.6
2017-02-09,33.05
2017-02-10,34.25
2017-02-13,33.1
2017-02-14,33.45
2017-02-15,32.25
2017-02-16,33.8
2017-02-17,32.9
2017-02-20,33.25
2017-02-21,33.1
2017-02-22,33.5
2017-02-23,32.7
2017-02-27,32.55
2017-02-28,32.65
2017-03-01,33.1
2017-03-02,32.3
2017-03-03,33.0
2017-03-06,32.25
2017-03-07,31.3
2017-03-08,33.2
2017-03-09,32.25
2017-03-10,31.85
2017-03-14,31.65
2017-03-15,31.35
2017-03-16,31.7
2017-03-17,31.65
2017-03-20,31.25
2017-03-21,30.2
2017-03-22,30.5
2017-03-23,30.4
2017-03-24,30.45
2017-03-27,30.25
2017-03-28,29.95
2017-03-29,29.55
2017-03-30,29.5
2017-03-31,29.65
2017-04-03,30.7
2017-04-05,31.4
2017-04-06,33.35
2017-04-07,32.45
2017-04-10,32.45
2017-04-11,31.95
2017-04-12,31.55
2017-04-13,31.7
2017-04-17,30.75
2017-04-18,34.65
2017-04-19,36.5
2017-04-20,35.65
2017-04-21,35.95
2017-04-24,36.4
2017-04-25,36.55
2017-04-26,36.35
2017-04-27,35.7
2017-04-28,35.15
2017-05-02,33.75
2017-05-03,33.5
2017-05-04,32.95
2017-05-05,32.9
2017-05-08,32.05
2017-05-09,32.4
2017-05-10,32.85
2017-05-11,32.3
2017-05-12,32.3
2017-05-15,32.1
2017-05-16,32.15
2017-05-17,31.9
2017-05-18,31.8
2017-05-19,31.15
2017-05-22,31.15
2017-05-23,30.3
2017-05-24,30.0
2017-05-25,29.45
2017-05-26,31.1
2017-05-29,30.1
2017-05-30,32.8
2017-05-31,32.25
2017-06-01,31.85
2017-06-02,31.65
2017-06-05,32.15
2017-06-06,32.3
2017-06-07,31.7
2017-06-08,31.3
2017-06-09,31.2
2017-06-12,31.8
2017-06-13,31.45
2017-06-14,30.5
2017-06-15,30.6
2017-06-16,30.5
2017-06-19,30.3
2017-06-20,30.2
2017-06-21,35.4
2017-06-22,35.95
2017-06-23,34.0
2017-06-27,31.85
2017-06-28,31.5
2017-06-29,32.5
2017-06-30,31.8
2017-07-03,32.35
2017-07-04,31.9
2017-07-05,36.15
2017-07-06,36.0
2017-07-07,36.85
2017-07-10,35.35
2017-07-11,35.95
2017-07-12,36.2
2017-07-13,35.0
2017-07-14,34.35
2017-07-17,34.0
2017-07-18,33.0
2017-07-19,33.75
2017-07-20,33.45
2017-07-21,33.55
2017-07-24,33.95
2017-07-25,33.0
2017-07-26,32.85
2017-07-27,33.3
2017-07-28,32.75
2017-07-31,32.25
2017-08-01,32.55
2017-08-02,32.05
2017-08-03,31.45
2017-08-04,31.7
2017-08-07,31.15
2017-08-08,31.5
2017-08-09,30.45
2017-08-10,29.65
2017-08-11,28.6
2017-08-14,29.2
2017-08-16,29.45
2017-08-17,29.35
2017-08-18,29.6
2017-08-21,29.15
2017-08-22,30.05
2017-08-23,29.55
2017-08-24,29.35
2017-08-28,29.6
2017-08-29,29.05
2017-08-30,29.35
2017-08-31,29.85
2017-09-01,29.35
2017-09-04,29.25
2017-09-05,34.75
2017-09-06,32.3
2017-09-07,32.55
2017-09-08,31.5
2017-09-11,33.1
2017-09-12,32.65
2017-09-13,31.1
2017-09-14,31.15
2017-09-15,30.95
2017-09-18,30.35
2017-09-19,30.9
2017-09-20,30.55
2017-09-21,30.4
2017-09-22,29.75
2017-09-25,28.5
2017-09-26,28.55
2017-09-27,28.3
2017-09-28,28.8
2017-09-29,28.2
2017-10-03,28.25
2017-10-04,28.8
2017-10-05,28.4
2017-10-06,31.0
2017-10-09,30.45
2017-10-10,30.3
2017-10-11,29.6
2017-10-12,29.5
2017-10-13,29.6
2017-10-16,29.8
2017-10-17,29.1
2017-10-18,29.75
2017-10-19,29.95
2017-10-23,29.8
2017-10-24,30.2
2017-10-25,29.6
2017-10-26,29.8
2017-10-27,30.3
2017-10-30,29.95
2017-10-31,29.9
2017-11-01,30.35
2017-11-02,29.8
2017-11-03,31.4
2017-11-06,31.0
2017-11-07,30.2
2017-11-08,29.5
2017-11-09,29.45
2017-11-10,29.9
2017-11-13,29.5
2017-11-14,28.4
2017-11-15,28.15
2017-11-16,28.35
2017-11-17,28.5
2017-11-20,28.9
2017-11-21,28.75
2017-11-22,28.95
2017-11-23,28.6
2017-11-24,28.55
2017-11-27,34.05
2017-11-28,31.85
2017-11-29,32.0
2017-11-30,30.85
2017-12-01,30.7
2017-12-04,30.6
2017-12-05,30.15
2017-12-06,29.5
2017-12-07,29.55
2017-12-08,30.95
2017-12-11,29.95
2017-12-12,29.8
2017-12-13,29.3
2017-12-14,29.25
2017-12-15,29.35
2017-12-18,28.75
2017-12-19,29.0
2017-12-20,29.95
2017-12-21,31.2
2017-12-22,32.15
2017-12-26,32.2
2017-12-27,31.7
2017-12-28,32.1
2017-12-29,33.55
