Date,TATAGLOBAL
2017-01-02,123.55
2017-01-03,124.45
2017-01-04,124.45
2017-01-05,125.2
2017-01-06,124.65
2017-01-09,124.75
2017-01-10,124.45
2017-01-11,127.55
2017-01-12,125.15
2017-01-13,128.35
2017-01-16,127.65
2017-01-17,127.6
2017-01-18,128.65
2017-01-19,130.5
2017-01-20,126.4
2017-01-23,127.9
2017-01-24,128.45
2017-01-25,128.35
2017-01-27,129.2
2017-01-30,130.45
2017-01-31,128.85
2017-02-01,130.1
2017-02-02,137.65
2017-02-03,141.85
2017-02-06,142.75
2017-02-07,141.65
2017-02-08,146.15
2017-02-09,143.9
2017-02-10,143.95
2017-02-13,141.95
2017-02-14,141.2
2017-02-15,138.75
2017-02-16,140.1
2017-02-17,140.15
2017-02-20,141.6
2017-02-21,141.6
2017-02-22,140.0
2017-02-23,139.25
2017-02-27,138.9
2017-02-28,138.05
2017-03-01,143.6
2017-03-02,141.1
2017-03-03,143.35
2017-03-06,143.25
2017-03-07,142.75
2017-03-08,141.4
2017-03-09,140.8
2017-03-10,137.1
2017-03-14,139.5
2017-03-15,140.9
2017-03-16,144.7
2017-03-17,144.8
2017-03-20,146.45
2017-03-21,145.9
2017-03-22,143.1
2017-03-23,151.6
2017-03-24,151.15
2017-03-27,148.6
2017-03-28,150.55
2017-03-29,150.6
2017-03-30,150.15
2017-03-31,150.55
2017-04-03,151.9
2017-04-05,152.65
2017-04-06,153.05
2017-04-07,150.6
2017-04-10,150.95
2017-04-11,153.4
2017-04-12,151.75
2017-04-13,150.5
2017-04-17,149.45
2017-04-18,148.15
2017-04-19,150.2
2017-04-20,152.15
2017-04-21,151.3
2017-04-24,151.95
2017-04-25,151.7
2017-04-26,153.75
2017-04-27,152.1
2017-04-28,153.1
2017-05-02,157.7
2017-05-03,156.2
2017-05-04,155.35
2017-05-05,152.3
2017-05-08,152.6
2017-05-09,154.05
2017-05-10,154.85
2017-05-11,154.0
2017-05-12,152.65
2017-05-15,154.6
2017-05-16,154.45
2017-05-17,152.85
2017-05-18,147.5
2017-05-19,149.5
2017-05-22,147.8
2017-05-23,144.75
2017-05-24,141.7
2017-05-25,143.05
2017-05-26,146.9
2017-05-29,145.4
2017-05-30,145.55
2017-05-31,149.4
2017-06-01,152.4
2017-06-02,154.85
2017-06-05,154.95
2017-06-06,153.0
2017-06-07,155.55
2017-06-08,154.6
2017-06-09,154.4
2017-06-12,152.1
2017-06-13,156.45
2017-06-14,158.45
2017-06-15,159.1
2017-06-16,158.2
2017-06-19,156.4
2017-06-20,156.85
2017-06-21,156.8
2017-06-22,154.75
2017-06-23,151.15
2017-06-27,147.35
2017-06-28,149.15
2017-06-29,148.5
2017-06-30,150.65
2017-07-03,151.6
2017-07-04,150.05
2017-07-05,156.15
2017-07-06,153.35
2017-07-07,157.75
2017-07-10,166.55
2017-07-11,169.5
2017-07-12,173.75
2017-07-13,175.4
2017-07-14,174.2
2017-07-17,177.0
2017-07-18,173.75
2017-07-19,175.15
2017-07-20,171.3
2017-07-21,172.2
2017-07-24,170.0
2017-07-25,171.15
2017-07-26,172.2
2017-07-27,168.4
2017-07-28,169.15
2017-07-31,169.55
2017-08-01,167.5
2017-08-02,165.1
2017-08-03,166.65
2017-08-04,166.45
2017-08-07,170.45
2017-08-08,166.0
2017-08-09,162.1
2017-08-10,156.0
2017-08-11,164.2
2017-08-14,178.75
2017-08-16,193.85
2017-08-17,190.6
2017-08-18,194.4
2017-08-21,196.15
2017-08-22,189.85
2017-08-23,196.55
2017-08-24,194.25
2017-08-28,193.3
2017-08-29,190.35
2017-08-30,197.05
2017-08-31,198.0
2017-09-01,197.6
2017-09-04,193.3
2017-09-05,196.7
2017-09-06,205.95
2017-09-07,205.75
2017-09-08,206.9
2017-09-11,209.25
2017-09-12,212.05
2017-09-13,207.3
2017-09-14,212.05
2017-09-15,210.55
2017-09-18,213.3
2017-09-19,216.2
2017-09-20,213.7
2017-09-21,212.2
2017-09-22,201.15
2017-09-25,196.65
2017-09-26,204.65
2017-09-27,198.6
2017-09-28,203.15
2017-09-29,205.8
2017-10-03,206.45
2017-10-04,204.95
2017-10-05,209.45
2017-10-06,209.6
2017-10-09,208.3
2017-10-10,208.45
2017-10-11,209.4
2017-10-12,212.0
2017-10-13,210.25
2017-10-16,209.6
2017-10-17,210.3
2017-10-18,206.8
2017-10-19,204.6
2017-10-23,203.1
2017-10-24,209.65
2017-10-25,205.3
2017-10-26,209.8
2017-10-27,220.5
2017-10-30,226.8
2017-10-31,226.95
2017-11-01,227.8
2017-11-02,226.35
2017-11-03,225.3
2017-11-06,234.7
2017-11-07,225.0
2017-11-08,224.5
2017-11-09,240.45
2017-11-10,236.15
2017-11-13,234.4
2017-11-14,246.7
2017-11-15,250.9
2017-11-16,251.95
2017-11-17,259.9
2017-11-20,274.9
2017-11-21,273.15
2017-11-22,274.05
2017-11-23,274.8
2017-11-24,278.7
2017-11-27,277.45
2017-11-28,287.75
2017-11-29,280.2
2017-11-30,287.1
2017-12-01,283.55
2017-12-04,279.05
2017-12-05,279.95
2017-12-06,274.95
2017-12-07,284.0
2017-12-08,288.45
2017-12-11,298.35
2017-12-12,287.8
2017-12-13,284.45
2017-12-14,284.3
2017-12-15,286.85
2017-12-18,290.85
2017-12-19,300.65
2017-12-20,300.85
2017-12-21,300.15
2017-12-22,302.75
2017-12-26,305.95
2017-12-27,305.55
2017-12-28,306.6
2017-12-29,316.4
