Date,DEEPAKFERT
2017-01-02,210.3
2017-01-03,215.75
2017-01-04,221.65
2017-01-05,224.05
2017-01-06,225.8
2017-01-09,225.15
2017-01-10,226.05
2017-01-11,237.9
2017-01-12,239.45
2017-01-13,243.3
2017-01-16,281.15
2017-01-17,268.3
2017-01-18,264.7
2017-01-19,266.7
2017-01-20,261.55
2017-01-23,269.9
2017-01-24,262.3
2017-01-25,260.75
2017-01-27,261.65
2017-01-30,259.05
2017-01-31,249.75
2017-02-01,258.95
2017-02-02,264.35
2017-02-03,265.35
2017-02-06,269.5
2017-02-07,266.2
2017-02-08,266.25
2017-02-09,262.1
2017-02-10,259.2
2017-02-13,260.3
2017-02-14,260.65
2017-02-15,251.5
2017-02-16,250.45
2017-02-17,250.25
2017-02-20,252.8
2017-02-21,256.25
2017-02-22,252.05
2017-02-23,252.0
2017-02-27,253.55
2017-02-28,253.65
2017-03-01,252.8
2017-03-02,251.85
2017-03-03,248.55
2017-03-06,249.15
2017-03-07,249.7
2017-03-08,247.55
2017-03-09,247.6
2017-03-10,245.35
2017-03-14,257.2
2017-03-15,260.1
2017-03-16,272.9
2017-03-17,266.15
2017-03-20,261.25
2017-03-21,259.7
2017-03-22,255.85
2017-03-23,253.65
2017-03-24,252.85
2017-03-27,246.2
2017-03-28,256.25
2017-03-29,252.5
2017-03-30,254.8
2017-03-31,260.35
2017-04-03,260.65
2017-04-05,262.4
2017-04-06,256.65
2017-04-07,254.9
2017-04-10,258.65
2017-04-11,260.45
2017-04-12,259.6
2017-04-13,261.65
2017-04-17,264.05
2017-04-18,267.65
2017-04-19,266.35
2017-04-20,284.1
2017-04-21,281.45
2017-04-24,280.65
2017-04-25,281.1
2017-04-26,272.15
2017-04-27,269.15
2017-04-28,267.3
2017-05-02,266.25
2017-05-03,263.55
2017-05-04,268.85
2017-05-05,264.45
2017-05-08,265.3
2017-05-09,261.55
2017-05-10,259.2
2017-05-11,259.05
2017-05-12,260.35
2017-05-15,259.85
2017-05-16,256.85
2017-05-17,257.0
2017-05-18,252.8
2017-05-19,254.1
2017-05-22,249.25
2017-05-23,242.5
2017-05-24,236.3
2017-05-25,244.15
2017-05-26,249.25
2017-05-29,249.4
2017-05-30,251.0
2017-05-31,253.0
2017-06-01,250.2
2017-06-02,250.65
2017-06-05,249.6
2017-06-06,249.25
2017-06-07,252.95
2017-06-08,260.3
2017-06-09,263.4
2017-06-12,264.15
2017-06-13,267.85
2017-06-14,265.55
2017-06-15,265.35
2017-06-16,271.65
2017-06-19,272.9
2017-06-20,271.0
2017-06-21,275.15
2017-06-22,272.65
2017-06-23,266.9
2017-06-27,268.85
2017-06-28,269.65
2017-06-29,272.7
2017-06-30,268.95
2017-07-03,299.1
2017-07-04,299.5
2017-07-05,296.0
2017-07-06,290.85
2017-07-07,288.6
2017-07-10,290.1
2017-07-11,285.45
2017-07-12,282.4
2017-07-13,282.95
2017-07-14,280.15
2017-07-17,278.5
2017-07-18,281.55
2017-07-19,283.45
2017-07-20,299.45
2017-07-21,310.0
2017-07-24,312.95
2017-07-25,315.7
2017-07-26,355.3
2017-07-27,341.35
2017-07-28,357.05
2017-07-31,359.35
2017-08-01,364.3
2017-08-02,356.1
2017-08-03,357.4
2017-08-04,358.2
2017-08-07,352.9
2017-08-08,352.5
2017-08-09,351.6
2017-08-10,334.6
2017-08-11,336.15
2017-08-14,345.65
2017-08-16,367.7
2017-08-17,372.4
2017-08-18,388.05
2017-08-21,376.9
2017-08-22,378.6
2017-08-23,379.9
2017-08-24,392.5
2017-08-28,383.9
2017-08-29,371.25
2017-08-30,377.35
2017-08-31,376.75
2017-09-01,379.4
2017-09-04,377.35
2017-09-05,374.55
2017-09-06,377.15
2017-09-07,377.0
2017-09-08,373.95
2017-09-11,380.6
2017-09-12,375.2
2017-09-13,389.5
2017-09-14,382.85
2017-09-15,380.95
2017-09-18,380.2
2017-09-19,376.25
2017-09-20,372.65
2017-09-21,377.5
2017-09-22,367.35
2017-09-25,375.65
2017-09-26,379.0
2017-09-27,358.5
2017-09-28,364.75
2017-09-29,369.55
2017-10-03,372.85
2017-10-04,376.25
2017-10-05,383.55
2017-10-06,382.15
2017-10-09,395.1
2017-10-10,435.55
2017-10-11,419.8
2017-10-12,434.95
2017-10-13,435.15
2017-10-16,440.45
2017-10-17,439.55
2017-10-18,437.75
2017-10-19,438.85
2017-10-23,447.25
2017-10-24,458.95
2017-10-25,462.2
2017-10-26,466.55
2017-10-27,469.4
2017-10-30,469.5
2017-10-31,474.15
2017-11-01,480.2
2017-11-02,481.55
2017-11-03,460.2
2017-11-06,451.75
2017-11-07,440.65
2017-11-08,436.45
2017-11-09,429.25
2017-11-10,431.9
2017-11-13,420.55
2017-11-14,410.4
2017-11-15,401.3
2017-11-16,398.5
2017-11-17,400.8
2017-11-20,400.85
2017-11-21,412.85
2017-11-22,411.45
2017-11-23,404.9
2017-11-24,407.3
2017-11-27,411.7
2017-11-28,404.75
2017-11-29,395.45
2017-11-30,402.15
2017-12-01,391.95
2017-12-04,378.7
2017-12-05,380.55
2017-12-06,379.05
2017-12-07,382.0
2017-12-08,387.7
2017-12-11,401.75
2017-12-12,392.25
2017-12-13,383.35
2017-12-14,386.6
2017-12-15,395.5
2017-12-18,395.2
2017-12-19,392.45
2017-12-20,391.6
2017-12-21,392.05
2017-12-22,391.25
2017-12-26,395.45
2017-12-27,405.2
2017-12-28,425.9
2017-12-29,426.65
