Date,GUFICBIO
2017-01-02,53.15
2017-01-03,57.05
2017-01-04,59.8
2017-01-05,61.05
2017-01-06,59.05
2017-01-09,59.85
2017-01-10,58.05
2017-01-11,56.35
2017-01-12,54.4
2017-01-13,54.65
2017-01-16,55.3
2017-01-17,55.05
2017-01-18,54.1
2017-01-19,59.05
2017-01-20,56.75
2017-01-23,57.25
2017-01-24,56.55
2017-01-25,61.45
2017-01-27,62.4
2017-01-30,59.85
2017-01-31,62.0
2017-02-01,62.75
2017-02-02,61.8
2017-02-03,62.1
2017-02-06,63.15
2017-02-07,60.9
2017-02-08,61.3
2017-02-09,60.2
2017-02-10,60.6
2017-02-13,61.55
2017-02-14,59.65
2017-02-15,57.9
2017-02-16,58.6
2017-02-17,58.55
2017-02-20,58.7
2017-02-21,57.75
2017-02-22,57.6
2017-02-23,57.1
2017-02-27,57.4
2017-02-28,56.6
2017-03-01,57.1
2017-03-02,57.3
2017-03-03,55.75
2017-03-06,55.1
2017-03-07,54.8
2017-03-08,56.2
2017-03-09,58.7
2017-03-10,57.1
2017-03-14,56.2
2017-03-15,55.1
2017-03-16,55.95
2017-03-17,55.4
2017-03-20,58.65
2017-03-21,62.2
2017-03-22,61.95
2017-03-23,66.3
2017-03-24,67.4
2017-03-27,66.9
2017-03-28,69.55
2017-03-29,66.0
2017-03-30,65.0
2017-03-31,66.4
2017-04-03,67.2
2017-04-05,69.4
2017-04-06,68.75
2017-04-07,70.7
2017-04-10,71.35
2017-04-11,70.6
2017-04-12,68.4
2017-04-13,69.4
2017-04-17,68.9
2017-04-18,66.8
2017-04-19,66.45
2017-04-20,68.0
2017-04-21,67.85
2017-04-24,66.6
2017-04-25,67.1
2017-04-26,69.3
2017-04-27,67.7
2017-04-28,67.0
2017-05-02,67.65
2017-05-03,66.75
2017-05-04,66.35
2017-05-05,65.45
2017-05-08,66.15
2017-05-09,65.5
2017-05-10,66.4
2017-05-11,65.05
2017-05-12,64.6
2017-05-15,65.6
2017-05-16,64.9
2017-05-17,64.3
2017-05-18,73.4
2017-05-19,70.6
2017-05-22,69.1
2017-05-23,65.15
2017-05-24,63.8
2017-05-25,65.2
2017-05-26,67.3
2017-05-29,65.35
2017-05-30,64.5
2017-05-31,66.3
2017-06-01,66.25
2017-06-02,69.0
2017-06-05,68.45
2017-06-06,70.7
2017-06-07,69.55
2017-06-08,68.85
2017-06-09,68.6
2017-06-12,72.7
2017-06-13,70.9
2017-06-14,70.65
2017-06-15,71.1
2017-06-16,70.5
2017-06-19,70.95
2017-06-20,73.7
2017-06-21,75.05
2017-06-22,72.85
2017-06-23,71.35
2017-06-27,69.5
2017-06-28,70.1
2017-06-29,70.5
2017-06-30,69.95
2017-07-03,70.95
2017-07-04,72.15
2017-07-05,72.45
2017-07-06,71.9
2017-07-07,72.0
2017-07-10,72.95
2017-07-11,71.95
2017-07-12,71.5
2017-07-13,72.2
2017-07-14,74.35
2017-07-17,73.75
2017-07-18,72.65
2017-07-19,74.7
2017-07-20,77.45
2017-07-21,77.2
2017-07-24,75.15
2017-07-25,74.85
2017-07-26,74.8
2017-07-27,72.7
2017-07-28,73.75
2017-07-31,72.75
2017-08-01,73.1
2017-08-02,72.8
2017-08-03,72.4
2017-08-04,72.25
2017-08-07,73.65
2017-08-08,73.4
2017-08-09,71.6
2017-08-10,68.5
2017-08-11,68.95
2017-08-14,70.55
2017-08-16,71.4
2017-08-17,71.85
2017-08-18,70.8
2017-08-21,68.75
2017-08-22,68.2
2017-08-23,68.5
2017-08-24,69.15
2017-08-28,67.9
2017-08-29,67.7
2017-08-30,68.8
2017-08-31,69.5
2017-09-01,68.85
2017-09-04,68.15
2017-09-05,68.9
2017-09-06,68.5
2017-09-07,70.25
2017-09-08,69.3
2017-09-11,69.15
2017-09-12,70.1
2017-09-13,69.3
2017-09-14,69.2
2017-09-15,70.5
2017-09-18,73.15
2017-09-19,70.65
2017-09-20,71.4
2017-09-21,76.95
2017-09-22,74.4
2017-09-25,83.25
2017-09-26,78.35
2017-09-27,74.85
2017-09-28,79.0
2017-09-29,81.85
2017-10-03,80.45
2017-10-04,82.1
2017-10-05,81.65
2017-10-06,88.5
2017-10-09,86.5
2017-10-10,87.45
2017-10-11,85.7
2017-10-12,86.1
2017-10-13,86.55
2017-10-16,86.4
2017-10-17,84.7
2017-10-18,84.25
2017-10-19,82.85
2017-10-23,83.0
2017-10-24,95.95
2017-10-25,90.2
2017-10-26,93.0
2017-10-27,91.15
2017-10-30,91.3
2017-10-31,90.9
2017-11-01,90.65
2017-11-02,89.15
2017-11-03,91.25
2017-11-06,89.45
2017-11-07,87.3
2017-11-08,87.4
2017-11-09,87.8
2017-11-10,87.15
2017-11-13,87.2
2017-11-14,86.45
2017-11-15,84.75
2017-11-16,88.0
2017-11-17,89.0
2017-11-20,92.3
2017-11-21,91.55
2017-11-22,89.55
2017-11-23,92.05
2017-11-24,92.1
2017-11-27,98.05
2017-11-28,97.4
2017-11-29,95.55
2017-11-30,99.05
2017-12-01,95.55
2017-12-04,96.9
2017-12-05,96.2
2017-12-06,94.6
2017-12-07,95.9
2017-12-08,95.0
2017-12-11,97.65
2017-12-12,102.3
2017-12-13,98.75
2017-12-14,98.5
2017-12-15,103.7
2017-12-18,111.25
2017-12-19,126.95
2017-12-20,129.55
2017-12-21,125.1
2017-12-22,124.4
2017-12-26,124.3
2017-12-27,129.0
2017-12-28,128.15
2017-12-29,126.75
