Date,WABCOINDIA
2017-01-02,5241.85
2017-01-03,5247.95
2017-01-04,5260.9
2017-01-05,5263.55
2017-01-06,5206.1
2017-01-09,5299.85
2017-01-10,5282.85
2017-01-11,5389.4
2017-01-12,5309.15
2017-01-13,5225.15
2017-01-16,5170.85
2017-01-17,5123.85
2017-01-18,5165.75
2017-01-19,5307.6
2017-01-20,5247.05
2017-01-23,5200.5
2017-01-24,5247.65
2017-01-25,5235.55
2017-01-27,5288.25
2017-01-30,5187.7
2017-01-31,5533.25
2017-02-01,5765.5
2017-02-02,5648.45
2017-02-03,5553.0
2017-02-06,5593.9
2017-02-07,5576.05
2017-02-08,5552.95
2017-02-09,5533.85
2017-02-10,5554.6
2017-02-13,5552.0
2017-02-14,5577.8
2017-02-15,5423.1
2017-02-16,5588.3
2017-02-17,5526.65
2017-02-20,5551.5
2017-02-21,5421.35
2017-02-22,5475.4
2017-02-23,5465.55
2017-02-27,5375.4
2017-02-28,5452.0
2017-03-01,5351.15
2017-03-02,5386.45
2017-03-03,5388.65
2017-03-06,5346.25
2017-03-07,5315.55
2017-03-08,5290.05
2017-03-09,5279.85
2017-03-10,5239.85
2017-03-14,5301.85
2017-03-15,5332.95
2017-03-16,5548.1
2017-03-17,5539.55
2017-03-20,5499.55
2017-03-21,5513.15
2017-03-22,5453.1
2017-03-23,5372.0
2017-03-24,6028.3
2017-03-27,6142.8
2017-03-28,6031.55
2017-03-29,5830.9
2017-03-30,5991.55
2017-03-31,5826.1
2017-04-03,5853.85
2017-04-05,5794.25
2017-04-06,5771.2
2017-04-07,5765.45
2017-04-10,5930.85
2017-04-11,6134.5
2017-04-12,6092.7
2017-04-13,6113.75
2017-04-17,6050.6
2017-04-18,6152.1
2017-04-19,6116.7
2017-04-20,6181.55
2017-04-21,6089.0
2017-04-24,6171.55
2017-04-25,6190.4
2017-04-26,6187.95
2017-04-27,6166.05
2017-04-28,5991.25
2017-05-02,5888.85
2017-05-03,5896.9
2017-05-04,6005.05
2017-05-05,5902.4
2017-05-08,5885.65
2017-05-09,5928.35
2017-05-10,5997.7
2017-05-11,5987.55
2017-05-12,5889.4
2017-05-15,5889.7
2017-05-16,5863.05
2017-05-17,5850.8
2017-05-18,5900.3
2017-05-19,5874.65
2017-05-22,5784.0
2017-05-23,5695.75
2017-05-24,5931.1
2017-05-25,5796.55
2017-05-26,5940.05
2017-05-29,5826.75
2017-05-30,5828.2
2017-05-31,5826.35
2017-06-01,5788.9
2017-06-02,5728.6
2017-06-05,5757.5
2017-06-06,5757.7
2017-06-07,5803.2
2017-06-08,5700.35
2017-06-09,5696.4
2017-06-12,5673.25
2017-06-13,5717.65
2017-06-14,5779.65
2017-06-15,5625.7
2017-06-16,5621.8
2017-06-19,5663.3
2017-06-20,5702.55
2017-06-21,5704.65
2017-06-22,5685.35
2017-06-23,5744.8
2017-06-27,5599.95
2017-06-28,5546.25
2017-06-29,5498.9
2017-06-30,5516.9
2017-07-03,5505.45
2017-07-04,5606.05
2017-07-05,5666.7
2017-07-06,5726.0
2017-07-07,5646.15
2017-07-10,5667.85
2017-07-11,5608.75
2017-07-12,5527.4
2017-07-13,5536.1
2017-07-14,5509.15
2017-07-17,5478.5
2017-07-18,5439.25
2017-07-19,5442.7
2017-07-20,5439.0
2017-07-21,5378.85
2017-07-24,5376.3
2017-07-25,5356.8
2017-07-26,5321.2
2017-07-27,5423.7
2017-07-28,5387.65
2017-07-31,5463.7
2017-08-01,5509.05
2017-08-02,5545.85
2017-08-03,5537.05
2017-08-04,5690.0
2017-08-07,5645.9
2017-08-08,5540.5
2017-08-09,5492.1
2017-08-10,5425.0
2017-08-11,5371.1
2017-08-14,5626.8
2017-08-16,5591.2
2017-08-17,5558.4
2017-08-18,5521.15
2017-08-21,5649.25
2017-08-22,5655.2
2017-08-23,5541.15
2017-08-24,5522.0
2017-08-28,5523.9
2017-08-29,5451.75
2017-08-30,5430.7
2017-08-31,5489.4
2017-09-01,5508.0
2017-09-04,5441.95
2017-09-05,5492.7
2017-09-06,5493.45
2017-09-07,5631.05
2017-09-08,5643.5
2017-09-11,5836.3
2017-09-12,5863.1
2017-09-13,6054.15
2017-09-14,6119.45
2017-09-15,6105.7
2017-09-18,6170.35
2017-09-19,6315.25
2017-09-20,6190.2
2017-09-21,6044.4
2017-09-22,5983.6
2017-09-25,5994.0
2017-09-26,5965.2
2017-09-27,5818.25
2017-09-28,5855.4
2017-09-29,5989.55
2017-10-03,6042.2
2017-10-04,6101.15
2017-10-05,6018.15
2017-10-06,6065.95
2017-10-09,6331.75
2017-10-10,6261.6
2017-10-11,6189.55
2017-10-12,6145.65
2017-10-13,6342.9
2017-10-16,6218.2
2017-10-17,6209.45
2017-10-18,6188.15
2017-10-19,6157.9
2017-10-23,6083.2
2017-10-24,6002.75
2017-10-25,6315.7
2017-10-26,6218.5
2017-10-27,6175.25
2017-10-30,6220.4
2017-10-31,6362.15
2017-11-01,6695.6
2017-11-02,6714.35
2017-11-03,6702.65
2017-11-06,6836.75
2017-11-07,6956.5
2017-11-08,6914.05
2017-11-09,6811.85
2017-11-10,6760.15
2017-11-13,6641.65
2017-11-14,6567.15
2017-11-15,6476.45
2017-11-16,6515.15
2017-11-17,6476.6
2017-11-20,6463.8
2017-11-21,6610.1
2017-11-22,6667.05
2017-11-23,6782.55
2017-11-24,6946.7
2017-11-27,6958.2
2017-11-28,7184.05
2017-11-29,7196.0
2017-11-30,7270.9
2017-12-01,7176.4
2017-12-04,7128.75
2017-12-05,6980.1
2017-12-06,6963.05
2017-12-07,6997.6
2017-12-08,7081.5
2017-12-11,7049.05
2017-12-12,6939.6
2017-12-13,7073.7
2017-12-14,7115.8
2017-12-15,7350.4
2017-12-18,7301.55
2017-12-19,7197.9
2017-12-20,7121.05
2017-12-21,7052.85
2017-12-22,7054.2
2017-12-26,7152.15
2017-12-27,7012.05
2017-12-28,7043.65
2017-12-29,7337.35
