Date,MGL
2017-01-02,803.95
2017-01-03,822.7
2017-01-04,840.25
2017-01-05,851.6
2017-01-06,840.85
2017-01-09,848.2
2017-01-10,842.85
2017-01-11,844.05
2017-01-12,840.8
2017-01-13,842.5
2017-01-16,839.15
2017-01-17,837.1
2017-01-18,852.4
2017-01-19,865.25
2017-01-20,851.05
2017-01-23,864.1
2017-01-24,875.65
2017-01-25,874.65
2017-01-27,873.15
2017-01-30,872.35
2017-01-31,854.35
2017-02-01,884.45
2017-02-02,872.35
2017-02-03,873.4
2017-02-06,906.3
2017-02-07,930.7
2017-02-08,921.15
2017-02-09,921.4
2017-02-10,919.65
2017-02-13,921.6
2017-02-14,916.25
2017-02-15,914.3
2017-02-16,900.9
2017-02-17,861.45
2017-02-20,871.95
2017-02-21,881.55
2017-02-22,874.35
2017-02-23,863.55
2017-02-27,876.85
2017-02-28,873.85
2017-03-01,873.55
2017-03-02,879.9
2017-03-03,864.1
2017-03-06,849.65
2017-03-07,858.55
2017-03-08,856.45
2017-03-09,853.3
2017-03-10,850.45
2017-03-14,855.25
2017-03-15,849.65
2017-03-16,846.8
2017-03-17,859.8
2017-03-20,883.25
2017-03-21,901.55
2017-03-22,893.45
2017-03-23,891.45
2017-03-24,891.6
2017-03-27,896.2
2017-03-28,899.05
2017-03-29,898.9
2017-03-30,895.15
2017-03-31,895.4
2017-04-03,893.9
2017-04-05,884.1
2017-04-06,895.7
2017-04-07,885.0
2017-04-10,899.15
2017-04-11,935.45
2017-04-12,948.0
2017-04-13,950.85
2017-04-17,979.2
2017-04-18,975.7
2017-04-19,1001.3
2017-04-20,1019.9
2017-04-21,1003.6
2017-04-24,1007.25
2017-04-25,1014.35
2017-04-26,1006.3
2017-04-27,1016.2
2017-04-28,1031.2
2017-05-02,1016.0
2017-05-03,1002.75
2017-05-04,1000.35
2017-05-05,993.6
2017-05-08,994.15
2017-05-09,991.8
2017-05-10,1007.95
2017-05-11,1000.5
2017-05-12,980.9
2017-05-15,994.85
2017-05-16,990.4
2017-05-17,1008.25
2017-05-18,978.05
2017-05-19,981.6
2017-05-22,975.1
2017-05-23,950.6
2017-05-24,935.5
2017-05-25,956.15
2017-05-26,956.75
2017-05-29,970.55
2017-05-30,981.0
2017-05-31,966.3
2017-06-01,961.4
2017-06-02,985.85
2017-06-05,984.1
2017-06-06,993.6
2017-06-07,989.75
2017-06-08,988.75
2017-06-09,973.6
2017-06-12,961.5
2017-06-13,963.6
2017-06-14,968.55
2017-06-15,969.75
2017-06-16,978.15
2017-06-19,983.8
2017-06-20,981.2
2017-06-21,994.65
2017-06-22,988.8
2017-06-23,980.45
2017-06-27,964.0
2017-06-28,964.9
2017-06-29,981.45
2017-06-30,988.6
2017-07-03,992.4
2017-07-04,985.25
2017-07-05,981.7
2017-07-06,977.85
2017-07-07,975.45
2017-07-10,978.3
2017-07-11,983.2
2017-07-12,1002.25
2017-07-13,994.35
2017-07-14,987.4
2017-07-17,985.25
2017-07-18,976.2
2017-07-19,976.35
2017-07-20,985.2
2017-07-21,984.0
2017-07-24,984.5
2017-07-25,984.5
2017-07-26,978.5
2017-07-27,978.05
2017-07-28,986.25
2017-07-31,999.3
2017-08-01,996.0
2017-08-02,997.25
2017-08-03,1009.95
2017-08-04,1026.15
2017-08-07,1039.2
2017-08-08,1062.15
2017-08-09,1035.5
2017-08-10,965.8
2017-08-11,985.75
2017-08-14,1033.1
2017-08-16,1037.7
2017-08-17,1035.45
2017-08-18,1040.5
2017-08-21,1030.75
2017-08-22,1012.05
2017-08-23,1023.3
2017-08-24,1022.5
2017-08-28,1026.95
2017-08-29,1012.2
2017-08-30,1038.85
2017-08-31,1043.85
2017-09-01,1051.4
2017-09-04,1056.95
2017-09-05,1077.5
2017-09-06,1109.15
2017-09-07,1127.75
2017-09-08,1128.05
2017-09-11,1148.9
2017-09-12,1179.75
2017-09-13,1150.1
2017-09-14,1138.4
2017-09-15,1115.95
2017-09-18,1117.65
2017-09-19,1124.3
2017-09-20,1118.55
2017-09-21,1116.15
2017-09-22,1083.2
2017-09-25,1077.45
2017-09-26,1083.4
2017-09-27,1062.85
2017-09-28,1084.15
2017-09-29,1094.8
2017-10-03,1082.6
2017-10-04,1096.15
2017-10-05,1091.75
2017-10-06,1129.5
2017-10-09,1149.0
2017-10-10,1166.95
2017-10-11,1142.15
2017-10-12,1179.75
2017-10-13,1168.25
2017-10-16,1166.6
2017-10-17,1163.65
2017-10-18,1198.9
2017-10-19,1196.0
2017-10-23,1227.75
2017-10-24,1207.35
2017-10-25,1184.1
2017-10-26,1180.7
2017-10-27,1213.55
2017-10-30,1218.15
2017-10-31,1202.2
2017-11-01,1253.05
2017-11-02,1252.3
2017-11-03,1259.85
2017-11-06,1279.4
2017-11-07,1256.9
2017-11-08,1223.05
2017-11-09,1156.9
2017-11-10,1126.1
2017-11-13,1103.35
2017-11-14,1114.75
2017-11-15,1115.8
2017-11-16,1087.6
2017-11-17,1075.6
2017-11-20,1066.25
2017-11-21,1113.75
2017-11-22,1097.7
2017-11-23,1089.4
2017-11-24,1103.4
2017-11-27,1104.9
2017-11-28,1122.85
2017-11-29,1115.4
2017-11-30,1108.55
2017-12-01,1095.1
2017-12-04,1116.8
2017-12-05,1103.55
2017-12-06,1101.35
2017-12-07,1145.45
2017-12-08,1146.75
2017-12-11,1133.2
2017-12-12,1121.5
2017-12-13,1110.7
2017-12-14,1096.35
2017-12-15,1103.05
2017-12-18,1115.45
2017-12-19,1133.25
2017-12-20,1114.85
2017-12-21,1120.15
2017-12-22,1118.4
2017-12-26,1114.15
2017-12-27,1106.8
2017-12-28,1087.7
2017-12-29,1094.5
