Date,ALBERTDAVD
2017-01-02,344.35
2017-01-03,342.8
2017-01-04,345.65
2017-01-05,343.8
2017-01-06,355.2
2017-01-09,356.1
2017-01-10,358.6
2017-01-11,368.85
2017-01-12,374.65
2017-01-13,372.85
2017-01-16,374.35
2017-01-17,374.45
2017-01-18,372.2
2017-01-19,376.2
2017-01-20,372.1
2017-01-23,369.0
2017-01-24,371.3
2017-01-25,375.35
2017-01-27,374.75
2017-01-30,376.85
2017-01-31,373.4
2017-02-01,372.95
2017-02-02,369.2
2017-02-03,371.7
2017-02-06,374.6
2017-02-07,375.0
2017-02-08,377.0
2017-02-09,375.6
2017-02-10,377.95
2017-02-13,368.4
2017-02-14,341.7
2017-02-15,339.5
2017-02-16,341.4
2017-02-17,343.45
2017-02-20,344.65
2017-02-21,342.15
2017-02-22,341.9
2017-02-23,340.2
2017-02-27,339.7
2017-02-28,340.5
2017-03-01,339.25
2017-03-02,335.65
2017-03-03,334.2
2017-03-06,337.05
2017-03-07,333.2
2017-03-08,332.7
2017-03-09,329.9
2017-03-10,328.6
2017-03-14,328.05
2017-03-15,330.3
2017-03-16,332.6
2017-03-17,332.8
2017-03-20,329.95
2017-03-21,330.0
2017-03-22,316.25
2017-03-23,322.85
2017-03-24,323.85
2017-03-27,321.8
2017-03-28,318.95
2017-03-29,319.35
2017-03-30,318.8
2017-03-31,317.55
2017-04-03,320.5
2017-04-05,321.4
2017-04-06,324.5
2017-04-07,330.8
2017-04-10,331.1
2017-04-11,334.7
2017-04-12,334.9
2017-04-13,333.15
2017-04-17,334.7
2017-04-18,335.1
2017-04-19,334.55
2017-04-20,335.35
2017-04-21,333.35
2017-04-24,325.75
2017-04-25,326.8
2017-04-26,324.85
2017-04-27,325.0
2017-04-28,324.55
2017-05-02,324.1
2017-05-03,323.1
2017-05-04,321.65
2017-05-05,325.1
2017-05-08,319.95
2017-05-09,322.05
2017-05-10,321.9
2017-05-11,321.35
2017-05-12,318.1
2017-05-15,325.1
2017-05-16,325.25
2017-05-17,323.55
2017-05-18,319.75
2017-05-19,319.4
2017-05-22,318.15
2017-05-23,301.7
2017-05-24,289.65
2017-05-25,298.65
2017-05-26,292.85
2017-05-29,284.7
2017-05-30,287.6
2017-05-31,324.5
2017-06-01,316.55
2017-06-02,331.85
2017-06-05,335.85
2017-06-06,331.1
2017-06-07,332.0
2017-06-08,328.3
2017-06-09,327.3
2017-06-12,324.3
2017-06-13,325.2
2017-06-14,323.85
2017-06-15,324.0
2017-06-16,326.3
2017-06-19,323.45
2017-06-20,320.0
2017-06-21,319.5
2017-06-22,320.75
2017-06-23,314.9
2017-06-27,307.7
2017-06-28,310.85
2017-06-29,311.3
2017-06-30,310.85
2017-07-03,314.65
2017-07-04,314.8
2017-07-05,319.2
2017-07-06,329.6
2017-07-07,327.1
2017-07-10,325.05
2017-07-11,327.2
2017-07-12,326.75
2017-07-13,326.75
2017-07-14,324.0
2017-07-17,320.25
2017-07-18,323.15
2017-07-19,329.85
2017-07-20,325.5
2017-07-21,325.8
2017-07-24,331.15
2017-07-25,335.3
2017-07-26,333.0
2017-07-27,325.0
2017-07-28,327.4
2017-07-31,330.15
2017-08-01,326.35
2017-08-02,324.7
2017-08-03,320.95
2017-08-04,317.7
2017-08-07,321.75
2017-08-08,319.45
2017-08-09,319.75
2017-08-10,312.85
2017-08-11,299.05
2017-08-14,304.05
2017-08-16,310.1
2017-08-17,313.7
2017-08-18,310.1
2017-08-21,308.6
2017-08-22,311.35
2017-08-23,312.9
2017-08-24,312.55
2017-08-28,319.65
2017-08-29,317.5
2017-08-30,322.05
2017-08-31,334.25
2017-09-01,322.55
2017-09-04,318.8
2017-09-05,321.15
2017-09-06,322.85
2017-09-07,323.8
2017-09-08,320.35
2017-09-11,320.5
2017-09-12,321.85
2017-09-13,296.2
2017-09-14,298.6
2017-09-15,295.4
2017-09-18,292.1
2017-09-19,291.0
2017-09-20,293.45
2017-09-21,292.5
2017-09-22,287.8
2017-09-25,284.65
2017-09-26,284.3
2017-09-27,278.5
2017-09-28,277.65
2017-09-29,286.05
2017-10-03,285.75
2017-10-04,286.45
2017-10-05,285.8
2017-10-06,279.9
2017-10-09,282.55
2017-10-10,286.4
2017-10-11,282.85
2017-10-12,280.15
2017-10-13,286.95
2017-10-16,284.85
2017-10-17,281.85
2017-10-18,280.05
2017-10-19,283.05
2017-10-23,292.45
2017-10-24,292.75
2017-10-25,289.7
2017-10-26,290.0
2017-10-27,292.15
2017-10-30,285.9
2017-10-31,287.25
2017-11-01,287.0
2017-11-02,288.25
2017-11-03,303.7
2017-11-06,300.95
2017-11-07,293.8
2017-11-08,291.0
2017-11-09,286.25
2017-11-10,286.85
2017-11-13,286.0
2017-11-14,280.35
2017-11-15,278.15
2017-11-16,287.15
2017-11-17,292.0
2017-11-20,290.05
2017-11-21,300.6
2017-11-22,305.95
2017-11-23,323.55
2017-11-24,361.2
2017-11-27,359.85
2017-11-28,360.15
2017-11-29,348.25
2017-11-30,351.1
2017-12-01,335.35
2017-12-04,331.6
2017-12-05,351.9
2017-12-06,340.2
2017-12-07,335.55
2017-12-08,335.8
2017-12-11,338.75
2017-12-12,348.3
2017-12-13,345.25
2017-12-14,336.2
2017-12-15,337.8
2017-12-18,330.45
2017-12-19,349.2
2017-12-20,343.45
2017-12-21,348.3
2017-12-22,343.3
2017-12-26,342.6
2017-12-27,346.3
2017-12-28,345.25
2017-12-29,350.45
