Date,GODREJIND
2017-01-02,433.35
2017-01-03,434.05
2017-01-04,432.7
2017-01-05,435.15
2017-01-06,442.55
2017-01-09,439.3
2017-01-10,442.25
2017-01-11,442.5
2017-01-12,440.9
2017-01-13,440.8
2017-01-16,439.35
2017-01-17,433.1
2017-01-18,434.0
2017-01-19,434.5
2017-01-20,433.85
2017-01-23,434.75
2017-01-24,430.3
2017-01-25,427.55
2017-01-27,430.2
2017-01-30,428.85
2017-01-31,428.75
2017-02-01,435.2
2017-02-02,481.4
2017-02-03,485.75
2017-02-06,500.65
2017-02-07,506.3
2017-02-08,513.8
2017-02-09,511.6
2017-02-10,518.4
2017-02-13,516.15
2017-02-14,516.95
2017-02-15,519.7
2017-02-16,505.1
2017-02-17,483.85
2017-02-20,491.3
2017-02-21,508.5
2017-02-22,505.35
2017-02-23,504.85
2017-02-27,496.5
2017-02-28,502.0
2017-03-01,498.7
2017-03-02,481.95
2017-03-03,488.65
2017-03-06,484.75
2017-03-07,481.25
2017-03-08,480.8
2017-03-09,478.9
2017-03-10,492.95
2017-03-14,501.15
2017-03-15,497.85
2017-03-16,513.15
2017-03-17,504.05
2017-03-20,502.6
2017-03-21,500.45
2017-03-22,491.65
2017-03-23,491.45
2017-03-24,492.65
2017-03-27,504.3
2017-03-28,503.2
2017-03-29,503.5
2017-03-30,502.45
2017-03-31,505.2
2017-04-03,530.25
2017-04-05,535.75
2017-04-06,538.15
2017-04-07,531.15
2017-04-10,539.05
2017-04-11,537.65
2017-04-12,537.7
2017-04-13,528.05
2017-04-17,529.5
2017-04-18,522.55
2017-04-19,519.65
2017-04-20,523.35
2017-04-21,521.8
2017-04-24,520.5
2017-04-25,537.65
2017-04-26,529.75
2017-04-27,533.0
2017-04-28,534.35
2017-05-02,550.65
2017-05-03,554.75
2017-05-04,557.9
2017-05-05,544.05
2017-05-08,545.95
2017-05-09,568.0
2017-05-10,566.35
2017-05-11,566.8
2017-05-12,564.6
2017-05-15,578.55
2017-05-16,584.8
2017-05-17,588.6
2017-05-18,574.6
2017-05-19,578.0
2017-05-22,565.95
2017-05-23,561.3
2017-05-24,569.95
2017-05-25,583.9
2017-05-26,593.5
2017-05-29,585.25
2017-05-30,610.2
2017-05-31,604.55
2017-06-01,615.3
2017-06-02,611.9
2017-06-05,614.35
2017-06-06,599.85
2017-06-07,607.45
2017-06-08,609.35
2017-06-09,623.55
2017-06-12,614.4
2017-06-13,623.35
2017-06-14,645.0
2017-06-15,636.8
2017-06-16,638.45
2017-06-19,640.0
2017-06-20,645.75
2017-06-21,648.4
2017-06-22,635.85
2017-06-23,627.55
2017-06-27,619.3
2017-06-28,618.2
2017-06-29,629.75
2017-06-30,637.8
2017-07-03,645.9
2017-07-04,649.0
2017-07-05,658.65
2017-07-06,657.95
2017-07-07,658.7
2017-07-10,663.05
2017-07-11,673.3
2017-07-12,671.25
2017-07-13,666.95
2017-07-14,663.6
2017-07-17,662.5
2017-07-18,657.9
2017-07-19,672.45
2017-07-20,690.45
2017-07-21,680.2
2017-07-24,681.95
2017-07-25,679.7
2017-07-26,674.45
2017-07-27,669.15
2017-07-28,664.6
2017-07-31,663.0
2017-08-01,654.65
2017-08-02,647.65
2017-08-03,654.45
2017-08-04,649.95
2017-08-07,638.0
2017-08-08,629.25
2017-08-09,601.9
2017-08-10,576.7
2017-08-11,559.3
2017-08-14,576.3
2017-08-16,610.95
2017-08-17,605.25
2017-08-18,598.0
2017-08-21,582.9
2017-08-22,577.65
2017-08-23,600.3
2017-08-24,604.65
2017-08-28,613.8
2017-08-29,601.95
2017-08-30,620.25
2017-08-31,612.35
2017-09-01,624.3
2017-09-04,610.9
2017-09-05,615.55
2017-09-06,617.5
2017-09-07,632.75
2017-09-08,632.2
2017-09-11,631.4
2017-09-12,648.25
2017-09-13,634.75
2017-09-14,635.95
2017-09-15,639.6
2017-09-18,639.8
2017-09-19,639.35
2017-09-20,623.8
2017-09-21,614.05
2017-09-22,589.2
2017-09-25,575.95
2017-09-26,591.05
2017-09-27,572.3
2017-09-28,574.85
2017-09-29,588.25
2017-10-03,591.8
2017-10-04,589.65
2017-10-05,585.8
2017-10-06,600.9
2017-10-09,599.85
2017-10-10,608.9
2017-10-11,609.45
2017-10-12,614.1
2017-10-13,620.35
2017-10-16,611.8
2017-10-17,606.05
2017-10-18,596.2
2017-10-19,591.0
2017-10-23,579.45
2017-10-24,583.5
2017-10-25,574.45
2017-10-26,570.7
2017-10-27,584.75
2017-10-30,594.95
2017-10-31,593.05
2017-11-01,595.95
2017-11-02,589.75
2017-11-03,585.1
2017-11-06,579.6
2017-11-07,561.8
2017-11-08,551.2
2017-11-09,562.1
2017-11-10,567.05
2017-11-13,557.05
2017-11-14,556.95
2017-11-15,538.55
2017-11-16,540.35
2017-11-17,554.6
2017-11-20,570.5
2017-11-21,563.35
2017-11-22,555.75
2017-11-23,563.6
2017-11-24,562.6
2017-11-27,576.15
2017-11-28,582.05
2017-11-29,582.05
2017-11-30,577.8
2017-12-01,567.4
2017-12-04,570.15
2017-12-05,572.95
2017-12-06,574.85
2017-12-07,582.75
2017-12-08,591.3
2017-12-11,597.85
2017-12-12,589.1
2017-12-13,586.1
2017-12-14,594.75
2017-12-15,595.05
2017-12-18,595.1
2017-12-19,602.6
2017-12-20,607.6
2017-12-21,602.25
2017-12-22,604.65
2017-12-26,607.15
2017-12-27,603.3
2017-12-28,602.6
2017-12-29,606.45
