Date,MAXVIL
2017-01-02,64.8
2017-01-03,64.75
2017-01-04,63.6
2017-01-05,63.9
2017-01-06,64.75
2017-01-09,67.55
2017-01-10,74.25
2017-01-11,71.7
2017-01-12,72.05
2017-01-13,71.0
2017-01-16,70.85
2017-01-17,69.4
2017-01-18,68.7
2017-01-19,67.75
2017-01-20,68.9
2017-01-23,67.8
2017-01-24,67.1
2017-01-25,68.1
2017-01-27,67.5
2017-01-30,66.95
2017-01-31,66.15
2017-02-01,67.6
2017-02-02,68.5
2017-02-03,68.8
2017-02-06,73.55
2017-02-07,69.65
2017-02-08,68.8
2017-02-09,79.95
2017-02-10,82.35
2017-02-13,88.55
2017-02-14,83.45
2017-02-15,82.4
2017-02-16,86.0
2017-02-17,86.0
2017-02-20,83.7
2017-02-21,85.25
2017-02-22,83.45
2017-02-23,81.45
2017-02-27,82.4
2017-02-28,81.5
2017-03-01,81.5
2017-03-02,81.0
2017-03-03,80.2
2017-03-06,83.65
2017-03-07,82.0
2017-03-08,80.7
2017-03-09,82.15
2017-03-10,82.9
2017-03-14,83.75
2017-03-15,90.2
2017-03-16,89.0
2017-03-17,86.95
2017-03-20,86.25
2017-03-21,86.85
2017-03-22,85.15
2017-03-23,86.65
2017-03-24,88.0
2017-03-27,88.05
2017-03-28,92.05
2017-03-29,93.55
2017-03-30,92.55
2017-03-31,89.8
2017-04-03,92.65
2017-04-05,95.8
2017-04-06,94.55
2017-04-07,96.35
2017-04-10,106.15
2017-04-11,110.15
2017-04-12,110.05
2017-04-13,106.9
2017-04-17,107.45
2017-04-18,104.75
2017-04-19,106.55
2017-04-20,111.65
2017-04-21,108.9
2017-04-24,108.25
2017-04-25,106.45
2017-04-26,104.45
2017-04-27,105.4
2017-04-28,104.95
2017-05-02,102.3
2017-05-03,104.4
2017-05-04,100.15
2017-05-05,96.45
2017-05-08,98.55
2017-05-09,99.45
2017-05-10,98.85
2017-05-11,97.3
2017-05-12,96.55
2017-05-15,95.4
2017-05-16,94.3
2017-05-17,92.95
2017-05-18,90.65
2017-05-19,88.2
2017-05-22,86.95
2017-05-23,93.65
2017-05-24,87.8
2017-05-25,90.6
2017-05-26,89.45
2017-05-29,88.75
2017-05-30,93.25
2017-05-31,95.0
2017-06-01,104.35
2017-06-02,101.75
2017-06-05,99.6
2017-06-06,98.5
2017-06-07,99.15
2017-06-08,98.8
2017-06-09,95.8
2017-06-12,95.05
2017-06-13,93.9
2017-06-14,92.7
2017-06-15,92.7
2017-06-16,92.2
2017-06-19,92.25
2017-06-20,91.8
2017-06-21,92.6
2017-06-22,94.35
2017-06-23,91.35
2017-06-27,88.85
2017-06-28,88.45
2017-06-29,87.7
2017-06-30,88.2
2017-07-03,89.75
2017-07-04,92.1
2017-07-05,91.65
2017-07-06,91.85
2017-07-07,91.4
2017-07-10,92.15
2017-07-11,89.6
2017-07-12,89.85
2017-07-13,89.0
2017-07-14,86.4
2017-07-17,87.4
2017-07-18,84.6
2017-07-19,86.35
2017-07-20,86.7
2017-07-21,85.1
2017-07-24,84.5
2017-07-25,84.15
2017-07-26,84.55
2017-07-27,83.0
2017-07-28,84.05
2017-07-31,82.95
2017-08-01,84.0
2017-08-02,93.3
2017-08-03,94.45
2017-08-04,91.3
2017-08-07,89.25
2017-08-08,86.2
2017-08-09,82.45
2017-08-10,80.95
2017-08-11,80.05
2017-08-14,86.5
2017-08-16,86.55
2017-08-17,86.65
2017-08-18,85.35
2017-08-21,87.05
2017-08-22,86.65
2017-08-23,86.45
2017-08-24,85.75
2017-08-28,88.45
2017-08-29,86.85
2017-08-30,92.9
2017-08-31,92.8
2017-09-01,92.0
2017-09-04,89.0
2017-09-05,90.75
2017-09-06,91.9
2017-09-07,92.2
2017-09-08,95.0
2017-09-11,95.5
2017-09-12,97.25
2017-09-13,93.55
2017-09-14,93.65
2017-09-15,92.6
2017-09-18,94.5
2017-09-19,95.55
2017-09-20,94.2
2017-09-21,92.8
2017-09-22,88.7
2017-09-25,87.8
2017-09-26,88.7
2017-09-27,88.9
2017-09-28,89.35
2017-09-29,89.0
2017-10-03,88.5
2017-10-04,89.0
2017-10-05,88.8
2017-10-06,88.0
2017-10-09,88.0
2017-10-10,87.9
2017-10-11,88.0
2017-10-12,87.5
2017-10-13,86.95
2017-10-16,85.55
2017-10-17,83.75
2017-10-18,83.9
2017-10-19,84.3
2017-10-23,82.55
2017-10-24,83.95
2017-10-25,83.1
2017-10-26,82.25
2017-10-27,83.95
2017-10-30,84.95
2017-10-31,84.3
2017-11-01,80.4
2017-11-02,78.55
2017-11-03,79.05
2017-11-06,83.5
2017-11-07,82.6
2017-11-08,81.35
2017-11-09,81.55
2017-11-10,80.55
2017-11-13,79.45
2017-11-14,80.55
2017-11-15,79.7
2017-11-16,79.8
2017-11-17,79.85
2017-11-20,80.0
2017-11-21,80.0
2017-11-22,80.2
2017-11-23,79.55
2017-11-24,79.7
2017-11-27,84.45
2017-11-28,87.95
2017-11-29,86.7
2017-11-30,86.0
2017-12-01,87.65
2017-12-04,88.35
2017-12-05,86.5
2017-12-06,84.3
2017-12-07,85.15
2017-12-08,93.6
2017-12-11,93.55
2017-12-12,98.35
2017-12-13,97.2
2017-12-14,95.05
2017-12-15,94.45
2017-12-18,93.75
2017-12-19,95.6
2017-12-20,98.25
2017-12-21,97.3
2017-12-22,98.65
2017-12-26,97.5
2017-12-27,94.85
2017-12-28,94.4
2017-12-29,94.25
