Date,TERASOFT
2017-01-02,110.65
2017-01-03,124.45
2017-01-04,130.05
2017-01-05,125.05
2017-01-06,125.3
2017-01-09,122.45
2017-01-10,122.75
2017-01-11,124.2
2017-01-12,120.9
2017-01-13,118.5
2017-01-16,117.2
2017-01-17,119.75
2017-01-18,119.65
2017-01-19,118.4
2017-01-20,116.7
2017-01-23,116.6
2017-01-24,116.35
2017-01-25,115.45
2017-01-27,114.25
2017-01-30,110.25
2017-01-31,107.15
2017-02-01,112.3
2017-02-02,110.15
2017-02-03,108.35
2017-02-06,106.7
2017-02-07,102.8
2017-02-08,105.25
2017-02-09,106.15
2017-02-10,109.7
2017-02-13,96.4
2017-02-14,95.95
2017-02-15,91.2
2017-02-16,95.4
2017-02-17,93.15
2017-02-20,94.6
2017-02-21,94.7
2017-02-22,92.0
2017-02-23,91.45
2017-02-27,90.25
2017-02-28,92.0
2017-03-01,102.7
2017-03-02,100.75
2017-03-03,96.75
2017-03-06,96.5
2017-03-07,99.0
2017-03-08,96.3
2017-03-09,98.05
2017-03-10,96.25
2017-03-14,100.05
2017-03-15,100.45
2017-03-16,99.15
2017-03-17,100.1
2017-03-20,100.8
2017-03-21,103.8
2017-03-22,100.6
2017-03-23,100.45
2017-03-24,98.9
2017-03-27,97.65
2017-03-28,97.6
2017-03-29,96.9
2017-03-30,98.5
2017-03-31,101.5
2017-04-03,102.85
2017-04-05,101.95
2017-04-06,100.7
2017-04-07,100.9
2017-04-10,101.25
2017-04-11,101.85
2017-04-12,99.55
2017-04-13,100.05
2017-04-17,98.5
2017-04-18,98.4
2017-04-19,97.55
2017-04-20,100.6
2017-04-21,104.45
2017-04-24,105.8
2017-04-25,102.85
2017-04-26,100.1
2017-04-27,99.55
2017-04-28,98.95
2017-05-02,99.0
2017-05-03,98.9
2017-05-04,98.85
2017-05-05,97.2
2017-05-08,97.5
2017-05-09,96.3
2017-05-10,96.45
2017-05-11,95.4
2017-05-12,93.35
2017-05-15,86.65
2017-05-16,87.95
2017-05-17,89.25
2017-05-18,89.2
2017-05-19,86.8
2017-05-22,89.0
2017-05-23,77.95
2017-05-24,75.2
2017-05-25,77.55
2017-05-26,77.7
2017-05-29,75.85
2017-05-30,72.4
2017-05-31,71.7
2017-06-01,70.25
2017-06-02,72.5
2017-06-05,71.55
2017-06-06,69.9
2017-06-07,70.4
2017-06-08,71.4
2017-06-09,69.65
2017-06-12,68.85
2017-06-13,68.4
2017-06-14,69.4
2017-06-15,69.0
2017-06-16,69.2
2017-06-19,68.55
2017-06-20,68.25
2017-06-21,66.8
2017-06-22,80.0
2017-06-23,76.95
2017-06-27,73.55
2017-06-28,71.75
2017-06-29,72.8
2017-06-30,72.75
2017-07-03,74.6
2017-07-04,73.85
2017-07-05,78.5
2017-07-06,78.5
2017-07-07,78.8
2017-07-10,79.25
2017-07-11,79.65
2017-07-12,79.15
2017-07-13,77.2
2017-07-14,75.0
2017-07-17,74.25
2017-07-18,74.9
2017-07-19,81.4
2017-07-20,82.85
2017-07-21,79.6
2017-07-24,78.4
2017-07-25,77.05
2017-07-26,76.15
2017-07-27,75.0
2017-07-28,74.65
2017-07-31,74.85
2017-08-01,73.35
2017-08-02,73.45
2017-08-03,71.35
2017-08-04,70.55
2017-08-07,70.35
2017-08-08,69.05
2017-08-09,66.25
2017-08-10,65.05
2017-08-11,65.0
2017-08-14,66.95
2017-08-16,65.4
2017-08-17,65.15
2017-08-18,64.4
2017-08-21,62.4
2017-08-22,60.4
2017-08-23,60.95
2017-08-24,60.9
2017-08-28,63.1
2017-08-29,62.55
2017-08-30,62.5
2017-08-31,62.0
2017-09-01,66.65
2017-09-04,66.35
2017-09-05,67.25
2017-09-06,65.5
2017-09-07,67.1
2017-09-08,65.9
2017-09-11,63.65
2017-09-12,63.8
2017-09-13,61.95
2017-09-14,61.4
2017-09-15,62.7
2017-09-18,64.55
2017-09-19,62.8
2017-09-20,62.3
2017-09-21,62.7
2017-09-22,61.45
2017-09-25,60.0
2017-09-26,60.75
2017-09-27,57.8
2017-09-28,57.45
2017-09-29,57.35
2017-10-03,57.4
2017-10-04,55.95
2017-10-05,55.1
2017-10-06,55.0
2017-10-09,55.1
2017-10-10,53.7
2017-10-11,54.5
2017-10-12,53.9
2017-10-13,56.6
2017-10-16,55.8
2017-10-17,54.0
2017-10-18,53.95
2017-10-19,54.05
2017-10-23,53.8
2017-10-24,53.6
2017-10-25,54.1
2017-10-26,56.0
2017-10-27,56.8
2017-10-30,55.15
2017-10-31,54.65
2017-11-01,56.3
2017-11-02,57.55
2017-11-03,69.05
2017-11-06,76.7
2017-11-07,73.1
2017-11-08,70.05
2017-11-09,69.9
2017-11-10,65.8
2017-11-13,64.1
2017-11-14,62.35
2017-11-15,59.25
2017-11-16,60.35
2017-11-17,62.5
2017-11-20,63.2
2017-11-21,63.8
2017-11-22,66.35
2017-11-23,64.65
2017-11-24,67.0
2017-11-27,65.8
2017-11-28,64.75
2017-11-29,64.6
2017-11-30,63.3
2017-12-01,63.25
2017-12-04,63.5
2017-12-05,63.1
2017-12-06,63.85
2017-12-07,66.85
2017-12-08,67.7
2017-12-11,64.8
2017-12-12,65.05
2017-12-13,64.45
2017-12-14,62.25
2017-12-15,61.65
2017-12-18,61.25
2017-12-19,61.05
2017-12-20,62.85
2017-12-21,63.2
2017-12-22,63.95
2017-12-26,64.85
2017-12-27,77.8
2017-12-28,72.5
2017-12-29,73.5
