Date,TRITURBINE
2017-01-02,119.5
2017-01-03,120.3
2017-01-04,119.65
2017-01-05,119.4
2017-01-06,118.45
2017-01-09,117.75
2017-01-10,119.45
2017-01-11,119.65
2017-01-12,118.7
2017-01-13,117.5
2017-01-16,113.2
2017-01-17,115.8
2017-01-18,114.3
2017-01-19,116.1
2017-01-20,117.75
2017-01-23,118.3
2017-01-24,119.15
2017-01-25,120.15
2017-01-27,120.05
2017-01-30,120.0
2017-01-31,120.25
2017-02-01,120.0
2017-02-02,119.05
2017-02-03,125.75
2017-02-06,127.65
2017-02-07,125.3
2017-02-08,124.65
2017-02-09,128.5
2017-02-10,124.8
2017-02-13,126.95
2017-02-14,125.3
2017-02-15,123.4
2017-02-16,124.1
2017-02-17,123.0
2017-02-20,123.35
2017-02-21,122.05
2017-02-22,122.9
2017-02-23,122.5
2017-02-27,122.9
2017-02-28,120.45
2017-03-01,121.75
2017-03-02,121.75
2017-03-03,122.5
2017-03-06,122.1
2017-03-07,122.35
2017-03-08,122.0
2017-03-09,123.1
2017-03-10,122.9
2017-03-14,123.25
2017-03-15,123.9
2017-03-16,123.65
2017-03-17,125.65
2017-03-20,124.95
2017-03-21,125.25
2017-03-22,127.0
2017-03-23,124.55
2017-03-24,125.25
2017-03-27,124.15
2017-03-28,127.65
2017-03-29,142.2
2017-03-30,137.95
2017-03-31,144.9
2017-04-03,143.35
2017-04-05,141.0
2017-04-06,141.7
2017-04-07,139.9
2017-04-10,138.95
2017-04-11,139.5
2017-04-12,139.2
2017-04-13,139.4
2017-04-17,140.05
2017-04-18,136.55
2017-04-19,135.95
2017-04-20,139.5
2017-04-21,140.25
2017-04-24,140.35
2017-04-25,140.3
2017-04-26,139.15
2017-04-27,138.35
2017-04-28,137.75
2017-05-02,138.35
2017-05-03,138.55
2017-05-04,137.0
2017-05-05,137.65
2017-05-08,137.9
2017-05-09,138.2
2017-05-10,137.65
2017-05-11,138.1
2017-05-12,137.5
2017-05-15,139.35
2017-05-16,138.8
2017-05-17,138.3
2017-05-18,140.45
2017-05-19,133.35
2017-05-22,134.25
2017-05-23,135.2
2017-05-24,132.1
2017-05-25,135.45
2017-05-26,137.35
2017-05-29,137.9
2017-05-30,141.0
2017-05-31,137.45
2017-06-01,136.15
2017-06-02,138.95
2017-06-05,140.1
2017-06-06,140.2
2017-06-07,138.85
2017-06-08,137.55
2017-06-09,139.9
2017-06-12,139.7
2017-06-13,140.05
2017-06-14,137.5
2017-06-15,135.8
2017-06-16,139.9
2017-06-19,138.45
2017-06-20,138.55
2017-06-21,137.9
2017-06-22,140.45
2017-06-23,139.35
2017-06-27,139.55
2017-06-28,138.3
2017-06-29,139.4
2017-06-30,140.95
2017-07-03,142.0
2017-07-04,156.9
2017-07-05,157.1
2017-07-06,154.05
2017-07-07,151.1
2017-07-10,147.3
2017-07-11,152.4
2017-07-12,155.8
2017-07-13,153.85
2017-07-14,151.65
2017-07-17,149.4
2017-07-18,142.6
2017-07-19,145.15
2017-07-20,144.75
2017-07-21,142.1
2017-07-24,142.1
2017-07-25,141.75
2017-07-26,141.75
2017-07-27,146.75
2017-07-28,144.2
2017-07-31,142.65
2017-08-01,140.95
2017-08-02,141.1
2017-08-03,139.4
2017-08-04,136.95
2017-08-07,138.9
2017-08-08,133.65
2017-08-09,131.7
2017-08-10,130.05
2017-08-11,133.5
2017-08-14,134.1
2017-08-16,134.15
2017-08-17,132.1
2017-08-18,130.55
2017-08-21,128.0
2017-08-22,130.2
2017-08-23,130.45
2017-08-24,130.1
2017-08-28,135.0
2017-08-29,131.3
2017-08-30,134.75
2017-08-31,132.6
2017-09-01,131.9
2017-09-04,130.25
2017-09-05,130.65
2017-09-06,130.25
2017-09-07,130.15
2017-09-08,133.2
2017-09-11,130.95
2017-09-12,133.45
2017-09-13,137.75
2017-09-14,137.2
2017-09-15,135.45
2017-09-18,136.8
2017-09-19,137.7
2017-09-20,138.0
2017-09-21,141.6
2017-09-22,131.05
2017-09-25,126.9
2017-09-26,132.25
2017-09-27,130.9
2017-09-28,128.7
2017-09-29,129.7
2017-10-03,128.15
2017-10-04,127.8
2017-10-05,126.8
2017-10-06,126.45
2017-10-09,126.9
2017-10-10,129.75
2017-10-11,132.1
2017-10-12,130.95
2017-10-13,126.65
2017-10-16,128.55
2017-10-17,128.15
2017-10-18,128.95
2017-10-19,130.25
2017-10-23,130.05
2017-10-24,130.25
2017-10-25,126.8
2017-10-26,129.75
2017-10-27,130.5
2017-10-30,129.35
2017-10-31,130.55
2017-11-01,129.8
2017-11-02,130.35
2017-11-03,130.75
2017-11-06,139.0
2017-11-07,140.0
2017-11-08,134.75
2017-11-09,133.3
2017-11-10,135.15
2017-11-13,136.0
2017-11-14,141.1
2017-11-15,139.95
2017-11-16,137.35
2017-11-17,135.15
2017-11-20,135.75
2017-11-21,140.1
2017-11-22,140.25
2017-11-23,140.05
2017-11-24,140.1
2017-11-27,143.6
2017-11-28,137.6
2017-11-29,137.8
2017-11-30,136.3
2017-12-01,133.7
2017-12-04,133.75
2017-12-05,133.0
2017-12-06,134.55
2017-12-07,132.2
2017-12-08,130.95
2017-12-11,130.05
2017-12-12,128.4
2017-12-13,128.65
2017-12-14,127.4
2017-12-15,128.8
2017-12-18,129.2
2017-12-19,128.9
2017-12-20,128.85
2017-12-21,129.8
2017-12-22,129.2
2017-12-26,135.05
2017-12-27,136.1
2017-12-28,133.2
2017-12-29,133.55
