Date,CAPLIPOINT
2017-01-02,340.05
2017-01-03,342.0
2017-01-04,341.2
2017-01-05,340.9
2017-01-06,335.6
2017-01-09,345.6
2017-01-10,386.95
2017-01-11,385.4
2017-01-12,380.25
2017-01-13,393.45
2017-01-16,411.35
2017-01-17,405.95
2017-01-18,415.45
2017-01-19,410.85
2017-01-20,403.5
2017-01-23,405.4
2017-01-24,423.4
2017-01-25,430.25
2017-01-27,422.35
2017-01-30,422.6
2017-01-31,421.35
2017-02-01,427.55
2017-02-02,431.65
2017-02-03,441.95
2017-02-06,440.35
2017-02-07,448.9
2017-02-08,437.3
2017-02-09,428.95
2017-02-10,423.45
2017-02-13,408.25
2017-02-14,396.9
2017-02-15,378.8
2017-02-16,393.5
2017-02-17,397.95
2017-02-20,406.9
2017-02-21,410.1
2017-02-22,410.8
2017-02-23,401.9
2017-02-27,396.6
2017-02-28,404.5
2017-03-01,410.05
2017-03-02,401.05
2017-03-03,395.1
2017-03-06,395.5
2017-03-07,392.25
2017-03-08,383.45
2017-03-09,384.6
2017-03-10,387.4
2017-03-14,377.2
2017-03-15,374.7
2017-03-16,377.9
2017-03-17,378.15
2017-03-20,382.7
2017-03-21,390.2
2017-03-22,388.2
2017-03-23,388.1
2017-03-24,392.5
2017-03-27,387.55
2017-03-28,383.85
2017-03-29,385.35
2017-03-30,384.9
2017-03-31,388.35
2017-04-03,403.6
2017-04-05,405.35
2017-04-06,402.4
2017-04-07,390.55
2017-04-10,390.1
2017-04-11,387.25
2017-04-12,385.4
2017-04-13,384.8
2017-04-17,390.25
2017-04-18,395.5
2017-04-19,400.0
2017-04-20,398.8
2017-04-21,402.0
2017-04-24,396.55
2017-04-25,392.1
2017-04-26,386.9
2017-04-27,390.4
2017-04-28,393.8
2017-05-02,390.9
2017-05-03,394.3
2017-05-04,389.0
2017-05-05,386.55
2017-05-08,398.8
2017-05-09,401.55
2017-05-10,405.7
2017-05-11,457.3
2017-05-12,470.8
2017-05-15,486.0
2017-05-16,504.5
2017-05-17,535.8
2017-05-18,560.6
2017-05-19,593.6
2017-05-22,540.35
2017-05-23,562.9
2017-05-24,532.35
2017-05-25,547.9
2017-05-26,552.35
2017-05-29,534.05
2017-05-30,534.25
2017-05-31,531.55
2017-06-01,534.85
2017-06-02,527.85
2017-06-05,536.55
2017-06-06,530.7
2017-06-07,562.15
2017-06-08,579.5
2017-06-09,571.2
2017-06-12,568.0
2017-06-13,568.45
2017-06-14,563.4
2017-06-15,551.65
2017-06-16,543.85
2017-06-19,552.0
2017-06-20,558.6
2017-06-21,555.1
2017-06-22,577.2
2017-06-23,581.35
2017-06-27,563.35
2017-06-28,553.25
2017-06-29,554.2
2017-06-30,552.7
2017-07-03,571.45
2017-07-04,590.55
2017-07-05,652.85
2017-07-06,692.8
2017-07-07,689.05
2017-07-10,677.15
2017-07-11,680.7
2017-07-12,755.8
2017-07-13,738.65
2017-07-14,718.15
2017-07-17,708.05
2017-07-18,684.9
2017-07-19,696.4
2017-07-20,690.35
2017-07-21,711.85
2017-07-24,699.6
2017-07-25,685.5
2017-07-26,693.8
2017-07-27,680.1
2017-07-28,685.15
2017-07-31,680.9
2017-08-01,681.5
2017-08-02,726.5
2017-08-03,731.8
2017-08-04,733.25
2017-08-07,758.55
2017-08-08,727.8
2017-08-09,701.05
2017-08-10,657.85
2017-08-11,678.5
2017-08-14,688.5
2017-08-16,684.45
2017-08-17,670.45
2017-08-18,674.8
2017-08-21,659.85
2017-08-22,643.3
2017-08-23,641.25
2017-08-24,664.75
2017-08-28,668.75
2017-08-29,652.8
2017-08-30,650.3
2017-08-31,651.1
2017-09-01,651.5
2017-09-04,648.05
2017-09-05,649.5
2017-09-06,642.2
2017-09-07,646.25
2017-09-08,640.8
2017-09-11,642.2
2017-09-12,648.4
2017-09-13,685.4
2017-09-14,708.4
2017-09-15,691.05
2017-09-18,706.95
2017-09-19,727.1
2017-09-20,725.05
2017-09-21,706.65
2017-09-22,681.9
2017-09-25,651.15
2017-09-26,696.9
2017-09-27,688.5
2017-09-28,685.4
2017-09-29,690.8
2017-10-03,696.6
2017-10-04,709.35
2017-10-05,714.4
2017-10-06,710.0
2017-10-09,711.65
2017-10-10,709.6
2017-10-11,696.4
2017-10-12,710.95
2017-10-13,702.2
2017-10-16,700.3
2017-10-17,697.9
2017-10-18,694.0
2017-10-19,699.7
2017-10-23,694.35
2017-10-24,688.7
2017-10-25,699.55
2017-10-26,684.15
2017-10-27,672.6
2017-10-30,678.05
2017-10-31,671.05
2017-11-01,663.75
2017-11-02,680.3
2017-11-03,683.0
2017-11-06,682.8
2017-11-07,681.55
2017-11-08,682.8
2017-11-09,675.3
2017-11-10,676.9
2017-11-13,653.2
2017-11-14,667.2
2017-11-15,663.2
2017-11-16,667.7
2017-11-17,673.75
2017-11-20,669.25
2017-11-21,660.85
2017-11-22,654.5
2017-11-23,651.05
2017-11-24,637.8
2017-11-27,633.35
2017-11-28,630.9
2017-11-29,637.4
2017-11-30,648.85
2017-12-01,654.55
2017-12-04,655.3
2017-12-05,662.15
2017-12-06,661.5
2017-12-07,661.45
2017-12-08,656.5
2017-12-11,648.4
2017-12-12,641.8
2017-12-13,635.05
2017-12-14,638.95
2017-12-15,638.25
2017-12-18,633.0
2017-12-19,634.5
2017-12-20,637.2
2017-12-21,634.4
2017-12-22,638.25
2017-12-26,632.65
2017-12-27,634.15
2017-12-28,632.9
2017-12-29,631.45
