Date,PRECAM
2017-01-02,152.65
2017-01-03,151.45
2017-01-04,152.75
2017-01-05,151.65
2017-01-06,164.55
2017-01-09,161.2
2017-01-10,164.3
2017-01-11,160.2
2017-01-12,158.25
2017-01-13,156.65
2017-01-16,161.85
2017-01-17,160.55
2017-01-18,158.25
2017-01-19,156.95
2017-01-20,156.9
2017-01-23,152.95
2017-01-24,153.35
2017-01-25,150.75
2017-01-27,153.1
2017-01-30,151.85
2017-01-31,147.55
2017-02-01,151.55
2017-02-02,151.2
2017-02-03,151.5
2017-02-06,151.35
2017-02-07,153.4
2017-02-08,157.1
2017-02-09,158.1
2017-02-10,158.2
2017-02-13,156.5
2017-02-14,160.15
2017-02-15,155.05
2017-02-16,155.0
2017-02-17,155.0
2017-02-20,157.9
2017-02-21,159.15
2017-02-22,155.45
2017-02-23,153.95
2017-02-27,150.75
2017-02-28,151.65
2017-03-01,162.55
2017-03-02,156.8
2017-03-03,154.45
2017-03-06,155.1
2017-03-07,152.05
2017-03-08,151.6
2017-03-09,151.85
2017-03-10,150.45
2017-03-14,149.95
2017-03-15,149.75
2017-03-16,149.6
2017-03-17,149.1
2017-03-20,148.4
2017-03-21,143.1
2017-03-22,143.45
2017-03-23,143.35
2017-03-24,142.0
2017-03-27,141.6
2017-03-28,141.85
2017-03-29,141.1
2017-03-30,140.95
2017-03-31,139.0
2017-04-03,145.45
2017-04-05,144.6
2017-04-06,142.5
2017-04-07,144.35
2017-04-10,145.95
2017-04-11,144.55
2017-04-12,142.0
2017-04-13,141.95
2017-04-17,143.35
2017-04-18,143.15
2017-04-19,142.85
2017-04-20,143.3
2017-04-21,140.0
2017-04-24,140.65
2017-04-25,139.2
2017-04-26,138.9
2017-04-27,138.2
2017-04-28,134.85
2017-05-02,137.9
2017-05-03,134.55
2017-05-04,135.55
2017-05-05,134.95
2017-05-08,135.85
2017-05-09,135.4
2017-05-10,134.8
2017-05-11,136.25
2017-05-12,136.05
2017-05-15,134.45
2017-05-16,129.9
2017-05-17,131.85
2017-05-18,130.3
2017-05-19,128.15
2017-05-22,125.55
2017-05-23,129.35
2017-05-24,126.35
2017-05-25,125.75
2017-05-26,124.3
2017-05-29,124.85
2017-05-30,125.1
2017-05-31,124.3
2017-06-01,124.95
2017-06-02,123.35
2017-06-05,121.8
2017-06-06,121.6
2017-06-07,121.6
2017-06-08,121.5
2017-06-09,120.9
2017-06-12,117.85
2017-06-13,115.15
2017-06-14,124.15
2017-06-15,126.35
2017-06-16,123.2
2017-06-19,122.3
2017-06-20,127.9
2017-06-21,134.05
2017-06-22,133.65
2017-06-23,130.95
2017-06-27,131.25
2017-06-28,129.4
2017-06-29,133.2
2017-06-30,130.7
2017-07-03,129.7
2017-07-04,128.15
2017-07-05,131.5
2017-07-06,140.75
2017-07-07,139.1
2017-07-10,137.0
2017-07-11,132.7
2017-07-12,135.05
2017-07-13,136.15
2017-07-14,132.15
2017-07-17,132.2
2017-07-18,128.55
2017-07-19,132.5
2017-07-20,131.6
2017-07-21,130.95
2017-07-24,129.95
2017-07-25,128.9
2017-07-26,128.6
2017-07-27,127.0
2017-07-28,126.2
2017-07-31,125.2
2017-08-01,124.7
2017-08-02,123.2
2017-08-03,121.7
2017-08-04,121.65
2017-08-07,127.6
2017-08-08,122.05
2017-08-09,122.0
2017-08-10,119.25
2017-08-11,106.75
2017-08-14,108.05
2017-08-16,109.65
2017-08-17,110.9
2017-08-18,109.5
2017-08-21,106.1
2017-08-22,106.85
2017-08-23,106.35
2017-08-24,107.35
2017-08-28,109.9
2017-08-29,107.95
2017-08-30,110.1
2017-08-31,109.95
2017-09-01,108.45
2017-09-04,109.65
2017-09-05,109.2
2017-09-06,115.8
2017-09-07,114.5
2017-09-08,113.65
2017-09-11,114.95
2017-09-12,113.0
2017-09-13,120.2
2017-09-14,118.6
2017-09-15,118.55
2017-09-18,118.95
2017-09-19,120.5
2017-09-20,118.55
2017-09-21,117.6
2017-09-22,114.6
2017-09-25,112.0
2017-09-26,110.8
2017-09-27,106.9
2017-09-28,109.15
2017-09-29,109.4
2017-10-03,109.35
2017-10-04,109.45
2017-10-05,108.5
2017-10-06,111.4
2017-10-09,111.75
2017-10-10,115.7
2017-10-11,114.15
2017-10-12,117.15
2017-10-13,116.75
2017-10-16,115.0
2017-10-17,113.15
2017-10-18,112.65
2017-10-19,114.7
2017-10-23,115.7
2017-10-24,115.7
2017-10-25,114.8
2017-10-26,113.55
2017-10-27,113.55
2017-10-30,112.1
2017-10-31,117.7
2017-11-01,119.2
2017-11-02,117.1
2017-11-03,117.35
2017-11-06,117.9
2017-11-07,114.55
2017-11-08,114.0
2017-11-09,114.0
2017-11-10,112.9
2017-11-13,111.8
2017-11-14,111.65
2017-11-15,107.9
2017-11-16,107.5
2017-11-17,107.4
2017-11-20,107.2
2017-11-21,107.9
2017-11-22,107.7
2017-11-23,108.45
2017-11-24,115.3
2017-11-27,117.7
2017-11-28,120.25
2017-11-29,121.65
2017-11-30,120.15
2017-12-01,116.8
2017-12-04,115.5
2017-12-05,113.9
2017-12-06,115.05
2017-12-07,115.15
2017-12-08,115.25
2017-12-11,115.05
2017-12-12,112.35
2017-12-13,111.55
2017-12-14,109.6
2017-12-15,110.6
2017-12-18,112.95
2017-12-19,117.85
2017-12-20,118.35
2017-12-21,117.85
2017-12-22,119.25
2017-12-26,129.75
2017-12-27,135.0
2017-12-28,130.95
2017-12-29,131.7
