Date,GATI
2017-01-02,116.6
2017-01-03,119.55
2017-01-04,116.1
2017-01-05,116.4
2017-01-06,116.85
2017-01-09,117.9
2017-01-10,118.6
2017-01-11,119.6
2017-01-12,117.65
2017-01-13,118.5
2017-01-16,121.1
2017-01-17,123.1
2017-01-18,121.9
2017-01-19,121.25
2017-01-20,118.95
2017-01-23,118.9
2017-01-24,118.7
2017-01-25,121.95
2017-01-27,121.0
2017-01-30,120.85
2017-01-31,120.35
2017-02-01,120.85
2017-02-02,121.05
2017-02-03,123.95
2017-02-06,128.05
2017-02-07,125.5
2017-02-08,122.7
2017-02-09,122.6
2017-02-10,123.75
2017-02-13,122.45
2017-02-14,121.45
2017-02-15,119.7
2017-02-16,120.85
2017-02-17,121.6
2017-02-20,123.5
2017-02-21,123.85
2017-02-22,123.4
2017-02-23,123.3
2017-02-27,123.35
2017-02-28,129.3
2017-03-01,130.25
2017-03-02,127.4
2017-03-03,128.55
2017-03-06,130.45
2017-03-07,129.65
2017-03-08,127.5
2017-03-09,129.1
2017-03-10,128.35
2017-03-14,131.0
2017-03-15,132.05
2017-03-16,137.45
2017-03-17,138.5
2017-03-20,143.1
2017-03-21,141.5
2017-03-22,138.25
2017-03-23,141.0
2017-03-24,140.1
2017-03-27,143.35
2017-03-28,142.8
2017-03-29,142.75
2017-03-30,143.05
2017-03-31,140.45
2017-04-03,141.95
2017-04-05,143.25
2017-04-06,141.75
2017-04-07,140.75
2017-04-10,139.3
2017-04-11,138.45
2017-04-12,136.9
2017-04-13,137.35
2017-04-17,135.75
2017-04-18,135.0
2017-04-19,133.75
2017-04-20,133.0
2017-04-21,137.0
2017-04-24,138.55
2017-04-25,137.6
2017-04-26,137.8
2017-04-27,137.0
2017-04-28,135.7
2017-05-02,138.9
2017-05-03,136.9
2017-05-04,137.3
2017-05-05,135.1
2017-05-08,131.35
2017-05-09,134.1
2017-05-10,135.4
2017-05-11,135.6
2017-05-12,133.8
2017-05-15,135.1
2017-05-16,138.3
2017-05-17,138.6
2017-05-18,136.7
2017-05-19,134.95
2017-05-22,131.75
2017-05-23,126.0
2017-05-24,122.75
2017-05-25,123.85
2017-05-26,125.3
2017-05-29,123.0
2017-05-30,123.5
2017-05-31,124.4
2017-06-01,125.2
2017-06-02,125.6
2017-06-05,125.7
2017-06-06,125.1
2017-06-07,125.3
2017-06-08,124.8
2017-06-09,124.9
2017-06-12,125.8
2017-06-13,125.5
2017-06-14,125.25
2017-06-15,125.4
2017-06-16,125.0
2017-06-19,125.25
2017-06-20,131.95
2017-06-21,134.2
2017-06-22,132.55
2017-06-23,129.0
2017-06-27,125.85
2017-06-28,127.9
2017-06-29,130.6
2017-06-30,134.15
2017-07-03,130.55
2017-07-04,129.35
2017-07-05,130.05
2017-07-06,129.6
2017-07-07,127.6
2017-07-10,129.0
2017-07-11,127.4
2017-07-12,126.85
2017-07-13,127.4
2017-07-14,126.05
2017-07-17,125.4
2017-07-18,125.45
2017-07-19,125.15
2017-07-20,124.7
2017-07-21,124.1
2017-07-24,123.7
2017-07-25,124.7
2017-07-26,123.55
2017-07-27,122.65
2017-07-28,121.8
2017-07-31,121.2
2017-08-01,119.15
2017-08-02,118.1
2017-08-03,116.05
2017-08-04,120.1
2017-08-07,119.65
2017-08-08,117.55
2017-08-09,114.55
2017-08-10,109.25
2017-08-11,106.0
2017-08-14,109.1
2017-08-16,112.9
2017-08-17,112.45
2017-08-18,109.9
2017-08-21,108.05
2017-08-22,107.9
2017-08-23,114.15
2017-08-24,113.8
2017-08-28,114.4
2017-08-29,113.3
2017-08-30,113.45
2017-08-31,117.55
2017-09-01,120.6
2017-09-04,116.9
2017-09-05,117.4
2017-09-06,117.35
2017-09-07,117.55
2017-09-08,116.7
2017-09-11,116.3
2017-09-12,116.25
2017-09-13,116.3
2017-09-14,115.2
2017-09-15,114.7
2017-09-18,116.05
2017-09-19,115.4
2017-09-20,116.45
2017-09-21,115.15
2017-09-22,112.45
2017-09-25,109.3
2017-09-26,108.95
2017-09-27,108.05
2017-09-28,106.95
2017-09-29,106.8
2017-10-03,107.85
2017-10-04,108.85
2017-10-05,108.95
2017-10-06,111.25
2017-10-09,115.1
2017-10-10,116.2
2017-10-11,114.25
2017-10-12,113.85
2017-10-13,116.55
2017-10-16,115.3
2017-10-17,116.25
2017-10-18,115.6
2017-10-19,115.05
2017-10-23,115.6
2017-10-24,115.7
2017-10-25,115.1
2017-10-26,115.95
2017-10-27,116.95
2017-10-30,119.6
2017-10-31,119.25
2017-11-01,119.95
2017-11-02,124.95
2017-11-03,123.85
2017-11-06,124.05
2017-11-07,120.85
2017-11-08,119.1
2017-11-09,118.9
2017-11-10,121.95
2017-11-13,122.1
2017-11-14,122.2
2017-11-15,118.05
2017-11-16,119.4
2017-11-17,131.85
2017-11-20,141.1
2017-11-21,133.25
2017-11-22,127.6
2017-11-23,133.6
2017-11-24,133.7
2017-11-27,131.5
2017-11-28,138.9
2017-11-29,142.8
2017-11-30,140.0
2017-12-01,135.7
2017-12-04,133.1
2017-12-05,131.6
2017-12-06,130.9
2017-12-07,132.6
2017-12-08,137.75
2017-12-11,135.45
2017-12-12,133.7
2017-12-13,132.45
2017-12-14,130.65
2017-12-15,132.5
2017-12-18,132.3
2017-12-19,134.6
2017-12-20,134.1
2017-12-21,135.6
2017-12-22,137.7
2017-12-26,140.9
2017-12-27,136.5
2017-12-28,136.5
2017-12-29,135.75
