Date,JINDALPOLY
2017-01-02,321.5
2017-01-03,333.25
2017-01-04,341.65
2017-01-05,344.3
2017-01-06,344.65
2017-01-09,342.15
2017-01-10,348.65
2017-01-11,352.3
2017-01-12,348.7
2017-01-13,343.25
2017-01-16,343.55
2017-01-17,348.45
2017-01-18,343.7
2017-01-19,346.1
2017-01-20,336.05
2017-01-23,340.3
2017-01-24,340.6
2017-01-25,340.4
2017-01-27,342.65
2017-01-30,343.65
2017-01-31,339.55
2017-02-01,345.9
2017-02-02,347.0
2017-02-03,343.9
2017-02-06,344.7
2017-02-07,351.7
2017-02-08,348.8
2017-02-09,349.65
2017-02-10,343.35
2017-02-13,346.25
2017-02-14,335.15
2017-02-15,328.3
2017-02-16,325.75
2017-02-17,326.15
2017-02-20,321.9
2017-02-21,322.9
2017-02-22,322.0
2017-02-23,323.25
2017-02-27,320.5
2017-02-28,318.65
2017-03-01,324.8
2017-03-02,329.4
2017-03-03,322.65
2017-03-06,323.65
2017-03-07,324.05
2017-03-08,321.05
2017-03-09,322.55
2017-03-10,325.1
2017-03-14,343.6
2017-03-15,353.75
2017-03-16,422.5
2017-03-17,440.35
2017-03-20,427.0
2017-03-21,432.95
2017-03-22,429.9
2017-03-23,429.15
2017-03-24,423.1
2017-03-27,396.8
2017-03-28,398.35
2017-03-29,396.15
2017-03-30,396.9
2017-03-31,396.05
2017-04-03,412.25
2017-04-05,418.5
2017-04-06,413.65
2017-04-07,419.55
2017-04-10,423.05
2017-04-11,438.75
2017-04-12,428.5
2017-04-13,424.25
2017-04-17,426.6
2017-04-18,419.45
2017-04-19,416.05
2017-04-20,422.9
2017-04-21,419.6
2017-04-24,421.55
2017-04-25,440.15
2017-04-26,448.8
2017-04-27,453.65
2017-04-28,451.6
2017-05-02,443.95
2017-05-03,432.65
2017-05-04,434.25
2017-05-05,420.1
2017-05-08,420.2
2017-05-09,421.85
2017-05-10,424.1
2017-05-11,419.25
2017-05-12,409.45
2017-05-15,412.2
2017-05-16,414.4
2017-05-17,425.05
2017-05-18,417.6
2017-05-19,408.6
2017-05-22,404.35
2017-05-23,388.45
2017-05-24,372.0
2017-05-25,380.1
2017-05-26,371.15
2017-05-29,352.8
2017-05-30,347.6
2017-05-31,399.6
2017-06-01,382.9
2017-06-02,403.55
2017-06-05,406.8
2017-06-06,401.5
2017-06-07,408.1
2017-06-08,417.8
2017-06-09,412.4
2017-06-12,403.4
2017-06-13,402.55
2017-06-14,401.45
2017-06-15,402.95
2017-06-16,396.4
2017-06-19,389.85
2017-06-20,386.3
2017-06-21,391.75
2017-06-22,386.0
2017-06-23,374.65
2017-06-27,364.3
2017-06-28,376.9
2017-06-29,387.5
2017-06-30,395.2
2017-07-03,405.95
2017-07-04,397.65
2017-07-05,398.7
2017-07-06,402.95
2017-07-07,398.35
2017-07-10,395.1
2017-07-11,390.85
2017-07-12,390.55
2017-07-13,385.9
2017-07-14,388.0
2017-07-17,388.2
2017-07-18,382.15
2017-07-19,396.3
2017-07-20,387.0
2017-07-21,386.4
2017-07-24,385.9
2017-07-25,381.1
2017-07-26,381.3
2017-07-27,377.75
2017-07-28,372.25
2017-07-31,378.0
2017-08-01,390.65
2017-08-02,400.7
2017-08-03,401.2
2017-08-04,400.7
2017-08-07,411.4
2017-08-08,406.35
2017-08-09,392.4
2017-08-10,376.2
2017-08-11,358.55
2017-08-14,365.15
2017-08-16,372.1
2017-08-17,375.8
2017-08-18,365.3
2017-08-21,357.35
2017-08-22,357.45
2017-08-23,362.75
2017-08-24,371.45
2017-08-28,376.9
2017-08-29,367.6
2017-08-30,373.95
2017-08-31,373.15
2017-09-01,373.95
2017-09-04,369.55
2017-09-05,369.65
2017-09-06,367.45
2017-09-07,373.05
2017-09-08,368.95
2017-09-11,372.55
2017-09-12,371.45
2017-09-13,371.2
2017-09-14,372.4
2017-09-15,379.5
2017-09-18,380.85
2017-09-19,395.4
2017-09-20,400.8
2017-09-21,391.95
2017-09-22,380.4
2017-09-25,366.55
2017-09-26,370.2
2017-09-27,360.85
2017-09-28,358.85
2017-09-29,364.5
2017-10-03,360.9
2017-10-04,364.45
2017-10-05,366.35
2017-10-06,381.1
2017-10-09,383.1
2017-10-10,384.45
2017-10-11,385.3
2017-10-12,383.9
2017-10-13,386.3
2017-10-16,401.2
2017-10-17,421.7
2017-10-18,422.35
2017-10-19,414.3
2017-10-23,407.1
2017-10-24,420.75
2017-10-25,413.5
2017-10-26,409.5
2017-10-27,404.05
2017-10-30,399.65
2017-10-31,402.05
2017-11-01,400.9
2017-11-02,414.4
2017-11-03,425.05
2017-11-06,421.5
2017-11-07,405.2
2017-11-08,399.55
2017-11-09,406.8
2017-11-10,402.8
2017-11-13,400.2
2017-11-14,391.15
2017-11-15,387.65
2017-11-16,388.25
2017-11-17,386.65
2017-11-20,389.25
2017-11-21,391.0
2017-11-22,399.6
2017-11-23,400.8
2017-11-24,398.85
2017-11-27,394.2
2017-11-28,389.55
2017-11-29,404.8
2017-11-30,401.85
2017-12-01,393.55
2017-12-04,386.55
2017-12-05,382.65
2017-12-06,380.2
2017-12-07,389.0
2017-12-08,383.95
2017-12-11,409.45
2017-12-12,401.05
2017-12-13,395.7
2017-12-14,394.6
2017-12-15,397.05
2017-12-18,394.8
2017-12-19,398.85
2017-12-20,402.7
2017-12-21,401.25
2017-12-22,401.0
2017-12-26,418.95
2017-12-27,411.1
2017-12-28,413.5
2017-12-29,417.2
