Date,GULFOILLUB
2017-01-02,664.8
2017-01-03,687.7
2017-01-04,675.65
2017-01-05,666.7
2017-01-06,665.7
2017-01-09,658.95
2017-01-10,646.45
2017-01-11,644.75
2017-01-12,633.8
2017-01-13,629.85
2017-01-16,667.25
2017-01-17,666.55
2017-01-18,670.15
2017-01-19,680.95
2017-01-20,667.45
2017-01-23,649.7
2017-01-24,659.45
2017-01-25,658.85
2017-01-27,668.1
2017-01-30,663.35
2017-01-31,650.0
2017-02-01,661.65
2017-02-02,672.75
2017-02-03,678.5
2017-02-06,678.85
2017-02-07,699.45
2017-02-08,692.4
2017-02-09,700.05
2017-02-10,692.5
2017-02-13,703.2
2017-02-14,709.95
2017-02-15,701.4
2017-02-16,699.0
2017-02-17,701.65
2017-02-20,715.95
2017-02-21,703.55
2017-02-22,716.75
2017-02-23,739.5
2017-02-27,718.5
2017-02-28,727.25
2017-03-01,721.0
2017-03-02,681.6
2017-03-03,705.25
2017-03-06,682.5
2017-03-07,689.8
2017-03-08,686.15
2017-03-09,687.75
2017-03-10,684.8
2017-03-14,700.0
2017-03-15,701.75
2017-03-16,722.25
2017-03-17,715.2
2017-03-20,722.8
2017-03-21,713.15
2017-03-22,693.05
2017-03-23,685.5
2017-03-24,700.95
2017-03-27,712.8
2017-03-28,717.3
2017-03-29,727.1
2017-03-30,708.75
2017-03-31,704.55
2017-04-03,728.7
2017-04-05,722.2
2017-04-06,725.15
2017-04-07,717.5
2017-04-10,716.55
2017-04-11,729.15
2017-04-12,728.5
2017-04-13,738.55
2017-04-17,741.45
2017-04-18,744.4
2017-04-19,752.65
2017-04-20,754.55
2017-04-21,757.9
2017-04-24,758.85
2017-04-25,756.05
2017-04-26,762.4
2017-04-27,757.8
2017-04-28,763.55
2017-05-02,768.15
2017-05-03,760.2
2017-05-04,763.4
2017-05-05,768.4
2017-05-08,771.3
2017-05-09,775.1
2017-05-10,772.65
2017-05-11,774.9
2017-05-12,776.6
2017-05-15,780.6
2017-05-16,769.85
2017-05-17,780.15
2017-05-18,779.0
2017-05-19,761.25
2017-05-22,790.45
2017-05-23,777.55
2017-05-24,779.85
2017-05-25,786.05
2017-05-26,781.1
2017-05-29,777.25
2017-05-30,771.1
2017-05-31,786.3
2017-06-01,773.85
2017-06-02,774.45
2017-06-05,793.1
2017-06-06,774.15
2017-06-07,798.85
2017-06-08,820.6
2017-06-09,808.25
2017-06-12,808.7
2017-06-13,774.2
2017-06-14,759.9
2017-06-15,763.1
2017-06-16,758.7
2017-06-19,789.7
2017-06-20,834.35
2017-06-21,837.7
2017-06-22,810.2
2017-06-23,808.9
2017-06-27,810.35
2017-06-28,811.75
2017-06-29,812.4
2017-06-30,811.55
2017-07-03,819.3
2017-07-04,820.95
2017-07-05,811.95
2017-07-06,808.85
2017-07-07,814.8
2017-07-10,818.45
2017-07-11,808.9
2017-07-12,802.85
2017-07-13,808.9
2017-07-14,795.1
2017-07-17,783.3
2017-07-18,780.65
2017-07-19,805.35
2017-07-20,819.25
2017-07-21,826.2
2017-07-24,839.35
2017-07-25,865.0
2017-07-26,850.5
2017-07-27,830.15
2017-07-28,824.0
2017-07-31,818.0
2017-08-01,811.35
2017-08-02,808.75
2017-08-03,805.35
2017-08-04,807.0
2017-08-07,810.55
2017-08-08,804.4
2017-08-09,803.75
2017-08-10,802.55
2017-08-11,810.75
2017-08-14,819.1
2017-08-16,834.1
2017-08-17,816.35
2017-08-18,814.45
2017-08-21,816.0
2017-08-22,803.9
2017-08-23,801.7
2017-08-24,799.45
2017-08-28,792.6
2017-08-29,796.7
2017-08-30,800.8
2017-08-31,787.25
2017-09-01,790.45
2017-09-04,784.6
2017-09-05,776.3
2017-09-06,780.2
2017-09-07,778.85
2017-09-08,815.25
2017-09-11,812.1
2017-09-12,795.25
2017-09-13,790.75
2017-09-14,786.9
2017-09-15,843.6
2017-09-18,827.8
2017-09-19,811.2
2017-09-20,802.65
2017-09-21,806.55
2017-09-22,803.1
2017-09-25,782.55
2017-09-26,780.65
2017-09-27,759.25
2017-09-28,772.7
2017-09-29,782.9
2017-10-03,775.55
2017-10-04,775.35
2017-10-05,774.45
2017-10-06,768.4
2017-10-09,764.8
2017-10-10,759.85
2017-10-11,775.15
2017-10-12,778.65
2017-10-13,786.5
2017-10-16,770.6
2017-10-17,759.3
2017-10-18,763.55
2017-10-19,772.0
2017-10-23,783.65
2017-10-24,778.4
2017-10-25,778.95
2017-10-26,780.05
2017-10-27,782.3
2017-10-30,779.85
2017-10-31,774.0
2017-11-01,795.25
2017-11-02,795.6
2017-11-03,795.8
2017-11-06,826.6
2017-11-07,825.15
2017-11-08,865.95
2017-11-09,873.6
2017-11-10,879.65
2017-11-13,880.25
2017-11-14,982.65
2017-11-15,970.4
2017-11-16,956.55
2017-11-17,950.65
2017-11-20,958.9
2017-11-21,982.25
2017-11-22,978.45
2017-11-23,974.6
2017-11-24,975.85
2017-11-27,990.35
2017-11-28,975.1
2017-11-29,974.6
2017-11-30,1023.45
2017-12-01,1025.1
2017-12-04,1025.65
2017-12-05,1007.65
2017-12-06,991.5
2017-12-07,978.0
2017-12-08,977.25
2017-12-11,970.05
2017-12-12,968.0
2017-12-13,980.0
2017-12-14,978.5
2017-12-15,989.0
2017-12-18,985.75
2017-12-19,979.75
2017-12-20,977.65
2017-12-21,988.95
2017-12-22,978.25
2017-12-26,970.8
2017-12-27,975.45
2017-12-28,984.65
2017-12-29,987.4
