Date,COMPINFO
2017-01-02,224.05
2017-01-03,219.95
2017-01-04,216.0
2017-01-05,225.0
2017-01-06,216.25
2017-01-09,221.85
2017-01-10,217.55
2017-01-11,214.95
2017-01-12,215.0
2017-01-13,212.55
2017-01-16,212.75
2017-01-17,209.0
2017-01-18,224.05
2017-01-19,229.45
2017-01-20,226.6
2017-01-23,231.5
2017-01-24,230.1
2017-01-25,237.5
2017-01-27,249.25
2017-01-30,250.35
2017-01-31,244.3
2017-02-01,250.55
2017-02-02,250.0
2017-02-03,252.0
2017-02-06,260.5
2017-02-07,275.8
2017-02-08,293.55
2017-02-09,284.1
2017-02-10,282.45
2017-02-13,283.7
2017-02-14,293.4
2017-02-15,295.9
2017-02-16,59.7
2017-02-17,57.95
2017-02-20,56.3
2017-02-21,59.05
2017-02-22,59.35
2017-02-23,57.7
2017-02-27,57.7
2017-02-28,54.85
2017-03-01,51.0
2017-03-02,49.75
2017-03-03,47.2
2017-03-06,45.75
2017-03-07,46.45
2017-03-08,45.75
2017-03-09,45.0
2017-03-10,50.85
2017-03-14,44.45
2017-03-15,43.1
2017-03-16,43.1
2017-03-17,41.3
2017-03-20,41.25
2017-03-21,40.5
2017-03-22,40.0
2017-03-23,37.5
2017-03-24,36.0
2017-03-27,38.5
2017-03-28,38.0
2017-03-29,36.3
2017-03-30,36.05
2017-03-31,36.65
2017-04-03,41.1
2017-04-05,39.5
2017-04-06,38.0
2017-04-07,37.5
2017-04-10,37.9
2017-04-11,37.5
2017-04-12,37.85
2017-04-13,37.25
2017-04-17,37.45
2017-04-18,36.65
2017-04-19,36.5
2017-04-20,35.9
2017-04-21,35.25
2017-04-24,34.75
2017-04-25,35.8
2017-04-26,38.0
2017-04-27,37.2
2017-04-28,38.5
2017-05-02,37.15
2017-05-03,36.0
2017-05-04,34.5
2017-05-05,34.95
2017-05-08,33.95
2017-05-09,34.05
2017-05-10,34.2
2017-05-11,33.95
2017-05-12,33.45
2017-05-15,31.9
2017-05-16,31.95
2017-05-17,31.45
2017-05-18,33.3
2017-05-19,36.4
2017-05-22,33.8
2017-05-23,31.95
2017-05-24,30.8
2017-05-25,30.9
2017-05-26,33.05
2017-05-29,31.75
2017-05-30,31.65
2017-05-31,31.15
2017-06-01,31.15
2017-06-02,30.65
2017-06-05,31.05
2017-06-06,30.5
2017-06-07,30.45
2017-06-08,30.3
2017-06-09,30.15
2017-06-12,27.95
2017-06-13,25.95
2017-06-14,25.3
2017-06-15,23.8
2017-06-16,23.85
2017-06-19,23.9
2017-06-20,22.2
2017-06-21,23.0
2017-06-22,22.95
2017-06-23,22.9
2017-06-27,22.35
2017-06-28,22.35
2017-06-29,22.5
2017-06-30,21.75
2017-07-03,21.85
2017-07-04,21.9
2017-07-05,21.8
2017-07-06,21.85
2017-07-07,21.95
2017-07-10,22.25
2017-07-11,22.2
2017-07-12,26.6
2017-07-13,31.9
2017-07-14,32.25
2017-07-17,30.6
2017-07-18,29.55
2017-07-19,30.8
2017-07-20,30.7
2017-07-21,29.5
2017-07-24,30.15
2017-07-25,29.65
2017-07-26,29.1
2017-07-27,28.85
2017-07-28,28.6
2017-07-31,29.45
2017-08-01,28.95
2017-08-02,28.8
2017-08-03,28.75
2017-08-04,28.15
2017-08-07,29.9
2017-08-08,27.35
2017-08-09,27.35
2017-08-10,25.1
2017-08-11,24.0
2017-08-14,25.05
2017-08-16,26.15
2017-08-17,26.15
2017-08-18,30.75
2017-08-21,29.25
2017-08-22,28.85
2017-08-23,29.0
2017-08-24,30.25
2017-08-28,29.15
2017-08-29,28.55
2017-08-30,29.3
2017-08-31,29.55
2017-09-01,28.75
2017-09-04,28.9
2017-09-05,29.35
2017-09-06,29.4
2017-09-07,29.15
2017-09-08,28.8
2017-09-11,28.95
2017-09-12,29.1
2017-09-13,28.9
2017-09-14,29.15
2017-09-15,28.15
2017-09-18,27.65
2017-09-19,28.7
2017-09-20,28.5
2017-09-21,28.2
2017-09-22,28.0
2017-09-25,27.4
2017-09-26,28.25
2017-09-27,28.0
2017-09-28,28.4
2017-09-29,28.15
2017-10-03,28.1
2017-10-04,28.15
2017-10-05,28.25
2017-10-06,28.0
2017-10-09,27.1
2017-10-10,27.3
2017-10-11,27.7
2017-10-12,27.35
2017-10-13,27.1
2017-10-16,27.05
2017-10-17,27.1
2017-10-18,26.9
2017-10-19,28.0
2017-10-23,27.15
2017-10-24,26.8
2017-10-25,28.05
2017-10-26,26.85
2017-10-27,27.1
2017-10-30,26.9
2017-10-31,26.55
2017-11-01,27.7
2017-11-02,28.3
2017-11-03,29.9
2017-11-06,31.15
2017-11-07,29.5
2017-11-08,29.0
2017-11-09,29.9
2017-11-10,27.85
2017-11-13,27.2
2017-11-14,30.75
2017-11-15,29.2
2017-11-16,28.8
2017-11-17,28.6
2017-11-20,29.45
2017-11-21,28.95
2017-11-22,28.5
2017-11-23,26.25
2017-11-24,31.5
2017-11-27,35.2
2017-11-28,34.6
2017-11-29,36.7
2017-11-30,37.2
2017-12-01,38.35
2017-12-04,40.6
2017-12-05,39.7
2017-12-06,40.25
2017-12-07,41.3
2017-12-08,43.0
2017-12-11,47.3
2017-12-12,47.2
2017-12-13,45.55
2017-12-14,45.1
2017-12-15,46.15
2017-12-18,46.1
2017-12-19,48.95
2017-12-20,48.15
2017-12-21,49.0
2017-12-22,49.1
2017-12-26,48.2
2017-12-27,46.0
2017-12-28,48.25
2017-12-29,48.8
