Date,LTTS
2017-01-02,805.3
2017-01-03,810.15
2017-01-04,807.75
2017-01-05,809.85
2017-01-06,804.0
2017-01-09,818.05
2017-01-10,804.5
2017-01-11,804.45
2017-01-12,805.5
2017-01-13,811.1
2017-01-16,816.8
2017-01-17,814.8
2017-01-18,824.1
2017-01-19,827.75
2017-01-20,839.35
2017-01-23,838.8
2017-01-24,836.4
2017-01-25,847.4
2017-01-27,834.5
2017-01-30,845.85
2017-01-31,837.7
2017-02-01,837.05
2017-02-02,840.55
2017-02-03,821.5
2017-02-06,818.15
2017-02-07,798.85
2017-02-08,797.45
2017-02-09,799.3
2017-02-10,799.25
2017-02-13,791.45
2017-02-14,792.25
2017-02-15,785.2
2017-02-16,789.7
2017-02-17,787.15
2017-02-20,783.65
2017-02-21,779.05
2017-02-22,779.45
2017-02-23,777.6
2017-02-27,775.4
2017-02-28,773.5
2017-03-01,774.25
2017-03-02,773.7
2017-03-03,764.8
2017-03-06,771.2
2017-03-07,774.5
2017-03-08,761.65
2017-03-09,766.7
2017-03-10,768.1
2017-03-14,769.8
2017-03-15,784.6
2017-03-16,785.4
2017-03-17,775.15
2017-03-20,779.95
2017-03-21,777.9
2017-03-22,781.75
2017-03-23,782.3
2017-03-24,779.35
2017-03-27,773.2
2017-03-28,771.5
2017-03-29,762.15
2017-03-30,767.3
2017-03-31,778.6
2017-04-03,785.3
2017-04-05,792.55
2017-04-06,793.75
2017-04-07,794.5
2017-04-10,791.25
2017-04-11,789.65
2017-04-12,775.85
2017-04-13,778.15
2017-04-17,765.75
2017-04-18,757.75
2017-04-19,747.25
2017-04-20,740.7
2017-04-21,735.9
2017-04-24,736.45
2017-04-25,737.85
2017-04-26,745.05
2017-04-27,756.4
2017-04-28,768.25
2017-05-02,771.75
2017-05-03,784.2
2017-05-04,780.55
2017-05-05,771.35
2017-05-08,771.55
2017-05-09,759.5
2017-05-10,754.65
2017-05-11,759.8
2017-05-12,759.8
2017-05-15,766.55
2017-05-16,768.75
2017-05-17,763.95
2017-05-18,762.2
2017-05-19,757.05
2017-05-22,747.85
2017-05-23,735.3
2017-05-24,736.7
2017-05-25,737.55
2017-05-26,748.5
2017-05-29,734.35
2017-05-30,736.1
2017-05-31,736.1
2017-06-01,737.0
2017-06-02,736.7
2017-06-05,739.15
2017-06-06,735.95
2017-06-07,735.35
2017-06-08,736.05
2017-06-09,732.8
2017-06-12,731.9
2017-06-13,730.1
2017-06-14,730.4
2017-06-15,731.75
2017-06-16,730.8
2017-06-19,732.45
2017-06-20,732.65
2017-06-21,732.65
2017-06-22,731.6
2017-06-23,726.1
2017-06-27,721.65
2017-06-28,718.75
2017-06-29,718.65
2017-06-30,717.05
2017-07-03,719.85
2017-07-04,728.2
2017-07-05,761.7
2017-07-06,756.45
2017-07-07,768.4
2017-07-10,760.75
2017-07-11,767.0
2017-07-12,760.4
2017-07-13,768.25
2017-07-14,761.6
2017-07-17,766.15
2017-07-18,760.7
2017-07-19,759.7
2017-07-20,760.25
2017-07-21,770.45
2017-07-24,772.9
2017-07-25,776.75
2017-07-26,761.6
2017-07-27,759.05
2017-07-28,766.0
2017-07-31,761.15
2017-08-01,758.85
2017-08-02,747.6
2017-08-03,742.35
2017-08-04,750.85
2017-08-07,758.55
2017-08-08,742.95
2017-08-09,735.25
2017-08-10,740.35
2017-08-11,731.65
2017-08-14,732.05
2017-08-16,732.75
2017-08-17,733.15
2017-08-18,740.5
2017-08-21,745.2
2017-08-22,745.0
2017-08-23,752.95
2017-08-24,757.65
2017-08-28,757.25
2017-08-29,763.7
2017-08-30,766.65
2017-08-31,768.95
2017-09-01,776.35
2017-09-04,784.85
2017-09-05,788.65
2017-09-06,790.4
2017-09-07,780.4
2017-09-08,794.05
2017-09-11,784.15
2017-09-12,780.15
2017-09-13,781.85
2017-09-14,783.2
2017-09-15,779.85
2017-09-18,782.5
2017-09-19,788.4
2017-09-20,779.75
2017-09-21,780.2
2017-09-22,776.2
2017-09-25,778.15
2017-09-26,770.9
2017-09-27,771.75
2017-09-28,773.55
2017-09-29,781.95
2017-10-03,769.9
2017-10-04,786.9
2017-10-05,793.05
2017-10-06,786.75
2017-10-09,781.9
2017-10-10,792.05
2017-10-11,784.9
2017-10-12,784.8
2017-10-13,790.25
2017-10-16,792.45
2017-10-17,785.9
2017-10-18,791.8
2017-10-19,791.35
2017-10-23,792.7
2017-10-24,809.5
2017-10-25,817.45
2017-10-26,819.1
2017-10-27,825.4
2017-10-30,818.55
2017-10-31,833.0
2017-11-01,831.25
2017-11-02,827.05
2017-11-03,851.8
2017-11-06,863.6
2017-11-07,820.15
2017-11-08,876.65
2017-11-09,904.0
2017-11-10,917.1
2017-11-13,925.9
2017-11-14,940.15
2017-11-15,939.65
2017-11-16,943.75
2017-11-17,924.0
2017-11-20,937.0
2017-11-21,917.25
2017-11-22,912.7
2017-11-23,913.45
2017-11-24,936.15
2017-11-27,940.8
2017-11-28,966.9
2017-11-29,994.05
2017-11-30,1022.35
2017-12-01,1104.05
2017-12-04,1105.2
2017-12-05,1096.15
2017-12-06,1052.6
2017-12-07,1037.25
2017-12-08,1010.95
2017-12-11,995.35
2017-12-12,1002.05
2017-12-13,995.05
2017-12-14,996.9
2017-12-15,994.45
2017-12-18,1010.05
2017-12-19,1010.1
2017-12-20,1011.0
2017-12-21,1010.2
2017-12-22,985.3
2017-12-26,973.6
2017-12-27,994.55
2017-12-28,1024.0
2017-12-29,1028.25
