Date,ASAHISONG
2017-01-02,221.9
2017-01-03,238.6
2017-01-04,232.5
2017-01-05,237.15
2017-01-06,236.45
2017-01-09,236.1
2017-01-10,234.75
2017-01-11,251.65
2017-01-12,254.5
2017-01-13,251.4
2017-01-16,258.3
2017-01-17,251.6
2017-01-18,251.55
2017-01-19,252.1
2017-01-20,247.85
2017-01-23,256.05
2017-01-24,264.0
2017-01-25,264.05
2017-01-27,256.55
2017-01-30,256.45
2017-01-31,251.5
2017-02-01,255.65
2017-02-02,252.0
2017-02-03,248.75
2017-02-06,247.5
2017-02-07,248.25
2017-02-08,248.8
2017-02-09,258.5
2017-02-10,253.5
2017-02-13,249.35
2017-02-14,249.7
2017-02-15,239.5
2017-02-16,241.6
2017-02-17,239.65
2017-02-20,242.4
2017-02-21,249.0
2017-02-22,245.3
2017-02-23,242.95
2017-02-27,246.4
2017-02-28,248.15
2017-03-01,253.55
2017-03-02,251.3
2017-03-03,249.15
2017-03-06,252.15
2017-03-07,256.05
2017-03-08,252.45
2017-03-09,253.05
2017-03-10,254.1
2017-03-14,259.55
2017-03-15,259.7
2017-03-16,264.0
2017-03-17,265.45
2017-03-20,266.1
2017-03-21,269.45
2017-03-22,268.95
2017-03-23,267.65
2017-03-24,268.85
2017-03-27,263.25
2017-03-28,263.55
2017-03-29,264.8
2017-03-30,272.35
2017-03-31,278.1
2017-04-03,277.35
2017-04-05,279.4
2017-04-06,280.15
2017-04-07,281.1
2017-04-10,280.95
2017-04-11,279.1
2017-04-12,277.75
2017-04-13,279.25
2017-04-17,283.25
2017-04-18,280.0
2017-04-19,282.4
2017-04-20,288.25
2017-04-21,295.65
2017-04-24,300.4
2017-04-25,302.75
2017-04-26,303.0
2017-04-27,313.5
2017-04-28,315.25
2017-05-02,324.5
2017-05-03,326.35
2017-05-04,322.75
2017-05-05,307.85
2017-05-08,306.95
2017-05-09,305.55
2017-05-10,312.0
2017-05-11,311.65
2017-05-12,308.0
2017-05-15,308.1
2017-05-16,310.95
2017-05-17,310.0
2017-05-18,305.55
2017-05-19,303.3
2017-05-22,302.95
2017-05-23,306.9
2017-05-24,294.65
2017-05-25,293.85
2017-05-26,300.8
2017-05-29,290.8
2017-05-30,283.35
2017-05-31,299.1
2017-06-01,297.15
2017-06-02,295.9
2017-06-05,288.8
2017-06-06,288.7
2017-06-07,287.05
2017-06-08,291.0
2017-06-09,299.7
2017-06-12,290.95
2017-06-13,288.3
2017-06-14,286.9
2017-06-15,284.5
2017-06-16,294.1
2017-06-19,293.1
2017-06-20,292.15
2017-06-21,287.35
2017-06-22,294.3
2017-06-23,285.4
2017-06-27,281.55
2017-06-28,280.75
2017-06-29,294.25
2017-06-30,288.3
2017-07-03,290.05
2017-07-04,294.2
2017-07-05,295.15
2017-07-06,293.25
2017-07-07,294.85
2017-07-10,295.65
2017-07-11,292.75
2017-07-12,289.95
2017-07-13,290.5
2017-07-14,288.75
2017-07-17,287.25
2017-07-18,286.3
2017-07-19,287.25
2017-07-20,289.95
2017-07-21,287.5
2017-07-24,285.8
2017-07-25,286.05
2017-07-26,310.1
2017-07-27,313.0
2017-07-28,313.4
2017-07-31,318.65
2017-08-01,315.7
2017-08-02,309.2
2017-08-03,313.95
2017-08-04,322.75
2017-08-07,314.95
2017-08-08,309.4
2017-08-09,295.4
2017-08-10,284.65
2017-08-11,277.4
2017-08-14,285.55
2017-08-16,293.5
2017-08-17,296.85
2017-08-18,291.85
2017-08-21,288.7
2017-08-22,287.2
2017-08-23,297.8
2017-08-24,313.75
2017-08-28,308.15
2017-08-29,306.65
2017-08-30,315.3
2017-08-31,321.95
2017-09-01,333.25
2017-09-04,343.6
2017-09-05,350.1
2017-09-06,343.4
2017-09-07,340.15
2017-09-08,340.6
2017-09-11,333.55
2017-09-12,348.35
2017-09-13,331.3
2017-09-14,321.45
2017-09-15,321.05
2017-09-18,314.0
2017-09-19,319.5
2017-09-20,317.4
2017-09-21,311.2
2017-09-22,301.7
2017-09-25,304.35
2017-09-26,308.95
2017-09-27,304.55
2017-09-28,309.2
2017-09-29,304.85
2017-10-03,315.7
2017-10-04,312.9
2017-10-05,320.2
2017-10-06,314.9
2017-10-09,354.9
2017-10-10,350.1
2017-10-11,338.9
2017-10-12,343.95
2017-10-13,340.45
2017-10-16,335.55
2017-10-17,347.95
2017-10-18,358.3
2017-10-19,352.55
2017-10-23,348.4
2017-10-24,340.3
2017-10-25,341.45
2017-10-26,340.95
2017-10-27,339.0
2017-10-30,337.3
2017-10-31,343.15
2017-11-01,354.65
2017-11-02,348.9
2017-11-03,337.95
2017-11-06,335.2
2017-11-07,325.4
2017-11-08,335.95
2017-11-09,349.7
2017-11-10,349.15
2017-11-13,343.1
2017-11-14,338.4
2017-11-15,333.6
2017-11-16,330.5
2017-11-17,322.6
2017-11-20,334.6
2017-11-21,337.05
2017-11-22,342.65
2017-11-23,342.0
2017-11-24,344.4
2017-11-27,341.05
2017-11-28,342.3
2017-11-29,339.9
2017-11-30,340.25
2017-12-01,340.45
2017-12-04,339.45
2017-12-05,343.6
2017-12-06,340.5
2017-12-07,344.7
2017-12-08,341.3
2017-12-11,340.25
2017-12-12,339.0
2017-12-13,339.85
2017-12-14,337.6
2017-12-15,336.7
2017-12-18,338.6
2017-12-19,340.0
2017-12-20,345.95
2017-12-21,355.4
2017-12-22,360.2
2017-12-26,367.6
2017-12-27,358.7
2017-12-28,365.0
2017-12-29,361.0
