Date,GNA
2017-01-02,184.0
2017-01-03,191.85
2017-01-04,195.1
2017-01-05,198.3
2017-01-06,198.15
2017-01-09,200.65
2017-01-10,200.9
2017-01-11,207.0
2017-01-12,200.75
2017-01-13,203.25
2017-01-16,203.7
2017-01-17,203.1
2017-01-18,205.05
2017-01-19,205.65
2017-01-20,200.6
2017-01-23,195.65
2017-01-24,194.0
2017-01-25,193.35
2017-01-27,194.15
2017-01-30,193.65
2017-01-31,190.65
2017-02-01,194.6
2017-02-02,195.3
2017-02-03,197.9
2017-02-06,202.65
2017-02-07,199.55
2017-02-08,199.35
2017-02-09,199.35
2017-02-10,199.5
2017-02-13,198.15
2017-02-14,203.5
2017-02-15,200.0
2017-02-16,203.55
2017-02-17,205.05
2017-02-20,202.95
2017-02-21,201.6
2017-02-22,200.4
2017-02-23,199.35
2017-02-27,197.0
2017-02-28,196.7
2017-03-01,199.85
2017-03-02,196.55
2017-03-03,198.4
2017-03-06,196.25
2017-03-07,194.9
2017-03-08,189.7
2017-03-09,192.75
2017-03-10,193.4
2017-03-14,191.8
2017-03-15,192.8
2017-03-16,196.85
2017-03-17,193.85
2017-03-20,195.65
2017-03-21,195.55
2017-03-22,193.2
2017-03-23,193.5
2017-03-24,193.3
2017-03-27,198.6
2017-03-28,203.15
2017-03-29,218.75
2017-03-30,213.75
2017-03-31,218.9
2017-04-03,224.0
2017-04-05,223.6
2017-04-06,221.6
2017-04-07,217.4
2017-04-10,223.3
2017-04-11,222.8
2017-04-12,219.05
2017-04-13,219.75
2017-04-17,219.65
2017-04-18,218.1
2017-04-19,216.6
2017-04-20,220.0
2017-04-21,223.75
2017-04-24,233.35
2017-04-25,232.75
2017-04-26,228.35
2017-04-27,230.8
2017-04-28,230.15
2017-05-02,230.55
2017-05-03,229.25
2017-05-04,222.55
2017-05-05,211.55
2017-05-08,226.15
2017-05-09,229.6
2017-05-10,227.7
2017-05-11,225.5
2017-05-12,225.05
2017-05-15,222.8
2017-05-16,221.55
2017-05-17,221.95
2017-05-18,218.8
2017-05-19,217.7
2017-05-22,211.55
2017-05-23,206.9
2017-05-24,204.5
2017-05-25,207.65
2017-05-26,213.65
2017-05-29,213.15
2017-05-30,213.2
2017-05-31,211.55
2017-06-01,213.3
2017-06-02,211.5
2017-06-05,214.35
2017-06-06,215.05
2017-06-07,214.4
2017-06-08,211.75
2017-06-09,213.55
2017-06-12,215.85
2017-06-13,214.4
2017-06-14,215.8
2017-06-15,216.15
2017-06-16,229.65
2017-06-19,229.55
2017-06-20,230.65
2017-06-21,234.65
2017-06-22,239.0
2017-06-23,240.0
2017-06-27,230.95
2017-06-28,231.2
2017-06-29,229.9
2017-06-30,230.25
2017-07-03,235.15
2017-07-04,231.3
2017-07-05,233.5
2017-07-06,232.7
2017-07-07,243.6
2017-07-10,254.1
2017-07-11,247.45
2017-07-12,267.55
2017-07-13,268.3
2017-07-14,263.1
2017-07-17,259.3
2017-07-18,266.9
2017-07-19,286.45
2017-07-20,285.6
2017-07-21,291.45
2017-07-24,283.95
2017-07-25,283.85
2017-07-26,276.95
2017-07-27,270.6
2017-07-28,274.35
2017-07-31,276.7
2017-08-01,273.3
2017-08-02,267.25
2017-08-03,261.35
2017-08-04,275.1
2017-08-07,273.95
2017-08-08,268.85
2017-08-09,265.05
2017-08-10,248.85
2017-08-11,257.75
2017-08-14,261.4
2017-08-16,263.5
2017-08-17,265.2
2017-08-18,263.05
2017-08-21,257.55
2017-08-22,253.1
2017-08-23,256.15
2017-08-24,256.7
2017-08-28,256.8
2017-08-29,254.2
2017-08-30,255.7
2017-08-31,261.6
2017-09-01,260.15
2017-09-04,270.2
2017-09-05,273.7
2017-09-06,275.0
2017-09-07,284.8
2017-09-08,294.55
2017-09-11,290.35
2017-09-12,285.9
2017-09-13,288.05
2017-09-14,289.75
2017-09-15,287.4
2017-09-18,309.95
2017-09-19,311.1
2017-09-20,318.35
2017-09-21,316.55
2017-09-22,303.55
2017-09-25,293.1
2017-09-26,303.25
2017-09-27,297.75
2017-09-28,307.65
2017-09-29,314.25
2017-10-03,315.8
2017-10-04,327.85
2017-10-05,339.0
2017-10-06,346.95
2017-10-09,369.15
2017-10-10,378.8
2017-10-11,367.7
2017-10-12,383.65
2017-10-13,388.3
2017-10-16,363.9
2017-10-17,362.1
2017-10-18,365.65
2017-10-19,359.95
2017-10-23,355.4
2017-10-24,349.25
2017-10-25,352.35
2017-10-26,353.45
2017-10-27,351.75
2017-10-30,365.55
2017-10-31,379.55
2017-11-01,372.7
2017-11-02,367.95
2017-11-03,374.95
2017-11-06,366.9
2017-11-07,369.8
2017-11-08,365.2
2017-11-09,367.05
2017-11-10,363.15
2017-11-13,355.3
2017-11-14,351.95
2017-11-15,344.05
2017-11-16,397.1
2017-11-17,384.6
2017-11-20,383.0
2017-11-21,387.7
2017-11-22,386.35
2017-11-23,391.15
2017-11-24,391.55
2017-11-27,389.85
2017-11-28,409.15
2017-11-29,393.7
2017-11-30,377.75
2017-12-01,362.3
2017-12-04,370.0
2017-12-05,367.6
2017-12-06,367.25
2017-12-07,377.5
2017-12-08,387.35
2017-12-11,387.1
2017-12-12,384.8
2017-12-13,374.85
2017-12-14,381.5
2017-12-15,388.2
2017-12-18,389.5
2017-12-19,391.05
2017-12-20,389.75
2017-12-21,393.55
2017-12-22,407.7
2017-12-26,432.55
2017-12-27,429.3
2017-12-28,432.15
2017-12-29,433.25
