Date,CADILAHC
2017-01-02,354.5
2017-01-03,354.8
2017-01-04,362.05
2017-01-05,367.1
2017-01-06,379.45
2017-01-09,361.6
2017-01-10,355.75
2017-01-11,356.45
2017-01-12,349.8
2017-01-13,349.85
2017-01-16,349.7
2017-01-17,349.6
2017-01-18,356.4
2017-01-19,361.95
2017-01-20,359.2
2017-01-23,357.85
2017-01-24,359.7
2017-01-25,357.45
2017-01-27,362.45
2017-01-30,375.95
2017-01-31,350.55
2017-02-01,352.05
2017-02-02,365.25
2017-02-03,365.05
2017-02-06,368.0
2017-02-07,366.55
2017-02-08,372.6
2017-02-09,366.25
2017-02-10,364.1
2017-02-13,373.15
2017-02-14,365.25
2017-02-15,358.4
2017-02-16,429.5
2017-02-17,450.05
2017-02-20,443.65
2017-02-21,439.6
2017-02-22,434.2
2017-02-23,430.7
2017-02-27,437.6
2017-02-28,440.25
2017-03-01,438.65
2017-03-02,430.95
2017-03-03,431.15
2017-03-06,439.3
2017-03-07,436.3
2017-03-08,443.25
2017-03-09,440.05
2017-03-10,437.9
2017-03-14,439.1
2017-03-15,449.4
2017-03-16,442.7
2017-03-17,443.65
2017-03-20,445.5
2017-03-21,441.55
2017-03-22,438.35
2017-03-23,447.95
2017-03-24,445.5
2017-03-27,449.9
2017-03-28,452.95
2017-03-29,448.4
2017-03-30,450.4
2017-03-31,442.0
2017-04-03,442.9
2017-04-05,449.35
2017-04-06,447.85
2017-04-07,455.45
2017-04-10,451.25
2017-04-11,459.05
2017-04-12,456.65
2017-04-13,452.45
2017-04-17,452.95
2017-04-18,442.7
2017-04-19,443.7
2017-04-20,449.25
2017-04-21,449.95
2017-04-24,452.65
2017-04-25,456.9
2017-04-26,455.7
2017-04-27,443.7
2017-04-28,440.25
2017-05-02,448.7
2017-05-03,452.7
2017-05-04,457.8
2017-05-05,466.1
2017-05-08,466.6
2017-05-09,473.85
2017-05-10,470.15
2017-05-11,493.1
2017-05-12,487.9
2017-05-15,488.35
2017-05-16,490.05
2017-05-17,477.85
2017-05-18,469.0
2017-05-19,459.9
2017-05-22,458.55
2017-05-23,440.85
2017-05-24,440.65
2017-05-25,426.7
2017-05-26,443.95
2017-05-29,455.85
2017-05-30,471.7
2017-05-31,464.1
2017-06-01,470.95
2017-06-02,494.2
2017-06-05,490.6
2017-06-06,489.5
2017-06-07,536.9
2017-06-08,541.05
2017-06-09,540.85
2017-06-12,549.15
2017-06-13,542.1
2017-06-14,528.85
2017-06-15,532.55
2017-06-16,525.55
2017-06-19,531.35
2017-06-20,523.55
2017-06-21,521.0
2017-06-22,525.3
2017-06-23,525.6
2017-06-27,526.6
2017-06-28,527.7
2017-06-29,520.95
2017-06-30,525.15
2017-07-03,523.75
2017-07-04,513.85
2017-07-05,517.25
2017-07-06,510.35
2017-07-07,515.25
2017-07-10,519.6
2017-07-11,518.1
2017-07-12,517.1
2017-07-13,519.85
2017-07-14,530.05
2017-07-17,538.5
2017-07-18,524.45
2017-07-19,544.95
2017-07-20,525.8
2017-07-21,529.3
2017-07-24,531.3
2017-07-25,543.65
2017-07-26,548.75
2017-07-27,540.4
2017-07-28,545.85
2017-07-31,543.65
2017-08-01,540.65
2017-08-02,540.8
2017-08-03,546.25
2017-08-04,532.9
2017-08-07,533.05
2017-08-08,530.0
2017-08-09,485.45
2017-08-10,466.15
2017-08-11,482.5
2017-08-14,485.05
2017-08-16,483.25
2017-08-17,481.6
2017-08-18,473.4
2017-08-21,473.25
2017-08-22,468.5
2017-08-23,462.65
2017-08-24,494.35
2017-08-28,501.95
2017-08-29,498.6
2017-08-30,504.3
2017-08-31,500.0
2017-09-01,507.55
2017-09-04,506.45
2017-09-05,509.95
2017-09-06,494.25
2017-09-07,511.15
2017-09-08,501.75
2017-09-11,477.15
2017-09-12,477.8
2017-09-13,481.4
2017-09-14,480.5
2017-09-15,481.95
2017-09-18,487.85
2017-09-19,485.2
2017-09-20,486.85
2017-09-21,504.45
2017-09-22,489.1
2017-09-25,481.95
2017-09-26,473.8
2017-09-27,454.3
2017-09-28,467.65
2017-09-29,470.35
2017-10-03,473.75
2017-10-04,494.05
2017-10-05,500.75
2017-10-06,499.7
2017-10-09,496.35
2017-10-10,493.05
2017-10-11,491.25
2017-10-12,500.55
2017-10-13,501.95
2017-10-16,500.7
2017-10-17,497.25
2017-10-18,491.45
2017-10-19,490.75
2017-10-23,491.6
2017-10-24,482.7
2017-10-25,480.2
2017-10-26,484.05
2017-10-27,490.25
2017-10-30,498.25
2017-10-31,503.45
2017-11-01,496.55
2017-11-02,507.9
2017-11-03,496.45
2017-11-06,502.85
2017-11-07,497.65
2017-11-08,497.1
2017-11-09,478.8
2017-11-10,463.9
2017-11-13,448.75
2017-11-14,448.2
2017-11-15,439.15
2017-11-16,442.9
2017-11-17,446.95
2017-11-20,445.55
2017-11-21,448.6
2017-11-22,442.35
2017-11-23,443.75
2017-11-24,447.2
2017-11-27,443.6
2017-11-28,441.1
2017-11-29,439.65
2017-11-30,428.75
2017-12-01,425.8
2017-12-04,424.15
2017-12-05,424.55
2017-12-06,418.6
2017-12-07,418.2
2017-12-08,416.95
2017-12-11,420.05
2017-12-12,414.85
2017-12-13,406.35
2017-12-14,409.65
2017-12-15,411.2
2017-12-18,417.15
2017-12-19,417.45
2017-12-20,419.4
2017-12-21,426.2
2017-12-22,423.3
2017-12-26,427.95
2017-12-27,430.7
2017-12-28,423.85
2017-12-29,433.5
