Date,BHARATFORG
2017-01-02,924.5
2017-01-03,922.1
2017-01-04,913.75
2017-01-05,922.35
2017-01-06,912.1
2017-01-09,907.4
2017-01-10,930.75
2017-01-11,952.0
2017-01-12,951.5
2017-01-13,943.6
2017-01-16,935.65
2017-01-17,934.75
2017-01-18,941.15
2017-01-19,943.45
2017-01-20,924.45
2017-01-23,935.1
2017-01-24,941.25
2017-01-25,952.65
2017-01-27,945.75
2017-01-30,951.45
2017-01-31,931.95
2017-02-01,972.65
2017-02-02,969.75
2017-02-03,948.8
2017-02-06,989.15
2017-02-07,981.55
2017-02-08,967.05
2017-02-09,1017.75
2017-02-10,1011.55
2017-02-13,1040.9
2017-02-14,1039.25
2017-02-15,1019.75
2017-02-16,1081.1
2017-02-17,1061.05
2017-02-20,1076.3
2017-02-21,1081.0
2017-02-22,1064.8
2017-02-23,1071.5
2017-02-27,1058.35
2017-02-28,1053.45
2017-03-01,1051.95
2017-03-02,1041.8
2017-03-03,1043.0
2017-03-06,1072.9
2017-03-07,1049.1
2017-03-08,1042.5
2017-03-09,1031.7
2017-03-10,1032.7
2017-03-14,1035.5
2017-03-15,1034.3
2017-03-16,1046.3
2017-03-17,1035.6
2017-03-20,1037.55
2017-03-21,1017.85
2017-03-22,1014.5
2017-03-23,1008.35
2017-03-24,1015.2
2017-03-27,1018.0
2017-03-28,1046.65
2017-03-29,1035.5
2017-03-30,1026.85
2017-03-31,1042.1
2017-04-03,1075.65
2017-04-05,1073.3
2017-04-06,1091.8
2017-04-07,1068.55
2017-04-10,1081.6
2017-04-11,1098.0
2017-04-12,1077.8
2017-04-13,1080.9
2017-04-17,1059.7
2017-04-18,1036.1
2017-04-19,1048.8
2017-04-20,1082.15
2017-04-21,1073.9
2017-04-24,1132.65
2017-04-25,1135.05
2017-04-26,1114.05
2017-04-27,1134.8
2017-04-28,1144.75
2017-05-02,1163.55
2017-05-03,1151.85
2017-05-04,1116.35
2017-05-05,1099.0
2017-05-08,1099.5
2017-05-09,1109.75
2017-05-10,1125.1
2017-05-11,1130.55
2017-05-12,1117.2
2017-05-15,1122.2
2017-05-16,1125.15
2017-05-17,1124.2
2017-05-18,1056.45
2017-05-19,1055.95
2017-05-22,1065.0
2017-05-23,1047.05
2017-05-24,1084.35
2017-05-25,1112.6
2017-05-26,1133.2
2017-05-29,1135.35
2017-05-30,1144.75
2017-05-31,1169.85
2017-06-01,1205.85
2017-06-02,1193.15
2017-06-05,1187.2
2017-06-06,1166.6
2017-06-07,1210.5
2017-06-08,1185.05
2017-06-09,1175.3
2017-06-12,1170.85
2017-06-13,1164.65
2017-06-14,1173.65
2017-06-15,1164.6
2017-06-16,1183.25
2017-06-19,1181.35
2017-06-20,1182.4
2017-06-21,1168.05
2017-06-22,1154.75
2017-06-23,1109.45
2017-06-27,1090.2
2017-06-28,1059.1
2017-06-29,1075.1
2017-06-30,1092.65
2017-07-03,1108.1
2017-07-04,1098.45
2017-07-05,1110.7
2017-07-06,1108.0
2017-07-07,1120.85
2017-07-10,1120.5
2017-07-11,1102.85
2017-07-12,1120.25
2017-07-13,1120.8
2017-07-14,1120.1
2017-07-17,1144.0
2017-07-18,1143.15
2017-07-19,1148.95
2017-07-20,1134.45
2017-07-21,1135.5
2017-07-24,1130.45
2017-07-25,1122.55
2017-07-26,1138.55
2017-07-27,1138.9
2017-07-28,1151.1
2017-07-31,1148.7
2017-08-01,1150.1
2017-08-02,1156.35
2017-08-03,1162.45
2017-08-04,1155.45
2017-08-07,1161.55
2017-08-08,1188.65
2017-08-09,1165.75
2017-08-10,1142.85
2017-08-11,1158.9
2017-08-14,1180.8
2017-08-16,1187.3
2017-08-17,1185.85
2017-08-18,1169.95
2017-08-21,1135.85
2017-08-22,1136.65
2017-08-23,1165.95
2017-08-24,1147.95
2017-08-28,1161.95
2017-08-29,1129.1
2017-08-30,1143.9
2017-08-31,1127.8
2017-09-01,1133.0
2017-09-04,1125.15
2017-09-05,1132.3
2017-09-06,1130.7
2017-09-07,1157.6
2017-09-08,1161.0
2017-09-11,1180.2
2017-09-12,1228.6
2017-09-13,1225.85
2017-09-14,1258.65
2017-09-15,1240.25
2017-09-18,1246.65
2017-09-19,1267.1
2017-09-20,1266.05
2017-09-21,1251.1
2017-09-22,1228.4
2017-09-25,1221.2
2017-09-26,1274.85
2017-09-27,1217.0
2017-09-28,599.15
2017-09-29,588.9
2017-10-03,617.5
