Date,JSLHISAR
2017-01-02,93.15
2017-01-03,94.8
2017-01-04,93.95
2017-01-05,93.85
2017-01-06,93.15
2017-01-09,96.0
2017-01-10,97.7
2017-01-11,100.0
2017-01-12,97.95
2017-01-13,96.95
2017-01-16,97.15
2017-01-17,94.75
2017-01-18,103.15
2017-01-19,103.15
2017-01-20,101.55
2017-01-23,105.95
2017-01-24,104.4
2017-01-25,104.7
2017-01-27,101.7
2017-01-30,105.75
2017-01-31,102.35
2017-02-01,102.4
2017-02-02,102.8
2017-02-03,100.0
2017-02-06,110.45
2017-02-07,112.25
2017-02-08,112.45
2017-02-09,109.9
2017-02-10,108.7
2017-02-13,108.05
2017-02-14,107.5
2017-02-15,105.4
2017-02-16,105.25
2017-02-17,105.6
2017-02-20,105.15
2017-02-21,105.15
2017-02-22,106.7
2017-02-23,108.9
2017-02-27,111.9
2017-02-28,114.7
2017-03-01,118.8
2017-03-02,117.35
2017-03-03,117.25
2017-03-06,119.8
2017-03-07,123.6
2017-03-08,124.55
2017-03-09,128.85
2017-03-10,128.4
2017-03-14,134.4
2017-03-15,139.7
2017-03-16,146.65
2017-03-17,145.85
2017-03-20,145.65
2017-03-21,143.25
2017-03-22,138.85
2017-03-23,139.35
2017-03-24,137.45
2017-03-27,138.35
2017-03-28,139.9
2017-03-29,138.0
2017-03-30,137.0
2017-03-31,142.1
2017-04-03,147.5
2017-04-05,147.75
2017-04-06,145.55
2017-04-07,146.7
2017-04-10,145.85
2017-04-11,146.2
2017-04-12,145.15
2017-04-13,144.85
2017-04-17,144.55
2017-04-18,143.0
2017-04-19,135.7
2017-04-20,141.3
2017-04-21,137.25
2017-04-24,138.15
2017-04-25,137.8
2017-04-26,135.75
2017-04-27,135.8
2017-04-28,137.1
2017-05-02,135.05
2017-05-03,128.15
2017-05-04,128.85
2017-05-05,124.0
2017-05-08,125.7
2017-05-09,133.95
2017-05-10,141.7
2017-05-11,146.95
2017-05-12,148.45
2017-05-15,153.8
2017-05-16,145.4
2017-05-17,141.2
2017-05-18,135.95
2017-05-19,135.35
2017-05-22,130.7
2017-05-23,125.75
2017-05-24,127.0
2017-05-25,127.55
2017-05-26,130.25
2017-05-29,128.8
2017-05-30,126.85
2017-05-31,126.55
2017-06-01,126.95
2017-06-02,126.0
2017-06-05,125.75
2017-06-06,122.55
2017-06-07,125.2
2017-06-08,125.4
2017-06-09,126.05
2017-06-12,125.15
2017-06-13,125.95
2017-06-14,126.6
2017-06-15,125.85
2017-06-16,126.3
2017-06-19,126.15
2017-06-20,125.4
2017-06-21,124.55
2017-06-22,121.45
2017-06-23,122.35
2017-06-27,121.5
2017-06-28,121.3
2017-06-29,121.8
2017-06-30,120.65
2017-07-03,120.7
2017-07-04,121.9
2017-07-05,130.4
2017-07-06,126.95
2017-07-07,127.4
2017-07-10,132.35
2017-07-11,137.85
2017-07-12,145.3
2017-07-13,140.1
2017-07-14,138.7
2017-07-17,144.05
2017-07-18,140.15
2017-07-19,143.45
2017-07-20,142.6
2017-07-21,147.9
2017-07-24,146.55
2017-07-25,143.9
2017-07-26,143.0
2017-07-27,147.15
2017-07-28,150.45
2017-07-31,162.85
2017-08-01,164.35
2017-08-02,162.0
2017-08-03,159.1
2017-08-04,170.2
2017-08-07,164.5
2017-08-08,160.3
2017-08-09,159.2
2017-08-10,164.65
2017-08-11,164.25
2017-08-14,166.1
2017-08-16,172.9
2017-08-17,172.4
2017-08-18,168.3
2017-08-21,175.2
2017-08-22,174.85
2017-08-23,183.8
2017-08-24,181.4
2017-08-28,178.15
2017-08-29,183.8
2017-08-30,185.1
2017-08-31,184.9
2017-09-01,184.65
2017-09-04,179.15
2017-09-05,179.75
2017-09-06,182.7
2017-09-07,182.15
2017-09-08,192.4
2017-09-11,189.55
2017-09-12,197.7
2017-09-13,194.85
2017-09-14,194.15
2017-09-15,192.2
2017-09-18,200.7
2017-09-19,189.95
2017-09-20,190.05
2017-09-21,180.1
2017-09-22,170.7
2017-09-25,170.85
2017-09-26,177.85
2017-09-27,168.9
2017-09-28,177.2
2017-09-29,174.0
2017-10-03,177.15
2017-10-04,176.15
2017-10-05,174.1
2017-10-06,174.8
2017-10-09,174.5
2017-10-10,176.3
2017-10-11,186.0
2017-10-12,189.25
2017-10-13,192.4
2017-10-16,198.95
2017-10-17,206.15
2017-10-18,215.6
2017-10-19,214.6
2017-10-23,223.0
2017-10-24,229.65
2017-10-25,223.2
2017-10-26,222.2
2017-10-27,228.15
2017-10-30,229.65
2017-10-31,230.45
2017-11-01,228.9
2017-11-02,234.0
2017-11-03,232.05
2017-11-06,229.4
2017-11-07,217.05
2017-11-08,214.75
2017-11-09,216.65
2017-11-10,216.05
2017-11-13,217.2
2017-11-14,209.7
2017-11-15,200.3
2017-11-16,197.65
2017-11-17,209.4
2017-11-20,214.8
2017-11-21,221.0
2017-11-22,219.35
2017-11-23,216.25
2017-11-24,220.4
2017-11-27,219.55
2017-11-28,217.7
2017-11-29,217.6
2017-11-30,210.0
2017-12-01,207.0
2017-12-04,210.1
2017-12-05,210.0
2017-12-06,213.1
2017-12-07,215.7
2017-12-08,214.75
2017-12-11,209.9
2017-12-12,204.85
2017-12-13,213.95
2017-12-14,212.0
2017-12-15,210.8
2017-12-18,207.45
2017-12-19,208.45
2017-12-20,209.05
2017-12-21,228.45
2017-12-22,229.35
2017-12-26,231.35
2017-12-27,227.55
2017-12-28,228.35
2017-12-29,225.8
