Date,ASAHIINDIA
2017-01-02,177.95
2017-01-03,181.25
2017-01-04,179.05
2017-01-05,184.35
2017-01-06,188.45
2017-01-09,192.65
2017-01-10,190.55
2017-01-11,197.2
2017-01-12,198.85
2017-01-13,200.15
2017-01-16,201.45
2017-01-17,198.95
2017-01-18,199.25
2017-01-19,199.95
2017-01-20,194.0
2017-01-23,196.35
2017-01-24,198.75
2017-01-25,202.65
2017-01-27,199.9
2017-01-30,198.45
2017-01-31,198.05
2017-02-01,201.7
2017-02-02,203.1
2017-02-03,201.8
2017-02-06,200.9
2017-02-07,201.7
2017-02-08,201.0
2017-02-09,201.9
2017-02-10,205.65
2017-02-13,201.35
2017-02-14,201.25
2017-02-15,203.05
2017-02-16,202.9
2017-02-17,203.4
2017-02-20,204.95
2017-02-21,214.0
2017-02-22,215.8
2017-02-23,212.7
2017-02-27,210.85
2017-02-28,210.7
2017-03-01,210.1
2017-03-02,205.75
2017-03-03,207.85
2017-03-06,206.9
2017-03-07,208.2
2017-03-08,211.1
2017-03-09,210.35
2017-03-10,213.4
2017-03-14,216.55
2017-03-15,217.5
2017-03-16,215.35
2017-03-17,212.2
2017-03-20,210.95
2017-03-21,210.05
2017-03-22,210.1
2017-03-23,211.6
2017-03-24,211.9
2017-03-27,211.2
2017-03-28,210.45
2017-03-29,209.55
2017-03-30,211.25
2017-03-31,217.5
2017-04-03,219.3
2017-04-05,229.2
2017-04-06,226.55
2017-04-07,224.75
2017-04-10,222.3
2017-04-11,228.4
2017-04-12,224.95
2017-04-13,224.5
2017-04-17,223.7
2017-04-18,217.75
2017-04-19,216.6
2017-04-20,219.65
2017-04-21,218.05
2017-04-24,221.05
2017-04-25,218.15
2017-04-26,216.1
2017-04-27,216.95
2017-04-28,215.85
2017-05-02,217.65
2017-05-03,226.75
2017-05-04,227.7
2017-05-05,227.4
2017-05-08,233.05
2017-05-09,234.1
2017-05-10,232.25
2017-05-11,240.25
2017-05-12,238.95
2017-05-15,254.75
2017-05-16,244.25
2017-05-17,245.55
2017-05-18,237.2
2017-05-19,239.85
2017-05-22,239.45
2017-05-23,243.15
2017-05-24,240.95
2017-05-25,243.15
2017-05-26,241.9
2017-05-29,240.8
2017-05-30,240.3
2017-05-31,259.55
2017-06-01,265.05
2017-06-02,265.3
2017-06-05,268.6
2017-06-06,269.95
2017-06-07,270.35
2017-06-08,274.05
2017-06-09,272.95
2017-06-12,263.7
2017-06-13,258.6
2017-06-14,256.6
2017-06-15,254.75
2017-06-16,253.8
2017-06-19,251.95
2017-06-20,251.9
2017-06-21,256.95
2017-06-22,258.9
2017-06-23,254.6
2017-06-27,243.1
2017-06-28,243.7
2017-06-29,245.6
2017-06-30,244.9
2017-07-03,250.75
2017-07-04,259.95
2017-07-05,249.4
2017-07-06,252.85
2017-07-07,252.35
2017-07-10,253.65
2017-07-11,252.65
2017-07-12,252.7
2017-07-13,251.85
2017-07-14,254.3
2017-07-17,254.05
2017-07-18,255.45
2017-07-19,259.85
2017-07-20,272.45
2017-07-21,270.75
2017-07-24,271.9
2017-07-25,270.2
2017-07-26,273.45
2017-07-27,272.45
2017-07-28,275.75
2017-07-31,293.2
2017-08-01,287.95
2017-08-02,285.5
2017-08-03,286.6
2017-08-04,287.45
2017-08-07,296.45
2017-08-08,291.45
2017-08-09,289.85
2017-08-10,283.55
2017-08-11,284.2
2017-08-14,300.45
2017-08-16,295.5
2017-08-17,296.25
2017-08-18,293.15
2017-08-21,294.2
2017-08-22,309.5
2017-08-23,310.35
2017-08-24,334.6
2017-08-28,376.15
2017-08-29,360.9
2017-08-30,382.95
2017-08-31,372.65
2017-09-01,383.75
2017-09-04,373.8
2017-09-05,377.0
2017-09-06,370.1
2017-09-07,375.75
2017-09-08,384.95
2017-09-11,386.95
2017-09-12,391.55
2017-09-13,416.65
2017-09-14,404.35
2017-09-15,415.95
2017-09-18,410.45
2017-09-19,411.8
2017-09-20,404.9
2017-09-21,395.5
2017-09-22,380.95
2017-09-25,371.6
2017-09-26,376.1
2017-09-27,369.4
2017-09-28,369.65
2017-09-29,381.65
2017-10-03,395.05
2017-10-04,390.2
2017-10-05,384.8
2017-10-06,381.0
2017-10-09,382.05
2017-10-10,379.7
2017-10-11,372.95
2017-10-12,373.55
2017-10-13,372.95
2017-10-16,374.75
2017-10-17,377.9
2017-10-18,369.2
2017-10-19,371.05
2017-10-23,374.85
2017-10-24,376.1
2017-10-25,375.75
2017-10-26,373.15
2017-10-27,375.55
2017-10-30,393.15
2017-10-31,391.55
2017-11-01,390.05
2017-11-02,387.85
2017-11-03,390.05
2017-11-06,395.15
2017-11-07,387.9
2017-11-08,385.85
2017-11-09,378.05
2017-11-10,375.35
2017-11-13,376.15
2017-11-14,369.0
2017-11-15,369.6
2017-11-16,363.6
2017-11-17,368.2
2017-11-20,369.4
2017-11-21,370.65
2017-11-22,372.9
2017-11-23,371.8
2017-11-24,373.7
2017-11-27,369.3
2017-11-28,369.55
2017-11-29,366.15
2017-11-30,373.8
2017-12-01,367.7
2017-12-04,367.2
2017-12-05,364.05
2017-12-06,361.15
2017-12-07,361.8
2017-12-08,371.0
2017-12-11,373.15
2017-12-12,369.05
2017-12-13,369.45
2017-12-14,364.9
2017-12-15,367.95
2017-12-18,370.75
2017-12-19,372.7
2017-12-20,373.95
2017-12-21,380.15
2017-12-22,382.9
2017-12-26,377.2
2017-12-27,373.8
2017-12-28,376.8
2017-12-29,368.55
