Date,DBREALTY
2017-01-02,37.6
2017-01-03,38.05
2017-01-04,38.5
2017-01-05,39.4
2017-01-06,38.4
2017-01-09,38.0
2017-01-10,38.4
2017-01-11,38.55
2017-01-12,38.4
2017-01-13,38.55
2017-01-16,40.55
2017-01-17,41.7
2017-01-18,41.8
2017-01-19,41.7
2017-01-20,40.35
2017-01-23,40.55
2017-01-24,40.7
2017-01-25,41.1
2017-01-27,40.9
2017-01-30,40.7
2017-01-31,39.9
2017-02-01,41.85
2017-02-02,41.3
2017-02-03,42.75
2017-02-06,44.0
2017-02-07,43.1
2017-02-08,43.3
2017-02-09,43.2
2017-02-10,42.65
2017-02-13,41.5
2017-02-14,41.35
2017-02-15,40.1
2017-02-16,40.55
2017-02-17,41.15
2017-02-20,41.3
2017-02-21,41.6
2017-02-22,41.4
2017-02-23,41.0
2017-02-27,40.85
2017-02-28,41.45
2017-03-01,42.65
2017-03-02,41.3
2017-03-03,41.15
2017-03-06,42.55
2017-03-07,42.35
2017-03-08,41.25
2017-03-09,41.5
2017-03-10,40.7
2017-03-14,41.8
2017-03-15,41.7
2017-03-16,42.25
2017-03-17,41.9
2017-03-20,41.95
2017-03-21,42.9
2017-03-22,42.1
2017-03-23,41.9
2017-03-24,41.4
2017-03-27,41.3
2017-03-28,41.7
2017-03-29,41.3
2017-03-30,42.0
2017-03-31,41.7
2017-04-03,41.85
2017-04-05,44.95
2017-04-06,45.9
2017-04-07,44.2
2017-04-10,45.5
2017-04-11,45.4
2017-04-12,45.5
2017-04-13,45.25
2017-04-17,51.45
2017-04-18,47.65
2017-04-19,49.95
2017-04-20,50.25
2017-04-21,50.55
2017-04-24,52.3
2017-04-25,51.0
2017-04-26,48.85
2017-04-27,47.85
2017-04-28,47.1
2017-05-02,48.3
2017-05-03,48.25
2017-05-04,47.65
2017-05-05,46.35
2017-05-08,49.4
2017-05-09,50.4
2017-05-10,49.4
2017-05-11,48.45
2017-05-12,48.95
2017-05-15,48.8
2017-05-16,49.05
2017-05-17,48.3
2017-05-18,46.55
2017-05-19,45.25
2017-05-22,44.45
2017-05-23,42.4
2017-05-24,40.45
2017-05-25,42.15
2017-05-26,43.0
2017-05-29,41.05
2017-05-30,40.65
2017-05-31,41.0
2017-06-01,41.45
2017-06-02,41.3
2017-06-05,44.95
2017-06-06,44.3
2017-06-07,44.6
2017-06-08,43.8
2017-06-09,44.0
2017-06-12,42.75
2017-06-13,42.25
2017-06-14,42.3
2017-06-15,43.65
2017-06-16,42.65
2017-06-19,41.1
2017-06-20,42.75
2017-06-21,41.45
2017-06-22,41.35
2017-06-23,40.75
2017-06-27,39.55
2017-06-28,39.4
2017-06-29,39.0
2017-06-30,38.7
2017-07-03,40.0
2017-07-04,39.55
2017-07-05,41.1
2017-07-06,40.4
2017-07-07,39.9
2017-07-10,40.25
2017-07-11,39.95
2017-07-12,40.0
2017-07-13,39.3
2017-07-14,39.35
2017-07-17,39.3
2017-07-18,38.6
2017-07-19,38.9
2017-07-20,38.95
2017-07-21,38.5
2017-07-24,38.55
2017-07-25,41.35
2017-07-26,42.9
2017-07-27,43.1
2017-07-28,44.45
2017-07-31,44.35
2017-08-01,42.65
2017-08-02,42.55
2017-08-03,40.25
2017-08-04,40.35
2017-08-07,40.85
2017-08-08,38.25
2017-08-09,36.8
2017-08-10,34.2
2017-08-11,34.7
2017-08-14,36.7
2017-08-16,37.0
2017-08-17,37.35
2017-08-18,36.7
2017-08-21,36.1
2017-08-22,35.1
2017-08-23,36.05
2017-08-24,36.5
2017-08-28,37.1
2017-08-29,36.05
2017-08-30,36.85
2017-08-31,36.9
2017-09-01,39.3
2017-09-04,39.75
2017-09-05,40.75
2017-09-06,41.1
2017-09-07,41.35
2017-09-08,39.05
2017-09-11,38.0
2017-09-12,38.8
2017-09-13,38.55
2017-09-14,38.35
2017-09-15,37.85
2017-09-18,38.0
2017-09-19,38.5
2017-09-20,38.2
2017-09-21,37.9
2017-09-22,36.3
2017-09-25,35.25
2017-09-26,36.1
2017-09-27,34.95
2017-09-28,35.35
2017-09-29,35.6
2017-10-03,35.05
2017-10-04,35.2
2017-10-05,35.7
2017-10-06,35.8
2017-10-09,36.3
2017-10-10,36.3
2017-10-11,35.15
2017-10-12,34.1
2017-10-13,34.4
2017-10-16,34.15
2017-10-17,36.6
2017-10-18,36.25
2017-10-19,36.75
2017-10-23,36.55
2017-10-24,36.9
2017-10-25,36.55
2017-10-26,36.7
2017-10-27,36.5
2017-10-30,37.45
2017-10-31,38.0
2017-11-01,37.85
2017-11-02,37.45
2017-11-03,37.75
2017-11-06,37.4
2017-11-07,36.6
2017-11-08,35.95
2017-11-09,36.05
2017-11-10,35.25
2017-11-13,34.65
2017-11-14,34.95
2017-11-15,33.95
2017-11-16,34.65
2017-11-17,35.7
2017-11-20,36.4
2017-11-21,35.75
2017-11-22,35.5
2017-11-23,36.7
2017-11-24,36.0
2017-11-27,35.85
2017-11-28,35.75
2017-11-29,37.7
2017-11-30,37.6
2017-12-01,36.85
2017-12-04,36.45
2017-12-05,36.0
2017-12-06,36.0
2017-12-07,35.5
2017-12-08,36.15
2017-12-11,36.1
2017-12-12,35.75
2017-12-13,35.2
2017-12-14,34.85
2017-12-15,35.0
2017-12-18,34.9
2017-12-19,34.75
2017-12-20,36.35
2017-12-21,43.6
2017-12-22,52.3
2017-12-26,55.35
2017-12-27,52.35
2017-12-28,52.65
2017-12-29,57.9
