Date,GOKULAGRO
2017-01-02,19.6
2017-01-03,19.95
2017-01-04,19.95
2017-01-05,20.25
2017-01-06,19.85
2017-01-09,20.05
2017-01-10,18.8
2017-01-11,19.0
2017-01-12,19.05
2017-01-13,19.25
2017-01-16,19.0
2017-01-17,19.05
2017-01-18,19.95
2017-01-19,19.5
2017-01-20,19.35
2017-01-23,19.05
2017-01-24,19.4
2017-01-25,19.5
2017-01-27,19.35
2017-01-30,19.1
2017-01-31,19.55
2017-02-01,19.75
2017-02-02,19.5
2017-02-03,19.95
2017-02-06,20.75
2017-02-07,21.95
2017-02-08,22.4
2017-02-09,22.4
2017-02-10,22.0
2017-02-13,20.95
2017-02-14,20.85
2017-02-15,20.35
2017-02-16,19.85
2017-02-17,19.7
2017-02-20,20.05
2017-02-21,20.25
2017-02-22,20.0
2017-02-23,19.9
2017-02-27,23.85
2017-02-28,23.95
2017-03-01,26.0
2017-03-02,23.9
2017-03-03,25.9
2017-03-06,28.0
2017-03-07,32.35
2017-03-08,31.1
2017-03-09,29.75
2017-03-10,28.55
2017-03-14,29.0
2017-03-15,27.8
2017-03-16,28.45
2017-03-17,26.6
2017-03-20,26.15
2017-03-21,25.25
2017-03-22,24.25
2017-03-23,26.95
2017-03-24,25.7
2017-03-27,25.8
2017-03-28,25.45
2017-03-29,24.9
2017-03-30,25.5
2017-03-31,25.65
2017-04-03,25.8
2017-04-05,25.8
2017-04-06,25.8
2017-04-07,25.25
2017-04-10,25.45
2017-04-11,25.6
2017-04-12,25.75
2017-04-13,25.4
2017-04-17,25.4
2017-04-18,25.6
2017-04-19,25.3
2017-04-20,26.0
2017-04-21,25.9
2017-04-24,26.5
2017-04-25,26.2
2017-04-26,26.2
2017-04-27,25.8
2017-04-28,25.5
2017-05-02,25.9
2017-05-03,27.65
2017-05-04,29.35
2017-05-05,28.95
2017-05-08,30.55
2017-05-09,30.5
2017-05-10,31.3
2017-05-11,30.75
2017-05-12,31.65
2017-05-15,33.05
2017-05-16,32.7
2017-05-17,32.2
2017-05-18,31.55
2017-05-19,31.2
2017-05-22,30.1
2017-05-23,29.0
2017-05-24,28.65
2017-05-25,29.5
2017-05-26,31.6
2017-05-29,30.85
2017-05-30,29.7
2017-05-31,28.8
2017-06-01,28.65
2017-06-02,28.6
2017-06-05,29.8
2017-06-06,29.3
2017-06-07,29.45
2017-06-08,29.05
2017-06-09,29.15
2017-06-12,28.9
2017-06-13,28.5
2017-06-14,29.15
2017-06-15,29.25
2017-06-16,29.5
2017-06-19,29.6
2017-06-20,28.75
2017-06-21,28.85
2017-06-22,30.75
2017-06-23,29.65
2017-06-27,28.25
2017-06-28,28.05
2017-06-29,28.1
2017-06-30,27.6
2017-07-03,27.55
2017-07-04,27.3
2017-07-05,26.15
2017-07-06,26.9
2017-07-07,26.05
2017-07-10,26.4
2017-07-11,25.95
2017-07-12,25.75
2017-07-13,26.55
2017-07-14,25.35
2017-07-17,26.1
2017-07-18,25.75
2017-07-19,26.85
2017-07-20,26.45
2017-07-21,26.15
2017-07-24,25.65
2017-07-25,25.25
2017-07-26,25.25
2017-07-27,24.35
2017-07-28,25.0
2017-07-31,25.4
2017-08-01,25.15
2017-08-02,25.0
2017-08-03,24.35
2017-08-04,24.45
2017-08-07,25.0
2017-08-08,24.25
2017-08-09,23.85
2017-08-10,22.15
2017-08-11,22.2
2017-08-14,22.95
2017-08-16,22.85
2017-08-17,22.55
2017-08-18,23.35
2017-08-21,23.55
2017-08-22,23.05
2017-08-23,23.3
2017-08-24,22.7
2017-08-28,22.1
2017-08-29,22.35
2017-08-30,22.2
2017-08-31,22.5
2017-09-01,22.3
2017-09-04,22.55
2017-09-05,21.85
2017-09-06,22.0
2017-09-07,21.7
2017-09-08,22.4
2017-09-11,24.6
2017-09-12,24.4
2017-09-13,23.25
2017-09-14,22.9
2017-09-15,22.85
2017-09-18,22.95
2017-09-19,22.5
2017-09-20,22.5
2017-09-21,23.05
2017-09-22,22.1
2017-09-25,21.75
2017-09-26,22.1
2017-09-27,20.4
2017-09-28,21.85
2017-09-29,21.75
2017-10-03,21.3
2017-10-04,21.3
2017-10-05,21.0
2017-10-06,21.55
2017-10-09,22.4
2017-10-10,23.15
2017-10-11,23.55
2017-10-12,23.15
2017-10-13,23.65
2017-10-16,24.2
2017-10-17,23.95
2017-10-18,24.0
2017-10-19,26.45
2017-10-23,27.25
2017-10-24,25.7
2017-10-25,26.0
2017-10-26,25.6
2017-10-27,26.1
2017-10-30,24.75
2017-10-31,25.55
2017-11-01,25.8
2017-11-02,29.5
2017-11-03,31.45
2017-11-06,30.0
2017-11-07,29.6
2017-11-08,28.7
2017-11-09,28.25
2017-11-10,27.4
2017-11-13,26.35
