Date,SNOWMAN
2017-01-02,51.7
2017-01-03,54.7
2017-01-04,55.65
2017-01-05,56.35
2017-01-06,55.2
2017-01-09,55.45
2017-01-10,55.9
2017-01-11,56.45
2017-01-12,55.9
2017-01-13,55.95
2017-01-16,59.4
2017-01-17,61.7
2017-01-18,59.8
2017-01-19,58.85
2017-01-20,57.1
2017-01-23,57.25
2017-01-24,57.1
2017-01-25,59.55
2017-01-27,59.25
2017-01-30,59.6
2017-01-31,58.45
2017-02-01,58.7
2017-02-02,57.95
2017-02-03,58.8
2017-02-06,61.1
2017-02-07,60.95
2017-02-08,58.4
2017-02-09,58.2
2017-02-10,58.4
2017-02-13,57.6
2017-02-14,57.45
2017-02-15,57.35
2017-02-16,55.95
2017-02-17,56.75
2017-02-20,57.65
2017-02-21,57.8
2017-02-22,57.75
2017-02-23,57.35
2017-02-27,56.95
2017-02-28,60.6
2017-03-01,60.15
2017-03-02,59.1
2017-03-03,59.9
2017-03-06,60.45
2017-03-07,59.85
2017-03-08,58.85
2017-03-09,59.4
2017-03-10,60.1
2017-03-14,61.35
2017-03-15,61.8
2017-03-16,64.35
2017-03-17,65.2
2017-03-20,66.2
2017-03-21,64.35
2017-03-22,62.95
2017-03-23,64.85
2017-03-24,64.15
2017-03-27,65.15
2017-03-28,64.25
2017-03-29,65.2
2017-03-30,64.6
2017-03-31,63.4
2017-04-03,64.25
2017-04-05,65.35
2017-04-06,64.65
2017-04-07,64.1
2017-04-10,63.25
2017-04-11,63.4
2017-04-12,62.4
2017-04-13,62.55
2017-04-17,61.65
2017-04-18,61.2
2017-04-19,60.8
2017-04-20,61.25
2017-04-21,62.15
2017-04-24,62.3
2017-04-25,62.7
2017-04-26,61.95
2017-04-27,61.75
2017-04-28,60.95
2017-05-02,61.05
2017-05-03,60.75
2017-05-04,60.25
2017-05-05,59.95
2017-05-08,60.15
2017-05-09,60.15
2017-05-10,60.55
2017-05-11,60.7
2017-05-12,60.2
2017-05-15,60.85
2017-05-16,62.0
2017-05-17,62.15
2017-05-18,60.45
2017-05-19,59.1
2017-05-22,57.4
2017-05-23,55.7
2017-05-24,55.25
2017-05-25,55.45
2017-05-26,55.7
2017-05-29,54.3
2017-05-30,54.95
2017-05-31,55.15
2017-06-01,56.6
2017-06-02,57.45
2017-06-05,57.0
2017-06-06,56.15
2017-06-07,56.25
2017-06-08,55.8
2017-06-09,55.9
2017-06-12,56.0
2017-06-13,55.8
2017-06-14,55.4
2017-06-15,55.45
2017-06-16,54.45
2017-06-19,54.05
2017-06-20,59.55
2017-06-21,61.95
2017-06-22,59.35
2017-06-23,58.7
2017-06-27,59.0
2017-06-28,60.65
2017-06-29,61.7
2017-06-30,62.35
2017-07-03,60.05
2017-07-04,58.95
2017-07-05,59.95
2017-07-06,59.5
2017-07-07,59.0
2017-07-10,59.4
2017-07-11,58.25
2017-07-12,58.2
2017-07-13,58.8
2017-07-14,57.75
2017-07-17,58.4
2017-07-18,57.25
2017-07-19,57.1
2017-07-20,56.95
2017-07-21,57.55
2017-07-24,57.15
2017-07-25,57.95
2017-07-26,57.55
2017-07-27,57.0
2017-07-28,56.15
2017-07-31,56.1
2017-08-01,55.6
2017-08-02,54.95
2017-08-03,53.55
2017-08-04,54.85
2017-08-07,56.65
2017-08-08,55.2
2017-08-09,53.6
2017-08-10,50.9
2017-08-11,48.25
2017-08-14,49.95
2017-08-16,50.8
2017-08-17,50.85
2017-08-18,49.75
2017-08-21,48.7
2017-08-22,48.4
2017-08-23,50.3
2017-08-24,50.1
2017-08-28,50.85
2017-08-29,50.6
2017-08-30,50.7
2017-08-31,52.35
2017-09-01,55.4
2017-09-04,53.8
2017-09-05,54.05
2017-09-06,54.35
2017-09-07,54.45
2017-09-08,53.4
2017-09-11,53.25
2017-09-12,54.45
2017-09-13,53.7
2017-09-14,53.6
2017-09-15,52.7
2017-09-18,53.35
2017-09-19,52.85
2017-09-20,53.0
2017-09-21,52.65
2017-09-22,51.2
2017-09-25,50.6
2017-09-26,50.05
2017-09-27,49.85
2017-09-28,49.85
2017-09-29,49.95
2017-10-03,49.7
2017-10-04,50.45
2017-10-05,50.25
2017-10-06,50.7
2017-10-09,51.35
2017-10-10,51.5
2017-10-11,50.15
2017-10-12,50.2
2017-10-13,50.6
2017-10-16,50.0
2017-10-17,52.65
2017-10-18,52.15
2017-10-19,52.7
2017-10-23,51.8
2017-10-24,54.3
2017-10-25,52.85
2017-10-26,54.0
2017-10-27,53.3
2017-10-30,54.7
2017-10-31,54.4
2017-11-01,56.05
2017-11-02,56.8
2017-11-03,55.95
2017-11-06,57.8
2017-11-07,57.6
2017-11-08,55.85
2017-11-09,53.35
2017-11-10,54.05
2017-11-13,53.95
2017-11-14,52.85
2017-11-15,51.6
2017-11-16,52.4
2017-11-17,58.75
2017-11-20,58.6
2017-11-21,57.8
2017-11-22,56.25
2017-11-23,57.95
2017-11-24,58.6
2017-11-27,57.8
2017-11-28,60.15
2017-11-29,59.05
2017-11-30,58.3
2017-12-01,57.55
2017-12-04,58.7
2017-12-05,57.1
2017-12-06,56.4
2017-12-07,57.1
2017-12-08,57.45
2017-12-11,57.0
2017-12-12,56.35
2017-12-13,55.0
2017-12-14,54.6
2017-12-15,54.7
2017-12-18,55.65
2017-12-19,56.95
2017-12-20,57.0
2017-12-21,57.15
2017-12-22,57.4
2017-12-26,58.2
2017-12-27,57.0
2017-12-28,56.7
2017-12-29,57.35
