Date,APOLLOHOSP
2017-01-02,1189.2
2017-01-03,1205.45
2017-01-04,1220.95
2017-01-05,1207.25
2017-01-06,1196.5
2017-01-09,1190.7
2017-01-10,1196.9
2017-01-11,1199.3
2017-01-12,1206.0
2017-01-13,1187.4
2017-01-16,1176.6
2017-01-17,1167.1
2017-01-18,1174.6
2017-01-19,1179.85
2017-01-20,1154.7
2017-01-23,1148.9
2017-01-24,1174.4
2017-01-25,1221.85
2017-01-27,1232.55
2017-01-30,1239.6
2017-01-31,1230.05
2017-02-01,1235.3
2017-02-02,1230.2
2017-02-03,1265.15
2017-02-06,1266.95
2017-02-07,1257.0
2017-02-08,1236.2
2017-02-09,1240.7
2017-02-10,1226.0
2017-02-13,1216.85
2017-02-14,1246.95
2017-02-15,1231.6
2017-02-16,1255.45
2017-02-17,1271.95
2017-02-20,1278.4
2017-02-21,1283.9
2017-02-22,1326.2
2017-02-23,1323.6
2017-02-27,1293.05
2017-02-28,1301.65
2017-03-01,1325.85
2017-03-02,1320.55
2017-03-03,1246.4
2017-03-06,1250.65
2017-03-07,1260.15
2017-03-08,1248.95
2017-03-09,1225.5
2017-03-10,1205.55
2017-03-14,1200.05
2017-03-15,1212.9
2017-03-16,1226.05
2017-03-17,1216.2
2017-03-20,1211.75
2017-03-21,1194.55
2017-03-22,1183.5
2017-03-23,1185.2
2017-03-24,1178.5
2017-03-27,1165.2
2017-03-28,1158.2
2017-03-29,1151.45
2017-03-30,1155.75
2017-03-31,1165.15
2017-04-03,1172.8
2017-04-05,1159.85
2017-04-06,1145.2
2017-04-07,1162.1
2017-04-10,1174.85
2017-04-11,1181.95
2017-04-12,1172.55
2017-04-13,1175.55
2017-04-17,1175.05
2017-04-18,1165.4
2017-04-19,1151.2
2017-04-20,1159.4
2017-04-21,1167.55
2017-04-24,1162.65
2017-04-25,1167.75
2017-04-26,1217.4
2017-04-27,1245.4
2017-04-28,1233.25
2017-05-02,1228.3
2017-05-03,1223.2
2017-05-04,1243.5
2017-05-05,1265.45
2017-05-08,1266.8
2017-05-09,1279.05
2017-05-10,1304.6
2017-05-11,1320.7
2017-05-12,1309.2
2017-05-15,1306.3
2017-05-16,1309.75
2017-05-17,1280.2
2017-05-18,1246.4
2017-05-19,1261.0
2017-05-22,1261.05
2017-05-23,1232.15
2017-05-24,1218.4
2017-05-25,1205.25
2017-05-26,1217.35
2017-05-29,1213.05
2017-05-30,1207.65
2017-05-31,1211.1
2017-06-01,1253.35
2017-06-02,1264.05
2017-06-05,1270.95
2017-06-06,1306.65
2017-06-07,1307.9
2017-06-08,1326.5
2017-06-09,1352.5
2017-06-12,1341.35
2017-06-13,1328.5
2017-06-14,1326.05
2017-06-15,1301.2
2017-06-16,1288.85
2017-06-19,1264.2
2017-06-20,1266.25
2017-06-21,1273.8
2017-06-22,1288.35
2017-06-23,1280.05
2017-06-27,1279.6
2017-06-28,1276.35
2017-06-29,1278.85
2017-06-30,1274.55
2017-07-03,1281.85
2017-07-04,1272.6
2017-07-05,1275.0
2017-07-06,1258.9
2017-07-07,1247.6
2017-07-10,1248.85
2017-07-11,1234.3
2017-07-12,1230.85
2017-07-13,1250.0
2017-07-14,1253.1
2017-07-17,1238.95
2017-07-18,1247.75
2017-07-19,1250.15
2017-07-20,1233.5
2017-07-21,1267.75
2017-07-24,1292.05
2017-07-25,1294.3
2017-07-26,1292.75
2017-07-27,1297.8
2017-07-28,1273.65
2017-07-31,1259.0
2017-08-01,1267.8
2017-08-02,1277.55
2017-08-03,1267.55
2017-08-04,1258.1
2017-08-07,1268.05
2017-08-08,1251.05
2017-08-09,1220.55
2017-08-10,1213.8
2017-08-11,1217.25
2017-08-14,1191.25
2017-08-16,1159.45
2017-08-17,1101.45
2017-08-18,1068.25
2017-08-21,1051.3
2017-08-22,1098.5
2017-08-23,1092.6
2017-08-24,1083.2
2017-08-28,1092.65
2017-08-29,1077.05
2017-08-30,1092.5
2017-08-31,1082.6
2017-09-01,1090.55
2017-09-04,1111.75
2017-09-05,1102.9
2017-09-06,1098.25
2017-09-07,1104.85
2017-09-08,1093.05
2017-09-11,1095.65
2017-09-12,1094.6
2017-09-13,1070.1
2017-09-14,1063.1
2017-09-15,1061.05
2017-09-18,1060.3
2017-09-19,1057.35
2017-09-20,1066.4
2017-09-21,1061.15
2017-09-22,1034.7
2017-09-25,1009.45
2017-09-26,1010.9
2017-09-27,1005.7
2017-09-28,992.4
2017-09-29,1005.0
2017-10-03,1053.35
2017-10-04,1049.25
2017-10-05,1080.55
2017-10-06,1063.5
2017-10-09,1052.45
2017-10-10,1088.3
2017-10-11,1076.6
2017-10-12,1073.75
2017-10-13,1075.7
2017-10-16,1081.65
2017-10-17,1070.2
2017-10-18,1063.35
2017-10-19,1058.1
2017-10-23,1062.45
2017-10-24,1057.3
2017-10-25,1034.15
2017-10-26,1023.1
2017-10-27,1026.55
2017-10-30,1031.55
2017-10-31,1038.55
2017-11-01,1033.85
2017-11-02,1032.85
2017-11-03,1022.7
2017-11-06,1012.25
2017-11-07,1003.05
2017-11-08,989.0
2017-11-09,995.7
2017-11-10,1000.25
2017-11-13,996.65
2017-11-14,985.95
2017-11-15,997.75
2017-11-16,1022.05
2017-11-17,1054.85
2017-11-20,1059.6
2017-11-21,1107.8
2017-11-22,1149.5
2017-11-23,1139.55
2017-11-24,1145.2
2017-11-27,1132.0
2017-11-28,1109.2
2017-11-29,1106.1
2017-11-30,1106.3
2017-12-01,1148.25
2017-12-04,1156.45
2017-12-05,1166.1
2017-12-06,1154.5
2017-12-07,1172.5
2017-12-08,1190.7
2017-12-11,1190.1
2017-12-12,1190.2
2017-12-13,1183.6
2017-12-14,1206.9
2017-12-15,1198.1
2017-12-18,1172.85
2017-12-19,1174.7
2017-12-20,1173.65
2017-12-21,1193.35
2017-12-22,1178.55
2017-12-26,1179.6
2017-12-27,1200.05
2017-12-28,1232.25
2017-12-29,1204.8
