Date,VENKEYS
2017-01-02,442.2
2017-01-03,453.9
2017-01-04,456.35
2017-01-05,465.1
2017-01-06,472.9
2017-01-09,480.05
2017-01-10,479.2
2017-01-11,474.05
2017-01-12,478.55
2017-01-13,478.9
2017-01-16,492.6
2017-01-17,493.45
2017-01-18,496.4
2017-01-19,493.2
2017-01-20,488.2
2017-01-23,487.45
2017-01-24,490.7
2017-01-25,493.9
2017-01-27,504.4
2017-01-30,500.7
2017-01-31,503.9
2017-02-01,506.35
2017-02-02,519.0
2017-02-03,543.55
2017-02-06,568.4
2017-02-07,570.8
2017-02-08,600.1
2017-02-09,717.8
2017-02-10,696.3
2017-02-13,792.05
2017-02-14,831.9
2017-02-15,800.8
2017-02-16,828.4
2017-02-17,823.35
2017-02-20,836.8
2017-02-21,833.55
2017-02-22,841.25
2017-02-23,868.15
2017-02-27,872.6
2017-02-28,858.55
2017-03-01,838.7
2017-03-02,831.3
2017-03-03,833.5
2017-03-06,841.8
2017-03-07,836.85
2017-03-08,830.5
2017-03-09,825.0
2017-03-10,819.35
2017-03-14,824.5
2017-03-15,819.95
2017-03-16,821.15
2017-03-17,802.0
2017-03-20,837.3
2017-03-21,834.0
2017-03-22,820.55
2017-03-23,845.3
2017-03-24,838.65
2017-03-27,919.45
2017-03-28,1009.45
2017-03-29,1032.3
2017-03-30,1015.3
2017-03-31,1017.1
2017-04-03,1067.95
2017-04-05,1121.3
2017-04-06,1089.65
2017-04-07,1039.65
2017-04-10,1066.5
2017-04-11,1047.25
2017-04-12,1058.5
2017-04-13,1077.7
2017-04-17,1131.55
2017-04-18,1184.0
2017-04-19,1243.2
2017-04-20,1305.35
2017-04-21,1351.3
2017-04-24,1303.55
2017-04-25,1320.55
2017-04-26,1296.05
2017-04-27,1244.45
2017-04-28,1253.55
2017-05-02,1252.85
2017-05-03,1245.2
2017-05-04,1241.6
2017-05-05,1230.65
2017-05-08,1292.15
2017-05-09,1276.45
2017-05-10,1294.2
2017-05-11,1293.05
2017-05-12,1228.4
2017-05-15,1169.7
2017-05-16,1177.0
2017-05-17,1188.0
2017-05-18,1156.9
2017-05-19,1161.65
2017-05-22,1219.7
2017-05-23,1187.8
2017-05-24,1144.9
2017-05-25,1181.85
2017-05-26,1240.9
2017-05-29,1241.9
2017-05-30,1212.3
2017-05-31,1213.35
2017-06-01,1252.65
2017-06-02,1244.1
2017-06-05,1244.35
2017-06-06,1253.45
2017-06-07,1403.65
2017-06-08,1427.25
2017-06-09,1414.45
2017-06-12,1392.7
2017-06-13,1387.95
2017-06-14,1385.9
2017-06-15,1459.65
2017-06-16,1473.5
2017-06-19,1450.55
2017-06-20,1442.95
2017-06-21,1425.35
2017-06-22,1405.4
2017-06-23,1466.8
2017-06-27,1420.65
2017-06-28,1433.7
2017-06-29,1626.2
2017-06-30,1698.65
2017-07-03,1755.85
2017-07-04,2089.85
2017-07-05,2298.8
2017-07-06,2237.75
2017-07-07,2403.4
2017-07-10,2439.2
2017-07-11,2403.75
2017-07-12,2347.3
2017-07-13,2304.65
2017-07-14,2159.7
2017-07-17,2016.0
2017-07-18,2010.65
2017-07-19,2037.65
2017-07-20,2058.15
2017-07-21,2028.0
2017-07-24,2019.95
2017-07-25,2131.5
2017-07-26,2173.7
2017-07-27,2090.95
2017-07-28,2132.05
2017-07-31,2114.9
2017-08-01,2125.45
2017-08-02,2125.35
2017-08-03,2052.4
2017-08-04,2150.95
2017-08-07,2187.5
2017-08-08,2127.9
2017-08-09,2100.15
2017-08-10,1816.3
2017-08-11,1719.4
2017-08-14,1976.4
2017-08-16,2126.3
2017-08-17,2112.95
2017-08-18,2063.8
2017-08-21,2007.05
2017-08-22,1964.1
2017-08-23,2078.3
2017-08-24,2032.7
2017-08-28,2026.65
2017-08-29,1996.1
2017-08-30,2018.6
2017-08-31,1991.65
2017-09-01,1986.9
2017-09-04,1977.25
2017-09-05,1983.3
2017-09-06,1992.35
2017-09-07,1988.9
2017-09-08,1985.0
2017-09-11,2015.75
2017-09-12,2039.55
2017-09-13,2160.45
2017-09-14,2161.85
2017-09-15,2168.75
2017-09-18,2185.1
2017-09-19,2182.95
2017-09-20,2184.1
2017-09-21,2153.1
2017-09-22,2059.9
2017-09-25,1950.55
2017-09-26,1991.55
2017-09-27,1957.25
2017-09-28,1984.25
2017-09-29,2000.45
2017-10-03,2051.7
2017-10-04,2443.0
2017-10-05,2480.95
2017-10-06,2412.8
2017-10-09,2475.15
2017-10-10,2462.45
2017-10-11,2389.85
2017-10-12,2409.45
2017-10-13,2421.55
2017-10-16,2399.6
2017-10-17,2403.9
2017-10-18,2379.9
2017-10-19,2365.05
2017-10-23,2322.7
2017-10-24,2316.35
2017-10-25,2300.1
2017-10-26,2297.75
2017-10-27,2333.2
2017-10-30,2359.65
2017-10-31,2364.8
2017-11-01,2363.6
2017-11-02,2340.55
2017-11-03,2329.9
2017-11-06,2353.8
2017-11-07,2329.9
2017-11-08,2327.65
2017-11-09,2370.6
2017-11-10,2299.6
2017-11-13,2316.05
2017-11-14,2583.75
2017-11-15,2383.9
2017-11-16,2587.8
2017-11-17,2660.6
2017-11-20,2828.55
2017-11-21,2984.95
2017-11-22,2905.85
2017-11-23,2855.3
2017-11-24,2882.45
2017-11-27,2900.9
2017-11-28,2879.75
2017-11-29,2825.8
2017-11-30,2838.35
2017-12-01,2821.6
2017-12-04,2833.25
2017-12-05,2792.65
2017-12-06,2778.55
2017-12-07,2787.35
2017-12-08,2774.75
2017-12-11,2795.25
2017-12-12,2749.05
2017-12-13,2823.2
2017-12-14,2833.65
2017-12-15,2840.15
2017-12-18,2818.7
2017-12-19,2832.6
2017-12-20,2829.45
2017-12-21,2826.1
2017-12-22,2838.55
2017-12-26,2833.75
2017-12-27,2820.0
2017-12-28,2792.9
2017-12-29,2786.6
