Date,GARDENSILK
2017-01-02,29.2
2017-01-03,29.65
2017-01-04,29.9
2017-01-05,30.75
2017-01-06,30.05
2017-01-09,29.65
2017-01-10,31.2
2017-01-11,31.55
2017-01-12,30.5
2017-01-13,31.6
2017-01-16,31.15
2017-01-17,30.9
2017-01-18,32.15
2017-01-19,31.45
2017-01-20,30.5
2017-01-23,32.2
2017-01-24,31.9
2017-01-25,31.75
2017-01-27,32.2
2017-01-30,32.6
2017-01-31,31.55
2017-02-01,32.2
2017-02-02,32.2
2017-02-03,32.35
2017-02-06,32.4
2017-02-07,33.45
2017-02-08,32.8
2017-02-09,32.65
2017-02-10,32.95
2017-02-13,32.25
2017-02-14,31.55
2017-02-15,29.65
2017-02-16,30.1
2017-02-17,29.9
2017-02-20,30.1
2017-02-21,31.2
2017-02-22,30.45
2017-02-23,30.75
2017-02-27,30.65
2017-02-28,32.15
2017-03-01,32.15
2017-03-02,31.5
2017-03-03,30.95
2017-03-06,30.75
2017-03-07,31.15
2017-03-08,30.4
2017-03-09,30.35
2017-03-10,29.95
2017-03-14,32.05
2017-03-15,31.1
2017-03-16,31.2
2017-03-17,32.35
2017-03-20,32.4
2017-03-21,32.1
2017-03-22,31.5
2017-03-23,33.75
2017-03-24,32.75
2017-03-27,32.4
2017-03-28,32.65
2017-03-29,31.8
2017-03-30,32.15
2017-03-31,32.25
2017-04-03,32.4
2017-04-05,32.9
2017-04-06,32.9
2017-04-07,32.55
2017-04-10,32.3
2017-04-11,32.7
2017-04-12,32.25
2017-04-13,32.75
2017-04-17,33.35
2017-04-18,33.75
2017-04-19,33.7
2017-04-20,33.85
2017-04-21,34.1
2017-04-24,35.4
2017-04-25,35.1
2017-04-26,33.9
2017-04-27,33.75
2017-04-28,34.1
2017-05-02,34.75
2017-05-03,35.35
2017-05-04,35.15
2017-05-05,34.25
2017-05-08,34.85
2017-05-09,34.6
2017-05-10,35.1
2017-05-11,34.95
2017-05-12,35.25
2017-05-15,34.75
2017-05-16,34.75
2017-05-17,34.75
2017-05-18,33.95
2017-05-19,33.1
2017-05-22,32.15
2017-05-23,31.2
2017-05-24,29.65
2017-05-25,30.35
2017-05-26,31.55
2017-05-29,29.9
2017-05-30,29.55
2017-05-31,29.9
2017-06-01,29.65
2017-06-02,30.15
2017-06-05,31.4
2017-06-06,30.7
2017-06-07,30.25
2017-06-08,30.2
2017-06-09,30.1
2017-06-12,29.7
2017-06-13,29.6
2017-06-14,29.4
2017-06-15,29.4
2017-06-16,29.2
2017-06-19,29.15
2017-06-20,28.85
2017-06-21,28.75
2017-06-22,30.0
2017-06-23,29.05
2017-06-27,28.6
2017-06-28,29.3
2017-06-29,29.6
2017-06-30,30.95
2017-07-03,30.65
2017-07-04,30.65
2017-07-05,31.0
2017-07-06,30.9
2017-07-07,30.1
2017-07-10,30.4
2017-07-11,30.45
2017-07-12,31.15
2017-07-13,30.6
2017-07-14,30.25
2017-07-17,30.8
2017-07-18,31.3
2017-07-19,31.85
2017-07-20,32.05
2017-07-21,33.4
2017-07-24,32.75
2017-07-25,32.2
2017-07-26,32.3
2017-07-27,30.65
2017-07-28,31.1
2017-07-31,35.55
2017-08-01,38.7
2017-08-02,36.0
2017-08-03,34.85
2017-08-04,33.9
2017-08-07,34.35
2017-08-08,32.85
2017-08-09,32.15
2017-08-10,30.1
2017-08-11,30.2
2017-08-14,31.55
2017-08-16,31.3
2017-08-17,31.55
2017-08-18,31.5
2017-08-21,31.55
2017-08-22,30.55
2017-08-23,31.3
2017-08-24,31.5
2017-08-28,32.75
2017-08-29,31.5
2017-08-30,32.6
2017-08-31,33.2
2017-09-01,33.75
2017-09-04,33.3
2017-09-05,37.2
2017-09-06,35.6
2017-09-07,35.5
2017-09-08,34.35
2017-09-11,34.25
2017-09-12,34.8
2017-09-13,34.55
2017-09-14,33.95
2017-09-15,33.75
2017-09-18,33.85
2017-09-19,33.5
2017-09-20,33.6
2017-09-21,37.05
2017-09-22,35.45
2017-09-25,33.45
2017-09-26,33.3
2017-09-27,33.0
2017-09-28,33.0
2017-09-29,33.5
2017-10-03,33.05
2017-10-04,33.5
2017-10-05,33.8
2017-10-06,36.5
2017-10-09,34.75
2017-10-10,35.0
2017-10-11,34.1
2017-10-12,34.55
2017-10-13,34.5
2017-10-16,34.15
2017-10-17,34.15
2017-10-18,34.05
2017-10-19,33.8
2017-10-23,33.85
2017-10-24,33.75
2017-10-25,33.95
2017-10-26,34.5
2017-10-27,33.85
2017-10-30,34.05
2017-10-31,34.1
2017-11-01,34.15
2017-11-02,33.85
2017-11-03,34.9
2017-11-06,37.15
2017-11-07,34.65
2017-11-08,35.05
2017-11-09,35.15
2017-11-10,34.35
2017-11-13,33.7
2017-11-14,33.8
2017-11-15,33.05
2017-11-16,33.45
2017-11-17,33.5
2017-11-20,33.8
2017-11-21,33.85
2017-11-22,32.85
2017-11-23,33.2
2017-11-24,34.8
2017-11-27,36.0
2017-11-28,35.35
2017-11-29,34.65
2017-11-30,34.85
2017-12-01,36.95
2017-12-04,37.5
2017-12-05,37.55
2017-12-06,37.1
2017-12-07,37.0
2017-12-08,37.15
2017-12-11,37.9
2017-12-12,37.25
2017-12-13,36.3
2017-12-14,36.0
2017-12-15,36.45
2017-12-18,37.65
2017-12-19,45.15
2017-12-20,44.55
2017-12-21,47.7
2017-12-22,46.0
2017-12-26,45.2
2017-12-27,43.5
2017-12-28,42.1
2017-12-29,42.85
