Date,INDBANK
2017-01-02,12.7
2017-01-03,12.85
2017-01-04,13.15
2017-01-05,13.4
2017-01-06,14.6
2017-01-09,15.15
2017-01-10,15.7
2017-01-11,15.5
2017-01-12,14.7
2017-01-13,14.35
2017-01-16,14.05
2017-01-17,14.45
2017-01-18,14.25
2017-01-19,14.4
2017-01-20,13.8
2017-01-23,14.0
2017-01-24,14.1
2017-01-25,14.1
2017-01-27,14.1
2017-01-30,13.95
2017-01-31,13.6
2017-02-01,14.0
2017-02-02,14.1
2017-02-03,14.0
2017-02-06,14.15
2017-02-07,14.05
2017-02-08,13.95
2017-02-09,13.7
2017-02-10,13.85
2017-02-13,13.6
2017-02-14,13.3
2017-02-15,12.9
2017-02-16,12.95
2017-02-17,13.2
2017-02-20,13.2
2017-02-21,13.6
2017-02-22,13.35
2017-02-23,13.65
2017-02-27,13.2
2017-02-28,13.15
2017-03-01,13.1
2017-03-02,12.9
2017-03-03,12.9
2017-03-06,12.85
2017-03-07,12.6
2017-03-08,12.35
2017-03-09,12.5
2017-03-10,12.35
2017-03-14,12.6
2017-03-15,12.45
2017-03-16,12.75
2017-03-17,13.35
2017-03-20,12.95
2017-03-21,12.8
2017-03-22,12.85
2017-03-23,12.65
2017-03-24,13.25
2017-03-27,12.8
2017-03-28,12.7
2017-03-29,12.55
2017-03-30,12.8
2017-03-31,12.9
2017-04-03,12.9
2017-04-05,13.0
2017-04-06,13.1
2017-04-07,13.0
2017-04-10,13.1
2017-04-11,13.25
2017-04-12,13.1
2017-04-13,13.0
2017-04-17,13.0
2017-04-18,12.5
2017-04-19,12.85
2017-04-20,13.0
2017-04-21,12.95
2017-04-24,14.05
2017-04-25,15.45
2017-04-26,14.65
2017-04-27,15.15
2017-04-28,15.1
2017-05-02,18.1
2017-05-03,20.85
2017-05-04,19.5
2017-05-05,19.25
2017-05-08,19.85
2017-05-09,19.65
2017-05-10,19.55
2017-05-11,18.7
2017-05-12,18.7
2017-05-15,18.4
2017-05-16,18.2
2017-05-17,17.95
2017-05-18,17.35
2017-05-19,17.45
2017-05-22,17.4
2017-05-23,16.4
2017-05-24,15.2
2017-05-25,16.1
2017-05-26,16.5
2017-05-29,16.75
2017-05-30,16.1
2017-05-31,16.05
2017-06-01,16.2
2017-06-02,17.1
2017-06-05,17.65
2017-06-06,18.0
2017-06-07,17.3
2017-06-08,16.9
2017-06-09,16.75
2017-06-12,16.4
2017-06-13,16.15
2017-06-14,16.7
2017-06-15,16.8
2017-06-16,16.45
2017-06-19,16.55
2017-06-20,16.6
2017-06-21,17.45
2017-06-22,16.95
2017-06-23,16.55
2017-06-27,16.4
2017-06-28,15.7
2017-06-29,15.65
2017-06-30,15.5
2017-07-03,16.1
2017-07-04,16.45
2017-07-05,16.7
2017-07-06,16.7
2017-07-07,16.5
2017-07-10,16.6
2017-07-11,16.7
2017-07-12,16.75
2017-07-13,16.65
2017-07-14,16.9
2017-07-17,16.85
2017-07-18,16.45
2017-07-19,19.7
2017-07-20,18.65
2017-07-21,18.75
2017-07-24,18.35
2017-07-25,17.4
2017-07-26,18.95
2017-07-27,17.95
2017-07-28,18.15
2017-07-31,17.85
2017-08-01,17.4
2017-08-02,17.4
2017-08-03,16.75
2017-08-04,16.75
2017-08-07,16.9
2017-08-08,16.4
2017-08-09,16.1
2017-08-10,16.15
2017-08-11,16.0
2017-08-14,16.15
2017-08-16,16.3
2017-08-17,16.25
2017-08-18,16.0
2017-08-21,16.0
2017-08-22,15.85
2017-08-23,16.5
2017-08-24,16.5
2017-08-28,16.4
2017-08-29,16.45
2017-08-30,16.4
2017-08-31,16.55
2017-09-01,16.35
2017-09-04,16.1
2017-09-05,19.3
2017-09-06,20.95
2017-09-07,21.55
2017-09-08,21.05
2017-09-11,25.25
2017-09-12,25.55
2017-09-13,24.5
2017-09-14,23.8
2017-09-15,23.05
2017-09-18,23.0
2017-09-19,22.6
2017-09-20,22.0
2017-09-21,21.4
2017-09-22,20.25
2017-09-25,20.15
2017-09-26,20.85
2017-09-27,20.05
2017-09-28,20.1
2017-09-29,19.95
2017-10-03,20.6
2017-10-04,20.55
2017-10-05,21.35
2017-10-06,22.85
2017-10-09,23.3
2017-10-10,22.65
2017-10-11,21.9
2017-10-12,22.0
2017-10-13,23.75
2017-10-16,24.4
2017-10-17,23.55
2017-10-18,24.35
2017-10-19,24.45
2017-10-23,23.9
2017-10-24,23.3
2017-10-25,23.55
2017-10-26,22.6
2017-10-27,22.4
2017-10-30,22.6
2017-10-31,22.7
2017-11-01,22.65
2017-11-02,22.55
2017-11-03,23.2
2017-11-06,24.15
2017-11-07,23.15
2017-11-08,22.05
2017-11-09,22.15
2017-11-10,21.8
2017-11-13,21.9
2017-11-14,22.0
2017-11-15,21.15
2017-11-16,21.85
2017-11-17,21.6
2017-11-20,21.3
2017-11-21,21.65
2017-11-22,21.4
2017-11-23,21.1
2017-11-24,21.15
2017-11-27,21.1
2017-11-28,21.1
2017-11-29,21.0
2017-11-30,20.9
2017-12-01,20.85
2017-12-04,20.75
2017-12-05,20.4
2017-12-06,20.3
2017-12-07,20.35
2017-12-08,20.7
2017-12-11,20.8
2017-12-12,20.55
2017-12-13,20.25
2017-12-14,19.95
2017-12-15,20.05
2017-12-18,20.9
2017-12-19,21.2
2017-12-20,21.15
2017-12-21,22.85
2017-12-22,22.1
2017-12-26,21.95
2017-12-27,21.35
2017-12-28,22.35
2017-12-29,22.4
