Date,VIJAYABANK
2017-01-02,47.0
2017-01-03,47.6
2017-01-04,46.7
2017-01-05,49.2
2017-01-06,49.05
2017-01-09,50.45
2017-01-10,51.15
2017-01-11,51.8
2017-01-12,52.0
2017-01-13,51.9
2017-01-16,51.25
2017-01-17,53.05
2017-01-18,51.65
2017-01-19,51.95
2017-01-20,50.7
2017-01-23,51.9
2017-01-24,51.6
2017-01-25,51.95
2017-01-27,51.75
2017-01-30,52.1
2017-01-31,52.4
2017-02-01,53.45
2017-02-02,64.0
2017-02-03,66.75
2017-02-06,65.25
2017-02-07,64.4
2017-02-08,63.55
2017-02-09,62.8
2017-02-10,62.7
2017-02-13,63.45
2017-02-14,65.95
2017-02-15,64.15
2017-02-16,64.95
2017-02-17,64.95
2017-02-20,65.3
2017-02-21,64.5
2017-02-22,65.15
2017-02-23,66.1
2017-02-27,72.4
2017-02-28,70.35
2017-03-01,69.45
2017-03-02,68.2
2017-03-03,67.95
2017-03-06,65.85
2017-03-07,64.85
2017-03-08,63.55
2017-03-09,62.95
2017-03-10,63.4
2017-03-14,63.5
2017-03-15,65.05
2017-03-16,64.1
2017-03-17,64.85
2017-03-20,63.85
2017-03-21,62.95
2017-03-22,61.8
2017-03-23,62.25
2017-03-24,64.85
2017-03-27,65.1
2017-03-28,65.15
2017-03-29,65.8
2017-03-30,65.45
2017-03-31,68.75
2017-04-03,69.85
2017-04-05,70.75
2017-04-06,70.2
2017-04-07,67.55
2017-04-10,69.5
2017-04-11,71.6
2017-04-12,70.45
2017-04-13,70.5
2017-04-17,68.45
2017-04-18,70.2
2017-04-19,70.1
2017-04-20,68.8
2017-04-21,69.4
2017-04-24,75.5
2017-04-25,77.45
2017-04-26,75.5
2017-04-27,77.0
2017-04-28,81.9
2017-05-02,80.45
2017-05-03,81.7
2017-05-04,84.0
2017-05-05,82.75
2017-05-08,88.55
2017-05-09,92.2
2017-05-10,92.85
2017-05-11,90.65
2017-05-12,87.6
2017-05-15,90.6
2017-05-16,89.75
2017-05-17,87.7
2017-05-18,85.75
2017-05-19,84.95
2017-05-22,79.9
2017-05-23,76.3
2017-05-24,75.8
2017-05-25,78.6
2017-05-26,79.9
2017-05-29,76.7
2017-05-30,77.7
2017-05-31,75.15
2017-06-01,82.65
2017-06-02,80.5
2017-06-05,81.25
2017-06-06,79.85
2017-06-07,80.0
2017-06-08,79.2
2017-06-09,79.3
2017-06-12,78.05
2017-06-13,78.55
2017-06-14,83.85
2017-06-15,80.2
2017-06-16,80.1
2017-06-19,79.2
2017-06-20,77.85
2017-06-21,77.45
2017-06-22,75.8
2017-06-23,74.65
2017-06-27,71.65
2017-06-28,70.95
2017-06-29,71.2
2017-06-30,72.35
2017-07-03,72.3
2017-07-04,74.1
2017-07-05,74.65
2017-07-06,76.35
2017-07-07,74.85
2017-07-10,75.35
2017-07-11,74.25
2017-07-12,74.85
2017-07-13,74.5
2017-07-14,74.75
2017-07-17,74.95
2017-07-18,74.1
2017-07-19,74.85
2017-07-20,74.0
2017-07-21,73.0
2017-07-24,72.65
2017-07-25,71.6
2017-07-26,70.65
2017-07-27,70.65
2017-07-28,70.35
2017-07-31,70.0
2017-08-01,70.05
2017-08-02,70.1
2017-08-03,68.45
2017-08-04,67.7
2017-08-07,67.35
2017-08-08,67.0
2017-08-09,67.85
2017-08-10,67.5
2017-08-11,66.35
2017-08-14,66.95
2017-08-16,67.85
2017-08-17,68.35
2017-08-18,64.6
2017-08-21,62.9
2017-08-22,63.7
2017-08-23,64.5
2017-08-24,69.6
2017-08-28,70.85
2017-08-29,68.6
2017-08-30,69.65
2017-08-31,68.15
2017-09-01,67.6
2017-09-04,66.0
2017-09-05,66.3
2017-09-06,62.95
2017-09-07,62.75
2017-09-08,60.55
2017-09-11,59.6
2017-09-12,61.55
2017-09-13,60.65
2017-09-14,60.95
2017-09-15,62.9
2017-09-18,61.65
2017-09-19,61.85
2017-09-20,61.0
2017-09-21,59.8
2017-09-22,58.3
2017-09-25,55.4
2017-09-26,55.55
2017-09-27,55.6
2017-09-28,55.1
2017-09-29,54.75
2017-10-03,54.35
2017-10-04,54.45
2017-10-05,54.9
2017-10-06,54.9
2017-10-09,54.7
2017-10-10,54.9
2017-10-11,54.75
2017-10-12,54.9
2017-10-13,56.8
2017-10-16,57.0
2017-10-17,57.8
2017-10-18,58.1
2017-10-19,59.35
2017-10-23,58.85
2017-10-24,60.9
2017-10-25,66.05
2017-10-26,63.25
2017-10-27,61.15
2017-10-30,64.1
2017-10-31,65.95
2017-11-01,71.65
2017-11-02,72.0
2017-11-03,71.8
2017-11-06,71.9
2017-11-07,69.9
2017-11-08,67.75
2017-11-09,70.0
2017-11-10,70.8
2017-11-13,71.65
2017-11-14,69.7
2017-11-15,68.75
2017-11-16,69.35
2017-11-17,69.8
2017-11-20,71.1
2017-11-21,71.1
2017-11-22,72.35
2017-11-23,74.7
2017-11-24,74.4
2017-11-27,73.1
2017-11-28,72.05
2017-11-29,70.75
2017-11-30,70.7
2017-12-01,70.85
2017-12-04,70.35
2017-12-05,69.1
2017-12-06,69.0
2017-12-07,69.7
2017-12-08,70.5
2017-12-11,70.75
2017-12-12,70.1
2017-12-13,69.7
2017-12-14,68.5
2017-12-15,68.95
2017-12-18,70.45
2017-12-19,70.6
2017-12-20,70.1
2017-12-21,70.1
2017-12-22,70.95
2017-12-26,70.0
2017-12-27,70.8
2017-12-28,70.25
2017-12-29,68.35
