Date,DIVISLAB
2017-01-02,797.85
2017-01-03,777.85
2017-01-04,752.3
2017-01-05,764.0
2017-01-06,737.4
2017-01-09,734.15
2017-01-10,739.35
2017-01-11,740.1
2017-01-12,738.3
2017-01-13,746.2
2017-01-16,738.0
2017-01-17,738.4
2017-01-18,739.25
2017-01-19,732.2
2017-01-20,714.4
2017-01-23,687.05
2017-01-24,683.05
2017-01-25,673.3
2017-01-27,708.5
2017-01-30,701.1
2017-01-31,700.1
2017-02-01,693.7
2017-02-02,737.65
2017-02-03,760.35
2017-02-06,755.3
2017-02-07,737.9
2017-02-08,739.3
2017-02-09,757.05
2017-02-10,750.1
2017-02-13,740.4
2017-02-14,724.5
2017-02-15,709.5
2017-02-16,733.2
2017-02-17,748.5
2017-02-20,756.75
2017-02-21,762.4
2017-02-22,751.0
2017-02-23,749.55
2017-02-27,767.1
2017-02-28,758.85
2017-03-01,764.85
2017-03-02,751.55
2017-03-03,758.5
2017-03-06,757.7
2017-03-07,755.0
2017-03-08,774.45
2017-03-09,759.9
2017-03-10,761.3
2017-03-14,771.85
2017-03-15,767.4
2017-03-16,771.2
2017-03-17,763.8
2017-03-20,790.65
2017-03-21,634.45
2017-03-22,627.0
2017-03-23,622.55
2017-03-24,623.45
2017-03-27,634.55
2017-03-28,633.1
2017-03-29,626.75
2017-03-30,622.95
2017-03-31,623.85
2017-04-03,627.3
2017-04-05,631.75
2017-04-06,628.15
2017-04-07,622.05
2017-04-10,658.1
2017-04-11,659.0
2017-04-12,650.7
2017-04-13,648.9
2017-04-17,639.9
2017-04-18,632.15
2017-04-19,633.35
2017-04-20,630.9
2017-04-21,630.85
2017-04-24,634.85
2017-04-25,647.25
2017-04-26,643.5
2017-04-27,629.65
2017-04-28,628.4
2017-05-02,626.75
2017-05-03,624.75
2017-05-04,626.9
2017-05-05,625.95
2017-05-08,626.95
2017-05-09,632.05
2017-05-10,637.35
2017-05-11,635.2
2017-05-12,625.85
2017-05-15,624.25
2017-05-16,622.45
2017-05-17,619.85
2017-05-18,612.35
2017-05-19,611.0
2017-05-22,595.25
2017-05-23,576.0
2017-05-24,557.2
2017-05-25,549.75
2017-05-26,545.3
2017-05-29,569.5
2017-05-30,588.0
2017-05-31,582.15
2017-06-01,602.0
2017-06-02,618.45
2017-06-05,630.85
2017-06-06,630.25
2017-06-07,645.8
2017-06-08,650.8
2017-06-09,650.9
2017-06-12,644.9
2017-06-13,645.55
2017-06-14,643.65
2017-06-15,657.35
2017-06-16,641.4
2017-06-19,645.3
2017-06-20,644.45
2017-06-21,644.6
2017-06-22,640.45
2017-06-23,638.6
2017-06-27,641.8
2017-06-28,641.0
2017-06-29,637.4
2017-06-30,647.25
2017-07-03,670.3
2017-07-04,655.05
2017-07-05,652.5
2017-07-06,657.15
2017-07-07,680.0
2017-07-10,735.4
2017-07-11,735.2
2017-07-12,732.0
2017-07-13,729.75
2017-07-14,735.9
2017-07-17,730.9
2017-07-18,735.0
2017-07-19,755.6
2017-07-20,744.7
2017-07-21,721.25
2017-07-24,687.9
2017-07-25,675.5
2017-07-26,678.8
2017-07-27,660.2
2017-07-28,674.3
2017-07-31,672.9
2017-08-01,667.75
2017-08-02,669.05
2017-08-03,670.05
2017-08-04,682.15
2017-08-07,684.05
2017-08-08,673.7
2017-08-09,639.05
2017-08-10,626.1
2017-08-11,627.2
2017-08-14,639.05
2017-08-16,657.25
2017-08-17,645.7
2017-08-18,635.2
2017-08-21,622.15
2017-08-22,629.2
2017-08-23,638.4
2017-08-24,673.4
2017-08-28,694.9
2017-08-29,687.45
2017-08-30,702.6
2017-08-31,696.4
2017-09-01,711.95
2017-09-04,709.1
2017-09-05,724.0
2017-09-06,698.8
2017-09-07,696.35
2017-09-08,707.3
2017-09-11,719.6
2017-09-12,805.1
2017-09-13,828.25
2017-09-14,870.05
2017-09-15,868.4
2017-09-18,833.9
2017-09-19,863.25
2017-09-20,942.8
2017-09-21,990.9
2017-09-22,970.25
2017-09-25,952.7
2017-09-26,960.15
2017-09-27,850.75
2017-09-28,853.05
2017-09-29,855.75
2017-10-03,855.6
2017-10-04,871.8
2017-10-05,863.35
2017-10-06,864.6
2017-10-09,879.55
2017-10-10,886.15
2017-10-11,859.45
2017-10-12,883.8
2017-10-13,872.7
2017-10-16,873.7
2017-10-17,882.45
2017-10-18,877.3
2017-10-19,879.85
2017-10-23,873.45
2017-10-24,869.75
2017-10-25,870.55
2017-10-26,858.6
2017-10-27,871.1
2017-10-30,872.9
2017-10-31,882.5
2017-11-01,923.65
2017-11-02,1072.9
2017-11-03,1049.75
2017-11-06,1049.05
2017-11-07,1017.0
2017-11-08,1016.6
2017-11-09,1009.45
2017-11-10,1016.4
2017-11-13,1000.4
2017-11-14,1024.05
2017-11-15,1015.7
2017-11-16,1005.95
2017-11-17,1020.65
2017-11-20,1047.55
2017-11-21,1042.15
2017-11-22,1025.1
2017-11-23,1038.1
2017-11-24,1046.45
2017-11-27,1041.2
2017-11-28,1033.2
2017-11-29,1047.35
2017-11-30,1041.0
2017-12-01,1035.0
2017-12-04,1034.45
2017-12-05,1023.65
2017-12-06,1020.0
2017-12-07,1020.4
2017-12-08,1050.4
2017-12-11,1044.7
2017-12-12,1063.35
2017-12-13,1042.2
2017-12-14,1060.85
2017-12-15,1049.95
2017-12-18,1052.55
2017-12-19,1057.55
2017-12-20,1059.8
2017-12-21,1086.15
2017-12-22,1089.95
2017-12-26,1087.6
2017-12-27,1123.45
2017-12-28,1114.25
2017-12-29,1098.35
