Date,GKWLIMITED
2017-01-02,438.35
2017-01-03,436.0
2017-01-04,440.0
2017-01-05,449.0
2017-01-06,441.0
2017-01-09,442.8
2017-01-10,441.9
2017-01-11,443.5
2017-01-12,440.0
2017-01-13,445.3
2017-01-16,454.85
2017-01-17,440.1
2017-01-18,440.0
2017-01-19,437.0
2017-01-20,438.05
2017-01-23,437.75
2017-01-24,449.5
2017-01-25,437.6
2017-01-27,440.0
2017-01-30,440.0
2017-01-31,432.1
2017-02-01,437.5
2017-02-02,435.4
2017-02-03,434.2
2017-02-06,437.15
2017-02-07,441.6
2017-02-08,425.0
2017-02-09,450.0
2017-02-10,435.35
2017-02-13,441.0
2017-02-14,439.65
2017-02-15,429.8
2017-02-16,430.15
2017-02-17,425.55
2017-02-20,431.95
2017-02-21,429.3
2017-02-22,424.0
2017-02-23,429.45
2017-02-27,428.75
2017-02-28,423.7
2017-03-01,420.95
2017-03-02,423.05
2017-03-03,425.0
2017-03-06,437.1
2017-03-07,432.9
2017-03-08,443.4
2017-03-09,448.4
2017-03-10,436.2
2017-03-14,438.2
2017-03-15,436.4
2017-03-16,431.2
2017-03-17,430.0
2017-03-20,431.0
2017-03-21,449.15
2017-03-22,440.0
2017-03-23,431.55
2017-03-24,435.0
2017-03-27,437.1
2017-03-28,429.0
2017-03-29,429.05
2017-03-30,427.7
2017-03-31,432.8
2017-04-03,424.45
2017-04-05,421.15
2017-04-06,442.4
2017-04-07,430.05
2017-04-10,427.25
2017-04-11,421.55
2017-04-12,422.1
2017-04-13,429.75
2017-04-17,422.05
2017-04-18,423.0
2017-04-19,420.25
2017-04-20,421.15
2017-04-21,435.0
2017-04-24,420.25
2017-04-25,409.0
2017-04-26,410.1
2017-04-27,422.4
2017-04-28,415.95
2017-05-02,408.2
2017-05-03,408.7
2017-05-04,411.7
2017-05-05,401.45
2017-05-08,402.0
2017-05-09,408.2
2017-05-10,400.0
2017-05-11,410.0
2017-05-12,411.75
2017-05-15,410.4
2017-05-16,411.25
2017-05-17,410.3
2017-05-18,410.05
2017-05-19,399.2
2017-05-22,408.3
2017-05-23,412.45
2017-05-24,405.9
2017-05-25,409.05
2017-05-26,409.5
2017-05-29,409.95
2017-05-30,405.5
2017-05-31,409.0
2017-06-01,409.0
2017-06-02,410.0
2017-06-05,406.0
2017-06-06,416.55
2017-06-07,425.2
2017-06-08,412.65
2017-06-09,420.0
2017-06-12,423.0
2017-06-13,419.8
2017-06-14,418.0
2017-06-15,423.1
2017-06-16,422.0
2017-06-19,416.0
2017-06-20,420.0
2017-06-21,428.7
2017-06-22,420.0
2017-06-23,418.0
2017-06-27,420.0
2017-06-28,421.05
2017-06-29,420.0
2017-06-30,420.0
2017-07-03,421.7
2017-07-04,420.0
2017-07-05,420.0
2017-07-06,420.2
2017-07-07,428.9
2017-07-10,420.05
2017-07-11,425.0
2017-07-12,420.85
2017-07-13,421.5
2017-07-14,423.0
2017-07-17,420.05
2017-07-18,420.05
2017-07-19,421.4
2017-07-20,421.35
2017-07-21,420.9
2017-07-24,423.75
2017-07-25,420.0
2017-07-26,421.9
2017-07-27,420.5
2017-07-28,420.0
2017-07-31,420.0
2017-08-01,420.4
2017-08-02,425.7
2017-08-03,420.0
2017-08-04,420.0
2017-08-07,437.95
2017-08-08,431.0
2017-08-09,433.0
2017-08-10,420.0
2017-08-11,427.3
2017-08-14,421.0
2017-08-16,435.6
2017-08-17,435.35
2017-08-18,435.0
2017-08-21,433.5
2017-08-22,430.0
2017-08-23,429.95
2017-08-24,420.6
2017-08-28,425.0
2017-08-29,426.0
2017-08-30,427.3
2017-08-31,425.5
2017-09-01,425.25
2017-09-04,441.05
2017-09-05,448.15
2017-09-06,435.5
2017-09-07,477.4
2017-09-08,498.55
2017-09-11,598.25
2017-09-12,717.9
2017-09-13,739.75
2017-09-14,669.4
2017-09-15,688.15
2017-09-18,676.45
2017-09-19,652.5
2017-09-20,626.5
2017-09-21,595.3
2017-09-22,554.4
2017-09-25,501.85
2017-09-26,506.05
2017-09-27,505.0
2017-09-28,510.15
2017-09-29,505.05
2017-10-03,505.6
2017-10-04,501.35
2017-10-05,502.15
2017-10-06,511.9
2017-10-09,537.45
2017-10-10,564.3
2017-10-11,592.45
2017-10-12,575.8
2017-10-13,578.0
2017-10-16,554.7
2017-10-17,553.95
2017-10-18,572.4
2017-10-19,592.8
2017-10-23,595.55
2017-10-24,597.85
2017-10-25,605.75
2017-10-26,605.1
2017-10-27,600.0
2017-10-30,599.6
2017-10-31,586.9
2017-11-01,605.9
2017-11-02,603.05
2017-11-03,594.9
2017-11-06,597.0
2017-11-07,595.1
2017-11-08,589.45
2017-11-09,582.75
2017-11-10,590.0
2017-11-13,585.0
2017-11-14,611.1
2017-11-15,600.15
2017-11-16,607.05
2017-11-17,594.05
2017-11-20,587.6
2017-11-21,585.0
2017-11-22,585.0
2017-11-23,585.0
2017-11-24,585.0
2017-11-27,598.7
2017-11-28,585.4
2017-11-29,590.7
2017-11-30,589.75
2017-12-01,593.55
2017-12-04,570.0
2017-12-05,568.0
2017-12-06,551.6
2017-12-07,560.7
2017-12-08,561.35
2017-12-11,560.9
2017-12-12,552.6
2017-12-13,566.0
2017-12-14,541.55
2017-12-15,550.1
2017-12-18,550.4
2017-12-19,539.95
2017-12-20,541.4
2017-12-21,561.0
2017-12-22,573.8
2017-12-26,574.0
2017-12-27,597.4
2017-12-28,583.65
2017-12-29,581.75
