Date,JSWSTEEL
2017-01-02,1634.3
2017-01-03,1644.55
2017-01-04,163.05
2017-01-05,175.65
2017-01-06,175.2
2017-01-09,176.05
2017-01-10,178.45
2017-01-11,187.55
2017-01-12,188.5
2017-01-13,188.9
2017-01-16,189.35
2017-01-17,186.7
2017-01-18,191.1
2017-01-19,192.65
2017-01-20,185.65
2017-01-23,194.15
2017-01-24,193.95
2017-01-25,196.15
2017-01-27,195.35
2017-01-30,196.5
2017-01-31,198.15
2017-02-01,197.3
2017-02-02,193.9
2017-02-03,191.65
2017-02-06,192.35
2017-02-07,189.0
2017-02-08,189.3
2017-02-09,193.65
2017-02-10,193.25
2017-02-13,187.75
2017-02-14,181.85
2017-02-15,183.3
2017-02-16,187.45
2017-02-17,184.9
2017-02-20,188.3
2017-02-21,186.95
2017-02-22,185.0
2017-02-23,186.95
2017-02-27,185.3
2017-02-28,186.95
2017-03-01,189.8
2017-03-02,183.5
2017-03-03,184.0
2017-03-06,184.85
2017-03-07,181.45
2017-03-08,178.05
2017-03-09,176.85
2017-03-10,176.25
2017-03-14,181.9
2017-03-15,183.5
2017-03-16,192.45
2017-03-17,192.0
2017-03-20,194.1
2017-03-21,192.4
2017-03-22,186.7
2017-03-23,186.85
2017-03-24,186.8
2017-03-27,179.45
2017-03-28,181.6
2017-03-29,183.35
2017-03-30,185.4
2017-03-31,188.2
2017-04-03,188.9
2017-04-05,195.8
2017-04-06,203.8
2017-04-07,199.85
2017-04-10,203.7
2017-04-11,198.75
2017-04-12,196.45
2017-04-13,190.75
2017-04-17,194.15
2017-04-18,187.3
2017-04-19,189.4
2017-04-20,189.3
2017-04-21,187.25
2017-04-24,192.5
2017-04-25,194.5
2017-04-26,198.8
2017-04-27,198.3
2017-04-28,199.0
2017-05-02,195.8
2017-05-03,193.35
2017-05-04,194.05
2017-05-05,189.8
2017-05-08,191.3
2017-05-09,192.45
2017-05-10,197.5
2017-05-11,194.5
2017-05-12,197.15
2017-05-15,201.7
2017-05-16,201.65
2017-05-17,206.7
2017-05-18,191.4
2017-05-19,193.5
2017-05-22,192.15
2017-05-23,193.55
2017-05-24,189.6
2017-05-25,192.85
2017-05-26,198.85
2017-05-29,195.8
2017-05-30,195.0
2017-05-31,193.85
2017-06-01,195.45
2017-06-02,194.75
2017-06-05,190.5
2017-06-06,192.1
2017-06-07,195.4
2017-06-08,199.05
2017-06-09,202.0
2017-06-12,198.8
2017-06-13,197.75
2017-06-14,198.25
2017-06-15,196.85
2017-06-16,194.85
2017-06-19,199.25
2017-06-20,199.75
2017-06-21,200.15
2017-06-22,197.65
2017-06-23,195.7
2017-06-27,194.05
2017-06-28,197.55
2017-06-29,205.35
2017-06-30,203.4
2017-07-03,205.05
2017-07-04,208.35
2017-07-05,212.3
2017-07-06,212.45
2017-07-07,216.1
2017-07-10,218.05
2017-07-11,213.6
2017-07-12,213.9
2017-07-13,213.45
2017-07-14,215.15
2017-07-17,218.05
2017-07-18,216.15
2017-07-19,219.65
2017-07-20,214.6
2017-07-21,214.75
2017-07-24,213.75
2017-07-25,215.1
2017-07-26,219.15
2017-07-27,214.8
2017-07-28,215.8
2017-07-31,221.25
2017-08-01,223.15
2017-08-02,219.75
2017-08-03,223.35
2017-08-04,228.25
2017-08-07,229.05
2017-08-08,230.85
2017-08-09,230.45
2017-08-10,222.75
2017-08-11,223.5
2017-08-14,232.35
2017-08-16,237.75
2017-08-17,234.6
2017-08-18,237.05
2017-08-21,233.7
2017-08-22,231.95
2017-08-23,239.75
2017-08-24,246.05
2017-08-28,244.5
2017-08-29,246.9
2017-08-30,259.05
2017-08-31,254.4
2017-09-01,256.65
2017-09-04,254.8
2017-09-05,256.25
2017-09-06,263.1
2017-09-07,264.1
2017-09-08,263.45
2017-09-11,265.9
2017-09-12,269.7
2017-09-13,264.15
2017-09-14,265.7
2017-09-15,267.55
2017-09-18,262.55
2017-09-19,261.65
2017-09-20,259.15
2017-09-21,254.5
2017-09-22,246.95
2017-09-25,236.85
2017-09-26,242.35
2017-09-27,236.65
2017-09-28,238.9
2017-09-29,248.45
2017-10-03,249.95
2017-10-04,248.25
2017-10-05,249.05
2017-10-06,257.7
2017-10-09,257.4
2017-10-10,259.95
2017-10-11,256.45
2017-10-12,256.15
2017-10-13,254.05
2017-10-16,260.4
2017-10-17,260.25
2017-10-18,258.75
2017-10-19,253.7
2017-10-23,260.4
2017-10-24,259.45
2017-10-25,259.65
2017-10-26,259.95
2017-10-27,265.3
2017-10-30,263.85
2017-10-31,258.45
2017-11-01,264.75
2017-11-02,266.2
2017-11-03,266.6
2017-11-06,268.0
2017-11-07,264.05
2017-11-08,262.45
2017-11-09,264.0
2017-11-10,270.8
2017-11-13,263.85
2017-11-14,266.55
2017-11-15,255.45
2017-11-16,258.65
2017-11-17,266.6
2017-11-20,265.95
2017-11-21,268.85
2017-11-22,268.55
2017-11-23,266.85
2017-11-24,265.2
2017-11-27,258.9
2017-11-28,255.65
2017-11-29,255.25
2017-11-30,254.85
2017-12-01,252.05
2017-12-04,251.85
2017-12-05,247.7
2017-12-06,242.15
2017-12-07,250.85
2017-12-08,252.45
2017-12-11,251.5
2017-12-12,249.95
2017-12-13,244.0
2017-12-14,242.45
2017-12-15,250.9
2017-12-18,253.95
2017-12-19,256.4
2017-12-20,262.1
2017-12-21,265.3
2017-12-22,264.5
2017-12-26,267.4
2017-12-27,265.45
2017-12-28,271.3
2017-12-29,269.8
