Date,HILTON
2017-01-02,17.85
2017-01-03,18.05
2017-01-04,18.15
2017-01-05,19.0
2017-01-06,18.9
2017-01-09,18.8
2017-01-10,18.7
2017-01-11,19.65
2017-01-12,19.3
2017-01-13,19.45
2017-01-16,19.1
2017-01-17,19.05
2017-01-18,19.25
2017-01-19,19.65
2017-01-20,19.7
2017-01-23,20.7
2017-01-24,20.0
2017-01-25,19.95
2017-01-27,19.95
2017-01-30,19.45
2017-01-31,18.75
2017-02-01,19.55
2017-02-02,18.95
2017-02-03,19.0
2017-02-06,19.85
2017-02-07,19.25
2017-02-08,19.35
2017-02-09,19.9
2017-02-10,19.15
2017-02-13,18.4
2017-02-14,18.1
2017-02-15,17.95
2017-02-16,18.1
2017-02-17,17.8
2017-02-20,18.0
2017-02-21,18.2
2017-02-22,18.05
2017-02-23,18.65
2017-02-27,22.3
2017-02-28,24.45
2017-03-01,23.0
2017-03-02,21.9
2017-03-03,21.0
2017-03-06,20.8
2017-03-07,20.7
2017-03-08,20.2
2017-03-09,19.95
2017-03-10,19.7
2017-03-14,19.7
2017-03-15,19.6
2017-03-16,19.9
2017-03-17,19.65
2017-03-20,19.75
2017-03-21,19.65
2017-03-22,19.6
2017-03-23,18.7
2017-03-24,19.4
2017-03-27,19.35
2017-03-28,19.1
2017-03-29,19.35
2017-03-30,18.95
2017-03-31,19.4
2017-04-03,21.6
2017-04-05,23.05
2017-04-06,24.05
2017-04-07,24.2
2017-04-10,23.3
2017-04-11,23.7
2017-04-12,22.75
2017-04-13,23.1
2017-04-17,23.3
2017-04-18,27.0
2017-04-19,27.2
2017-04-20,26.0
2017-04-21,26.45
2017-04-24,25.95
2017-04-25,24.4
2017-04-26,24.0
2017-04-27,24.45
2017-04-28,23.15
2017-05-02,22.75
2017-05-03,22.65
2017-05-04,22.75
2017-05-05,22.4
2017-05-08,22.6
2017-05-09,22.65
2017-05-10,26.1
2017-05-11,24.75
2017-05-12,24.75
2017-05-15,24.9
2017-05-16,24.5
2017-05-17,24.4
2017-05-18,23.35
2017-05-19,24.55
2017-05-22,23.6
2017-05-23,22.8
2017-05-24,22.05
2017-05-25,22.45
2017-05-26,22.8
2017-05-29,27.35
2017-05-30,25.15
2017-05-31,25.2
2017-06-01,25.45
2017-06-02,25.8
2017-06-05,27.2
2017-06-06,27.85
2017-06-07,27.3
2017-06-08,26.9
2017-06-09,28.2
2017-06-12,29.6
2017-06-13,31.8
2017-06-14,32.8
2017-06-15,31.65
2017-06-16,30.55
2017-06-19,29.95
2017-06-20,34.5
2017-06-21,33.25
2017-06-22,33.45
2017-06-23,31.5
2017-06-27,31.1
2017-06-28,32.1
2017-06-29,32.45
2017-06-30,32.65
2017-07-03,35.45
2017-07-04,36.1
2017-07-05,37.3
2017-07-06,37.45
2017-07-07,36.35
2017-07-10,37.55
2017-07-11,37.0
2017-07-12,36.0
2017-07-13,37.35
2017-07-14,40.85
2017-07-17,41.8
2017-07-18,39.7
2017-07-19,47.45
2017-07-20,51.55
2017-07-21,50.7
2017-07-24,50.35
2017-07-25,45.8
2017-07-26,50.3
2017-07-27,51.8
2017-07-28,50.9
2017-07-31,50.15
2017-08-01,47.25
2017-08-02,45.6
2017-08-03,42.85
2017-08-04,49.2
2017-08-07,48.3
2017-08-08,48.7
2017-08-09,47.05
2017-08-10,43.75
2017-08-11,41.85
2017-08-14,37.35
2017-08-16,37.55
2017-08-17,38.1
2017-08-18,36.7
2017-08-21,36.6
2017-08-22,35.15
2017-08-23,34.2
2017-08-24,34.15
2017-08-28,34.5
2017-08-29,34.15
2017-08-30,33.7
2017-08-31,32.05
2017-09-01,38.45
2017-09-04,44.5
2017-09-05,46.9
2017-09-06,45.45
2017-09-07,44.45
2017-09-08,41.6
2017-09-11,41.15
2017-09-12,40.05
2017-09-13,37.75
2017-09-14,42.6
2017-09-15,40.7
2017-09-18,41.55
2017-09-19,41.85
2017-09-20,40.0
2017-09-21,39.85
2017-09-22,38.65
2017-09-25,37.1
2017-09-26,38.3
2017-09-27,36.25
2017-09-28,37.15
2017-09-29,36.5
2017-10-03,36.25
2017-10-04,36.3
2017-10-05,35.45
2017-10-06,37.9
2017-10-09,39.1
2017-10-10,38.7
2017-10-11,37.2
2017-10-12,37.55
2017-10-13,37.05
2017-10-16,36.65
2017-10-17,37.1
2017-10-18,36.85
2017-10-19,36.95
2017-10-23,36.05
2017-10-24,36.15
2017-10-25,35.5
2017-10-26,35.65
2017-10-27,35.8
2017-10-30,36.45
2017-10-31,39.1
2017-11-01,37.9
2017-11-02,37.65
2017-11-03,37.4
2017-11-06,36.85
2017-11-07,36.3
2017-11-08,36.7
2017-11-09,36.6
2017-11-10,36.25
2017-11-13,35.95
2017-11-14,35.45
2017-11-15,35.1
2017-11-16,35.2
2017-11-17,35.2
2017-11-20,35.3
2017-11-21,38.6
2017-11-22,39.45
2017-11-23,38.4
2017-11-24,37.65
2017-11-27,38.05
2017-11-28,39.7
2017-11-29,41.7
2017-11-30,41.85
2017-12-01,42.25
2017-12-04,40.95
2017-12-05,40.5
2017-12-06,39.25
2017-12-07,39.95
2017-12-08,39.7
2017-12-11,40.9
2017-12-12,39.95
2017-12-13,38.45
2017-12-14,39.1
2017-12-15,38.45
2017-12-18,38.2
2017-12-19,38.5
2017-12-20,40.9
2017-12-21,40.3
2017-12-22,40.35
2017-12-26,40.85
2017-12-27,39.75
2017-12-28,39.1
2017-12-29,39.6
