Date,MARATHON
2017-01-02,195.45
2017-01-03,194.5
2017-01-04,199.95
2017-01-05,207.6
2017-01-06,196.3
2017-01-09,201.95
2017-01-10,198.1
2017-01-11,197.1
2017-01-12,201.5
2017-01-13,202.05
2017-01-16,202.7
2017-01-17,205.0
2017-01-18,204.75
2017-01-19,201.9
2017-01-20,203.0
2017-01-23,198.65
2017-01-24,201.6
2017-01-25,201.35
2017-01-27,201.55
2017-01-30,200.55
2017-01-31,197.25
2017-02-01,203.85
2017-02-02,203.05
2017-02-03,208.2
2017-02-06,210.0
2017-02-07,212.9
2017-02-08,209.4
2017-02-09,208.95
2017-02-10,206.7
2017-02-13,212.6
2017-02-14,210.55
2017-02-15,210.2
2017-02-16,207.1
2017-02-17,212.0
2017-02-20,208.4
2017-02-21,214.3
2017-02-22,216.5
2017-02-23,215.5
2017-02-27,214.05
2017-02-28,216.1
2017-03-01,224.9
2017-03-02,224.9
2017-03-03,220.0
2017-03-06,219.05
2017-03-07,224.6
2017-03-08,231.6
2017-03-09,225.0
2017-03-10,224.1
2017-03-14,268.9
2017-03-15,256.65
2017-03-16,260.3
2017-03-17,256.95
2017-03-20,262.15
2017-03-21,261.55
2017-03-22,260.5
2017-03-23,261.15
2017-03-24,261.0
2017-03-27,261.25
2017-03-28,260.0
2017-03-29,262.55
2017-03-30,263.2
2017-03-31,262.5
2017-04-03,263.2
2017-04-05,268.35
2017-04-06,266.75
2017-04-07,266.95
2017-04-10,270.2
2017-04-11,268.75
2017-04-12,274.85
2017-04-13,272.2
2017-04-17,274.7
2017-04-18,293.5
2017-04-19,328.6
2017-04-20,342.6
2017-04-21,335.35
2017-04-24,322.65
2017-04-25,322.3
2017-04-26,319.3
2017-04-27,316.75
2017-04-28,313.75
2017-05-02,304.6
2017-05-03,334.0
2017-05-04,326.25
2017-05-05,324.5
2017-05-08,327.5
2017-05-09,332.25
2017-05-10,326.3
2017-05-11,324.8
2017-05-12,329.55
2017-05-15,335.85
2017-05-16,334.05
2017-05-17,335.0
2017-05-18,321.2
2017-05-19,319.8
2017-05-22,317.05
2017-05-23,316.65
2017-05-24,308.8
2017-05-25,310.0
2017-05-26,325.9
2017-05-29,310.6
2017-05-30,308.6
2017-05-31,313.5
2017-06-01,310.1
2017-06-02,317.15
2017-06-05,322.65
2017-06-06,325.65
2017-06-07,323.85
2017-06-08,313.25
2017-06-09,317.95
2017-06-12,311.45
2017-06-13,306.4
2017-06-14,307.9
2017-06-15,306.4
2017-06-16,310.2
2017-06-19,307.1
2017-06-20,309.1
2017-06-21,310.6
2017-06-22,315.2
2017-06-23,316.6
2017-06-27,306.2
2017-06-28,305.0
2017-06-29,309.0
2017-06-30,311.35
2017-07-03,315.35
2017-07-04,316.8
2017-07-05,308.2
2017-07-06,314.45
2017-07-07,314.1
2017-07-10,305.95
2017-07-11,312.3
2017-07-12,321.05
2017-07-13,328.2
2017-07-14,322.7
2017-07-17,316.0
2017-07-18,314.0
2017-07-19,320.0
2017-07-20,329.65
2017-07-21,322.8
2017-07-24,326.3
2017-07-25,324.55
2017-07-26,321.4
2017-07-27,314.7
2017-07-28,329.85
2017-07-31,324.85
2017-08-01,323.55
2017-08-02,314.2
2017-08-03,311.25
2017-08-04,314.7
2017-08-07,312.1
2017-08-08,308.35
2017-08-09,303.45
2017-08-10,289.9
2017-08-11,282.25
2017-08-14,283.25
2017-08-16,284.95
2017-08-17,283.9
2017-08-18,283.25
2017-08-21,278.75
2017-08-22,277.45
2017-08-23,280.05
2017-08-24,276.05
2017-08-28,285.0
2017-08-29,280.0
2017-08-30,282.4
2017-08-31,281.95
2017-09-01,297.75
2017-09-04,356.8
2017-09-05,360.7
2017-09-06,379.2
2017-09-07,377.0
2017-09-08,363.65
2017-09-11,355.25
2017-09-12,355.3
2017-09-13,369.45
2017-09-14,366.2
2017-09-15,361.1
2017-09-18,366.6
2017-09-19,364.4
2017-09-20,369.7
2017-09-21,361.75
2017-09-22,351.4
2017-09-25,343.4
2017-09-26,354.15
2017-09-27,339.25
2017-09-28,346.15
2017-09-29,350.1
2017-10-03,345.65
2017-10-04,341.7
2017-10-05,348.3
2017-10-06,370.3
2017-10-09,442.35
2017-10-10,449.9
2017-10-11,428.8
2017-10-12,430.6
2017-10-13,426.3
2017-10-16,456.1
2017-10-17,483.75
2017-10-18,467.85
2017-10-19,474.05
2017-10-23,472.85
2017-10-24,471.2
2017-10-25,463.85
2017-10-26,449.85
2017-10-27,452.35
2017-10-30,476.3
2017-10-31,485.85
2017-11-01,498.35
2017-11-02,477.1
2017-11-03,483.85
2017-11-06,496.1
2017-11-07,479.05
2017-11-08,476.0
2017-11-09,479.0
2017-11-10,475.05
2017-11-13,478.15
2017-11-14,468.25
2017-11-15,442.0
2017-11-16,449.6
2017-11-17,462.05
2017-11-20,466.75
2017-11-21,461.3
2017-11-22,473.05
2017-11-23,492.25
2017-11-24,509.25
2017-11-27,582.4
2017-11-28,595.45
2017-11-29,593.25
2017-11-30,613.95
2017-12-01,584.35
2017-12-04,578.55
2017-12-05,565.0
2017-12-06,554.7
2017-12-07,584.35
2017-12-08,582.85
2017-12-11,587.55
2017-12-12,594.55
2017-12-13,582.55
2017-12-14,577.5
2017-12-15,600.25
2017-12-18,582.5
2017-12-19,576.75
2017-12-20,573.45
2017-12-21,580.9
2017-12-22,582.5
2017-12-26,578.25
2017-12-27,567.5
2017-12-28,567.15
2017-12-29,557.4
