Date,LUXIND
2017-01-02,742.35
2017-01-03,749.7
2017-01-04,745.2
2017-01-05,748.6
2017-01-06,745.55
2017-01-09,742.5
2017-01-10,715.3
2017-01-11,719.6
2017-01-12,731.6
2017-01-13,732.2
2017-01-16,715.2
2017-01-17,720.6
2017-01-18,724.95
2017-01-19,728.2
2017-01-20,730.25
2017-01-23,738.65
2017-01-24,742.9
2017-01-25,724.9
2017-01-27,719.85
2017-01-30,720.3
2017-01-31,721.75
2017-02-01,729.55
2017-02-02,705.0
2017-02-03,704.35
2017-02-06,701.8
2017-02-07,711.85
2017-02-08,701.6
2017-02-09,700.25
2017-02-10,705.65
2017-02-13,704.25
2017-02-14,695.35
2017-02-15,695.85
2017-02-16,684.95
2017-02-17,687.05
2017-02-20,686.0
2017-02-21,682.55
2017-02-22,680.0
2017-02-23,663.25
2017-02-27,672.7
2017-02-28,662.15
2017-03-01,670.75
2017-03-02,668.8
2017-03-03,669.0
2017-03-06,688.8
2017-03-07,670.95
2017-03-08,674.7
2017-03-09,668.6
2017-03-10,653.0
2017-03-14,653.4
2017-03-15,664.4
2017-03-16,654.75
2017-03-17,675.75
2017-03-20,663.7
2017-03-21,672.4
2017-03-22,671.85
2017-03-23,671.0
2017-03-24,667.15
2017-03-27,672.55
2017-03-28,676.1
2017-03-29,671.9
2017-03-30,722.4
2017-03-31,713.8
2017-04-03,746.6
2017-04-05,777.1
2017-04-06,797.15
2017-04-07,783.7
2017-04-10,768.85
2017-04-11,769.1
2017-04-12,763.45
2017-04-13,761.3
2017-04-17,762.85
2017-04-18,763.1
2017-04-19,761.25
2017-04-20,763.45
2017-04-21,773.4
2017-04-24,795.55
2017-04-25,818.8
2017-04-26,824.35
2017-04-27,820.05
2017-04-28,823.55
2017-05-02,854.1
2017-05-03,832.9
2017-05-04,838.0
2017-05-05,830.85
2017-05-08,821.25
2017-05-09,820.15
2017-05-10,825.75
2017-05-11,821.75
2017-05-12,819.5
2017-05-15,819.6
2017-05-16,817.5
2017-05-17,819.8
2017-05-18,820.05
2017-05-19,817.8
2017-05-22,817.05
2017-05-23,807.3
2017-05-24,792.0
2017-05-25,807.3
2017-05-26,811.45
2017-05-29,799.55
2017-05-30,792.85
2017-05-31,796.75
2017-06-01,789.15
2017-06-02,817.5
2017-06-05,834.65
2017-06-06,867.65
2017-06-07,896.65
2017-06-08,881.05
2017-06-09,904.95
2017-06-12,923.9
2017-06-13,924.3
2017-06-14,1044.6
2017-06-15,1085.0
2017-06-16,1087.45
2017-06-19,1089.9
2017-06-20,1086.75
2017-06-21,1081.1
2017-06-22,1075.9
2017-06-23,1014.65
2017-06-27,1029.85
2017-06-28,1011.15
2017-06-29,1014.15
2017-06-30,1012.4
2017-07-03,1013.8
2017-07-04,1079.6
2017-07-05,1070.15
2017-07-06,1060.5
2017-07-07,1089.25
2017-07-10,1096.35
2017-07-11,1140.4
2017-07-12,1184.75
2017-07-13,1199.65
2017-07-14,1197.45
2017-07-17,1184.4
2017-07-18,1162.0
2017-07-19,1162.75
2017-07-20,1165.1
2017-07-21,1163.05
2017-07-24,1145.8
2017-07-25,1142.2
2017-07-26,1137.4
2017-07-27,1127.05
2017-07-28,1116.95
2017-07-31,1117.5
2017-08-01,1128.2
2017-08-02,1111.1
2017-08-03,1101.55
2017-08-04,1096.65
2017-08-07,1129.75
2017-08-08,1102.2
2017-08-09,1099.75
2017-08-10,1093.65
2017-08-11,1118.4
2017-08-14,1121.2
2017-08-16,1109.2
2017-08-17,1145.45
2017-08-18,1170.7
2017-08-21,1207.2
2017-08-22,1243.75
2017-08-23,1264.95
2017-08-24,1267.05
2017-08-28,1236.9
2017-08-29,1208.3
2017-08-30,1209.55
2017-08-31,1203.25
2017-09-01,1206.7
2017-09-04,1171.2
2017-09-05,1181.3
2017-09-06,1185.0
2017-09-07,1211.55
2017-09-08,1206.8
2017-09-11,1208.2
2017-09-12,1206.2
2017-09-13,1195.1
2017-09-14,1189.8
2017-09-15,1173.95
2017-09-18,1200.75
2017-09-19,1231.0
2017-09-20,1222.15
2017-09-21,1206.2
2017-09-22,1178.2
2017-09-25,1133.4
2017-09-26,1148.0
2017-09-27,1129.85
2017-09-28,1152.8
2017-09-29,1185.15
2017-10-03,1199.45
2017-10-04,1213.15
2017-10-05,1191.2
2017-10-06,1200.25
2017-10-09,1191.1
2017-10-10,1185.05
2017-10-11,1176.45
2017-10-12,1181.05
2017-10-13,1160.1
2017-10-16,1165.2
2017-10-17,1161.8
2017-10-18,1171.75
2017-10-19,1165.95
2017-10-23,1160.45
2017-10-24,1150.6
2017-10-25,1141.3
2017-10-26,1165.4
2017-10-27,1196.65
2017-10-30,1209.05
