Date,PREMIERPOL
2017-01-09,33.5
2017-01-11,33.5
2017-01-12,34.9
2017-01-13,34.0
2017-01-16,32.3
2017-01-17,31.1
2017-01-18,30.05
2017-01-19,29.05
2017-01-20,30.45
2017-01-23,29.15
2017-01-24,29.0
2017-01-25,29.15
2017-01-27,30.6
2017-01-30,29.1
2017-02-01,29.1
2017-02-02,29.65
2017-02-03,29.95
2017-02-06,30.0
2017-02-07,30.5
2017-02-08,29.05
2017-02-09,29.1
2017-02-10,29.2
2017-02-13,29.15
2017-02-14,29.15
2017-02-15,29.15
2017-02-20,29.0
2017-03-08,27.55
2017-03-09,27.4
2017-03-10,28.75
2017-03-14,27.4
2017-03-15,28.75
2017-03-17,29.85
2017-03-20,29.8
2017-03-21,28.4
2017-03-24,27.75
2017-03-27,28.0
2017-03-28,29.4
2017-03-29,29.8
2017-03-30,28.4
2017-03-31,27.3
2017-04-05,28.0
2017-04-06,29.0
2017-04-10,28.05
2017-04-11,27.7
2017-04-12,29.05
2017-04-13,29.05
2017-04-17,29.0
2017-04-18,27.55
2017-04-19,28.85
2017-04-20,29.0
2017-04-21,29.0
2017-04-24,28.2
2017-04-25,29.0
2017-04-26,27.55
2017-04-27,27.6
2017-04-28,28.0
2017-05-02,28.85
2017-05-03,27.8
2017-05-04,29.0
2017-05-05,29.0
2017-05-08,27.7
2017-05-09,28.25
2017-05-10,28.5
2017-05-11,28.4
2017-05-12,27.3
2017-05-15,28.25
2017-05-16,28.45
2017-05-17,28.05
2017-05-18,29.25
2017-05-19,28.55
2017-05-22,28.1
2017-05-23,28.0
2017-05-24,28.35
2017-05-25,28.05
2017-05-26,28.85
2017-05-29,30.2
2017-05-30,30.1
2017-05-31,29.05
2017-06-01,28.5
2017-06-02,29.9
2017-06-05,31.35
2017-06-06,32.6
2017-06-07,34.0
2017-06-08,33.25
2017-06-09,32.0
2017-06-12,30.75
2017-06-13,30.15
2017-06-14,32.0
2017-06-16,31.7
2017-06-19,32.0
2017-06-20,30.4
2017-06-21,30.7
2017-06-22,32.0
2017-06-23,31.75
2017-06-27,30.0
2017-06-28,29.0
2017-06-29,29.0
2017-06-30,30.0
2017-07-03,30.0
2017-07-04,30.15
2017-07-05,30.2
2017-07-06,30.0
2017-07-07,29.8
2017-07-10,29.95
2017-07-11,30.25
2017-07-12,30.0
2017-07-13,30.95
2017-07-14,30.3
2017-07-17,30.05
2017-07-18,28.7
2017-07-19,31.4
2017-07-20,30.5
2017-07-21,29.5
2017-07-24,29.0
2017-07-25,30.0
2017-07-26,29.75
2017-07-27,30.1
2017-07-28,29.1
2017-07-31,29.25
2017-08-01,30.75
2017-08-02,29.7
2017-08-03,29.0
2017-08-04,29.05
2017-08-07,31.9
2017-08-08,30.35
2017-08-09,28.65
2017-08-10,29.0
2017-08-11,29.0
2017-08-14,28.0
2017-08-17,29.0
2017-08-18,30.8
2017-08-21,30.5
2017-08-22,30.75
2017-08-23,29.95
2017-08-28,28.9
2017-08-29,29.95
2017-08-30,28.55
2017-08-31,29.15
2017-09-01,29.5
2017-09-04,29.95
2017-09-05,30.0
2017-09-06,30.0
2017-09-08,30.0
2017-09-11,30.05
2017-09-12,31.2
2017-09-13,30.5
2017-09-14,30.0
2017-09-15,31.5
2017-09-18,37.45
2017-09-19,39.2
2017-09-20,36.65
2017-09-21,36.6
2017-09-22,36.5
2017-09-25,32.35
2017-09-26,37.85
2017-09-27,45.4
2017-09-28,54.45
2017-09-29,59.85
2017-10-03,53.9
2017-10-04,48.55
2017-10-05,43.7
2017-10-06,46.8
2017-10-09,42.15
2017-10-10,40.5
2017-10-11,38.55
2017-10-12,38.6
2017-10-13,39.4
2017-10-16,38.6
2017-10-17,38.6
2017-10-18,36.8
2017-10-19,36.25
2017-10-23,37.8
2017-10-24,37.05
2017-10-25,36.85
2017-10-26,36.5
2017-10-27,37.5
2017-10-30,36.75
2017-10-31,38.4
2017-11-01,40.3
2017-11-02,42.15
2017-11-03,44.15
2017-11-06,45.6
2017-11-07,44.6
2017-11-08,42.4
2017-11-09,43.75
2017-11-10,41.65
2017-11-13,39.65
2017-11-14,38.65
2017-11-15,37.1
2017-11-16,36.15
2017-11-17,37.95
2017-11-20,37.75
2017-11-21,38.75
2017-11-22,40.6
2017-11-23,40.05
2017-11-24,41.0
2017-11-27,41.0
2017-11-28,40.3
2017-11-29,40.05
2017-11-30,38.25
2017-12-01,39.05
2017-12-04,39.5
2017-12-05,40.35
2017-12-06,38.8
2017-12-07,40.9
2017-12-08,41.55
2017-12-11,41.25
2017-12-12,41.0
2017-12-13,44.0
2017-12-14,40.7
2017-12-15,40.9
2017-12-18,42.5
2017-12-19,43.0
2017-12-20,41.85
2017-12-21,42.4
2017-12-22,42.5
2017-12-26,42.4
2017-12-27,44.75
2017-12-28,44.65
2017-12-29,45.5
