Date,KELLTONTEC
2017-01-02,114.55
2017-01-03,115.25
2017-01-04,115.0
2017-01-05,115.05
2017-01-06,115.2
2017-01-09,122.5
2017-01-10,131.1
2017-01-11,131.5
2017-01-12,129.65
2017-01-13,126.5
2017-01-16,122.1
2017-01-17,124.25
2017-01-18,132.2
2017-01-19,129.05
2017-01-20,127.85
2017-01-23,124.2
2017-01-24,127.3
2017-01-25,126.1
2017-01-27,124.95
2017-01-30,123.6
2017-01-31,118.2
2017-02-01,118.95
2017-02-02,120.25
2017-02-03,117.75
2017-02-06,115.65
2017-02-07,115.05
2017-02-08,115.35
2017-02-09,114.95
2017-02-10,115.45
2017-02-13,116.35
2017-02-14,117.5
2017-02-15,120.8
2017-02-16,126.0
2017-02-17,137.95
2017-02-20,144.4
2017-02-21,145.9
2017-02-22,141.5
2017-02-23,145.1
2017-02-27,144.95
2017-02-28,140.15
2017-03-01,139.35
2017-03-02,137.65
2017-03-03,138.9
2017-03-06,138.7
2017-03-07,143.55
2017-03-08,141.6
2017-03-09,139.5
2017-03-10,138.5
2017-03-14,137.4
2017-03-15,132.0
2017-03-16,133.25
2017-03-17,128.4
2017-03-20,126.7
2017-03-21,126.35
2017-03-22,126.0
2017-03-23,130.2
2017-03-24,130.85
2017-03-27,129.2
2017-03-28,128.1
2017-03-29,126.25
2017-03-30,129.9
2017-03-31,133.1
2017-04-03,130.6
2017-04-05,129.05
2017-04-06,128.75
2017-04-07,127.6
2017-04-10,126.1
2017-04-11,125.3
2017-04-12,121.25
2017-04-13,120.7
2017-04-17,117.4
2017-04-18,118.2
2017-04-19,116.9
2017-04-20,120.8
2017-04-21,120.2
2017-04-24,120.1
2017-04-25,119.35
2017-04-26,116.7
2017-04-27,115.75
2017-04-28,117.9
2017-05-02,118.15
2017-05-03,117.9
2017-05-04,119.1
2017-05-05,118.55
2017-05-08,118.65
2017-05-09,118.9
2017-05-10,118.95
2017-05-11,119.15
2017-05-12,119.0
2017-05-15,126.6
2017-05-16,122.8
2017-05-17,123.6
2017-05-18,120.1
2017-05-19,119.0
2017-05-22,118.75
2017-05-23,117.35
2017-05-24,116.9
2017-05-25,117.85
2017-05-26,118.8
2017-05-29,119.45
2017-05-30,117.45
2017-05-31,120.55
2017-06-01,118.45
2017-06-02,111.8
2017-06-05,110.55
2017-06-06,108.4
2017-06-07,108.0
2017-06-08,105.7
2017-06-09,102.05
2017-06-12,106.3
2017-06-13,110.5
2017-06-14,114.35
2017-06-15,111.4
2017-06-16,109.6
2017-06-19,106.25
2017-06-20,106.15
2017-06-21,106.6
2017-06-22,105.05
2017-06-23,110.95
2017-06-27,109.6
2017-06-28,107.25
2017-06-29,110.15
2017-06-30,108.3
2017-07-03,107.85
2017-07-04,105.6
2017-07-05,105.55
2017-07-06,106.35
2017-07-07,105.5
2017-07-10,106.3
2017-07-11,105.45
2017-07-12,105.55
2017-07-13,105.25
2017-07-14,102.35
2017-07-17,102.7
2017-07-18,104.9
2017-07-19,103.05
2017-07-20,103.45
2017-07-21,101.8
2017-07-24,102.15
2017-07-25,102.3
2017-07-26,100.65
2017-07-27,100.55
2017-07-28,99.75
2017-07-31,102.3
2017-08-01,101.35
2017-08-02,100.5
2017-08-03,99.8
2017-08-04,99.15
2017-08-07,96.85
2017-08-08,95.5
2017-08-09,95.25
2017-08-10,90.25
2017-08-11,88.75
2017-08-14,91.65
2017-08-16,91.15
2017-08-17,90.35
2017-08-18,89.7
2017-08-21,86.9
2017-08-22,84.4
2017-08-23,82.75
2017-08-24,88.8
2017-08-28,100.05
2017-08-29,97.1
2017-08-30,99.9
2017-08-31,96.35
2017-09-01,98.4
2017-09-04,96.75
2017-09-05,95.7
2017-09-06,95.55
2017-09-07,94.3
2017-09-08,93.85
2017-09-11,94.8
2017-09-12,95.7
2017-09-13,105.0
2017-09-14,103.7
2017-09-15,100.35
2017-09-18,99.2
2017-09-19,99.7
2017-09-20,98.85
2017-09-21,98.8
2017-09-22,95.35
2017-09-25,92.6
2017-09-26,93.55
2017-09-27,96.2
2017-09-28,93.7
2017-09-29,92.85
2017-10-03,92.0
2017-10-04,91.35
2017-10-05,94.1
2017-10-06,94.75
2017-10-09,94.7
2017-10-10,94.05
2017-10-11,95.3
2017-10-12,95.95
2017-10-13,95.95
2017-10-16,96.7
2017-10-17,95.9
2017-10-18,97.4
2017-10-19,97.5
2017-10-23,99.75
2017-10-24,99.95
2017-10-25,99.7
2017-10-26,96.75
2017-10-27,95.1
2017-10-30,98.15
2017-10-31,98.0
2017-11-01,102.7
2017-11-02,116.75
2017-11-03,125.3
2017-11-06,118.3
2017-11-07,109.05
2017-11-08,111.8
2017-11-09,108.2
2017-11-10,103.65
2017-11-13,113.25
