Date,CCHHL
2017-01-02,12.4
2017-01-03,12.4
2017-01-04,13.1
2017-01-05,13.1
2017-01-06,13.15
2017-01-09,12.95
2017-01-10,13.1
2017-01-11,13.3
2017-01-12,13.9
2017-01-13,14.45
2017-01-16,14.35
2017-01-17,13.95
2017-01-18,13.7
2017-01-19,13.8
2017-01-20,13.8
2017-01-23,13.75
2017-01-24,13.7
2017-01-25,13.55
2017-01-27,13.6
2017-01-30,13.4
2017-01-31,13.1
2017-02-01,13.2
2017-02-02,13.25
2017-02-03,13.35
2017-02-06,13.5
2017-02-07,13.35
2017-02-08,13.3
2017-02-09,13.25
2017-02-10,13.3
2017-02-13,13.35
2017-02-14,13.05
2017-02-15,12.7
2017-02-16,12.9
2017-02-17,12.95
2017-02-20,12.85
2017-02-21,12.95
2017-02-22,12.8
2017-02-23,12.55
2017-02-27,12.55
2017-02-28,12.7
2017-03-01,12.85
2017-03-02,12.8
2017-03-03,12.65
2017-03-06,12.65
2017-03-07,12.75
2017-03-08,12.7
2017-03-09,12.5
2017-03-10,12.5
2017-03-14,12.65
2017-03-15,12.8
2017-03-16,12.6
2017-03-17,12.4
2017-03-20,12.4
2017-03-21,12.2
2017-03-22,12.35
2017-03-23,12.35
2017-03-24,12.25
2017-03-27,11.8
2017-03-28,12.2
2017-03-29,12.0
2017-03-30,12.3
2017-03-31,12.25
2017-04-03,12.5
2017-04-05,13.35
2017-04-06,13.1
2017-04-07,12.7
2017-04-10,14.0
2017-04-11,13.9
2017-04-12,13.3
2017-04-13,13.65
2017-04-17,13.8
2017-04-18,13.65
2017-04-19,14.0
2017-04-20,15.2
2017-04-21,14.5
2017-04-24,14.25
2017-04-25,14.5
2017-04-26,14.65
2017-04-27,14.6
2017-04-28,15.95
2017-05-02,16.45
2017-05-03,16.35
2017-05-04,15.85
2017-05-05,15.6
2017-05-08,15.1
2017-05-09,15.35
2017-05-10,15.3
2017-05-11,14.95
2017-05-12,14.95
2017-05-15,15.0
2017-05-16,15.35
2017-05-17,14.95
2017-05-18,14.85
2017-05-19,14.4
2017-05-22,13.95
2017-05-23,13.75
2017-05-24,13.2
2017-05-25,13.55
2017-05-26,13.7
2017-05-29,13.55
2017-05-30,13.35
2017-05-31,12.6
2017-06-01,12.5
2017-06-02,12.65
2017-06-05,12.6
2017-06-06,12.3
2017-06-07,12.3
2017-06-08,12.75
2017-06-09,12.85
2017-06-12,12.65
2017-06-13,12.6
2017-06-14,12.8
2017-06-15,13.15
2017-06-16,13.25
2017-06-19,13.05
2017-06-20,13.15
2017-06-21,13.1
2017-06-22,13.0
2017-06-23,12.9
2017-06-27,12.65
2017-06-28,13.85
2017-06-29,13.55
2017-06-30,15.1
2017-07-03,14.6
2017-07-04,13.85
2017-07-05,13.75
2017-07-06,14.35
2017-07-07,14.7
2017-07-10,14.85
2017-07-11,14.5
2017-07-12,15.4
2017-07-13,15.2
2017-07-14,14.8
2017-07-17,15.15
2017-07-18,14.75
2017-07-19,15.15
2017-07-20,14.9
2017-07-21,14.8
2017-07-24,14.75
2017-07-25,14.7
2017-07-26,14.65
2017-07-27,15.3
2017-07-28,14.75
2017-07-31,14.9
2017-08-01,14.8
2017-08-02,14.8
2017-08-03,14.65
2017-08-04,14.95
2017-08-07,14.75
2017-08-08,14.15
2017-08-09,13.65
2017-08-10,13.1
2017-08-11,13.1
2017-08-14,13.15
2017-08-16,13.3
2017-08-17,13.65
2017-08-18,13.25
2017-08-21,13.1
2017-08-22,12.95
2017-08-23,13.1
2017-08-24,13.05
2017-08-28,13.25
2017-08-29,12.95
2017-08-30,13.2
2017-08-31,13.4
2017-09-01,13.05
2017-09-04,13.2
2017-09-05,13.35
2017-09-06,13.35
2017-09-07,13.45
2017-09-08,13.6
2017-09-11,13.8
2017-09-12,13.7
2017-09-13,13.65
2017-09-14,13.45
2017-09-15,13.3
2017-09-18,13.65
2017-09-19,13.6
2017-09-20,13.7
2017-09-21,13.5
2017-09-22,13.2
2017-09-25,12.9
2017-09-26,13.1
2017-09-27,12.7
2017-09-28,12.7
2017-09-29,12.8
2017-10-03,13.05
2017-10-04,13.15
2017-10-05,13.0
2017-10-06,13.1
2017-10-09,13.05
2017-10-10,13.15
2017-10-11,12.95
2017-10-12,13.05
2017-10-13,12.9
2017-10-16,12.85
2017-10-17,12.8
2017-10-18,12.6
2017-10-19,12.8
2017-10-23,12.65
2017-10-24,12.75
2017-10-25,12.65
2017-10-26,12.65
2017-10-27,12.85
2017-10-30,13.9
2017-10-31,14.15
2017-11-01,13.7
2017-11-02,14.0
2017-11-03,13.95
2017-11-06,13.85
2017-11-07,13.55
2017-11-08,15.25
2017-11-09,15.9
2017-11-10,14.8
2017-11-13,13.7
2017-11-14,14.0
2017-11-15,13.15
2017-11-16,13.05
2017-11-17,13.05
2017-11-20,13.25
2017-11-21,13.4
2017-11-22,13.25
2017-11-23,14.05
2017-11-24,14.6
2017-11-27,15.5
2017-11-28,15.1
2017-11-29,15.15
2017-11-30,14.9
2017-12-01,15.6
2017-12-04,15.25
2017-12-05,14.65
2017-12-06,14.5
2017-12-07,15.5
2017-12-08,14.65
2017-12-11,15.0
2017-12-12,15.2
2017-12-13,14.9
2017-12-14,15.25
2017-12-15,15.2
2017-12-18,14.85
2017-12-19,15.05
2017-12-20,14.85
2017-12-21,15.1
2017-12-22,15.35
2017-12-26,15.55
2017-12-27,18.65
2017-12-28,19.9
2017-12-29,19.25
